,b1,b2,b3,bscore,r1,r2,r3,rscore,level
0,frc3847,frc1477,frc159,265,frc935,frc1817,frc4063,231,f
1,frc3847,frc1477,frc159,195,frc935,frc1817,frc4063,284,f
2,frc3847,frc1477,frc159,220,frc935,frc1817,frc4063,241,f
3,frc935,frc1817,frc4063,260,frc5866,frc3366,frc2468,180,qf
4,frc935,frc1817,frc4063,159,frc5866,frc3366,frc2468,495,qf
5,frc935,frc1817,frc4063,315,frc5866,frc3366,frc2468,220,qf
6,frc2164,frc5572,frc4603,240,frc2395,frc2481,frc2341,255,qf
7,frc2164,frc5572,frc4603,290,frc2395,frc2481,frc2341,260,qf
8,frc2164,frc5572,frc4603,245,frc2395,frc2481,frc2341,329,qf
9,frc2352,frc5411,frc4696,140,frc159,frc1477,frc3847,285,qf
10,frc2352,frc5411,frc4696,145,frc159,frc1477,frc3847,260,qf
11,frc192,frc418,frc4499,210,frc5550,frc118,frc624,290,qf
12,frc192,frc418,frc4499,218,frc5550,frc118,frc624,187,qf
13,frc192,frc418,frc4499,218,frc5550,frc118,frc624,248,qf
14,frc2481,frc192,frc3366,259,frc935,frc6430,frc624,220,qm
15,frc5888,frc4603,frc6144,145,frc3735,frc935,frc4734,55,qm
16,frc5771,frc624,frc4694,115,frc3847,frc159,frc5550,140,qm
17,frc4063,frc2468,frc3366,278,frc5411,frc3305,frc5783,80,qm
18,frc5829,frc4696,frc5960,155,frc5866,frc6430,frc1817,110,qm
19,frc4499,frc2395,frc4364,100,frc5312,frc2341,frc3043,252,qm
20,frc1477,frc2481,frc4799,214,frc118,frc5572,frc2613,235,qm
21,frc5550,frc2164,frc5829,200,frc4694,frc4298,frc2468,180,qm
22,frc5888,frc2352,frc5960,190,frc3847,frc2395,frc4717,190,qm
23,frc5312,frc1817,frc4603,96,frc6144,frc1164,frc2481,237,qm
24,frc3366,frc159,frc624,355,frc4364,frc4063,frc118,178,qm
25,frc5572,frc1477,frc5613,190,frc4696,frc2395,frc159,85,qm
26,frc3735,frc3043,frc5783,85,frc2613,frc935,frc5866,155,qm
27,frc1477,frc4499,frc192,463,frc4799,frc418,frc6430,145,qm
28,frc5411,frc5613,frc4734,125,frc5572,frc5771,frc3305,90,qm
29,frc2341,frc5783,frc4298,90,frc2657,frc4696,frc624,252,qm
30,frc4717,frc2468,frc1817,305,frc6430,frc4694,frc3847,105,qm
31,frc2164,frc4603,frc4799,150,frc2481,frc5613,frc5771,226,qm
32,frc2657,frc4364,frc3305,120,frc5550,frc6144,frc5572,215,qm
33,frc5312,frc5866,frc2395,116,frc159,frc192,frc935,255,qm
34,frc5411,frc4063,frc3043,145,frc5829,frc1477,frc2352,175,qm
35,frc2613,frc5888,frc3735,135,frc418,frc3366,frc2341,175,qm
