,team,experience
0,frc1164,14
1,frc118,20
2,frc1477,13
3,frc159,19
4,frc1817,11
5,frc192,20
6,frc2164,10
7,frc2341,9
8,frc2352,9
9,frc2395,9
10,frc2468,9
11,frc2481,9
12,frc2613,9
13,frc2657,9
14,frc3043,8
15,frc3305,7
16,frc3366,7
17,frc3735,6
18,frc3847,6
19,frc4063,5
20,frc418,17
21,frc4298,5
22,frc4301,5
23,frc4364,5
24,frc4499,4
25,frc4603,4
26,frc4694,4
27,frc4696,4
28,frc4717,4
29,frc4734,4
30,frc4799,4
31,frc5312,3
32,frc5411,2
33,frc5550,2
34,frc5572,2
35,frc5613,2
36,frc5771,2
37,frc5783,2
38,frc5829,1
39,frc5866,1
40,frc5888,1
41,frc5960,1
42,frc6144,1
43,frc624,16
44,frc6430,0
45,frc935,15
