,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,305,392,26.0,21.0,6.0,0.0,6219.0,1369.0,3220.0,2100.0,19.0,9.0,96.06109699608146,53.36785589530796,42.69324110077351,28.0,17.0,10.0,0.0,6169.0,1146.0,3100.0,2050.0,374.0,13.666666666666666,105.4630183678314,56.55465688621474,48.90836148161666,f,-87
1,215,375,26.0,21.0,6.0,0.0,6219.0,1369.0,3220.0,2100.0,19.0,9.0,96.06109699608146,53.36785589530796,42.69324110077351,28.0,17.0,10.0,0.0,6169.0,1146.0,3100.0,2050.0,374.0,13.666666666666666,105.4630183678314,56.55465688621474,48.90836148161666,f,-160
2,245,321,17.0,16.0,11.0,0.0,5489.0,1316.0,3080.0,1800.0,54.0,17.666666666666668,83.45852520888657,77.18331718413258,6.275208024753989,28.0,17.0,10.0,0.0,6169.0,1146.0,3100.0,2050.0,374.0,13.666666666666666,105.4630183678314,56.55465688621474,48.90836148161666,qf,-76
3,200,318,17.0,16.0,11.0,0.0,5489.0,1316.0,3080.0,1800.0,54.0,17.666666666666668,83.45852520888657,77.18331718413258,6.275208024753989,28.0,17.0,10.0,0.0,6169.0,1146.0,3100.0,2050.0,374.0,13.666666666666666,105.4630183678314,56.55465688621474,48.90836148161666,qf,-118
4,305,255,4.0,16.0,11.0,0.0,5711.0,1115.0,2980.0,2050.0,16.0,17.0,88.99769486165296,44.18177164671973,44.81592321493323,26.0,18.0,9.0,0.0,5733.0,1205.0,2740.0,2200.0,128.0,11.333333333333334,82.08792169023003,54.416807399245215,27.67111429098482,qf,50
5,305,305,4.0,16.0,11.0,0.0,5711.0,1115.0,2980.0,2050.0,16.0,17.0,88.99769486165296,44.18177164671973,44.81592321493323,26.0,18.0,9.0,0.0,5733.0,1205.0,2740.0,2200.0,128.0,11.333333333333334,82.08792169023003,54.416807399245215,27.67111429098482,qf,0
6,305,255,4.0,16.0,11.0,0.0,5711.0,1115.0,2980.0,2050.0,16.0,17.0,88.99769486165296,44.18177164671973,44.81592321493323,26.0,18.0,9.0,0.0,5733.0,1205.0,2740.0,2200.0,128.0,11.333333333333334,82.08792169023003,54.416807399245215,27.67111429098482,qf,50
7,218,281,1.0,17.0,10.0,0.0,5613.0,1160.0,2820.0,2050.0,113.0,14.0,73.39194223195393,66.48055900363191,6.911383228322016,16.0,18.0,9.0,0.0,5758.0,1307.0,3220.0,1950.0,73.0,16.666666666666668,80.3308839665009,47.99723108283613,32.33365288366479,qf,-63
8,168,305,1.0,17.0,10.0,0.0,5613.0,1160.0,2820.0,2050.0,113.0,14.0,73.39194223195393,66.48055900363191,6.911383228322016,16.0,18.0,9.0,0.0,5758.0,1307.0,3220.0,1950.0,73.0,16.666666666666668,80.3308839665009,47.99723108283613,32.33365288366479,qf,-137
9,286,205,20.0,16.0,11.0,0.0,6308.0,1368.0,3200.0,2350.0,78.0,17.333333333333332,106.55073343734534,92.39099711083706,14.15973632650828,26.0,21.0,6.0,0.0,6219.0,1369.0,3220.0,2100.0,19.0,9.0,96.06109699608146,53.36785589530796,42.69324110077351,qf,81
