,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,265,314,17.0,16.0,10.0,1.0,5186.0,1064.0,2560.0,1900.0,21.0,18.666666666666668,82.6281425695014,43.871316810327954,38.75682575917346,17.0,16.0,10.0,1.0,5186.0,1064.0,2560.0,1900.0,21.0,18.666666666666668,82.6281425695014,43.871316810327954,38.75682575917346,f,-49
1,210,310,17.0,16.0,10.0,1.0,5186.0,1064.0,2560.0,1900.0,21.0,18.666666666666668,82.6281425695014,43.871316810327954,38.75682575917346,17.0,16.0,10.0,1.0,5186.0,1064.0,2560.0,1900.0,21.0,18.666666666666668,82.6281425695014,43.871316810327954,38.75682575917346,f,-100
2,280,345,14.0,18.0,9.0,0.0,5225.0,913.0,2620.0,1750.0,20.0,13.666666666666666,66.71997752652817,52.36122766230607,14.358749864222098,14.0,18.0,9.0,0.0,5225.0,913.0,2620.0,1750.0,20.0,13.666666666666666,66.71997752652817,52.36122766230607,14.358749864222098,qf,-65
3,205,440,14.0,18.0,9.0,0.0,5225.0,913.0,2620.0,1750.0,20.0,13.666666666666666,66.71997752652817,52.36122766230607,14.358749864222098,14.0,18.0,9.0,0.0,5225.0,913.0,2620.0,1750.0,20.0,13.666666666666666,66.71997752652817,52.36122766230607,14.358749864222098,qf,-235
4,285,335,40.0,12.0,12.0,3.0,4805.0,1031.0,2460.0,1650.0,5.0,24.333333333333332,58.844269827551706,62.820160732018586,-3.9758909044668704,40.0,12.0,12.0,3.0,4805.0,1031.0,2460.0,1650.0,5.0,24.333333333333332,58.844269827551706,62.820160732018586,-3.9758909044668704,qf,-50
5,165,287,40.0,12.0,12.0,3.0,4805.0,1031.0,2460.0,1650.0,5.0,24.333333333333332,58.844269827551706,62.820160732018586,-3.9758909044668704,40.0,12.0,12.0,3.0,4805.0,1031.0,2460.0,1650.0,5.0,24.333333333333332,58.844269827551706,62.820160732018586,-3.9758909044668704,qf,-122
6,251,237,27.0,16.0,9.0,2.0,5053.0,1147.0,2660.0,1600.0,18.0,14.0,71.47643703006172,41.34643881969048,30.12999821037123,27.0,16.0,9.0,2.0,5053.0,1147.0,2660.0,1600.0,18.0,14.0,71.47643703006172,41.34643881969048,30.12999821037123,qf,14
7,305,445,27.0,16.0,9.0,2.0,5053.0,1147.0,2660.0,1600.0,18.0,14.0,71.47643703006172,41.34643881969048,30.12999821037123,27.0,16.0,9.0,2.0,5053.0,1147.0,2660.0,1600.0,18.0,14.0,71.47643703006172,41.34643881969048,30.12999821037123,qf,-140
8,306,205,27.0,16.0,9.0,2.0,5053.0,1147.0,2660.0,1600.0,18.0,14.0,71.47643703006172,41.34643881969048,30.12999821037123,27.0,16.0,9.0,2.0,5053.0,1147.0,2660.0,1600.0,18.0,14.0,71.47643703006172,41.34643881969048,30.12999821037123,qf,101
9,155,190,20.0,16.0,9.0,2.0,5062.0,823.0,2320.0,2000.0,77.0,15.666666666666666,74.12282454401635,45.196251969625,28.926572574391344,20.0,16.0,9.0,2.0,5062.0,823.0,2320.0,2000.0,77.0,15.666666666666666,74.12282454401635,45.196251969625,28.926572574391344,qf,-35
10,220,280,20.0,16.0,9.0,2.0,5062.0,823.0,2320.0,2000.0,77.0,15.666666666666666,74.12282454401635,45.196251969625,28.926572574391344,20.0,16.0,9.0,2.0,5062.0,823.0,2320.0,2000.0,77.0,15.666666666666666,74.12282454401635,45.196251969625,28.926572574391344,qf,-60
11,5,210,5.0,15.0,12.0,0.0,4147.0,871.0,2340.0,1300.0,42.0,26.333333333333332,40.24397903792052,47.09087921742894,-6.8469001795084194,5.0,15.0,12.0,0.0,4147.0,871.0,2340.0,1300.0,42.0,26.333333333333332,40.24397903792052,47.09087921742894,-6.8469001795084194,qm,-205
12,55,263,34.0,8.0,17.0,2.0,3654.0,800.0,2180.0,850.0,9.0,40.0,21.675662242507972,73.35869837019227,-51.683036127684296,34.0,8.0,17.0,2.0,3654.0,800.0,2180.0,850.0,9.0,40.0,21.675662242507972,73.35869837019227,-51.683036127684296,qm,-208
13,215,90,29.0,18.0,9.0,0.0,5577.0,1346.0,2960.0,1950.0,27.0,13.333333333333334,81.00911702335829,50.65527422097754,30.35384280238074,29.0,18.0,9.0,0.0,5577.0,1346.0,2960.0,1950.0,27.0,13.333333333333334,81.00911702335829,50.65527422097754,30.35384280238074,qm,125
14,190,322,12.0,11.0,14.0,2.0,4719.0,819.0,2340.0,1600.0,4.0,29.333333333333332,57.358778691786846,74.66196502149164,-17.303186329704793,12.0,11.0,14.0,2.0,4719.0,819.0,2340.0,1600.0,4.0,29.333333333333332,57.358778691786846,74.66196502149164,-17.303186329704793,qm,-132
15,195,145,20.0,10.0,15.0,2.0,4749.0,821.0,2600.0,1600.0,24.0,31.333333333333332,66.1152331430891,82.57969471102838,-16.46446156793927,20.0,10.0,15.0,2.0,4749.0,821.0,2600.0,1600.0,24.0,31.333333333333332,66.1152331430891,82.57969471102838,-16.46446156793927,qm,50
16,140,160,12.0,13.0,14.0,0.0,4608.0,886.0,2460.0,1500.0,28.0,27.666666666666668,57.15630467173284,46.79029452165806,10.36601015007478,12.0,13.0,14.0,0.0,4608.0,886.0,2460.0,1500.0,28.0,27.666666666666668,57.15630467173284,46.79029452165806,10.36601015007478,qm,-20
17,160,65,18.0,12.0,13.0,2.0,4576.0,603.0,2260.0,1600.0,81.0,26.333333333333332,48.38675808822862,48.051546617020506,0.33521147120809996,18.0,12.0,13.0,2.0,4576.0,603.0,2260.0,1600.0,81.0,26.333333333333332,48.38675808822862,48.051546617020506,0.33521147120809996,qm,95
18,145,185,14.0,8.0,18.0,1.0,4012.0,649.0,2180.0,1250.0,27.0,38.333333333333336,52.7045831695058,53.40219941813561,-0.6976162486298113,14.0,8.0,18.0,1.0,4012.0,649.0,2180.0,1250.0,27.0,38.333333333333336,52.7045831695058,53.40219941813561,-0.6976162486298113,qm,-40
