,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,217,224,9.0,19.0,17.0,0.0,6742.0,1437.0,3580.0,2100.0,312.0,13.333333333333334,68.72909486164605,54.67405162083128,14.055043240814763,9.0,19.0,17.0,0.0,6742.0,1437.0,3580.0,2100.0,312.0,13.333333333333334,68.72909486164605,54.67405162083128,14.055043240814763,f,-7
1,326,383,9.0,19.0,17.0,0.0,6742.0,1437.0,3580.0,2100.0,312.0,13.333333333333334,68.72909486164605,54.67405162083128,14.055043240814763,9.0,19.0,17.0,0.0,6742.0,1437.0,3580.0,2100.0,312.0,13.333333333333334,68.72909486164605,54.67405162083128,14.055043240814763,f,-57
2,140,168,3.0,13.0,23.0,0.0,6087.0,979.0,3400.0,1850.0,147.0,18.0,54.18243819615472,83.50411247126799,-29.321674275113253,3.0,13.0,23.0,0.0,6087.0,979.0,3400.0,1850.0,147.0,18.0,54.18243819615472,83.50411247126799,-29.321674275113253,qf,-28
3,150,315,3.0,13.0,23.0,0.0,6087.0,979.0,3400.0,1850.0,147.0,18.0,54.18243819615472,83.50411247126799,-29.321674275113253,3.0,13.0,23.0,0.0,6087.0,979.0,3400.0,1850.0,147.0,18.0,54.18243819615472,83.50411247126799,-29.321674275113253,qf,-165
4,235,170,9.0,19.0,16.0,1.0,6868.0,1234.0,3960.0,1900.0,88.0,13.333333333333334,70.27334373980128,73.57751508029469,-3.3041713404934043,9.0,19.0,16.0,1.0,6868.0,1234.0,3960.0,1900.0,88.0,13.333333333333334,70.27334373980128,73.57751508029469,-3.3041713404934043,qf,65
5,280,260,9.0,19.0,16.0,1.0,6868.0,1234.0,3960.0,1900.0,88.0,13.333333333333334,70.27334373980128,73.57751508029469,-3.3041713404934043,9.0,19.0,16.0,1.0,6868.0,1234.0,3960.0,1900.0,88.0,13.333333333333334,70.27334373980128,73.57751508029469,-3.3041713404934043,qf,20
6,160,260,7.0,16.0,19.0,1.0,5922.0,1231.0,3520.0,1700.0,152.0,14.666666666666666,38.48531205451889,59.46223996193961,-20.976927907420713,7.0,16.0,19.0,1.0,5922.0,1231.0,3520.0,1700.0,152.0,14.666666666666666,38.48531205451889,59.46223996193961,-20.976927907420713,qf,-100
7,140,324,7.0,16.0,19.0,1.0,5922.0,1231.0,3520.0,1700.0,152.0,14.666666666666666,38.48531205451889,59.46223996193961,-20.976927907420713,7.0,16.0,19.0,1.0,5922.0,1231.0,3520.0,1700.0,152.0,14.666666666666666,38.48531205451889,59.46223996193961,-20.976927907420713,qf,-184
8,206,255,8.0,15.0,21.0,0.0,5939.0,925.0,3160.0,1800.0,184.0,17.333333333333332,43.144675980085644,60.47093163142491,-17.32625565133927,8.0,15.0,21.0,0.0,5939.0,925.0,3160.0,1800.0,184.0,17.333333333333332,43.144675980085644,60.47093163142491,-17.32625565133927,qf,-49
9,226,256,8.0,15.0,21.0,0.0,5939.0,925.0,3160.0,1800.0,184.0,17.333333333333332,43.144675980085644,60.47093163142491,-17.32625565133927,8.0,15.0,21.0,0.0,5939.0,925.0,3160.0,1800.0,184.0,17.333333333333332,43.144675980085644,60.47093163142491,-17.32625565133927,qf,-30
10,126,285,4.0,16.0,19.0,1.0,6333.0,1214.0,3700.0,1750.0,143.0,14.0,52.96644659098141,61.23851317272361,-8.272066581742203,4.0,16.0,19.0,1.0,6333.0,1214.0,3700.0,1750.0,143.0,14.0,52.96644659098141,61.23851317272361,-8.272066581742203,qm,-159
11,145,200,3.0,16.0,20.0,0.0,7047.0,1385.0,3800.0,2400.0,137.0,15.0,67.48380407246007,70.63158645704897,-3.1477823845888886,3.0,16.0,20.0,0.0,7047.0,1385.0,3800.0,2400.0,137.0,15.0,67.48380407246007,70.63158645704897,-3.1477823845888886,qm,-55
12,225,15,15.0,22.0,13.0,1.0,6637.0,799.0,3680.0,2150.0,62.0,13.333333333333334,65.1824407869697,40.593953509247235,24.588487277722464,15.0,22.0,13.0,1.0,6637.0,799.0,3680.0,2150.0,62.0,13.333333333333334,65.1824407869697,40.593953509247235,24.588487277722464,qm,210
13,161,135,9.0,19.0,17.0,0.0,6729.0,1608.0,3720.0,2050.0,294.0,13.666666666666666,67.33755041777066,63.24109143889243,4.096458978878213,9.0,19.0,17.0,0.0,6729.0,1608.0,3720.0,2050.0,294.0,13.666666666666666,67.33755041777066,63.24109143889243,4.096458978878213,qm,26
14,235,90,8.0,19.0,17.0,0.0,7043.0,1117.0,3880.0,2350.0,143.0,12.0,75.44855144474961,70.83423560613063,4.614315838618985,8.0,19.0,17.0,0.0,7043.0,1117.0,3880.0,2350.0,143.0,12.0,75.44855144474961,70.83423560613063,4.614315838618985,qm,145
15,250,110,6.0,25.0,11.0,0.0,8092.0,1703.0,4060.0,2850.0,147.0,6.0,100.27009973918932,53.28209386174981,46.9880058774395,6.0,25.0,11.0,0.0,8092.0,1703.0,4060.0,2850.0,147.0,6.0,100.27009973918932,53.28209386174981,46.9880058774395,qm,140
16,325,95,12.0,25.0,11.0,0.0,7826.0,1384.0,3760.0,2500.0,561.0,5.666666666666667,97.53277991730624,50.86342512581814,46.66935479148811,12.0,25.0,11.0,0.0,7826.0,1384.0,3760.0,2500.0,561.0,5.666666666666667,97.53277991730624,50.86342512581814,46.66935479148811,qm,230
17,60,290,5.0,11.0,24.0,1.0,5091.0,1002.0,3160.0,1050.0,121.0,22.666666666666668,30.977902896950393,84.8142221126924,-53.836319215742016,5.0,11.0,24.0,1.0,5091.0,1002.0,3160.0,1050.0,121.0,22.666666666666668,30.977902896950393,84.8142221126924,-53.836319215742016,qm,-230
18,205,47,14.0,20.0,15.0,1.0,7109.0,1196.0,3780.0,2450.0,149.0,12.0,76.55937304282457,46.64948775850837,29.909885284316193,14.0,20.0,15.0,1.0,7109.0,1196.0,3780.0,2450.0,149.0,12.0,76.55937304282457,46.64948775850837,29.909885284316193,qm,158
19,90,170,4.0,14.0,21.0,1.0,5748.0,1033.0,3500.0,1550.0,128.0,18.0,45.158642383287095,53.16892741022135,-8.010285026934246,4.0,14.0,21.0,1.0,5748.0,1033.0,3500.0,1550.0,128.0,18.0,45.158642383287095,53.16892741022135,-8.010285026934246,qm,-80
20,164,205,7.0,16.0,19.0,0.0,6172.0,1344.0,3600.0,1550.0,262.0,16.666666666666668,52.17269837963065,65.3576002115722,-13.18490183194156,7.0,16.0,19.0,0.0,6172.0,1344.0,3600.0,1550.0,262.0,16.666666666666668,52.17269837963065,65.3576002115722,-13.18490183194156,qm,-41
