,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,225,308,16.0,20.0,12.0,1.0,6619.0,1381.0,3660.0,2150.0,129.0,12.333333333333334,90.69438260544557,67.35006115606224,23.34432144938333,13.0,23.0,10.0,0.0,6920.0,2136.0,3340.0,2250.0,735.0,10.666666666666666,93.2786957788373,52.86019963122971,40.418496147607605,f,-83
1,256,260,16.0,20.0,12.0,1.0,6619.0,1381.0,3660.0,2150.0,129.0,12.333333333333334,90.69438260544557,67.35006115606224,23.34432144938333,13.0,23.0,10.0,0.0,6920.0,2136.0,3340.0,2250.0,735.0,10.666666666666666,93.2786957788373,52.86019963122971,40.418496147607605,f,-4
2,148,327,2.0,18.0,14.0,1.0,6049.0,1018.0,3340.0,1800.0,194.0,12.666666666666666,54.660348864102865,50.63749127938963,4.022857584713225,13.0,23.0,10.0,0.0,6920.0,2136.0,3340.0,2250.0,735.0,10.666666666666666,93.2786957788373,52.86019963122971,40.418496147607605,qf,-179
3,135,325,2.0,18.0,14.0,1.0,6049.0,1018.0,3340.0,1800.0,194.0,12.666666666666666,54.660348864102865,50.63749127938963,4.022857584713225,13.0,23.0,10.0,0.0,6920.0,2136.0,3340.0,2250.0,735.0,10.666666666666666,93.2786957788373,52.86019963122971,40.418496147607605,qf,-190
4,410,300,2.0,18.0,14.0,1.0,6672.0,1487.0,3540.0,2550.0,112.0,13.666666666666666,95.67049985861173,63.20988131959458,32.46061853901716,4.0,19.0,13.0,1.0,6422.0,1385.0,3500.0,2250.0,72.0,13.666666666666666,77.50792506311761,52.24275262058021,25.26517244253739,qf,110
5,220,255,2.0,18.0,14.0,1.0,6672.0,1487.0,3540.0,2550.0,112.0,13.666666666666666,95.67049985861173,63.20988131959458,32.46061853901716,4.0,19.0,13.0,1.0,6422.0,1385.0,3500.0,2250.0,72.0,13.666666666666666,77.50792506311761,52.24275262058021,25.26517244253739,qf,-35
6,310,255,2.0,18.0,14.0,1.0,6672.0,1487.0,3540.0,2550.0,112.0,13.666666666666666,95.67049985861173,63.20988131959458,32.46061853901716,4.0,19.0,13.0,1.0,6422.0,1385.0,3500.0,2250.0,72.0,13.666666666666666,77.50792506311761,52.24275262058021,25.26517244253739,qf,55
7,285,265,6.0,17.0,14.0,2.0,6583.0,1463.0,3540.0,2350.0,108.0,14.0,74.27963186071798,55.54534707887107,18.73428478184691,2.0,21.0,9.0,3.0,6407.0,1331.0,3320.0,2250.0,177.0,11.0,73.48141028922689,56.11119156508037,17.370218724146515,qf,20
8,220,165,6.0,17.0,14.0,2.0,6583.0,1463.0,3540.0,2350.0,108.0,14.0,74.27963186071798,55.54534707887107,18.73428478184691,2.0,21.0,9.0,3.0,6407.0,1331.0,3320.0,2250.0,177.0,11.0,73.48141028922689,56.11119156508037,17.370218724146515,qf,55
9,280,305,4.0,17.0,14.0,1.0,6118.0,1294.0,3600.0,1650.0,108.0,17.666666666666668,72.22044045631566,67.97698587689842,4.24345457941723,16.0,20.0,12.0,1.0,6619.0,1381.0,3660.0,2150.0,129.0,12.333333333333334,90.69438260544557,67.35006115606224,23.34432144938333,qf,-25
