,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,235,465,17.0,24.0,9.0,0.0,8242.0,1754.0,4260.0,3150.0,72.0,9.0,100.05741620146688,57.55568325447942,42.50173294698746,17.0,24.0,9.0,0.0,8242.0,1754.0,4260.0,3150.0,72.0,9.0,100.05741620146688,57.55568325447942,42.50173294698746,f,-230
1,335,349,17.0,24.0,9.0,0.0,8242.0,1754.0,4260.0,3150.0,72.0,9.0,100.05741620146688,57.55568325447942,42.50173294698746,17.0,24.0,9.0,0.0,8242.0,1754.0,4260.0,3150.0,72.0,9.0,100.05741620146688,57.55568325447942,42.50173294698746,f,-14
2,255,401,17.0,20.0,13.0,0.0,7324.0,1398.0,3980.0,2700.0,49.0,13.0,77.64602288692893,56.713325250487365,20.932697636441567,17.0,20.0,13.0,0.0,7324.0,1398.0,3980.0,2700.0,49.0,13.0,77.64602288692893,56.713325250487365,20.932697636441567,qf,-146
3,235,282,17.0,20.0,13.0,0.0,7324.0,1398.0,3980.0,2700.0,49.0,13.0,77.64602288692893,56.713325250487365,20.932697636441567,17.0,20.0,13.0,0.0,7324.0,1398.0,3980.0,2700.0,49.0,13.0,77.64602288692893,56.713325250487365,20.932697636441567,qf,-47
4,305,395,21.0,19.0,14.0,0.0,7424.0,1711.0,3980.0,2750.0,14.0,17.333333333333332,75.07346005674954,60.03620804489868,15.037252011850846,21.0,19.0,14.0,0.0,7424.0,1711.0,3980.0,2750.0,14.0,17.333333333333332,75.07346005674954,60.03620804489868,15.037252011850846,qf,-90
5,235,255,21.0,19.0,14.0,0.0,7424.0,1711.0,3980.0,2750.0,14.0,17.333333333333332,75.07346005674954,60.03620804489868,15.037252011850846,21.0,19.0,14.0,0.0,7424.0,1711.0,3980.0,2750.0,14.0,17.333333333333332,75.07346005674954,60.03620804489868,15.037252011850846,qf,-20
6,235,300,18.0,17.0,16.0,0.0,7336.0,1339.0,3620.0,2850.0,61.0,19.666666666666668,85.31513052263075,70.21812291659671,15.09700760603404,18.0,17.0,16.0,0.0,7336.0,1339.0,3620.0,2850.0,61.0,19.666666666666668,85.31513052263075,70.21812291659671,15.09700760603404,qf,-65
7,305,305,18.0,17.0,16.0,0.0,7336.0,1339.0,3620.0,2850.0,61.0,19.666666666666668,85.31513052263075,70.21812291659671,15.09700760603404,18.0,17.0,16.0,0.0,7336.0,1339.0,3620.0,2850.0,61.0,19.666666666666668,85.31513052263075,70.21812291659671,15.09700760603404,qf,0
8,250,310,18.0,17.0,16.0,0.0,7336.0,1339.0,3620.0,2850.0,61.0,19.666666666666668,85.31513052263075,70.21812291659671,15.09700760603404,18.0,17.0,16.0,0.0,7336.0,1339.0,3620.0,2850.0,61.0,19.666666666666668,85.31513052263075,70.21812291659671,15.09700760603404,qf,-60
9,280,255,36.0,20.0,13.0,0.0,7439.0,1515.0,4000.0,2700.0,29.0,13.0,83.76497504837648,82.07142467308459,1.693550375291892,36.0,20.0,13.0,0.0,7439.0,1515.0,4000.0,2700.0,29.0,13.0,83.76497504837648,82.07142467308459,1.693550375291892,qf,25
10,255,306,36.0,20.0,13.0,0.0,7439.0,1515.0,4000.0,2700.0,29.0,13.0,83.76497504837648,82.07142467308459,1.693550375291892,36.0,20.0,13.0,0.0,7439.0,1515.0,4000.0,2700.0,29.0,13.0,83.76497504837648,82.07142467308459,1.693550375291892,qf,-51
11,421,305,36.0,20.0,13.0,0.0,7439.0,1515.0,4000.0,2700.0,29.0,13.0,83.76497504837648,82.07142467308459,1.693550375291892,36.0,20.0,13.0,0.0,7439.0,1515.0,4000.0,2700.0,29.0,13.0,83.76497504837648,82.07142467308459,1.693550375291892,qf,116
12,245,272,20.0,13.0,20.0,0.0,6936.0,1170.0,3560.0,2650.0,31.0,29.666666666666668,66.37540280524898,69.56323507363736,-3.187832268388386,20.0,13.0,20.0,0.0,6936.0,1170.0,3560.0,2650.0,31.0,29.666666666666668,66.37540280524898,69.56323507363736,-3.187832268388386,qm,-27
13,285,200,9.0,22.0,11.0,0.0,8168.0,1693.0,4160.0,3250.0,48.0,11.666666666666666,100.09773917234685,63.288740986550444,36.808998185796405,9.0,22.0,11.0,0.0,8168.0,1693.0,4160.0,3250.0,48.0,11.666666666666666,100.09773917234685,63.288740986550444,36.808998185796405,qm,85
14,205,45,29.0,23.0,9.0,1.0,7524.0,1479.0,4020.0,2700.0,34.0,7.0,79.00463753420063,47.879166682437635,31.12547085176298,29.0,23.0,9.0,1.0,7524.0,1479.0,4020.0,2700.0,34.0,7.0,79.00463753420063,47.879166682437635,31.12547085176298,qm,160
15,135,201,24.0,10.0,22.0,1.0,6074.0,1197.0,3300.0,2000.0,99.0,32.333333333333336,52.2679427017145,88.38598342826943,-36.11804072655494,24.0,10.0,22.0,1.0,6074.0,1197.0,3300.0,2000.0,99.0,32.333333333333336,52.2679427017145,88.38598342826943,-36.11804072655494,qm,-66
16,190,160,13.0,21.0,12.0,0.0,7512.0,1539.0,3800.0,2900.0,17.0,15.0,83.80944676873462,65.09884991038436,18.710596858350254,13.0,21.0,12.0,0.0,7512.0,1539.0,3800.0,2900.0,17.0,15.0,83.80944676873462,65.09884991038436,18.710596858350254,qm,30
17,230,263,33.0,16.0,17.0,0.0,6915.0,1511.0,3880.0,2450.0,5.0,22.666666666666668,67.50122998746018,86.6966555739776,-19.195425586517405,33.0,16.0,17.0,0.0,6915.0,1511.0,3880.0,2450.0,5.0,22.666666666666668,67.50122998746018,86.6966555739776,-19.195425586517405,qm,-33
