,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,261,352,26.0,11.0,13.0,0.0,6118.0,1246.0,3140.0,2200.0,238.0,20.0,82.78820487292151,98.81782397394467,-16.02961910102316,26.0,11.0,13.0,0.0,6118.0,1246.0,3140.0,2200.0,238.0,20.0,82.78820487292151,98.81782397394467,-16.02961910102316,f,-91
1,224,303,26.0,11.0,13.0,0.0,6118.0,1246.0,3140.0,2200.0,238.0,20.0,82.78820487292151,98.81782397394467,-16.02961910102316,26.0,11.0,13.0,0.0,6118.0,1246.0,3140.0,2200.0,238.0,20.0,82.78820487292151,98.81782397394467,-16.02961910102316,f,-79
2,323,521,53.0,14.0,10.0,0.0,5511.0,1000.0,2540.0,2050.0,456.0,26.666666666666668,61.83841298279854,80.69825501366755,-18.859842030869014,53.0,14.0,10.0,0.0,5511.0,1000.0,2540.0,2050.0,456.0,26.666666666666668,61.83841298279854,80.69825501366755,-18.859842030869014,qf,-198
3,376,271,53.0,14.0,10.0,0.0,5511.0,1000.0,2540.0,2050.0,456.0,26.666666666666668,61.83841298279854,80.69825501366755,-18.859842030869014,53.0,14.0,10.0,0.0,5511.0,1000.0,2540.0,2050.0,456.0,26.666666666666668,61.83841298279854,80.69825501366755,-18.859842030869014,qf,105
4,374,301,53.0,14.0,10.0,0.0,5511.0,1000.0,2540.0,2050.0,456.0,26.666666666666668,61.83841298279854,80.69825501366755,-18.859842030869014,53.0,14.0,10.0,0.0,5511.0,1000.0,2540.0,2050.0,456.0,26.666666666666668,61.83841298279854,80.69825501366755,-18.859842030869014,qf,73
5,260,324,25.0,12.0,12.0,0.0,5552.0,1090.0,2720.0,2250.0,102.0,29.0,79.91573539236839,86.25811230956928,-6.342376917200885,25.0,12.0,12.0,0.0,5552.0,1090.0,2720.0,2250.0,102.0,29.0,79.91573539236839,86.25811230956928,-6.342376917200885,qf,-64
6,244,259,25.0,12.0,12.0,0.0,5552.0,1090.0,2720.0,2250.0,102.0,29.0,79.91573539236839,86.25811230956928,-6.342376917200885,25.0,12.0,12.0,0.0,5552.0,1090.0,2720.0,2250.0,102.0,29.0,79.91573539236839,86.25811230956928,-6.342376917200885,qf,-15
7,453,312,26.0,11.0,13.0,0.0,6118.0,1246.0,3140.0,2200.0,238.0,20.0,82.78820487292151,98.81782397394467,-16.02961910102316,26.0,11.0,13.0,0.0,6118.0,1246.0,3140.0,2200.0,238.0,20.0,82.78820487292151,98.81782397394467,-16.02961910102316,qf,141
8,288,446,26.0,11.0,13.0,0.0,6118.0,1246.0,3140.0,2200.0,238.0,20.0,82.78820487292151,98.81782397394467,-16.02961910102316,26.0,11.0,13.0,0.0,6118.0,1246.0,3140.0,2200.0,238.0,20.0,82.78820487292151,98.81782397394467,-16.02961910102316,qf,-158
9,398,326,26.0,11.0,13.0,0.0,6118.0,1246.0,3140.0,2200.0,238.0,20.0,82.78820487292151,98.81782397394467,-16.02961910102316,26.0,11.0,13.0,0.0,6118.0,1246.0,3140.0,2200.0,238.0,20.0,82.78820487292151,98.81782397394467,-16.02961910102316,qf,72
