,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,447,326,30.0,14.0,16.0,0.0,7488.0,1691.0,4100.0,2600.0,323.0,18.666666666666668,73.26034167838547,72.73561952807634,0.5247221503091405,48.0,17.0,12.0,1.0,8586.0,2017.0,4080.0,3200.0,766.0,10.666666666666666,117.31999426597042,83.71191715319837,33.60807711277203,f,121
1,311,318,30.0,14.0,16.0,0.0,7488.0,1691.0,4100.0,2600.0,323.0,18.666666666666668,73.26034167838547,72.73561952807634,0.5247221503091405,48.0,17.0,12.0,1.0,8586.0,2017.0,4080.0,3200.0,766.0,10.666666666666666,117.31999426597042,83.71191715319837,33.60807711277203,f,-7
2,207,405,30.0,14.0,16.0,0.0,7488.0,1691.0,4100.0,2600.0,323.0,18.666666666666668,73.26034167838547,72.73561952807634,0.5247221503091405,48.0,17.0,12.0,1.0,8586.0,2017.0,4080.0,3200.0,766.0,10.666666666666666,117.31999426597042,83.71191715319837,33.60807711277203,f,-198
3,182,482,22.0,17.0,12.0,1.0,7952.0,1582.0,3920.0,3150.0,212.0,16.333333333333332,90.9349087443015,74.89601804768614,16.038890696615354,48.0,17.0,12.0,1.0,8586.0,2017.0,4080.0,3200.0,766.0,10.666666666666666,117.31999426597042,83.71191715319837,33.60807711277203,qf,-300
4,313,328,22.0,17.0,12.0,1.0,7952.0,1582.0,3920.0,3150.0,212.0,16.333333333333332,90.9349087443015,74.89601804768614,16.038890696615354,48.0,17.0,12.0,1.0,8586.0,2017.0,4080.0,3200.0,766.0,10.666666666666666,117.31999426597042,83.71191715319837,33.60807711277203,qf,-15
5,447,260,27.0,15.0,15.0,0.0,8263.0,1878.0,4280.0,3050.0,338.0,15.333333333333334,105.23719113448044,76.43452467555814,28.802666458922314,31.0,19.0,10.0,1.0,7836.0,1744.0,4240.0,2700.0,246.0,12.0,85.76866819092349,66.5110471779559,19.257621012967586,qf,187
6,396,300,27.0,15.0,15.0,0.0,8263.0,1878.0,4280.0,3050.0,338.0,15.333333333333334,105.23719113448044,76.43452467555814,28.802666458922314,31.0,19.0,10.0,1.0,7836.0,1744.0,4240.0,2700.0,246.0,12.0,85.76866819092349,66.5110471779559,19.257621012967586,qf,96
7,251,204,30.0,14.0,16.0,0.0,7488.0,1691.0,4100.0,2600.0,323.0,18.666666666666668,73.26034167838547,72.73561952807634,0.5247221503091405,24.0,20.0,9.0,1.0,8394.0,2353.0,4100.0,3200.0,474.0,7.666666666666667,113.78071974520604,93.13996857025857,20.640751174947457,qf,47
8,448,296,30.0,14.0,16.0,0.0,7488.0,1691.0,4100.0,2600.0,323.0,18.666666666666668,73.26034167838547,72.73561952807634,0.5247221503091405,24.0,20.0,9.0,1.0,8394.0,2353.0,4100.0,3200.0,474.0,7.666666666666667,113.78071974520604,93.13996857025857,20.640751174947457,qf,152
9,319,397,25.0,18.0,12.0,0.0,7762.0,1645.0,4040.0,2800.0,367.0,12.333333333333334,91.37161650067294,69.52563029342936,21.845986207243584,9.0,18.0,11.0,1.0,8286.0,1995.0,4180.0,3100.0,286.0,10.333333333333334,109.64593189808964,78.84830590562497,30.797625992464663,qf,-78
