,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,305,294,26.0,17.0,10.0,3.0,7400.0,1325.0,3820.0,2900.0,35.0,13.0,96.56346746435456,65.8118679332354,30.751599531119172,12.0,19.0,10.0,1.0,7796.0,1713.0,3740.0,3000.0,421.0,12.333333333333334,104.3929821018806,68.67206242746862,35.720919674411995,f,11
1,260,325,26.0,17.0,10.0,3.0,7400.0,1325.0,3820.0,2900.0,35.0,13.0,96.56346746435456,65.8118679332354,30.751599531119172,12.0,19.0,10.0,1.0,7796.0,1713.0,3740.0,3000.0,421.0,12.333333333333334,104.3929821018806,68.67206242746862,35.720919674411995,f,-65
2,235,325,26.0,17.0,10.0,3.0,7400.0,1325.0,3820.0,2900.0,35.0,13.0,96.56346746435456,65.8118679332354,30.751599531119172,12.0,19.0,10.0,1.0,7796.0,1713.0,3740.0,3000.0,421.0,12.333333333333334,104.3929821018806,68.67206242746862,35.720919674411995,f,-90
3,255,390,25.0,18.0,9.0,2.0,7104.0,1300.0,3340.0,3000.0,64.0,17.666666666666668,103.28685826314523,71.25708644943909,32.029771813706155,12.0,19.0,10.0,1.0,7796.0,1713.0,3740.0,3000.0,421.0,12.333333333333334,104.3929821018806,68.67206242746862,35.720919674411995,qf,-135
4,115,335,25.0,18.0,9.0,2.0,7104.0,1300.0,3340.0,3000.0,64.0,17.666666666666668,103.28685826314523,71.25708644943909,32.029771813706155,12.0,19.0,10.0,1.0,7796.0,1713.0,3740.0,3000.0,421.0,12.333333333333334,104.3929821018806,68.67206242746862,35.720919674411995,qf,-220
5,455,205,10.0,17.0,12.0,1.0,7324.0,1460.0,3700.0,2750.0,54.0,20.0,94.21203534309949,77.12072086485794,17.091314478241532,22.0,16.0,11.0,3.0,7524.0,1778.0,3880.0,2900.0,104.0,19.333333333333332,101.9942461580692,68.18429824016211,33.80994791790712,qf,250
6,375,305,10.0,17.0,12.0,1.0,7324.0,1460.0,3700.0,2750.0,54.0,20.0,94.21203534309949,77.12072086485794,17.091314478241532,22.0,16.0,11.0,3.0,7524.0,1778.0,3880.0,2900.0,104.0,19.333333333333332,101.9942461580692,68.18429824016211,33.80994791790712,qf,70
7,315,300,26.0,17.0,10.0,3.0,7400.0,1325.0,3820.0,2900.0,35.0,13.0,96.56346746435456,65.8118679332354,30.751599531119172,13.0,23.0,7.0,0.0,7734.0,1648.0,3760.0,3150.0,184.0,10.0,99.55477690309793,40.950901833266435,58.60387506983148,qf,15
8,235,270,26.0,17.0,10.0,3.0,7400.0,1325.0,3820.0,2900.0,35.0,13.0,96.56346746435456,65.8118679332354,30.751599531119172,13.0,23.0,7.0,0.0,7734.0,1648.0,3760.0,3150.0,184.0,10.0,99.55477690309793,40.950901833266435,58.60387506983148,qf,-35
9,445,314,26.0,17.0,10.0,3.0,7400.0,1325.0,3820.0,2900.0,35.0,13.0,96.56346746435456,65.8118679332354,30.751599531119172,9.0,22.0,8.0,0.0,7891.0,1779.0,3960.0,3150.0,136.0,9.333333333333334,103.97487816570224,46.525465558286044,57.449412607416185,qf,131
10,307,445,4.0,20.0,9.0,1.0,7193.0,1455.0,3460.0,3000.0,48.0,16.0,85.42544907928864,67.46414038518748,17.961308694101167,34.0,21.0,8.0,1.0,8237.0,1846.0,4160.0,3200.0,172.0,7.666666666666667,107.8727092319895,65.3855176401852,42.48719159180431,qf,-138
11,269,545,4.0,20.0,9.0,1.0,7193.0,1455.0,3460.0,3000.0,48.0,16.0,85.42544907928864,67.46414038518748,17.961308694101167,34.0,21.0,8.0,1.0,8237.0,1846.0,4160.0,3200.0,172.0,7.666666666666667,107.8727092319895,65.3855176401852,42.48719159180431,qf,-276
12,268,200,13.0,16.0,12.0,2.0,6718.0,1302.0,3560.0,2500.0,143.0,24.0,73.8179916515967,74.41055976017647,-0.5925681085797739,22.0,12.0,17.0,1.0,6956.0,1609.0,3680.0,2600.0,76.0,28.333333333333332,79.1925462812605,76.17494891048808,3.017597370772426,qm,68
13,185,250,17.0,17.0,13.0,0.0,7147.0,1062.0,3540.0,2800.0,22.0,21.666666666666668,87.45415238232617,83.66504762246626,3.7891047598599243,10.0,18.0,11.0,1.0,6912.0,1295.0,3500.0,2750.0,62.0,20.333333333333332,68.93732061080101,77.73500279667246,-8.797682185871443,qm,-65
14,180,255,32.0,8.0,20.0,2.0,6030.0,1229.0,3360.0,2050.0,50.0,40.666666666666664,60.13755496645774,82.2496956782506,-22.112140711792847,7.0,18.0,11.0,0.0,6817.0,1615.0,3400.0,2750.0,72.0,22.333333333333332,86.06362318197277,65.15222130034785,20.911401881624936,qm,-75
15,277,140,13.0,13.0,14.0,3.0,7209.0,1249.0,3300.0,2850.0,419.0,21.333333333333332,86.53101101447156,78.51110129604841,8.01990971842315,11.0,6.0,24.0,0.0,5977.0,1341.0,3340.0,1900.0,102.0,46.333333333333336,53.34627391038138,93.77367877313738,-40.42740486275601,qm,137
16,307,135,21.0,19.0,11.0,0.0,7541.0,1867.0,3900.0,2800.0,156.0,16.666666666666668,97.35968393930114,85.51202765356692,11.847656285734217,8.0,14.0,14.0,1.0,5989.0,1157.0,3020.0,2200.0,109.0,29.0,45.337519678701334,67.44300494924802,-22.105485270546694,qm,172
17,220,155,9.0,13.0,16.0,1.0,6773.0,1000.0,3280.0,2750.0,33.0,29.333333333333332,74.97642113983768,75.1370657170579,-0.1606445772202084,6.0,10.0,18.0,2.0,6235.0,1093.0,3380.0,2100.0,55.0,36.333333333333336,51.63454634938194,83.66550929633212,-32.03096294695018,qm,65
18,100,195,11.0,12.0,17.0,1.0,6383.0,1056.0,3260.0,2300.0,83.0,32.0,64.79100023577773,72.77702102340542,-7.986020787627699,15.0,18.0,11.0,1.0,6866.0,1195.0,3220.0,2950.0,116.0,22.0,77.31303662282663,58.764180168640536,18.548856454186094,qm,-95
19,305,148,24.0,18.0,9.0,3.0,7986.0,1676.0,3920.0,3300.0,116.0,11.333333333333334,115.95591022241076,71.61294180787846,44.342968414532294,18.0,12.0,17.0,1.0,6464.0,1011.0,3180.0,2450.0,134.0,34.666666666666664,64.5711310554221,87.32813535941251,-22.757004303990414,qm,157
20,330,135,20.0,21.0,9.0,0.0,8076.0,1767.0,3960.0,3200.0,76.0,12.666666666666666,106.79354282052441,63.150186868559096,43.643355951965326,9.0,10.0,18.0,1.0,5872.0,980.0,3080.0,2150.0,37.0,39.666666666666664,52.59310872577507,86.03189297843902,-33.43878425266394,qm,195
21,215,155,15.0,14.0,14.0,1.0,6879.0,1574.0,3460.0,2650.0,109.0,25.333333333333332,78.586761015571,74.91988008128128,3.666880934289736,33.0,20.0,10.0,0.0,7156.0,1651.0,4020.0,2350.0,166.0,16.0,77.62744427101508,43.20872010389417,34.418724167120914,qm,60
22,190,115,5.0,16.0,14.0,0.0,6871.0,1416.0,3340.0,2800.0,81.0,25.333333333333332,70.67311269133491,82.40966572833891,-11.736553037003992,9.0,8.0,21.0,1.0,5701.0,1247.0,3180.0,2000.0,76.0,42.333333333333336,38.721539371357004,83.79131143433268,-45.06977206297569,qm,75
23,255,250,21.0,22.0,8.0,0.0,7917.0,1727.0,3820.0,3100.0,142.0,8.666666666666666,97.34374719594045,72.33837769894637,25.005369496994064,9.0,11.0,16.0,2.0,6243.0,1399.0,3160.0,2350.0,128.0,33.333333333333336,68.59165099299533,79.72531717614157,-11.133666183146232,qm,5
