,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,384,329,23.0,19.0,8.0,0.0,6280.0,1219.0,3000.0,2250.0,380.0,16.333333333333332,105.16180419900138,53.82891966335893,51.33288453564245,23.0,19.0,8.0,0.0,6280.0,1219.0,3000.0,2250.0,380.0,16.333333333333332,105.16180419900138,53.82891966335893,51.33288453564245,f,55
1,257,262,23.0,19.0,8.0,0.0,6280.0,1219.0,3000.0,2250.0,380.0,16.333333333333332,105.16180419900138,53.82891966335893,51.33288453564245,23.0,19.0,8.0,0.0,6280.0,1219.0,3000.0,2250.0,380.0,16.333333333333332,105.16180419900138,53.82891966335893,51.33288453564245,f,-5
2,281,445,23.0,19.0,8.0,0.0,6280.0,1219.0,3000.0,2250.0,380.0,16.333333333333332,105.16180419900138,53.82891966335893,51.33288453564245,23.0,19.0,8.0,0.0,6280.0,1219.0,3000.0,2250.0,380.0,16.333333333333332,105.16180419900138,53.82891966335893,51.33288453564245,f,-164
3,310,446,30.0,16.0,11.0,0.0,5719.0,1159.0,3020.0,2100.0,64.0,19.0,87.37681008549846,70.8425176875579,16.534292397940572,30.0,16.0,11.0,0.0,5719.0,1159.0,3020.0,2100.0,64.0,19.0,87.37681008549846,70.8425176875579,16.534292397940572,qf,-136
4,306,445,30.0,16.0,11.0,0.0,5719.0,1159.0,3020.0,2100.0,64.0,19.0,87.37681008549846,70.8425176875579,16.534292397940572,30.0,16.0,11.0,0.0,5719.0,1159.0,3020.0,2100.0,64.0,19.0,87.37681008549846,70.8425176875579,16.534292397940572,qf,-139
5,255,188,35.0,18.0,9.0,0.0,5533.0,1329.0,3240.0,1550.0,63.0,15.666666666666666,81.56098255689487,52.91450732661999,28.646475230274877,35.0,18.0,9.0,0.0,5533.0,1329.0,3240.0,1550.0,63.0,15.666666666666666,81.56098255689487,52.91450732661999,28.646475230274877,qf,67
6,251,185,35.0,18.0,9.0,0.0,5533.0,1329.0,3240.0,1550.0,63.0,15.666666666666666,81.56098255689487,52.91450732661999,28.646475230274877,35.0,18.0,9.0,0.0,5533.0,1329.0,3240.0,1550.0,63.0,15.666666666666666,81.56098255689487,52.91450732661999,28.646475230274877,qf,66
7,318,346,44.0,15.0,12.0,0.0,6012.0,1434.0,3220.0,2150.0,142.0,22.333333333333332,88.15088176129007,75.28752100014033,12.863360761149712,44.0,15.0,12.0,0.0,6012.0,1434.0,3220.0,2150.0,142.0,22.333333333333332,88.15088176129007,75.28752100014033,12.863360761149712,qf,-28
8,254,358,44.0,15.0,12.0,0.0,6012.0,1434.0,3220.0,2150.0,142.0,22.333333333333332,88.15088176129007,75.28752100014033,12.863360761149712,44.0,15.0,12.0,0.0,6012.0,1434.0,3220.0,2150.0,142.0,22.333333333333332,88.15088176129007,75.28752100014033,12.863360761149712,qf,-104
9,205,235,25.0,17.0,9.0,1.0,5176.0,1131.0,2960.0,1500.0,141.0,15.0,59.87942921711838,52.88868306343962,6.990746153678764,25.0,17.0,9.0,1.0,5176.0,1131.0,2960.0,1500.0,141.0,15.0,59.87942921711838,52.88868306343962,6.990746153678764,qf,-30
10,260,165,25.0,17.0,9.0,1.0,5176.0,1131.0,2960.0,1500.0,141.0,15.0,59.87942921711838,52.88868306343962,6.990746153678764,25.0,17.0,9.0,1.0,5176.0,1131.0,2960.0,1500.0,141.0,15.0,59.87942921711838,52.88868306343962,6.990746153678764,qf,95
11,170,195,25.0,17.0,9.0,1.0,5176.0,1131.0,2960.0,1500.0,141.0,15.0,59.87942921711838,52.88868306343962,6.990746153678764,25.0,17.0,9.0,1.0,5176.0,1131.0,2960.0,1500.0,141.0,15.0,59.87942921711838,52.88868306343962,6.990746153678764,qf,-25
12,217,90,35.0,18.0,9.0,0.0,5494.0,900.0,2920.0,1700.0,144.0,20.333333333333332,65.7480154953724,54.54950653823357,11.198508957138836,35.0,18.0,9.0,0.0,5494.0,900.0,2920.0,1700.0,144.0,20.333333333333332,65.7480154953724,54.54950653823357,11.198508957138836,qm,127
13,173,145,19.0,17.0,10.0,0.0,5467.0,1163.0,3000.0,1650.0,132.0,22.0,77.30106495462839,61.25272408513221,16.048340869496176,19.0,17.0,10.0,0.0,5467.0,1163.0,3000.0,1650.0,132.0,22.0,77.30106495462839,61.25272408513221,16.048340869496176,qm,28
14,135,45,23.0,16.0,11.0,0.0,5039.0,1034.0,2980.0,1450.0,64.0,25.666666666666668,60.10336373121057,51.11761510649237,8.9857486247182,23.0,16.0,11.0,0.0,5039.0,1034.0,2980.0,1450.0,64.0,25.666666666666668,60.10336373121057,51.11761510649237,8.9857486247182,qm,90
15,255,105,22.0,13.0,14.0,0.0,5833.0,1343.0,3160.0,2150.0,43.0,29.0,90.02098869637139,52.658069368228034,37.362919328143356,22.0,13.0,14.0,0.0,5833.0,1343.0,3160.0,2150.0,43.0,29.0,90.02098869637139,52.658069368228034,37.362919328143356,qm,150
16,269,120,38.0,18.0,9.0,0.0,5884.0,1074.0,2880.0,2100.0,329.0,15.333333333333334,84.74436704377632,51.489490267880164,33.25487677589617,38.0,18.0,9.0,0.0,5884.0,1074.0,2880.0,2100.0,329.0,15.333333333333334,84.74436704377632,51.489490267880164,33.25487677589617,qm,149
17,85,170,19.0,7.0,19.0,1.0,3975.0,873.0,2460.0,1000.0,100.0,51.0,37.57515682859184,68.96461595838697,-31.389459129795146,19.0,7.0,19.0,1.0,3975.0,873.0,2460.0,1000.0,100.0,51.0,37.57515682859184,68.96461595838697,-31.389459129795146,qm,-85
18,145,110,38.0,20.0,7.0,0.0,5989.0,1045.0,3000.0,2050.0,229.0,14.0,84.00984164796705,48.72849235904594,35.28134928892112,38.0,20.0,7.0,0.0,5989.0,1045.0,3000.0,2050.0,229.0,14.0,84.00984164796705,48.72849235904594,35.28134928892112,qm,35
19,252,150,23.0,14.0,12.0,1.0,5441.0,999.0,2900.0,1800.0,281.0,24.666666666666668,76.83833558541704,57.431470965958916,19.40686461945812,23.0,14.0,12.0,1.0,5441.0,999.0,2900.0,1800.0,281.0,24.666666666666668,76.83833558541704,57.431470965958916,19.40686461945812,qm,102
