,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,357,305,35.0,16.0,10.0,0.0,4972.0,710.0,2440.0,1700.0,387.0,14.666666666666666,74.65540592624428,70.90019948015933,3.7552064460849572,35.0,16.0,10.0,0.0,4972.0,710.0,2440.0,1700.0,387.0,14.666666666666666,74.65540592624428,70.90019948015933,3.7552064460849572,f,52
1,361,255,35.0,16.0,10.0,0.0,4972.0,710.0,2440.0,1700.0,387.0,14.666666666666666,74.65540592624428,70.90019948015933,3.7552064460849572,35.0,16.0,10.0,0.0,4972.0,710.0,2440.0,1700.0,387.0,14.666666666666666,74.65540592624428,70.90019948015933,3.7552064460849572,f,106
2,209,285,13.0,15.0,11.0,0.0,4310.0,626.0,2300.0,1500.0,65.0,19.0,59.51258374405766,52.002900126706514,7.509683617351153,13.0,15.0,11.0,0.0,4310.0,626.0,2300.0,1500.0,65.0,19.0,59.51258374405766,52.002900126706514,7.509683617351153,qf,-76
3,255,195,13.0,15.0,11.0,0.0,4310.0,626.0,2300.0,1500.0,65.0,19.0,59.51258374405766,52.002900126706514,7.509683617351153,13.0,15.0,11.0,0.0,4310.0,626.0,2300.0,1500.0,65.0,19.0,59.51258374405766,52.002900126706514,7.509683617351153,qf,60
4,305,305,13.0,15.0,11.0,0.0,4310.0,626.0,2300.0,1500.0,65.0,19.0,59.51258374405766,52.002900126706514,7.509683617351153,13.0,15.0,11.0,0.0,4310.0,626.0,2300.0,1500.0,65.0,19.0,59.51258374405766,52.002900126706514,7.509683617351153,qf,0
5,290,285,13.0,15.0,11.0,0.0,4310.0,626.0,2300.0,1500.0,65.0,19.0,59.51258374405766,52.002900126706514,7.509683617351153,13.0,15.0,11.0,0.0,4310.0,626.0,2300.0,1500.0,65.0,19.0,59.51258374405766,52.002900126706514,7.509683617351153,qf,5
6,285,330,16.0,13.0,13.0,1.0,4724.0,722.0,2560.0,1600.0,59.0,26.0,72.69955747059362,60.8578802803333,11.841677190260318,16.0,13.0,13.0,1.0,4724.0,722.0,2560.0,1600.0,59.0,26.0,72.69955747059362,60.8578802803333,11.841677190260318,qf,-45
7,305,0,16.0,13.0,13.0,1.0,4724.0,722.0,2560.0,1600.0,59.0,26.0,72.69955747059362,60.8578802803333,11.841677190260318,16.0,13.0,13.0,1.0,4724.0,722.0,2560.0,1600.0,59.0,26.0,72.69955747059362,60.8578802803333,11.841677190260318,qf,305
8,232,305,16.0,13.0,13.0,1.0,4724.0,722.0,2560.0,1600.0,59.0,26.0,72.69955747059362,60.8578802803333,11.841677190260318,16.0,13.0,13.0,1.0,4724.0,722.0,2560.0,1600.0,59.0,26.0,72.69955747059362,60.8578802803333,11.841677190260318,qf,-73
9,115,288,22.0,14.0,11.0,1.0,4814.0,884.0,2520.0,1750.0,44.0,18.333333333333332,65.41227493035655,57.445370804164476,7.966904126192072,22.0,14.0,11.0,1.0,4814.0,884.0,2520.0,1750.0,44.0,18.333333333333332,65.41227493035655,57.445370804164476,7.966904126192072,qf,-173
10,305,352,22.0,14.0,11.0,1.0,4814.0,884.0,2520.0,1750.0,44.0,18.333333333333332,65.41227493035655,57.445370804164476,7.966904126192072,22.0,14.0,11.0,1.0,4814.0,884.0,2520.0,1750.0,44.0,18.333333333333332,65.41227493035655,57.445370804164476,7.966904126192072,qf,-47
11,254,359,22.0,15.0,12.0,0.0,4225.0,441.0,2360.0,1350.0,105.0,21.0,45.307960869511454,46.27114809798791,-0.9631872284764545,22.0,15.0,12.0,0.0,4225.0,441.0,2360.0,1350.0,105.0,21.0,45.307960869511454,46.27114809798791,-0.9631872284764545,qf,-105
12,250,296,22.0,15.0,12.0,0.0,4225.0,441.0,2360.0,1350.0,105.0,21.0,45.307960869511454,46.27114809798791,-0.9631872284764545,22.0,15.0,12.0,0.0,4225.0,441.0,2360.0,1350.0,105.0,21.0,45.307960869511454,46.27114809798791,-0.9631872284764545,qf,-46
13,160,165,24.0,12.0,13.0,1.0,4755.0,1018.0,2640.0,1600.0,30.0,23.666666666666668,69.22613324698128,62.83115625745094,6.394976989530332,24.0,12.0,13.0,1.0,4755.0,1018.0,2640.0,1600.0,30.0,23.666666666666668,69.22613324698128,62.83115625745094,6.394976989530332,qm,-5
14,140,90,10.0,11.0,15.0,1.0,4339.0,409.0,2400.0,1450.0,44.0,31.666666666666668,52.44091196452573,51.322390820334675,1.118521144191061,10.0,11.0,15.0,1.0,4339.0,409.0,2400.0,1450.0,44.0,31.666666666666668,52.44091196452573,51.322390820334675,1.118521144191061,qm,50
15,190,212,16.0,11.0,15.0,1.0,4585.0,590.0,2280.0,1600.0,85.0,24.333333333333332,60.63729833484212,65.75412118976898,-5.116822854926862,16.0,11.0,15.0,1.0,4585.0,590.0,2280.0,1600.0,85.0,24.333333333333332,60.63729833484212,65.75412118976898,-5.116822854926862,qm,-22
16,76,80,12.0,16.0,11.0,0.0,4484.0,370.0,1880.0,1900.0,134.0,17.333333333333332,47.413123335145684,48.22047879712631,-0.8073554619806345,12.0,16.0,11.0,0.0,4484.0,370.0,1880.0,1900.0,134.0,17.333333333333332,47.413123335145684,48.22047879712631,-0.8073554619806345,qm,-4
17,140,143,29.0,11.0,15.0,0.0,4486.0,607.0,2340.0,1650.0,56.0,30.0,55.3873992564531,52.11449259986673,3.272906656586374,29.0,11.0,15.0,0.0,4486.0,607.0,2340.0,1650.0,56.0,30.0,55.3873992564531,52.11449259986673,3.272906656586374,qm,-3
