,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,523,518,32.0,19.0,11.0,0.0,10175.0,2402.0,4920.0,3850.0,680.0,8.0,134.4140817777916,94.96672438861692,39.44735738917468,32.0,19.0,11.0,0.0,10175.0,2402.0,4920.0,3850.0,680.0,8.0,134.4140817777916,94.96672438861692,39.44735738917468,f,5
1,538,320,32.0,19.0,11.0,0.0,10175.0,2402.0,4920.0,3850.0,680.0,8.0,134.4140817777916,94.96672438861692,39.44735738917468,32.0,19.0,11.0,0.0,10175.0,2402.0,4920.0,3850.0,680.0,8.0,134.4140817777916,94.96672438861692,39.44735738917468,f,218
2,451,479,36.0,19.0,11.0,0.0,9445.0,2002.0,4800.0,3600.0,210.0,24.0,110.08722732651951,76.9782594907907,33.10896783572881,36.0,19.0,11.0,0.0,9445.0,2002.0,4800.0,3600.0,210.0,24.0,110.08722732651951,76.9782594907907,33.10896783572881,qf,-28
3,291,476,36.0,19.0,11.0,0.0,9445.0,2002.0,4800.0,3600.0,210.0,24.0,110.08722732651951,76.9782594907907,33.10896783572881,36.0,19.0,11.0,0.0,9445.0,2002.0,4800.0,3600.0,210.0,24.0,110.08722732651951,76.9782594907907,33.10896783572881,qf,-185
4,493,445,55.0,16.0,13.0,1.0,9725.0,1959.0,4700.0,3600.0,655.0,19.333333333333332,123.87324773009043,107.22627196077231,16.6469757693181,55.0,16.0,13.0,1.0,9725.0,1959.0,4700.0,3600.0,655.0,19.333333333333332,123.87324773009043,107.22627196077231,16.6469757693181,qf,48
5,465,417,55.0,16.0,13.0,1.0,9725.0,1959.0,4700.0,3600.0,655.0,19.333333333333332,123.87324773009043,107.22627196077231,16.6469757693181,55.0,16.0,13.0,1.0,9725.0,1959.0,4700.0,3600.0,655.0,19.333333333333332,123.87324773009043,107.22627196077231,16.6469757693181,qf,48
6,428,425,13.0,17.0,13.0,0.0,9626.0,1962.0,4880.0,3750.0,316.0,21.0,118.49122383776933,105.23383508586436,13.257388751904989,13.0,17.0,13.0,0.0,9626.0,1962.0,4880.0,3750.0,316.0,21.0,118.49122383776933,105.23383508586436,13.257388751904989,qf,3
7,305,483,14.0,16.0,14.0,0.0,9686.0,2187.0,4980.0,3850.0,196.0,27.333333333333332,126.15101889043098,106.24458979528133,19.906429095149665,14.0,16.0,14.0,0.0,9686.0,2187.0,4980.0,3850.0,196.0,27.333333333333332,126.15101889043098,106.24458979528133,19.906429095149665,qf,-178
8,247,472,13.0,17.0,13.0,0.0,9626.0,1962.0,4880.0,3750.0,316.0,21.0,118.49122383776933,105.23383508586436,13.257388751904989,13.0,17.0,13.0,0.0,9626.0,1962.0,4880.0,3750.0,316.0,21.0,118.49122383776933,105.23383508586436,13.257388751904989,qf,-225
9,454,530,21.0,19.0,11.0,0.0,9835.0,1929.0,4940.0,4000.0,255.0,15.333333333333334,123.28243791987052,84.61043539584773,38.672002524022794,21.0,19.0,11.0,0.0,9835.0,1929.0,4940.0,4000.0,255.0,15.333333333333334,123.28243791987052,84.61043539584773,38.672002524022794,qf,-76
10,433,541,21.0,19.0,11.0,0.0,9835.0,1929.0,4940.0,4000.0,255.0,15.333333333333334,123.28243791987052,84.61043539584773,38.672002524022794,21.0,19.0,11.0,0.0,9835.0,1929.0,4940.0,4000.0,255.0,15.333333333333334,123.28243791987052,84.61043539584773,38.672002524022794,qf,-108
11,311,180,6.0,13.0,17.0,0.0,9075.0,2214.0,4660.0,3600.0,235.0,48.0,106.50978828621278,97.62700916249061,8.882779123722173,6.0,13.0,17.0,0.0,9075.0,2214.0,4660.0,3600.0,235.0,48.0,106.50978828621278,97.62700916249061,8.882779123722173,qm,131
12,280,265,25.0,22.0,8.0,0.0,9369.0,1876.0,4640.0,3500.0,184.0,21.333333333333332,102.48581389276431,86.78905610552444,15.69675778723987,25.0,22.0,8.0,0.0,9369.0,1876.0,4640.0,3500.0,184.0,21.333333333333332,102.48581389276431,86.78905610552444,15.69675778723987,qm,15
13,231,307,8.0,14.0,16.0,0.0,8870.0,1769.0,4800.0,3150.0,225.0,36.666666666666664,93.6959553221862,98.605796124507,-4.909840802320811,8.0,14.0,16.0,0.0,8870.0,1769.0,4800.0,3150.0,225.0,36.666666666666664,93.6959553221862,98.605796124507,-4.909840802320811,qm,-76
14,357,379,32.0,13.0,17.0,0.0,9190.0,1841.0,4820.0,3350.0,385.0,32.333333333333336,99.80689317066849,108.87541785503014,-9.06852468436164,32.0,13.0,17.0,0.0,9190.0,1841.0,4820.0,3350.0,385.0,32.333333333333336,99.80689317066849,108.87541785503014,-9.06852468436164,qm,-22
15,361,335,25.0,18.0,12.0,0.0,9611.0,2064.0,4540.0,3550.0,821.0,17.666666666666668,115.06299081197152,103.59189782670326,11.471092985268243,25.0,18.0,12.0,0.0,9611.0,2064.0,4540.0,3550.0,821.0,17.666666666666668,115.06299081197152,103.59189782670326,11.471092985268243,qm,26
16,270,265,17.0,19.0,11.0,0.0,9378.0,2265.0,4640.0,3850.0,178.0,27.666666666666668,97.46044952336803,89.95221290097106,7.508236622396969,17.0,19.0,11.0,0.0,9378.0,2265.0,4640.0,3850.0,178.0,27.666666666666668,97.46044952336803,89.95221290097106,7.508236622396969,qm,5
17,320,347,31.0,11.0,18.0,1.0,9340.0,1958.0,4700.0,3750.0,240.0,46.0,107.03104210625094,111.83553706553958,-4.804494959288637,31.0,11.0,18.0,1.0,9340.0,1958.0,4700.0,3750.0,240.0,46.0,107.03104210625094,111.83553706553958,-4.804494959288637,qm,-27
18,447,233,26.0,23.0,7.0,0.0,10226.0,2313.0,5040.0,3850.0,276.0,6.0,130.76606978444386,81.05940699685365,49.7066627875902,26.0,23.0,7.0,0.0,10226.0,2313.0,5040.0,3850.0,276.0,6.0,130.76606978444386,81.05940699685365,49.7066627875902,qm,214
19,258,320,6.0,6.0,23.0,0.0,8035.0,1710.0,4300.0,3100.0,65.0,66.0,77.35097037967293,115.15301833948091,-37.80204795980797,6.0,6.0,23.0,0.0,8035.0,1710.0,4300.0,3100.0,65.0,66.0,77.35097037967293,115.15301833948091,-37.80204795980797,qm,-62
20,217,384,45.0,13.0,17.0,0.0,8995.0,1842.0,4600.0,3500.0,250.0,46.666666666666664,94.76536689479254,114.11172777705356,-19.346360882261035,45.0,13.0,17.0,0.0,8995.0,1842.0,4600.0,3500.0,250.0,46.666666666666664,94.76536689479254,114.11172777705356,-19.346360882261035,qm,-167
21,310,260,19.0,18.0,12.0,0.0,9452.0,1842.0,4880.0,3650.0,317.0,16.333333333333332,110.02208191603256,99.53182288741408,10.490259028618476,19.0,18.0,12.0,0.0,9452.0,1842.0,4880.0,3650.0,317.0,16.333333333333332,110.02208191603256,99.53182288741408,10.490259028618476,qm,50
22,350,310,35.0,23.0,7.0,0.0,9605.0,1925.0,4620.0,3900.0,265.0,15.666666666666666,105.10133149749106,102.94146503202488,2.1598664654661897,35.0,23.0,7.0,0.0,9605.0,1925.0,4620.0,3900.0,265.0,15.666666666666666,105.10133149749106,102.94146503202488,2.1598664654661897,qm,40
23,345,352,20.0,16.0,14.0,0.0,9844.0,2105.0,4960.0,4050.0,189.0,27.666666666666668,119.22661324951912,105.33473686717893,13.891876382340195,20.0,16.0,14.0,0.0,9844.0,2105.0,4960.0,4050.0,189.0,27.666666666666668,119.22661324951912,105.33473686717893,13.891876382340195,qm,-7
24,386,331,35.0,15.0,14.0,1.0,9549.0,2178.0,4760.0,3650.0,609.0,25.0,106.56091840546476,99.51816071049382,7.042757694970945,35.0,15.0,14.0,1.0,9549.0,2178.0,4760.0,3650.0,609.0,25.0,106.56091840546476,99.51816071049382,7.042757694970945,qm,55
