,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,519,415,28.0,18.0,11.0,1.0,9972.0,2104.0,4520.0,3900.0,902.0,13.666666666666666,134.64045434036066,95.72471228796758,38.91574205239308,28.0,18.0,11.0,1.0,9972.0,2104.0,4520.0,3900.0,902.0,13.666666666666666,134.64045434036066,95.72471228796758,38.91574205239308,f,104
1,375,377,28.0,18.0,11.0,1.0,9972.0,2104.0,4520.0,3900.0,902.0,13.666666666666666,134.64045434036066,95.72471228796758,38.91574205239308,28.0,18.0,11.0,1.0,9972.0,2104.0,4520.0,3900.0,902.0,13.666666666666666,134.64045434036066,95.72471228796758,38.91574205239308,f,-2
2,509,388,25.0,14.0,14.0,2.0,9921.0,2232.0,4480.0,3850.0,961.0,20.666666666666668,137.27646185546243,109.67377382258867,27.60268803287374,25.0,14.0,14.0,2.0,9921.0,2232.0,4480.0,3850.0,961.0,20.666666666666668,137.27646185546243,109.67377382258867,27.60268803287374,f,121
3,445,506,26.0,18.0,10.0,2.0,9418.0,2030.0,4440.0,3800.0,488.0,19.0,106.76338977926207,86.78875847899559,19.974631300266495,26.0,18.0,10.0,2.0,9418.0,2030.0,4440.0,3800.0,488.0,19.0,106.76338977926207,86.78875847899559,19.974631300266495,qf,-61
4,395,354,26.0,18.0,10.0,2.0,9418.0,2030.0,4440.0,3800.0,488.0,19.0,106.76338977926207,86.78875847899559,19.974631300266495,26.0,18.0,10.0,2.0,9418.0,2030.0,4440.0,3800.0,488.0,19.0,106.76338977926207,86.78875847899559,19.974631300266495,qf,41
5,255,541,26.0,18.0,10.0,2.0,9418.0,2030.0,4440.0,3800.0,488.0,19.0,106.76338977926207,86.78875847899559,19.974631300266495,26.0,18.0,10.0,2.0,9418.0,2030.0,4440.0,3800.0,488.0,19.0,106.76338977926207,86.78875847899559,19.974631300266495,qf,-286
6,410,445,35.0,19.0,11.0,0.0,9263.0,1505.0,4440.0,3750.0,418.0,21.666666666666668,110.56794029947253,94.55659866296332,16.011341636509183,35.0,19.0,11.0,0.0,9263.0,1505.0,4440.0,3750.0,418.0,21.666666666666668,110.56794029947253,94.55659866296332,16.011341636509183,qf,-35
7,419,472,35.0,19.0,11.0,0.0,9263.0,1505.0,4440.0,3750.0,418.0,21.666666666666668,110.56794029947253,94.55659866296332,16.011341636509183,35.0,19.0,11.0,0.0,9263.0,1505.0,4440.0,3750.0,418.0,21.666666666666668,110.56794029947253,94.55659866296332,16.011341636509183,qf,-53
8,310,404,27.0,19.0,9.0,2.0,9619.0,2155.0,4620.0,3850.0,429.0,13.0,124.3014439478165,90.43285629834662,33.86858764946987,27.0,19.0,9.0,2.0,9619.0,2155.0,4620.0,3850.0,429.0,13.0,124.3014439478165,90.43285629834662,33.86858764946987,qf,-94
9,396,542,27.0,19.0,9.0,2.0,9619.0,2155.0,4620.0,3850.0,429.0,13.0,124.3014439478165,90.43285629834662,33.86858764946987,27.0,19.0,9.0,2.0,9619.0,2155.0,4620.0,3850.0,429.0,13.0,124.3014439478165,90.43285629834662,33.86858764946987,qf,-146
10,396,218,33.0,19.0,10.0,1.0,9510.0,2212.0,4840.0,3500.0,305.0,15.0,119.17604705652644,87.14974035600727,32.026306700519164,33.0,19.0,10.0,1.0,9510.0,2212.0,4840.0,3500.0,305.0,15.0,119.17604705652644,87.14974035600727,32.026306700519164,qf,178
11,477,471,33.0,19.0,10.0,1.0,9510.0,2212.0,4840.0,3500.0,305.0,15.0,119.17604705652644,87.14974035600727,32.026306700519164,33.0,19.0,10.0,1.0,9510.0,2212.0,4840.0,3500.0,305.0,15.0,119.17604705652644,87.14974035600727,32.026306700519164,qf,6
