,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,296,290,22.0,17.0,7.0,0.0,4656.0,617.0,2380.0,1750.0,71.0,10.666666666666666,67.10986394306217,42.044674934589786,25.065189008472373,19.0,13.0,9.0,0.0,4411.0,786.0,2280.0,1600.0,36.0,25.0,82.73445869157004,61.72420678416253,21.01025190740751,f,6
1,307,305,22.0,17.0,7.0,0.0,4656.0,617.0,2380.0,1750.0,71.0,10.666666666666666,67.10986394306217,42.044674934589786,25.065189008472373,19.0,13.0,9.0,0.0,4411.0,786.0,2280.0,1600.0,36.0,25.0,82.73445869157004,61.72420678416253,21.01025190740751,f,2
2,235,205,19.0,13.0,9.0,0.0,4411.0,786.0,2280.0,1600.0,36.0,25.0,82.73445869157004,61.72420678416253,21.01025190740751,24.0,19.0,4.0,1.0,5020.0,1069.0,2780.0,1600.0,25.0,6.333333333333333,91.28698619692135,48.472184411919265,42.81480178500207,qf,30
3,205,255,19.0,13.0,9.0,0.0,4411.0,786.0,2280.0,1600.0,36.0,25.0,82.73445869157004,61.72420678416253,21.01025190740751,24.0,19.0,4.0,1.0,5020.0,1069.0,2780.0,1600.0,25.0,6.333333333333333,91.28698619692135,48.472184411919265,42.81480178500207,qf,-50
4,305,255,19.0,13.0,9.0,0.0,4411.0,786.0,2280.0,1600.0,36.0,25.0,82.73445869157004,61.72420678416253,21.01025190740751,24.0,19.0,4.0,1.0,5020.0,1069.0,2780.0,1600.0,25.0,6.333333333333333,91.28698619692135,48.472184411919265,42.81480178500207,qf,50
5,255,258,14.0,16.0,7.0,1.0,4515.0,736.0,2340.0,1450.0,40.0,12.0,68.14446334572885,40.53389393654019,27.610569409188667,35.0,12.0,11.0,1.0,4520.0,659.0,2320.0,1550.0,110.0,30.0,67.74431519435966,53.79261166240254,13.951703531957117,qf,-3
6,220,163,14.0,16.0,7.0,1.0,4515.0,736.0,2340.0,1450.0,40.0,12.0,68.14446334572885,40.53389393654019,27.610569409188667,35.0,12.0,11.0,1.0,4520.0,659.0,2320.0,1550.0,110.0,30.0,67.74431519435966,53.79261166240254,13.951703531957117,qf,57
7,195,288,14.0,16.0,7.0,1.0,4515.0,736.0,2340.0,1450.0,40.0,12.0,68.14446334572885,40.53389393654019,27.610569409188667,35.0,12.0,11.0,1.0,4520.0,659.0,2320.0,1550.0,110.0,30.0,67.74431519435966,53.79261166240254,13.951703531957117,qf,-93
8,305,310,14.0,14.0,7.0,2.0,4459.0,806.0,2240.0,1450.0,39.0,15.0,75.55643984229073,51.61360586320679,23.94283397908394,22.0,17.0,7.0,0.0,4656.0,617.0,2380.0,1750.0,71.0,10.666666666666666,67.10986394306217,42.044674934589786,25.065189008472373,qf,-5
9,196,270,14.0,14.0,7.0,2.0,4459.0,806.0,2240.0,1450.0,39.0,15.0,75.55643984229073,51.61360586320679,23.94283397908394,22.0,17.0,7.0,0.0,4656.0,617.0,2380.0,1750.0,71.0,10.666666666666666,67.10986394306217,42.044674934589786,25.065189008472373,qf,-74
10,145,206,25.0,9.0,12.0,2.0,3802.0,515.0,1920.0,1350.0,42.0,38.0,47.90688371950146,80.71359016436112,-32.80670644485967,20.0,12.0,9.0,3.0,4770.0,926.0,2480.0,1800.0,25.0,24.333333333333332,88.72220399948247,62.44037699882052,26.28182700066196,qf,-61
11,145,231,25.0,9.0,12.0,2.0,3802.0,515.0,1920.0,1350.0,42.0,38.0,47.90688371950146,80.71359016436112,-32.80670644485967,20.0,12.0,9.0,3.0,4770.0,926.0,2480.0,1800.0,25.0,24.333333333333332,88.72220399948247,62.44037699882052,26.28182700066196,qf,-86
12,205,154,11.0,14.0,7.0,2.0,4238.0,822.0,2260.0,1450.0,48.0,22.666666666666668,51.85977723656871,52.11792791392653,-0.2581506773578184,37.0,11.0,11.0,1.0,4411.0,863.0,2180.0,1600.0,141.0,30.0,73.7129553150685,61.971702582725676,11.741252732342822,qm,51
13,190,46,32.0,12.0,12.0,0.0,4123.0,656.0,2200.0,1300.0,8.0,31.0,60.989749849737144,30.830993337712655,30.1587565120245,21.0,10.0,13.0,1.0,3680.0,459.0,1900.0,1300.0,50.0,39.666666666666664,46.461289251001354,56.604923056131234,-10.143633805129875,qm,144
14,140,190,25.0,10.0,13.0,1.0,3760.0,744.0,2260.0,1000.0,10.0,36.333333333333336,53.83687984609188,60.24564553430411,-6.408765688212225,14.0,15.0,8.0,1.0,4310.0,631.0,2200.0,1650.0,10.0,23.333333333333332,68.64807506077398,39.642908743035264,29.005166317738723,qm,-50
15,53,155,8.0,11.0,11.0,2.0,4007.0,598.0,2140.0,1250.0,37.0,34.666666666666664,42.24143218978724,54.85041725278462,-12.608985062997382,16.0,14.0,9.0,0.0,4036.0,666.0,1920.0,1550.0,6.0,25.333333333333332,51.34967049048436,42.24261872900991,9.10705176147445,qm,-102
16,255,225,20.0,9.0,12.0,1.0,4141.0,939.0,2340.0,1250.0,41.0,42.666666666666664,73.89916059643566,69.86187407879041,4.037286517645252,12.0,9.0,13.0,1.0,3591.0,564.0,1980.0,1300.0,6.0,45.666666666666664,49.905593669617396,78.56996828758327,-28.664374617965866,qm,30
17,212,140,27.0,11.0,12.0,1.0,4431.0,872.0,2340.0,1600.0,26.0,34.333333333333336,70.05840600886846,55.56688284746908,14.491523161399384,6.0,12.0,11.0,0.0,3905.0,449.0,1940.0,1500.0,10.0,28.666666666666668,50.19085511288758,58.97336775997383,-8.782512647086257,qm,72
18,205,204,11.0,12.0,9.0,2.0,4153.0,903.0,2280.0,1350.0,28.0,30.666666666666668,67.85307642803377,63.1546111119115,4.698465316122269,16.0,10.0,12.0,2.0,4537.0,786.0,2180.0,1750.0,42.0,35.333333333333336,74.5585916503966,64.13937265413766,10.41921899625894,qm,1
19,100,200,15.0,10.0,12.0,0.0,3357.0,500.0,1760.0,1200.0,2.0,43.333333333333336,42.61680094699165,50.0753945626482,-7.458593615656551,18.0,13.0,9.0,1.0,4466.0,726.0,2340.0,1500.0,16.0,23.666666666666668,77.34555215319243,41.23029958880949,36.115252564382935,qm,-100
20,171,90,38.0,18.0,6.0,0.0,4805.0,759.0,2380.0,1700.0,170.0,8.333333333333334,78.90644850143156,43.85470638362137,35.05174211781019,6.0,9.0,13.0,1.0,3771.0,599.0,2340.0,1000.0,11.0,40.666666666666664,47.53163301072451,66.41113929451768,-18.87950628379317,qm,81
21,200,55,27.0,10.0,12.0,2.0,4015.0,593.0,2140.0,1450.0,10.0,37.666666666666664,54.48986745982533,48.360388003443425,6.129479456381904,10.0,10.0,12.0,2.0,3585.0,510.0,1960.0,1150.0,0.0,40.0,38.5311045210758,52.031299352770965,-13.500194831695168,qm,145
22,143,165,13.0,10.0,14.0,0.0,3564.0,492.0,1860.0,1350.0,54.0,41.333333333333336,45.078874334755085,49.171360454236996,-4.092486119481916,16.0,13.0,10.0,1.0,4125.0,908.0,2320.0,1250.0,20.0,26.333333333333332,52.96018875656623,56.75804841634027,-3.7978596597740357,qm,-22
23,180,130,9.0,16.0,8.0,0.0,4276.0,608.0,2380.0,1300.0,21.0,15.333333333333334,58.752851398407586,37.89270683553103,20.860144562876567,21.0,12.0,10.0,1.0,3845.0,675.0,2060.0,1350.0,5.0,33.333333333333336,57.76007363755917,68.33749656589127,-10.577422928332105,qm,50
24,125,225,41.0,6.0,18.0,0.0,3664.0,470.0,1980.0,900.0,24.0,53.0,49.60753236292237,80.19386884849892,-30.586336485576542,30.0,16.0,6.0,2.0,4761.0,554.0,2420.0,1800.0,11.0,13.333333333333334,84.15241388987349,53.860797792136424,30.291616097737062,qm,-100
25,280,165,18.0,13.0,10.0,1.0,4268.0,1014.0,2520.0,1150.0,28.0,31.666666666666668,62.94637970704776,55.26567435431769,7.680705352730075,13.0,9.0,12.0,2.0,4051.0,674.0,2040.0,1400.0,36.0,36.333333333333336,54.75809138130058,71.37418570105842,-16.61609431975783,qm,115
26,75,145,23.0,7.0,17.0,0.0,3501.0,539.0,1880.0,1000.0,21.0,47.333333333333336,32.209929920304226,61.511469423120424,-29.3015395028162,12.0,15.0,7.0,2.0,3956.0,638.0,2260.0,1000.0,16.0,16.666666666666668,53.433396889762314,37.167255102969015,16.2661417867933,qm,-70
27,106,140,17.0,7.0,15.0,1.0,3923.0,934.0,2340.0,1050.0,23.0,54.333333333333336,50.08608581160209,71.97342643879064,-21.887340627188554,20.0,14.0,10.0,0.0,4022.0,548.0,2080.0,1300.0,42.0,25.0,57.768308885686984,41.44263943862812,16.325669447058868,qm,-34
28,85,188,14.0,8.0,13.0,1.0,3447.0,502.0,1960.0,1150.0,32.0,50.0,45.761418379496575,66.68326786416908,-20.921849484672514,12.0,16.0,6.0,1.0,4630.0,687.0,2440.0,1550.0,60.0,13.333333333333334,73.83888441576293,47.319860658917854,26.51902375684509,qm,-103
29,157,145,10.0,12.0,10.0,1.0,4050.0,630.0,1860.0,1550.0,25.0,33.333333333333336,57.96481880343978,62.156529583519806,-4.19171078008002,18.0,8.0,15.0,1.0,3924.0,673.0,2120.0,1350.0,4.0,46.333333333333336,60.963851838402405,71.69233185716136,-10.728480018758953,qm,12
30,280,141,24.0,16.0,7.0,1.0,4751.0,787.0,2480.0,1850.0,31.0,16.0,74.20268854453299,54.22492456120858,19.97776398332442,13.0,10.0,13.0,1.0,4063.0,795.0,2200.0,1350.0,43.0,39.333333333333336,57.74534721573237,79.69002757243932,-21.944680356706954,qm,139
31,165,145,18.0,13.0,10.0,1.0,4323.0,664.0,2200.0,1450.0,28.0,25.333333333333332,57.74859278326281,52.35211831790707,5.3964744653557375,16.0,10.0,13.0,1.0,4006.0,794.0,2200.0,1300.0,6.0,41.666666666666664,55.728262115855905,34.98427711741545,20.743984998440453,qm,20
32,140,90,11.0,12.0,9.0,3.0,3642.0,727.0,2140.0,1000.0,7.0,28.0,38.740520249679214,45.0762308957282,-6.335710646048991,28.0,9.0,14.0,0.0,3489.0,546.0,1860.0,1150.0,9.0,46.666666666666664,39.123687079601474,56.65600820005775,-17.53232112045627,qm,50
33,175,90,26.0,16.0,8.0,0.0,4611.0,1085.0,2580.0,1350.0,21.0,17.333333333333332,70.70765286935195,51.47706380552285,19.230589063829104,20.0,9.0,14.0,1.0,3669.0,539.0,2200.0,950.0,9.0,41.0,44.94807524673845,47.99845226755962,-3.0503770208211756,qm,85
34,145,95,7.0,10.0,13.0,1.0,3916.0,413.0,2040.0,1450.0,31.0,39.666666666666664,59.86162513191518,62.06830661654383,-2.206681484628658,5.0,10.0,11.0,2.0,4005.0,603.0,1940.0,1550.0,5.0,37.333333333333336,52.83578413177039,70.40543205772072,-17.569647925950346,qm,50
35,210,155,31.0,13.0,11.0,0.0,4803.0,543.0,2320.0,1700.0,38.0,23.0,81.61293689169995,57.52533393437173,24.087602957328215,3.0,10.0,9.0,3.0,3743.0,733.0,2260.0,900.0,23.0,37.333333333333336,54.258833864551995,47.263040252515886,6.995793612036112,qm,55
36,207,100,32.0,12.0,10.0,1.0,4216.0,693.0,1960.0,1600.0,121.0,26.0,68.10001875025172,46.82476435963938,21.27525439061233,23.0,11.0,12.0,0.0,3671.0,565.0,2020.0,1300.0,21.0,39.333333333333336,44.522989768658874,56.22807987277688,-11.705090104118014,qm,107
37,261,61,14.0,15.0,7.0,2.0,4750.0,793.0,2400.0,1650.0,10.0,9.666666666666666,79.75847217545619,46.941966846186055,32.81650532927014,14.0,8.0,15.0,1.0,3336.0,410.0,1720.0,1150.0,16.0,43.0,39.677645171197696,73.16139645671463,-33.48375128551694,qm,200
38,157,155,14.0,11.0,11.0,2.0,3657.0,456.0,1860.0,1350.0,17.0,31.666666666666668,43.27375934059799,59.55635644528616,-16.282597104688175,18.0,7.0,15.0,1.0,3964.0,649.0,2120.0,1400.0,29.0,49.333333333333336,58.09214978072399,83.39690325363308,-25.304753472909095,qm,2
39,195,56,15.0,12.0,9.0,3.0,4262.0,564.0,2200.0,1550.0,12.0,27.333333333333332,66.34539668611744,49.662490418669925,16.682906267447503,16.0,7.0,16.0,0.0,3351.0,788.0,2080.0,850.0,6.0,55.333333333333336,36.612815829145056,67.49163385286086,-30.87881802371581,qm,139
40,170,259,7.0,9.0,14.0,1.0,4124.0,762.0,2020.0,1550.0,24.0,45.333333333333336,59.6884871763877,66.07661636085719,-6.388129184469482,42.0,17.0,7.0,0.0,5085.0,1023.0,2720.0,1500.0,80.0,16.666666666666668,90.85170486723253,61.6557828997573,29.195921967475243,qm,-89
41,185,60,31.0,10.0,13.0,1.0,4119.0,707.0,2340.0,1300.0,9.0,38.333333333333336,63.34434404491148,40.14997753164943,23.194366513262054,11.0,6.0,17.0,0.0,3092.0,517.0,1640.0,1050.0,37.0,58.0,23.369690084019087,67.89329749341144,-44.52360740939235,qm,125
42,90,80,21.0,11.0,11.0,1.0,3718.0,641.0,2000.0,1300.0,18.0,37.666666666666664,46.3875891433965,60.52051151469604,-14.13292237129953,15.0,8.0,14.0,2.0,3403.0,562.0,1960.0,750.0,13.0,45.0,34.51760755765854,48.04462767989327,-13.527020122234731,qm,10
43,222,165,25.0,14.0,9.0,1.0,4520.0,824.0,2320.0,1550.0,110.0,19.666666666666668,74.1694705819208,51.432039204178416,22.737431377742393,17.0,13.0,11.0,0.0,4257.0,787.0,2280.0,1600.0,7.0,29.0,62.895731893644346,62.8117972744177,0.0839346192266414,qm,57
44,195,46,18.0,13.0,10.0,1.0,4307.0,785.0,2120.0,1600.0,22.0,25.333333333333332,66.0422366554658,42.64118051182205,23.40105614364376,12.0,9.0,14.0,1.0,3288.0,481.0,1700.0,1150.0,48.0,47.0,25.380827407009495,58.426731066797366,-33.04590365978786,qm,149
45,150,97,26.0,13.0,10.0,1.0,4084.0,452.0,2100.0,1600.0,9.0,25.333333333333332,59.25709306859648,59.81820480970512,-0.5611117411086374,5.0,7.0,15.0,2.0,3655.0,650.0,2060.0,900.0,35.0,49.666666666666664,36.46638961310574,68.89924223927352,-32.43285262616778,qm,53
46,185,85,21.0,13.0,11.0,0.0,4114.0,388.0,2080.0,1450.0,39.0,27.0,57.00247164637233,54.92639999290149,2.076071653470837,19.0,10.0,11.0,1.0,3772.0,537.0,1940.0,1350.0,2.0,37.666666666666664,47.99922242608627,75.29770091739537,-27.2984784913091,qm,100
47,85,245,14.0,8.0,14.0,2.0,3145.0,392.0,1880.0,800.0,5.0,40.333333333333336,25.92824190141917,66.55512907936752,-40.62688717794835,13.0,15.0,8.0,0.0,4686.0,630.0,2100.0,1850.0,21.0,13.666666666666666,81.22151002030947,51.94124524625593,29.280264774053535,qm,-160
48,200,143,18.0,12.0,10.0,0.0,4077.0,697.0,2340.0,1250.0,17.0,31.0,69.1939011279681,49.29626168830355,19.89763943966455,32.0,13.0,11.0,0.0,4471.0,662.0,2320.0,1700.0,41.0,25.0,68.80751818820265,59.096019109850126,9.711499078352517,qm,57
49,180,180,7.0,15.0,5.0,4.0,4719.0,784.0,2600.0,1600.0,14.0,16.0,75.66884327574735,41.34584924403277,34.32299403171458,4.0,8.0,12.0,3.0,3973.0,520.0,2240.0,1150.0,23.0,45.333333333333336,52.0104427901292,65.69961374934236,-13.689170959213165,qm,0
50,202,110,19.0,12.0,9.0,1.0,4179.0,715.0,2060.0,1450.0,54.0,25.666666666666668,71.2756172284577,54.55850356830101,16.71711366015669,19.0,12.0,11.0,1.0,4028.0,987.0,2380.0,1050.0,13.0,30.666666666666668,55.91132945068333,59.10159159538845,-3.190262144705111,qm,92
51,161,145,24.0,12.0,11.0,0.0,3737.0,860.0,2080.0,1250.0,32.0,38.333333333333336,57.68522861806192,61.27565392495989,-3.5904253068979677,23.0,9.0,14.0,1.0,3904.0,673.0,2040.0,1400.0,4.0,46.0,57.75731406711525,51.29315875491412,6.4641553122011315,qm,16
52,170,165,3.0,9.0,14.0,0.0,3549.0,676.0,1820.0,1350.0,4.0,45.666666666666664,47.114908401192956,72.59270121249958,-25.477792811306628,21.0,15.0,9.0,0.0,4163.0,357.0,2060.0,1400.0,38.0,20.0,58.92519005942662,50.151683986270264,8.773506073156357,qm,5
53,190,140,23.0,12.0,12.0,0.0,4046.0,655.0,2080.0,1400.0,26.0,35.333333333333336,56.20421692478609,46.044179628362535,10.160037296423551,27.0,9.0,14.0,1.0,3727.0,600.0,1940.0,1350.0,17.0,42.666666666666664,48.770774933506594,49.91881258291744,-1.1480376494108502,qm,50
54,280,180,15.0,12.0,10.0,0.0,3980.0,456.0,2020.0,1550.0,20.0,28.333333333333332,61.94063323372237,62.41047713490031,-0.4698439011779314,23.0,9.0,15.0,0.0,4035.0,608.0,2180.0,900.0,30.0,40.666666666666664,55.34993370261219,75.28794770227695,-19.93801399966476,qm,100
55,245,242,11.0,13.0,8.0,1.0,4023.0,531.0,2120.0,1250.0,13.0,26.0,59.86800484855154,40.65679604526786,19.21120880328369,22.0,8.0,12.0,1.0,3781.0,764.0,2120.0,1150.0,61.0,44.333333333333336,62.72459738758925,80.6606162561549,-17.93601886856565,qm,3
56,170,207,12.0,13.0,11.0,0.0,4201.0,561.0,2040.0,1550.0,26.0,28.0,62.97255072803289,59.19458113830239,3.7779695897305032,18.0,12.0,9.0,1.0,4447.0,994.0,2560.0,1200.0,47.0,34.333333333333336,83.73901200848927,72.30878382295055,11.430228185538725,qm,-37
57,255,160,26.0,17.0,6.0,1.0,5040.0,864.0,2500.0,1800.0,65.0,7.0,82.53528668905592,51.617753472505626,30.917533216550293,24.0,9.0,14.0,1.0,4065.0,838.0,2260.0,1450.0,15.0,43.666666666666664,56.36378872427693,71.18634794726468,-14.822559222987762,qm,95
58,230,92,10.0,12.0,10.0,2.0,4336.0,780.0,2240.0,1500.0,31.0,28.333333333333332,69.86695022776682,54.70448363818241,15.16246658958441,23.0,7.0,17.0,0.0,3652.0,657.0,2080.0,1050.0,27.0,48.333333333333336,37.97752922325879,80.2644042867651,-42.28687506350631,qm,138
59,100,201,11.0,11.0,11.0,1.0,3882.0,1026.0,2400.0,900.0,12.0,36.666666666666664,46.22505164372833,54.54435482234348,-8.31930317861515,34.0,12.0,11.0,1.0,3932.0,637.0,1980.0,1400.0,112.0,32.333333333333336,52.864169157684756,46.16779941601501,6.696369741669744,qm,-101
60,200,145,13.0,12.0,10.0,2.0,3912.0,636.0,2320.0,1150.0,7.0,30.666666666666668,45.7622955865341,53.78936343799023,-8.02706785145613,22.0,12.0,12.0,0.0,4057.0,614.0,2140.0,1400.0,27.0,32.0,54.631692664327545,39.24573909119666,15.385953573130893,qm,55
