,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,330,354,33.0,20.0,9.0,1.0,7529.0,1934.0,3680.0,2650.0,134.0,6.666666666666667,117.00127787070751,56.06988564438939,60.93139222631812,36.0,23.0,7.0,0.0,7346.0,1338.0,3060.0,2800.0,691.0,8.333333333333334,107.95173629442338,62.614214562443216,45.33752173198017,f,-24
1,255,274,33.0,20.0,9.0,1.0,7529.0,1934.0,3680.0,2650.0,134.0,6.666666666666667,117.00127787070751,56.06988564438939,60.93139222631812,36.0,23.0,7.0,0.0,7346.0,1338.0,3060.0,2800.0,691.0,8.333333333333334,107.95173629442338,62.614214562443216,45.33752173198017,f,-19
2,310,319,3.0,14.0,15.0,1.0,5885.0,592.0,2700.0,2550.0,120.0,20.0,66.71222757683647,65.0989702705164,1.6132573063200628,36.0,23.0,7.0,0.0,7346.0,1338.0,3060.0,2800.0,691.0,8.333333333333334,107.95173629442338,62.614214562443216,45.33752173198017,qf,-9
3,145,366,3.0,14.0,15.0,1.0,5885.0,592.0,2700.0,2550.0,120.0,20.0,66.71222757683647,65.0989702705164,1.6132573063200628,36.0,23.0,7.0,0.0,7346.0,1338.0,3060.0,2800.0,691.0,8.333333333333334,107.95173629442338,62.614214562443216,45.33752173198017,qf,-221
4,305,165,39.0,16.0,14.0,0.0,5922.0,883.0,2780.0,2350.0,102.0,17.333333333333332,77.11733145441093,71.57868158863515,5.538649865775791,19.0,19.0,11.0,0.0,5936.0,1130.0,2940.0,2250.0,106.0,12.0,76.3284991655047,56.43327713418899,19.895222031315708,qf,140
5,305,330,39.0,16.0,14.0,0.0,5922.0,883.0,2780.0,2350.0,102.0,17.333333333333332,77.11733145441093,71.57868158863515,5.538649865775791,19.0,19.0,11.0,0.0,5936.0,1130.0,2940.0,2250.0,106.0,12.0,76.3284991655047,56.43327713418899,19.895222031315708,qf,-25
6,0,330,39.0,16.0,14.0,0.0,5922.0,883.0,2780.0,2350.0,102.0,17.333333333333332,77.11733145441093,71.57868158863515,5.538649865775791,19.0,19.0,11.0,0.0,5936.0,1130.0,2940.0,2250.0,106.0,12.0,76.3284991655047,56.43327713418899,19.895222031315708,qf,-330
7,255,371,4.0,16.0,13.0,1.0,5964.0,1216.0,2880.0,2300.0,109.0,17.0,73.92436487568533,66.73691438224604,7.1874504934392744,33.0,20.0,9.0,1.0,7529.0,1934.0,3680.0,2650.0,134.0,6.666666666666667,117.00127787070751,56.06988564438939,60.93139222631812,qf,-116
8,245,330,4.0,16.0,13.0,1.0,5964.0,1216.0,2880.0,2300.0,109.0,17.0,73.92436487568533,66.73691438224604,7.1874504934392744,33.0,20.0,9.0,1.0,7529.0,1934.0,3680.0,2650.0,134.0,6.666666666666667,117.00127787070751,56.06988564438939,60.93139222631812,qf,-85
9,260,280,13.0,15.0,15.0,0.0,5786.0,987.0,2900.0,2100.0,91.0,21.0,49.678403698563535,63.194855803754855,-13.516452105191327,21.0,17.0,11.0,1.0,6385.0,1361.0,3340.0,2250.0,180.0,11.333333333333334,87.68554838634124,66.33555233840589,21.34999604793535,qf,-20
10,255,290,13.0,15.0,15.0,0.0,5786.0,987.0,2900.0,2100.0,91.0,21.0,49.678403698563535,63.194855803754855,-13.516452105191327,21.0,17.0,11.0,1.0,6385.0,1361.0,3340.0,2250.0,180.0,11.333333333333334,87.68554838634124,66.33555233840589,21.34999604793535,qf,-35
11,235,255,7.0,12.0,18.0,0.0,5559.0,1029.0,3040.0,1800.0,129.0,26.333333333333332,60.86818873657489,54.6005096868222,6.267679049752686,28.0,17.0,12.0,1.0,6687.0,1147.0,3060.0,2700.0,157.0,14.333333333333334,98.80699206324344,82.36848260400934,16.438509459234098,qm,-20
12,287,95,24.0,19.0,11.0,0.0,6851.0,1517.0,3460.0,2350.0,506.0,12.0,91.85492556263877,53.41158580490079,38.44333975773798,27.0,13.0,17.0,0.0,5406.0,919.0,2740.0,1900.0,176.0,23.333333333333332,53.924443945886786,69.83409469345223,-15.909650747565445,qm,192
13,195,145,18.0,17.0,13.0,0.0,5692.0,957.0,2540.0,2450.0,97.0,16.333333333333332,56.26980831931655,66.99934685768717,-10.729538538370619,13.0,15.0,14.0,0.0,5552.0,920.0,2600.0,2150.0,82.0,21.333333333333332,57.936633636388486,74.78742644442548,-16.85079280803698,qm,50
14,90,136,23.0,11.0,19.0,0.0,5157.0,950.0,2900.0,1650.0,27.0,30.666666666666668,38.59925283930692,55.89496702363622,-17.295714184329295,32.0,14.0,15.0,0.0,4948.0,860.0,2700.0,1450.0,128.0,24.333333333333332,51.37893847952832,57.66648426444362,-6.287545784915298,qm,-46
15,277,90,36.0,21.0,9.0,0.0,6891.0,1271.0,3060.0,2450.0,331.0,7.0,93.12078405439497,45.919121325762944,47.20166272863205,16.0,11.0,19.0,0.0,4919.0,667.0,2560.0,1650.0,164.0,30.0,28.728950891658457,65.89642334175676,-37.167472450098295,qm,187
