,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,200,506,32.0,19.0,7.0,1.0,7223.0,1317.0,3620.0,2850.0,53.0,11.333333333333334,106.34456342958562,57.197949884180254,49.14661354540536,32.0,19.0,7.0,1.0,7223.0,1317.0,3620.0,2850.0,53.0,11.333333333333334,106.34456342958562,57.197949884180254,49.14661354540536,f,-306
1,285,522,32.0,19.0,7.0,1.0,7223.0,1317.0,3620.0,2850.0,53.0,11.333333333333334,106.34456342958562,57.197949884180254,49.14661354540536,32.0,19.0,7.0,1.0,7223.0,1317.0,3620.0,2850.0,53.0,11.333333333333334,106.34456342958562,57.197949884180254,49.14661354540536,f,-237
2,255,391,32.0,16.0,11.0,0.0,7037.0,1425.0,3420.0,2700.0,72.0,21.666666666666668,100.64072850127737,101.78868670125519,-1.1479581999778266,32.0,16.0,11.0,0.0,7037.0,1425.0,3420.0,2700.0,72.0,21.666666666666668,100.64072850127737,101.78868670125519,-1.1479581999778266,qf,-136
3,285,507,32.0,16.0,11.0,0.0,7037.0,1425.0,3420.0,2700.0,72.0,21.666666666666668,100.64072850127737,101.78868670125519,-1.1479581999778266,32.0,16.0,11.0,0.0,7037.0,1425.0,3420.0,2700.0,72.0,21.666666666666668,100.64072850127737,101.78868670125519,-1.1479581999778266,qf,-222
4,207,305,40.0,17.0,9.0,1.0,6851.0,1162.0,3400.0,2750.0,111.0,21.0,96.75671658918962,78.82780058894791,17.928916000241713,40.0,17.0,9.0,1.0,6851.0,1162.0,3400.0,2750.0,111.0,21.0,96.75671658918962,78.82780058894791,17.928916000241713,qf,-98
5,297,305,40.0,17.0,9.0,1.0,6851.0,1162.0,3400.0,2750.0,111.0,21.0,96.75671658918962,78.82780058894791,17.928916000241713,40.0,17.0,9.0,1.0,6851.0,1162.0,3400.0,2750.0,111.0,21.0,96.75671658918962,78.82780058894791,17.928916000241713,qf,-8
6,236,370,39.0,15.0,11.0,1.0,7338.0,1330.0,3480.0,2850.0,143.0,16.0,108.09373406044114,89.08041105229317,19.013323008147967,39.0,15.0,11.0,1.0,7338.0,1330.0,3480.0,2850.0,143.0,16.0,108.09373406044114,89.08041105229317,19.013323008147967,qf,-134
7,451,279,39.0,15.0,11.0,1.0,7338.0,1330.0,3480.0,2850.0,143.0,16.0,108.09373406044114,89.08041105229317,19.013323008147967,39.0,15.0,11.0,1.0,7338.0,1330.0,3480.0,2850.0,143.0,16.0,108.09373406044114,89.08041105229317,19.013323008147967,qf,172
8,378,315,39.0,15.0,11.0,1.0,7338.0,1330.0,3480.0,2850.0,143.0,16.0,108.09373406044114,89.08041105229317,19.013323008147967,39.0,15.0,11.0,1.0,7338.0,1330.0,3480.0,2850.0,143.0,16.0,108.09373406044114,89.08041105229317,19.013323008147967,qf,63
9,310,210,44.0,13.0,13.0,1.0,6905.0,1336.0,3580.0,2500.0,140.0,25.666666666666668,91.62901325616883,82.08651142324207,9.542501832926746,44.0,13.0,13.0,1.0,6905.0,1336.0,3580.0,2500.0,140.0,25.666666666666668,91.62901325616883,82.08651142324207,9.542501832926746,qf,100
10,395,445,44.0,13.0,13.0,1.0,6905.0,1336.0,3580.0,2500.0,140.0,25.666666666666668,91.62901325616883,82.08651142324207,9.542501832926746,44.0,13.0,13.0,1.0,6905.0,1336.0,3580.0,2500.0,140.0,25.666666666666668,91.62901325616883,82.08651142324207,9.542501832926746,qf,-50
11,135,430,44.0,13.0,13.0,1.0,6905.0,1336.0,3580.0,2500.0,140.0,25.666666666666668,91.62901325616883,82.08651142324207,9.542501832926746,44.0,13.0,13.0,1.0,6905.0,1336.0,3580.0,2500.0,140.0,25.666666666666668,91.62901325616883,82.08651142324207,9.542501832926746,qf,-295
12,240,235,31.0,17.0,10.0,0.0,6712.0,1213.0,3140.0,2750.0,87.0,21.666666666666668,91.41069942395059,87.9413810088176,3.4693184151329937,31.0,17.0,10.0,0.0,6712.0,1213.0,3140.0,2750.0,87.0,21.666666666666668,91.41069942395059,87.9413810088176,3.4693184151329937,qm,5
13,131,247,30.0,13.0,13.0,1.0,6177.0,1356.0,3180.0,2150.0,92.0,32.666666666666664,66.65515059512374,83.32871922928092,-16.673568634157178,30.0,13.0,13.0,1.0,6177.0,1356.0,3180.0,2150.0,92.0,32.666666666666664,66.65515059512374,83.32871922928092,-16.673568634157178,qm,-116
14,145,275,24.0,10.0,17.0,0.0,6101.0,1006.0,2900.0,2450.0,101.0,44.666666666666664,61.067703607338395,72.19313732103782,-11.12543371369943,24.0,10.0,17.0,0.0,6101.0,1006.0,2900.0,2450.0,101.0,44.666666666666664,61.067703607338395,72.19313732103782,-11.12543371369943,qm,-130
15,285,185,27.0,15.0,11.0,0.0,6430.0,1141.0,3080.0,2550.0,160.0,26.666666666666668,75.03771335285545,74.00271880966055,1.0349945431949052,27.0,15.0,11.0,0.0,6430.0,1141.0,3080.0,2550.0,160.0,26.666666666666668,75.03771335285545,74.00271880966055,1.0349945431949052,qm,100
16,206,330,43.0,10.0,16.0,1.0,6325.0,1261.0,3320.0,2350.0,60.0,42.333333333333336,81.79888948067355,94.75792706992064,-12.959037589247094,43.0,10.0,16.0,1.0,6325.0,1261.0,3320.0,2350.0,60.0,42.333333333333336,81.79888948067355,94.75792706992064,-12.959037589247094,qm,-124
17,285,165,40.0,16.0,11.0,0.0,6913.0,1098.0,3340.0,2900.0,88.0,20.666666666666668,89.61240202406104,71.47542643500036,18.136975589060672,40.0,16.0,11.0,0.0,6913.0,1098.0,3340.0,2900.0,88.0,20.666666666666668,89.61240202406104,71.47542643500036,18.136975589060672,qm,120
18,205,220,57.0,11.0,16.0,0.0,6219.0,1324.0,3180.0,2200.0,99.0,40.666666666666664,78.48996844907329,99.97736003846444,-21.487391589391148,57.0,11.0,16.0,0.0,6219.0,1324.0,3180.0,2200.0,99.0,40.666666666666664,78.48996844907329,99.97736003846444,-21.487391589391148,qm,-15
19,188,333,13.0,14.0,12.0,0.0,6110.0,1260.0,3140.0,2250.0,170.0,29.333333333333332,69.02898820183445,82.8134808833738,-13.78449268153934,13.0,14.0,12.0,0.0,6110.0,1260.0,3140.0,2250.0,170.0,29.333333333333332,69.02898820183445,82.8134808833738,-13.78449268153934,qm,-145
20,310,220,37.0,17.0,10.0,0.0,7117.0,1244.0,3360.0,2700.0,77.0,18.666666666666668,94.57560295290291,82.94704928319362,11.628553669709312,37.0,17.0,10.0,0.0,7117.0,1244.0,3360.0,2700.0,77.0,18.666666666666668,94.57560295290291,82.94704928319362,11.628553669709312,qm,90
21,185,280,25.0,9.0,17.0,0.0,6029.0,1104.0,3020.0,2100.0,89.0,40.0,71.25416593555552,99.90252834629854,-28.648362410743022,25.0,9.0,17.0,0.0,6029.0,1104.0,3020.0,2100.0,89.0,40.0,71.25416593555552,99.90252834629854,-28.648362410743022,qm,-95
22,259,235,45.0,14.0,13.0,0.0,6360.0,1416.0,3200.0,2500.0,115.0,29.666666666666668,82.91519133250564,80.27924196022686,2.6359493722787923,45.0,14.0,13.0,0.0,6360.0,1416.0,3200.0,2500.0,115.0,29.666666666666668,82.91519133250564,80.27924196022686,2.6359493722787923,qm,24
23,233,260,22.0,14.0,12.0,1.0,6703.0,1255.0,3360.0,2650.0,68.0,28.333333333333332,89.99864731360697,86.32140927732395,3.6772380362830006,22.0,14.0,12.0,1.0,6703.0,1255.0,3360.0,2650.0,68.0,28.333333333333332,89.99864731360697,86.32140927732395,3.6772380362830006,qm,-27
