,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,260,285,34.0,17.0,16.0,0.0,6443.0,890.0,3400.0,2250.0,28.0,17.333333333333332,71.2954404442405,60.36295333977881,10.932487104461677,34.0,17.0,16.0,0.0,6443.0,890.0,3400.0,2250.0,28.0,17.333333333333332,71.2954404442405,60.36295333977881,10.932487104461677,f,-25
1,310,285,34.0,17.0,16.0,0.0,6443.0,890.0,3400.0,2250.0,28.0,17.333333333333332,71.2954404442405,60.36295333977881,10.932487104461677,34.0,17.0,16.0,0.0,6443.0,890.0,3400.0,2250.0,28.0,17.333333333333332,71.2954404442405,60.36295333977881,10.932487104461677,f,25
2,235,170,34.0,17.0,16.0,0.0,6443.0,890.0,3400.0,2250.0,28.0,17.333333333333332,71.2954404442405,60.36295333977881,10.932487104461677,34.0,17.0,16.0,0.0,6443.0,890.0,3400.0,2250.0,28.0,17.333333333333332,71.2954404442405,60.36295333977881,10.932487104461677,f,65
3,90,255,35.0,18.0,15.0,0.0,6149.0,1215.0,3160.0,2150.0,19.0,16.333333333333332,55.47302520269133,64.80369429998804,-9.330669097296708,35.0,18.0,15.0,0.0,6149.0,1215.0,3160.0,2150.0,19.0,16.333333333333332,55.47302520269133,64.80369429998804,-9.330669097296708,qf,-165
4,280,225,35.0,18.0,15.0,0.0,6149.0,1215.0,3160.0,2150.0,19.0,16.333333333333332,55.47302520269133,64.80369429998804,-9.330669097296708,35.0,18.0,15.0,0.0,6149.0,1215.0,3160.0,2150.0,19.0,16.333333333333332,55.47302520269133,64.80369429998804,-9.330669097296708,qf,55
5,190,380,35.0,18.0,15.0,0.0,6149.0,1215.0,3160.0,2150.0,19.0,16.333333333333332,55.47302520269133,64.80369429998804,-9.330669097296708,35.0,18.0,15.0,0.0,6149.0,1215.0,3160.0,2150.0,19.0,16.333333333333332,55.47302520269133,64.80369429998804,-9.330669097296708,qf,-190
6,285,305,7.0,17.0,14.0,1.0,6286.0,1147.0,3120.0,2350.0,31.0,17.0,69.90911255772563,52.811944315639124,17.097168242086514,7.0,17.0,14.0,1.0,6286.0,1147.0,3120.0,2350.0,31.0,17.0,69.90911255772563,52.811944315639124,17.097168242086514,qf,-20
7,255,305,7.0,17.0,14.0,1.0,6286.0,1147.0,3120.0,2350.0,31.0,17.0,69.90911255772563,52.811944315639124,17.097168242086514,7.0,17.0,14.0,1.0,6286.0,1147.0,3120.0,2350.0,31.0,17.0,69.90911255772563,52.811944315639124,17.097168242086514,qf,-50
8,195,305,34.0,19.0,12.0,2.0,6440.0,1214.0,3140.0,2400.0,25.0,10.333333333333334,67.32822504058491,46.84235135611356,20.48587368447135,34.0,19.0,12.0,2.0,6440.0,1214.0,3140.0,2400.0,25.0,10.333333333333334,67.32822504058491,46.84235135611356,20.48587368447135,qf,-110
9,165,305,34.0,19.0,12.0,2.0,6440.0,1214.0,3140.0,2400.0,25.0,10.333333333333334,67.32822504058491,46.84235135611356,20.48587368447135,34.0,19.0,12.0,2.0,6440.0,1214.0,3140.0,2400.0,25.0,10.333333333333334,67.32822504058491,46.84235135611356,20.48587368447135,qf,-140
10,285,256,34.0,17.0,16.0,0.0,6443.0,890.0,3400.0,2250.0,28.0,17.333333333333332,71.2954404442405,60.36295333977881,10.932487104461677,34.0,17.0,16.0,0.0,6443.0,890.0,3400.0,2250.0,28.0,17.333333333333332,71.2954404442405,60.36295333977881,10.932487104461677,qf,29
11,305,197,34.0,17.0,16.0,0.0,6443.0,890.0,3400.0,2250.0,28.0,17.333333333333332,71.2954404442405,60.36295333977881,10.932487104461677,34.0,17.0,16.0,0.0,6443.0,890.0,3400.0,2250.0,28.0,17.333333333333332,71.2954404442405,60.36295333977881,10.932487104461677,qf,108
12,105,130,43.0,15.0,17.0,1.0,5797.0,797.0,2800.0,2200.0,47.0,23.333333333333332,58.21189451828412,48.47655368223564,9.735340836048477,43.0,15.0,17.0,1.0,5797.0,797.0,2800.0,2200.0,47.0,23.333333333333332,58.21189451828412,48.47655368223564,9.735340836048477,qm,-25
13,139,305,12.0,12.0,20.0,1.0,5788.0,953.0,3280.0,1850.0,78.0,29.666666666666668,54.69787597770185,83.26256232897762,-28.564686351275768,12.0,12.0,20.0,1.0,5788.0,953.0,3280.0,1850.0,78.0,29.666666666666668,54.69787597770185,83.26256232897762,-28.564686351275768,qm,-166
14,220,136,18.0,20.0,13.0,0.0,6493.0,1428.0,3120.0,2600.0,98.0,11.666666666666666,74.01114567907585,59.0653595176957,14.945786161380154,18.0,20.0,13.0,0.0,6493.0,1428.0,3120.0,2600.0,98.0,11.666666666666666,74.01114567907585,59.0653595176957,14.945786161380154,qm,84
15,145,255,19.0,13.0,20.0,0.0,5553.0,678.0,2880.0,1950.0,38.0,29.666666666666668,47.820264211880165,71.40935164671276,-23.589087434832603,19.0,13.0,20.0,0.0,5553.0,678.0,2880.0,1950.0,38.0,29.666666666666668,47.820264211880165,71.40935164671276,-23.589087434832603,qm,-110
16,165,145,13.0,17.0,14.0,1.0,5973.0,1246.0,3280.0,1950.0,33.0,18.333333333333332,65.70685298781511,66.19336870389571,-0.48651571608061533,13.0,17.0,14.0,1.0,5973.0,1246.0,3280.0,1950.0,33.0,18.333333333333332,65.70685298781511,66.19336870389571,-0.48651571608061533,qm,20
17,145,195,26.0,11.0,21.0,1.0,5220.0,988.0,3020.0,1600.0,40.0,35.666666666666664,39.25717074923448,52.172908564430266,-12.915737815195785,26.0,11.0,21.0,1.0,5220.0,988.0,3020.0,1600.0,40.0,35.666666666666664,39.25717074923448,52.172908564430266,-12.915737815195785,qm,-50
18,160,275,31.0,19.0,13.0,1.0,5989.0,918.0,2860.0,2250.0,164.0,15.666666666666666,59.51314318342306,57.536651472652544,1.976491710770522,31.0,19.0,13.0,1.0,5989.0,918.0,2860.0,2250.0,164.0,15.666666666666666,59.51314318342306,57.536651472652544,1.976491710770522,qm,-115
