,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,373,522,23.0,16.0,14.0,0.0,8880.0,1942.0,4000.0,3200.0,985.0,12.333333333333334,111.65124062480551,107.76163380628252,3.8896068185230113,23.0,16.0,14.0,0.0,8880.0,1942.0,4000.0,3200.0,985.0,12.333333333333334,111.65124062480551,107.76163380628252,3.8896068185230113,f,-149
1,503,341,23.0,16.0,14.0,0.0,8880.0,1942.0,4000.0,3200.0,985.0,12.333333333333334,111.65124062480551,107.76163380628252,3.8896068185230113,23.0,16.0,14.0,0.0,8880.0,1942.0,4000.0,3200.0,985.0,12.333333333333334,111.65124062480551,107.76163380628252,3.8896068185230113,f,162
2,461,527,23.0,16.0,14.0,0.0,8880.0,1942.0,4000.0,3200.0,985.0,12.333333333333334,111.65124062480551,107.76163380628252,3.8896068185230113,23.0,16.0,14.0,0.0,8880.0,1942.0,4000.0,3200.0,985.0,12.333333333333334,111.65124062480551,107.76163380628252,3.8896068185230113,f,-66
3,506,545,24.0,16.0,14.0,0.0,8809.0,1893.0,4060.0,3400.0,704.0,17.333333333333332,113.27724746301085,103.28245980273779,9.994787660273062,24.0,16.0,14.0,0.0,8809.0,1893.0,4060.0,3400.0,704.0,17.333333333333332,113.27724746301085,103.28245980273779,9.994787660273062,qf,-39
4,304,478,24.0,16.0,14.0,0.0,8809.0,1893.0,4060.0,3400.0,704.0,17.333333333333332,113.27724746301085,103.28245980273779,9.994787660273062,24.0,16.0,14.0,0.0,8809.0,1893.0,4060.0,3400.0,704.0,17.333333333333332,113.27724746301085,103.28245980273779,9.994787660273062,qf,-174
5,540,305,43.0,15.0,15.0,0.0,8579.0,2198.0,4140.0,2850.0,879.0,16.666666666666668,92.35490084593903,91.90397241180563,0.45092843413341654,43.0,15.0,15.0,0.0,8579.0,2198.0,4140.0,2850.0,879.0,16.666666666666668,92.35490084593903,91.90397241180563,0.45092843413341654,qf,235
6,389,375,43.0,15.0,15.0,0.0,8579.0,2198.0,4140.0,2850.0,879.0,16.666666666666668,92.35490084593903,91.90397241180563,0.45092843413341654,43.0,15.0,15.0,0.0,8579.0,2198.0,4140.0,2850.0,879.0,16.666666666666668,92.35490084593903,91.90397241180563,0.45092843413341654,qf,14
7,475,340,18.0,18.0,12.0,0.0,9052.0,1766.0,4320.0,3600.0,327.0,17.0,108.66430913008658,98.48460607736003,10.179703052726547,18.0,18.0,12.0,0.0,9052.0,1766.0,4320.0,3600.0,327.0,17.0,108.66430913008658,98.48460607736003,10.179703052726547,qf,135
8,470,463,18.0,18.0,12.0,0.0,9052.0,1766.0,4320.0,3600.0,327.0,17.0,108.66430913008658,98.48460607736003,10.179703052726547,18.0,18.0,12.0,0.0,9052.0,1766.0,4320.0,3600.0,327.0,17.0,108.66430913008658,98.48460607736003,10.179703052726547,qf,7
9,235,484,40.0,19.0,11.0,0.0,9323.0,2078.0,4340.0,3600.0,478.0,9.333333333333334,119.5431185163647,87.375748136485,32.167370379879706,40.0,19.0,11.0,0.0,9323.0,2078.0,4340.0,3600.0,478.0,9.333333333333334,119.5431185163647,87.375748136485,32.167370379879706,qf,-249
10,395,345,40.0,19.0,11.0,0.0,9323.0,2078.0,4340.0,3600.0,478.0,9.333333333333334,119.5431185163647,87.375748136485,32.167370379879706,40.0,19.0,11.0,0.0,9323.0,2078.0,4340.0,3600.0,478.0,9.333333333333334,119.5431185163647,87.375748136485,32.167370379879706,qf,50
11,440,506,40.0,19.0,11.0,0.0,9323.0,2078.0,4340.0,3600.0,478.0,9.333333333333334,119.5431185163647,87.375748136485,32.167370379879706,40.0,19.0,11.0,0.0,9323.0,2078.0,4340.0,3600.0,478.0,9.333333333333334,119.5431185163647,87.375748136485,32.167370379879706,qf,-66
12,384,333,45.0,18.0,12.0,0.0,8961.0,2152.0,4160.0,3400.0,621.0,13.666666666666666,106.71073836716046,105.1017253794726,1.609012987687862,45.0,18.0,12.0,0.0,8961.0,2152.0,4160.0,3400.0,621.0,13.666666666666666,106.71073836716046,105.1017253794726,1.609012987687862,qm,51
13,156,220,43.0,12.0,18.0,0.0,7848.0,1916.0,4000.0,2700.0,458.0,29.0,75.78783427781188,74.50491653090366,1.2829177469082158,43.0,12.0,18.0,0.0,7848.0,1916.0,4000.0,2700.0,458.0,29.0,75.78783427781188,74.50491653090366,1.2829177469082158,qm,-64
14,350,200,36.0,20.0,10.0,0.0,9365.0,2111.0,4520.0,3550.0,500.0,7.666666666666667,116.46538570879325,90.34889263821191,26.116493070581342,36.0,20.0,10.0,0.0,9365.0,2111.0,4520.0,3550.0,500.0,7.666666666666667,116.46538570879325,90.34889263821191,26.116493070581342,qm,150
15,288,165,17.0,15.0,15.0,0.0,8558.0,1873.0,4140.0,3200.0,488.0,21.0,97.07687494789502,95.85904101593538,1.217833931959646,17.0,15.0,15.0,0.0,8558.0,1873.0,4140.0,3200.0,488.0,21.0,97.07687494789502,95.85904101593538,1.217833931959646,qm,123
16,343,352,30.0,14.0,16.0,0.0,8872.0,1896.0,4360.0,3400.0,347.0,20.666666666666668,104.8294017329955,101.61376859640002,3.2156331365954762,30.0,14.0,16.0,0.0,8872.0,1896.0,4360.0,3400.0,347.0,20.666666666666668,104.8294017329955,101.61376859640002,3.2156331365954762,qm,-9
17,306,335,25.0,15.0,15.0,0.0,8810.0,2132.0,4020.0,3200.0,855.0,18.0,88.93347046993809,99.3999275748983,-10.466457104960218,25.0,15.0,15.0,0.0,8810.0,2132.0,4020.0,3200.0,855.0,18.0,88.93347046993809,99.3999275748983,-10.466457104960218,qm,-29
18,311,262,40.0,16.0,14.0,0.0,8800.0,1876.0,3840.0,3250.0,1065.0,12.666666666666666,107.07594682017418,96.05751164263931,11.018435177534883,40.0,16.0,14.0,0.0,8800.0,1876.0,3840.0,3250.0,1065.0,12.666666666666666,107.07594682017418,96.05751164263931,11.018435177534883,qm,49
19,195,231,50.0,7.0,23.0,0.0,7445.0,1694.0,3600.0,2900.0,390.0,36.0,63.700484330144484,94.87898185029736,-31.178497520152877,50.0,7.0,23.0,0.0,7445.0,1694.0,3600.0,2900.0,390.0,36.0,63.700484330144484,94.87898185029736,-31.178497520152877,qm,-36
20,270,228,50.0,18.0,12.0,0.0,9012.0,1715.0,3960.0,3450.0,652.0,13.0,105.42911606691631,106.74691204621563,-1.317795979299305,50.0,18.0,12.0,0.0,9012.0,1715.0,3960.0,3450.0,652.0,13.0,105.42911606691631,106.74691204621563,-1.317795979299305,qm,42
21,310,213,27.0,15.0,15.0,0.0,8326.0,1817.0,3720.0,3200.0,466.0,25.0,89.3263424022221,81.67784283834817,7.648499563873936,27.0,15.0,15.0,0.0,8326.0,1817.0,3720.0,3200.0,466.0,25.0,89.3263424022221,81.67784283834817,7.648499563873936,qm,97
22,345,180,43.0,14.0,16.0,0.0,8381.0,1919.0,4140.0,3150.0,431.0,23.333333333333332,92.56772261491965,84.62717399780279,7.94054861711686,43.0,14.0,16.0,0.0,8381.0,1919.0,4140.0,3150.0,431.0,23.333333333333332,92.56772261491965,84.62717399780279,7.94054861711686,qm,165
23,220,195,27.0,15.0,15.0,0.0,8298.0,1795.0,3580.0,3200.0,688.0,21.666666666666668,90.10238820636619,83.4724561347888,6.629932071577376,27.0,15.0,15.0,0.0,8298.0,1795.0,3580.0,3200.0,688.0,21.666666666666668,90.10238820636619,83.4724561347888,6.629932071577376,qm,25
24,310,317,36.0,16.0,14.0,0.0,9767.0,2327.0,4280.0,3550.0,1242.0,10.666666666666666,128.42593990751894,122.4317845092278,5.994155398291146,36.0,16.0,14.0,0.0,9767.0,2327.0,4280.0,3550.0,1242.0,10.666666666666666,128.42593990751894,122.4317845092278,5.994155398291146,qm,-7
25,352,225,28.0,18.0,12.0,0.0,9136.0,2032.0,4260.0,3550.0,481.0,14.333333333333334,108.69843336876939,89.75754215817277,18.940891210596615,28.0,18.0,12.0,0.0,9136.0,2032.0,4260.0,3550.0,481.0,14.333333333333334,108.69843336876939,89.75754215817277,18.940891210596615,qm,127
26,144,261,25.0,10.0,20.0,0.0,7671.0,1733.0,3640.0,2950.0,511.0,30.666666666666668,67.37054461070647,94.30201403223877,-26.931469421532295,25.0,10.0,20.0,0.0,7671.0,1733.0,3640.0,2950.0,511.0,30.666666666666668,67.37054461070647,94.30201403223877,-26.931469421532295,qm,-117
27,356,277,38.0,19.0,11.0,0.0,8856.0,1991.0,4200.0,3200.0,646.0,10.333333333333334,104.32408075275397,86.11409814236326,18.209982610390725,38.0,19.0,11.0,0.0,8856.0,1991.0,4200.0,3200.0,646.0,10.333333333333334,104.32408075275397,86.11409814236326,18.209982610390725,qm,79
28,319,329,22.0,12.0,18.0,0.0,8376.0,1943.0,4120.0,3200.0,371.0,29.666666666666668,91.7890212737506,100.48440641427474,-8.695385140524147,22.0,12.0,18.0,0.0,8376.0,1943.0,4120.0,3200.0,371.0,29.666666666666668,91.7890212737506,100.48440641427474,-8.695385140524147,qm,-10
29,365,285,33.0,18.0,12.0,0.0,8860.0,1987.0,3860.0,3550.0,805.0,14.0,107.30478577400076,87.14809977431685,20.156685999683923,33.0,18.0,12.0,0.0,8860.0,1987.0,3860.0,3550.0,805.0,14.0,107.30478577400076,87.14809977431685,20.156685999683923,qm,80
30,345,255,22.0,13.0,17.0,0.0,8501.0,1836.0,4300.0,3200.0,341.0,26.0,95.23522120855289,111.5226386000641,-16.28741739151121,22.0,13.0,17.0,0.0,8501.0,1836.0,4300.0,3200.0,341.0,26.0,95.23522120855289,111.5226386000641,-16.28741739151121,qm,90
31,267,171,41.0,19.0,11.0,0.0,8756.0,1802.0,4060.0,3250.0,591.0,14.666666666666666,97.8160765107915,84.32887395826653,13.487202552524982,41.0,19.0,11.0,0.0,8756.0,1802.0,4060.0,3250.0,591.0,14.666666666666666,97.8160765107915,84.32887395826653,13.487202552524982,qm,96
32,210,338,26.0,17.0,13.0,0.0,8714.0,2099.0,4260.0,3200.0,524.0,15.666666666666666,92.03869612645538,80.51893257336272,11.519763553092668,26.0,17.0,13.0,0.0,8714.0,2099.0,4260.0,3200.0,524.0,15.666666666666666,92.03869612645538,80.51893257336272,11.519763553092668,qm,-128
33,350,328,30.0,14.0,16.0,0.0,8869.0,1914.0,3980.0,3500.0,799.0,17.0,103.77378551983598,114.4578080077194,-10.68402248788341,30.0,14.0,16.0,0.0,8869.0,1914.0,3980.0,3500.0,799.0,17.0,103.77378551983598,114.4578080077194,-10.68402248788341,qm,22
34,290,310,42.0,12.0,18.0,0.0,7975.0,1984.0,4000.0,2800.0,475.0,25.0,83.88198095241812,87.99125712377683,-4.109276171358708,42.0,12.0,18.0,0.0,7975.0,1984.0,4000.0,2800.0,475.0,25.0,83.88198095241812,87.99125712377683,-4.109276171358708,qm,-20
35,370,205,35.0,18.0,12.0,0.0,8866.0,1933.0,4060.0,3450.0,266.0,18.333333333333332,101.55338690377334,84.61152307890637,16.941863824866974,35.0,18.0,12.0,0.0,8866.0,1933.0,4060.0,3450.0,266.0,18.333333333333332,101.55338690377334,84.61152307890637,16.941863824866974,qm,165
36,325,277,48.0,17.0,13.0,0.0,8492.0,1527.0,3780.0,3400.0,407.0,23.333333333333332,91.07467540471852,99.65069478733945,-8.576019382620936,48.0,17.0,13.0,0.0,8492.0,1527.0,3780.0,3400.0,407.0,23.333333333333332,91.07467540471852,99.65069478733945,-8.576019382620936,qm,48
37,331,143,35.0,15.0,15.0,0.0,8499.0,2172.0,4020.0,2950.0,814.0,17.666666666666668,97.46697482547496,86.19488836723785,11.272086458237117,35.0,15.0,15.0,0.0,8499.0,2172.0,4020.0,2950.0,814.0,17.666666666666668,97.46697482547496,86.19488836723785,11.272086458237117,qm,188
38,230,301,30.0,9.0,21.0,0.0,7822.0,1515.0,3820.0,2800.0,322.0,35.666666666666664,79.97421869366154,99.51445710713053,-19.54023841346898,30.0,9.0,21.0,0.0,7822.0,1515.0,3820.0,2800.0,322.0,35.666666666666664,79.97421869366154,99.51445710713053,-19.54023841346898,qm,-71
39,261,255,44.0,15.0,15.0,0.0,8173.0,1833.0,3940.0,3250.0,303.0,22.666666666666668,82.5068782472766,92.63670942432755,-10.129831177050953,44.0,15.0,15.0,0.0,8173.0,1833.0,3940.0,3250.0,303.0,22.666666666666668,82.5068782472766,92.63670942432755,-10.129831177050953,qm,6
40,340,337,31.0,18.0,12.0,0.0,9025.0,2119.0,4260.0,3300.0,775.0,12.333333333333334,107.85997501051581,92.6520998493337,15.207875161182097,31.0,18.0,12.0,0.0,9025.0,2119.0,4260.0,3300.0,775.0,12.333333333333334,107.85997501051581,92.6520998493337,15.207875161182097,qm,3
41,320,235,35.0,15.0,15.0,0.0,8318.0,1600.0,3760.0,3350.0,503.0,23.0,87.32687784716148,93.02833242774688,-5.701454580585387,35.0,15.0,15.0,0.0,8318.0,1600.0,3760.0,3350.0,503.0,23.0,87.32687784716148,93.02833242774688,-5.701454580585387,qm,85
42,329,255,14.0,16.0,14.0,0.0,8411.0,2041.0,4100.0,3250.0,496.0,21.666666666666668,94.95344773518964,83.47048571386436,11.4829620213253,14.0,16.0,14.0,0.0,8411.0,2041.0,4100.0,3250.0,496.0,21.666666666666668,94.95344773518964,83.47048571386436,11.4829620213253,qm,74
43,210,180,35.0,13.0,17.0,0.0,8054.0,1823.0,4040.0,3050.0,339.0,24.666666666666668,76.94759146742386,86.92549001315831,-9.977898545734446,35.0,13.0,17.0,0.0,8054.0,1823.0,4040.0,3050.0,339.0,24.666666666666668,76.94759146742386,86.92549001315831,-9.977898545734446,qm,30
44,294,370,18.0,16.0,14.0,0.0,9020.0,1941.0,4000.0,3600.0,675.0,18.333333333333332,108.04357942626375,110.08255048123401,-2.0389710549702564,18.0,16.0,14.0,0.0,9020.0,1941.0,4000.0,3600.0,675.0,18.333333333333332,108.04357942626375,110.08255048123401,-2.0389710549702564,qm,-76
45,288,295,29.0,13.0,17.0,0.0,8236.0,1580.0,3540.0,3300.0,776.0,22.333333333333332,82.36804195046106,100.50566563453033,-18.137623684069258,29.0,13.0,17.0,0.0,8236.0,1580.0,3540.0,3300.0,776.0,22.333333333333332,82.36804195046106,100.50566563453033,-18.137623684069258,qm,-7
46,357,336,37.0,14.0,16.0,0.0,8521.0,1567.0,3760.0,3100.0,621.0,25.333333333333332,93.24426526890761,119.91870349040397,-26.674438221496356,37.0,14.0,16.0,0.0,8521.0,1567.0,3760.0,3100.0,621.0,25.333333333333332,93.24426526890761,119.91870349040397,-26.674438221496356,qm,21
47,323,260,37.0,20.0,10.0,0.0,9517.0,2189.0,4380.0,3600.0,827.0,6.666666666666667,118.91858144874965,91.74067285521123,27.177908593538408,37.0,20.0,10.0,0.0,9517.0,2189.0,4380.0,3600.0,827.0,6.666666666666667,118.91858144874965,91.74067285521123,27.177908593538408,qm,63
48,245,339,20.0,14.0,16.0,0.0,8109.0,1910.0,4080.0,3050.0,369.0,24.333333333333332,81.90169717685511,95.9116937693379,-14.009996592482784,20.0,14.0,16.0,0.0,8109.0,1910.0,4080.0,3050.0,369.0,24.333333333333332,81.90169717685511,95.9116937693379,-14.009996592482784,qm,-94
49,298,302,27.0,14.0,16.0,0.0,8370.0,1601.0,4040.0,3100.0,340.0,24.0,90.07835914829279,90.9625753775781,-0.8842162292853004,27.0,14.0,16.0,0.0,8370.0,1601.0,4040.0,3100.0,340.0,24.0,90.07835914829279,90.9625753775781,-0.8842162292853004,qm,-4
50,211,165,31.0,9.0,21.0,0.0,7469.0,1737.0,3780.0,2700.0,344.0,35.666666666666664,67.2112893916973,93.4848128956508,-26.2735235039535,31.0,9.0,21.0,0.0,7469.0,1737.0,3780.0,2700.0,344.0,35.666666666666664,67.2112893916973,93.4848128956508,-26.2735235039535,qm,46
51,353,305,37.0,17.0,13.0,0.0,9419.0,2378.0,4360.0,3250.0,1019.0,10.0,115.23153563394139,110.24518009254218,4.986355541399192,37.0,17.0,13.0,0.0,9419.0,2378.0,4360.0,3250.0,1019.0,10.0,115.23153563394139,110.24518009254218,4.986355541399192,qm,48
52,370,305,34.0,17.0,13.0,0.0,9087.0,1924.0,4300.0,3300.0,637.0,10.0,117.42967097665827,93.99883606307628,23.430834913581993,34.0,17.0,13.0,0.0,9087.0,1924.0,4300.0,3300.0,637.0,10.0,117.42967097665827,93.99883606307628,23.430834913581993,qm,65
53,312,310,44.0,17.0,13.0,0.0,8469.0,1819.0,3880.0,3150.0,774.0,16.0,94.5449083547265,84.10633455919937,10.43857379552712,44.0,17.0,13.0,0.0,8469.0,1819.0,3880.0,3150.0,774.0,16.0,94.5449083547265,84.10633455919937,10.43857379552712,qm,2
54,305,280,11.0,10.0,20.0,0.0,7894.0,1584.0,3740.0,2900.0,369.0,33.0,82.32908788611269,112.76760060465078,-30.438512718538092,11.0,10.0,20.0,0.0,7894.0,1584.0,3740.0,2900.0,369.0,33.0,82.32908788611269,112.76760060465078,-30.438512718538092,qm,25
55,270,258,36.0,19.0,11.0,0.0,8762.0,1715.0,4120.0,3600.0,232.0,16.333333333333332,101.35725182557616,97.8789876760941,3.478264149482063,36.0,19.0,11.0,0.0,8762.0,1715.0,4120.0,3600.0,232.0,16.333333333333332,101.35725182557616,97.8789876760941,3.478264149482063,qm,12
56,230,148,3.0,17.0,13.0,0.0,8543.0,2092.0,4140.0,3300.0,478.0,18.666666666666668,87.61031909166807,86.26362589321711,1.3466931984509571,3.0,17.0,13.0,0.0,8543.0,2092.0,4140.0,3300.0,478.0,18.666666666666668,87.61031909166807,86.26362589321711,1.3466931984509571,qm,82
57,400,260,35.0,15.0,15.0,0.0,8840.0,1880.0,3980.0,3400.0,775.0,17.0,107.69103344190545,92.30300528053998,15.388028161365474,35.0,15.0,15.0,0.0,8840.0,1880.0,3980.0,3400.0,775.0,17.0,107.69103344190545,92.30300528053998,15.388028161365474,qm,140
