,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,261,399,20.0,22.0,13.0,1.0,10576.0,2331.0,5440.0,4350.0,76.0,8.666666666666666,101.67693391123457,88.89988406248398,12.777049848750588,20.0,22.0,13.0,1.0,10576.0,2331.0,5440.0,4350.0,76.0,8.666666666666666,101.67693391123457,88.89988406248398,12.777049848750588,f,-138
1,446,309,20.0,22.0,13.0,1.0,10576.0,2331.0,5440.0,4350.0,76.0,8.666666666666666,101.67693391123457,88.89988406248398,12.777049848750588,20.0,22.0,13.0,1.0,10576.0,2331.0,5440.0,4350.0,76.0,8.666666666666666,101.67693391123457,88.89988406248398,12.777049848750588,f,137
2,452,212,20.0,22.0,13.0,1.0,10576.0,2331.0,5440.0,4350.0,76.0,8.666666666666666,101.67693391123457,88.89988406248398,12.777049848750588,20.0,22.0,13.0,1.0,10576.0,2331.0,5440.0,4350.0,76.0,8.666666666666666,101.67693391123457,88.89988406248398,12.777049848750588,f,240
3,312,395,46.0,20.0,16.0,0.0,10673.0,2112.0,4880.0,4700.0,393.0,21.666666666666668,104.61606280154315,88.29169033160463,16.32437246993855,46.0,20.0,16.0,0.0,10673.0,2112.0,4880.0,4700.0,393.0,21.666666666666668,104.61606280154315,88.29169033160463,16.32437246993855,qf,-83
4,0,340,46.0,20.0,16.0,0.0,10673.0,2112.0,4880.0,4700.0,393.0,21.666666666666668,104.61606280154315,88.29169033160463,16.32437246993855,46.0,20.0,16.0,0.0,10673.0,2112.0,4880.0,4700.0,393.0,21.666666666666668,104.61606280154315,88.29169033160463,16.32437246993855,qf,-340
5,255,449,22.0,21.0,12.0,1.0,9831.0,2193.0,4840.0,4250.0,61.0,22.666666666666668,98.70771205520559,77.43593737257473,21.27177468263086,22.0,21.0,12.0,1.0,9831.0,2193.0,4840.0,4250.0,61.0,22.666666666666668,98.70771205520559,77.43593737257473,21.27177468263086,qf,-194
6,255,451,22.0,21.0,12.0,1.0,9831.0,2193.0,4840.0,4250.0,61.0,22.666666666666668,98.70771205520559,77.43593737257473,21.27177468263086,22.0,21.0,12.0,1.0,9831.0,2193.0,4840.0,4250.0,61.0,22.666666666666668,98.70771205520559,77.43593737257473,21.27177468263086,qf,-196
7,446,448,29.0,20.0,15.0,1.0,10523.0,2326.0,5360.0,4300.0,78.0,15.666666666666666,103.58613440240697,103.63234501591575,-0.04621061350878127,29.0,20.0,15.0,1.0,10523.0,2326.0,5360.0,4300.0,78.0,15.666666666666666,103.58613440240697,103.63234501591575,-0.04621061350878127,qf,-2
8,448,448,29.0,20.0,15.0,1.0,10523.0,2326.0,5360.0,4300.0,78.0,15.666666666666666,103.58613440240697,103.63234501591575,-0.04621061350878127,29.0,20.0,15.0,1.0,10523.0,2326.0,5360.0,4300.0,78.0,15.666666666666666,103.58613440240697,103.63234501591575,-0.04621061350878127,qf,0
9,375,237,38.0,18.0,18.0,0.0,10450.0,2147.0,5340.0,4400.0,50.0,22.0,98.06720819668617,103.81983096322723,-5.75262276654107,38.0,18.0,18.0,0.0,10450.0,2147.0,5340.0,4400.0,50.0,22.0,98.06720819668617,103.81983096322723,-5.75262276654107,qf,138
10,445,256,38.0,18.0,18.0,0.0,10450.0,2147.0,5340.0,4400.0,50.0,22.0,98.06720819668617,103.81983096322723,-5.75262276654107,38.0,18.0,18.0,0.0,10450.0,2147.0,5340.0,4400.0,50.0,22.0,98.06720819668617,103.81983096322723,-5.75262276654107,qf,189
11,275,235,35.0,23.0,12.0,1.0,10878.0,2444.0,5520.0,4450.0,73.0,6.0,110.38108103142923,93.52301357637145,16.85806745505779,35.0,23.0,12.0,1.0,10878.0,2444.0,5520.0,4450.0,73.0,6.0,110.38108103142923,93.52301357637145,16.85806745505779,qm,40
12,295,326,42.0,18.0,18.0,0.0,10550.0,2144.0,5420.0,4400.0,70.0,19.666666666666668,103.51135507154896,98.5738842966998,4.93747077484917,42.0,18.0,18.0,0.0,10550.0,2144.0,5420.0,4400.0,70.0,19.666666666666668,103.51135507154896,98.5738842966998,4.93747077484917,qm,-31
13,343,255,38.0,17.0,19.0,0.0,10333.0,2256.0,5220.0,4450.0,48.0,30.666666666666668,97.00515036259168,98.8267689120368,-1.8216185494451338,38.0,17.0,19.0,0.0,10333.0,2256.0,5220.0,4450.0,48.0,30.666666666666668,97.00515036259168,98.8267689120368,-1.8216185494451338,qm,88
14,255,317,39.0,17.0,19.0,0.0,10347.0,2198.0,5160.0,4550.0,12.0,31.333333333333332,95.98970310152798,103.84468476920158,-7.854981667673608,39.0,17.0,19.0,0.0,10347.0,2198.0,5160.0,4550.0,12.0,31.333333333333332,95.98970310152798,103.84468476920158,-7.854981667673608,qm,-62
15,307,256,35.0,22.0,13.0,0.0,9731.0,1831.0,4880.0,4200.0,71.0,26.0,90.16527164281236,79.24681088299427,10.918460759818116,35.0,22.0,13.0,0.0,9731.0,1831.0,4880.0,4200.0,71.0,26.0,90.16527164281236,79.24681088299427,10.918460759818116,qm,51
16,255,285,17.0,17.0,18.0,1.0,10208.0,2138.0,4860.0,4450.0,68.0,31.0,92.77614031933331,94.3895486362478,-1.6134083169144777,17.0,17.0,18.0,1.0,10208.0,2138.0,4860.0,4450.0,68.0,31.0,92.77614031933331,94.3895486362478,-1.6134083169144777,qm,-30
17,297,305,32.0,16.0,19.0,1.0,10294.0,2331.0,5360.0,4250.0,34.0,26.666666666666668,95.62749681436213,99.25823625071371,-3.6307394363515804,32.0,16.0,19.0,1.0,10294.0,2331.0,5360.0,4250.0,34.0,26.666666666666668,95.62749681436213,99.25823625071371,-3.6307394363515804,qm,-8
18,335,375,30.0,15.0,21.0,0.0,10350.0,2341.0,5200.0,4250.0,150.0,30.333333333333332,95.70724453251803,102.12710084327576,-6.419856310757723,30.0,15.0,21.0,0.0,10350.0,2341.0,5200.0,4250.0,150.0,30.333333333333332,95.70724453251803,102.12710084327576,-6.419856310757723,qm,-40
19,325,280,21.0,19.0,16.0,1.0,10272.0,1668.0,4980.0,4600.0,47.0,24.333333333333332,99.8060308086762,90.36607996947738,9.439950839198806,21.0,19.0,16.0,1.0,10272.0,1668.0,4980.0,4600.0,47.0,24.333333333333332,99.8060308086762,90.36607996947738,9.439950839198806,qm,45
20,280,305,33.0,13.0,23.0,0.0,9959.0,1976.0,4880.0,4250.0,84.0,42.666666666666664,86.59262122835833,107.35702946089417,-20.76440823253584,33.0,13.0,23.0,0.0,9959.0,1976.0,4880.0,4250.0,84.0,42.666666666666664,86.59262122835833,107.35702946089417,-20.76440823253584,qm,-25
21,255,296,30.0,18.0,18.0,0.0,10190.0,2036.0,4940.0,4450.0,55.0,32.0,91.6413067163587,91.7343284984583,-0.0930217820996025,30.0,18.0,18.0,0.0,10190.0,2036.0,4940.0,4450.0,55.0,32.0,91.6413067163587,91.7343284984583,-0.0930217820996025,qm,-41
22,256,291,30.0,18.0,17.0,0.0,9708.0,2069.0,4920.0,4150.0,33.0,33.666666666666664,85.95311009457096,92.04590731394042,-6.092797219369477,30.0,18.0,17.0,0.0,9708.0,2069.0,4920.0,4150.0,33.0,33.666666666666664,85.95311009457096,92.04590731394042,-6.092797219369477,qm,-35
23,256,140,34.0,21.0,15.0,0.0,10282.0,2077.0,5160.0,4400.0,47.0,24.0,97.70410822712667,89.41897575686033,8.285132470266346,34.0,21.0,15.0,0.0,10282.0,2077.0,5160.0,4400.0,47.0,24.0,97.70410822712667,89.41897575686033,8.285132470266346,qm,116
