,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,494,478,,,,,,,,,,,,,,,,,,,,,,,,,,,f,16
1,546,543,,,,,,,,,,,,,,,,,,,,,,,,,,,f,3
2,468,454,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,14
3,477,401,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,76
4,500,542,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,-42
5,490,449,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,41
6,472,405,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,67
7,347,504,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,-157
8,535,532,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,3
9,511,536,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,-25
10,535,506,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,29
11,525,453,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,72
12,547,354,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,193
13,430,339,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,91
14,315,399,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,-84
15,415,533,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,-118
16,476,425,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,51
