,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,539,472,,,,,,,,,,,,,,,,,,,,,,,,,,,f,67
1,495,469,,,,,,,,,,,,,,,,,,,,,,,,,,,f,26
2,374,493,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,-119
3,445,351,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,94
4,470,454,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,16
5,286,462,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,-176
6,445,505,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,-60
7,401,465,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,-64
8,522,533,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,-11
9,511,470,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,41
10,473,445,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,28
11,512,561,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,-49
12,531,320,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,211
13,395,325,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,70
14,524,481,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,43
15,445,475,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,-30
16,445,356,,,,,,,,,,,,,,,,,,,,,,,,,,,sf,89
