,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,198,351,35.0,22.0,11.0,0.0,8149.0,1793.0,4060.0,3350.0,134.0,11.333333333333334,106.40670019951176,64.19891580805682,42.20778439145494,35.0,22.0,11.0,0.0,8149.0,1793.0,4060.0,3350.0,134.0,11.333333333333334,106.40670019951176,64.19891580805682,42.20778439145494,f,-153
1,218,415,35.0,22.0,11.0,0.0,8149.0,1793.0,4060.0,3350.0,134.0,11.333333333333334,106.40670019951176,64.19891580805682,42.20778439145494,35.0,22.0,11.0,0.0,8149.0,1793.0,4060.0,3350.0,134.0,11.333333333333334,106.40670019951176,64.19891580805682,42.20778439145494,f,-197
2,195,375,14.0,19.0,14.0,0.0,7264.0,1275.0,3740.0,2850.0,84.0,16.333333333333332,76.2043831203351,80.25522919514303,-4.050846074807946,14.0,19.0,14.0,0.0,7264.0,1275.0,3740.0,2850.0,84.0,16.333333333333332,76.2043831203351,80.25522919514303,-4.050846074807946,qf,-180
3,195,341,14.0,19.0,14.0,0.0,7264.0,1275.0,3740.0,2850.0,84.0,16.333333333333332,76.2043831203351,80.25522919514303,-4.050846074807946,14.0,19.0,14.0,0.0,7264.0,1275.0,3740.0,2850.0,84.0,16.333333333333332,76.2043831203351,80.25522919514303,-4.050846074807946,qf,-146
4,220,310,35.0,21.0,11.0,0.0,6701.0,1497.0,3420.0,2700.0,56.0,13.0,64.8097573835142,43.0919841949753,21.717773188538903,35.0,21.0,11.0,0.0,6701.0,1497.0,3420.0,2700.0,56.0,13.0,64.8097573835142,43.0919841949753,21.717773188538903,qf,-90
5,215,310,35.0,21.0,11.0,0.0,6701.0,1497.0,3420.0,2700.0,56.0,13.0,64.8097573835142,43.0919841949753,21.717773188538903,35.0,21.0,11.0,0.0,6701.0,1497.0,3420.0,2700.0,56.0,13.0,64.8097573835142,43.0919841949753,21.717773188538903,qf,-95
6,290,355,30.0,21.0,12.0,0.0,7457.0,1461.0,3520.0,3100.0,97.0,11.0,83.08731341384983,49.45263514227034,33.63467827157948,30.0,21.0,12.0,0.0,7457.0,1461.0,3520.0,3100.0,97.0,11.0,83.08731341384983,49.45263514227034,33.63467827157948,qf,-65
7,245,355,30.0,21.0,12.0,0.0,7457.0,1461.0,3520.0,3100.0,97.0,11.0,83.08731341384983,49.45263514227034,33.63467827157948,30.0,21.0,12.0,0.0,7457.0,1461.0,3520.0,3100.0,97.0,11.0,83.08731341384983,49.45263514227034,33.63467827157948,qf,-110
8,270,397,40.0,18.0,15.0,0.0,7448.0,1369.0,3500.0,3050.0,63.0,22.666666666666668,87.13715292538843,77.74128338688286,9.395869538505586,40.0,18.0,15.0,0.0,7448.0,1369.0,3500.0,3050.0,63.0,22.666666666666668,87.13715292538843,77.74128338688286,9.395869538505586,qf,-127
9,195,400,40.0,18.0,15.0,0.0,7448.0,1369.0,3500.0,3050.0,63.0,22.666666666666668,87.13715292538843,77.74128338688286,9.395869538505586,40.0,18.0,15.0,0.0,7448.0,1369.0,3500.0,3050.0,63.0,22.666666666666668,87.13715292538843,77.74128338688286,9.395869538505586,qf,-205
