,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,351,466,39.0,8.0,4.0,0.0,3502.0,449.0,1640.0,1500.0,112.0,10.666666666666666,107.40440646842553,114.6645511632726,-7.260144694847061,39.0,8.0,4.0,0.0,3502.0,449.0,1640.0,1500.0,112.0,10.666666666666666,107.40440646842553,114.6645511632726,-7.260144694847061,f,-115
1,255,531,39.0,8.0,4.0,0.0,3502.0,449.0,1640.0,1500.0,112.0,10.666666666666666,107.40440646842553,114.6645511632726,-7.260144694847061,39.0,8.0,4.0,0.0,3502.0,449.0,1640.0,1500.0,112.0,10.666666666666666,107.40440646842553,114.6645511632726,-7.260144694847061,f,-276
2,310,458,59.0,5.0,7.0,0.0,3279.0,529.0,1600.0,1400.0,19.0,17.333333333333332,128.03219303180745,93.13051771423231,34.901675317575126,59.0,5.0,7.0,0.0,3279.0,529.0,1600.0,1400.0,19.0,17.333333333333332,128.03219303180745,93.13051771423231,34.901675317575126,qf,-148
3,190,519,59.0,5.0,7.0,0.0,3279.0,529.0,1600.0,1400.0,19.0,17.333333333333332,128.03219303180745,93.13051771423231,34.901675317575126,59.0,5.0,7.0,0.0,3279.0,529.0,1600.0,1400.0,19.0,17.333333333333332,128.03219303180745,93.13051771423231,34.901675317575126,qf,-329
4,255,307,38.0,5.0,7.0,0.0,2818.0,423.0,1600.0,1000.0,28.0,23.666666666666668,53.77765316043773,92.00151489523621,-38.2238617347985,38.0,5.0,7.0,0.0,2818.0,423.0,1600.0,1000.0,28.0,23.666666666666668,53.77765316043773,92.00151489523621,-38.2238617347985,qf,-52
5,255,208,38.0,5.0,7.0,0.0,2818.0,423.0,1600.0,1000.0,28.0,23.666666666666668,53.77765316043773,92.00151489523621,-38.2238617347985,38.0,5.0,7.0,0.0,2818.0,423.0,1600.0,1000.0,28.0,23.666666666666668,53.77765316043773,92.00151489523621,-38.2238617347985,qf,47
6,231,307,38.0,5.0,7.0,0.0,2818.0,423.0,1600.0,1000.0,28.0,23.666666666666668,53.77765316043773,92.00151489523621,-38.2238617347985,38.0,5.0,7.0,0.0,2818.0,423.0,1600.0,1000.0,28.0,23.666666666666668,53.77765316043773,92.00151489523621,-38.2238617347985,qf,-76
7,289,409,38.0,5.0,7.0,0.0,2977.0,446.0,1480.0,1200.0,77.0,20.0,80.93278322229925,108.23414938936905,-27.301366167069812,38.0,5.0,7.0,0.0,2977.0,446.0,1480.0,1200.0,77.0,20.0,80.93278322229925,108.23414938936905,-27.301366167069812,qf,-120
8,212,457,38.0,5.0,7.0,0.0,2977.0,446.0,1480.0,1200.0,77.0,20.0,80.93278322229925,108.23414938936905,-27.301366167069812,38.0,5.0,7.0,0.0,2977.0,446.0,1480.0,1200.0,77.0,20.0,80.93278322229925,108.23414938936905,-27.301366167069812,qf,-245
9,445,398,31.0,8.0,4.0,0.0,2987.0,553.0,1520.0,1200.0,22.0,11.666666666666666,83.3126712161436,34.1293310044047,49.1833402117389,31.0,8.0,4.0,0.0,2987.0,553.0,1520.0,1200.0,22.0,11.666666666666666,83.3126712161436,34.1293310044047,49.1833402117389,qf,47
10,425,188,31.0,8.0,4.0,0.0,2987.0,553.0,1520.0,1200.0,22.0,11.666666666666666,83.3126712161436,34.1293310044047,49.1833402117389,31.0,8.0,4.0,0.0,2987.0,553.0,1520.0,1200.0,22.0,11.666666666666666,83.3126712161436,34.1293310044047,49.1833402117389,qf,237
11,200,180,28.0,6.0,6.0,0.0,2849.0,424.0,1440.0,1100.0,19.0,17.666666666666668,75.88547835717452,69.76196815532104,6.123510201853487,28.0,6.0,6.0,0.0,2849.0,424.0,1440.0,1100.0,19.0,17.666666666666668,75.88547835717452,69.76196815532104,6.123510201853487,qm,20
12,260,205,49.0,8.0,4.0,0.0,3264.0,688.0,1600.0,1350.0,64.0,10.666666666666666,98.15542966876353,82.35437152716854,15.801058141594988,49.0,8.0,4.0,0.0,3264.0,688.0,1600.0,1350.0,64.0,10.666666666666666,98.15542966876353,82.35437152716854,15.801058141594988,qm,55
13,250,186,38.0,6.0,6.0,0.0,3095.0,595.0,1660.0,1250.0,25.0,18.0,77.85238483703915,58.860393218765104,18.991991618274046,38.0,6.0,6.0,0.0,3095.0,595.0,1660.0,1250.0,25.0,18.0,77.85238483703915,58.860393218765104,18.991991618274046,qm,64
14,205,235,48.0,4.0,8.0,0.0,3169.0,508.0,1540.0,1200.0,119.0,19.666666666666668,80.12835011678844,72.17739991256127,7.950950204227159,48.0,4.0,8.0,0.0,3169.0,508.0,1540.0,1200.0,119.0,19.666666666666668,80.12835011678844,72.17739991256127,7.950950204227159,qm,-30
15,196,205,34.0,6.0,6.0,0.0,3049.0,530.0,1560.0,1100.0,74.0,18.666666666666668,65.80010333811813,81.53819146071054,-15.738088122592407,34.0,6.0,6.0,0.0,3049.0,530.0,1560.0,1100.0,74.0,18.666666666666668,65.80010333811813,81.53819146071054,-15.738088122592407,qm,-9
16,165,323,41.0,3.0,9.0,0.0,2734.0,484.0,1380.0,950.0,54.0,28.666666666666668,61.255748876752456,107.66794368761778,-46.41219481086532,41.0,3.0,9.0,0.0,2734.0,484.0,1380.0,950.0,54.0,28.666666666666668,61.255748876752456,107.66794368761778,-46.41219481086532,qm,-158
17,185,273,42.0,3.0,9.0,0.0,2562.0,171.0,1400.0,950.0,17.0,30.0,57.59582604421166,108.34303060000794,-50.74720455579628,42.0,3.0,9.0,0.0,2562.0,171.0,1400.0,950.0,17.0,30.0,57.59582604421166,108.34303060000794,-50.74720455579628,qm,-88
18,330,285,30.0,5.0,7.0,0.0,2972.0,602.0,1540.0,1000.0,12.0,21.666666666666668,95.92148267833517,96.47036376967617,-0.548881091341002,30.0,5.0,7.0,0.0,2972.0,602.0,1540.0,1000.0,12.0,21.666666666666668,95.92148267833517,96.47036376967617,-0.548881091341002,qm,45
19,115,328,15.0,5.0,7.0,0.0,2639.0,664.0,1480.0,900.0,54.0,21.333333333333332,46.59707231324961,109.23437084861906,-62.637298535369446,15.0,5.0,7.0,0.0,2639.0,664.0,1480.0,900.0,54.0,21.333333333333332,46.59707231324961,109.23437084861906,-62.637298535369446,qm,-213
20,350,307,38.0,9.0,3.0,0.0,3641.0,660.0,1740.0,1550.0,131.0,5.333333333333333,111.37461062563777,104.00330380804785,7.371306817589925,38.0,9.0,3.0,0.0,3641.0,660.0,1740.0,1550.0,131.0,5.333333333333333,111.37461062563777,104.00330380804785,7.371306817589925,qm,43
21,293,301,37.0,4.0,8.0,0.0,3247.0,572.0,1380.0,1300.0,312.0,20.0,90.59560522689101,94.37035905871824,-3.7747538318272262,37.0,4.0,8.0,0.0,3247.0,572.0,1380.0,1300.0,312.0,20.0,90.59560522689101,94.37035905871824,-3.7747538318272262,qm,-8
22,255,322,40.0,7.0,5.0,0.0,3179.0,665.0,1600.0,1300.0,24.0,14.333333333333334,92.68722640954581,106.40191533724392,-13.714688927698111,40.0,7.0,5.0,0.0,3179.0,665.0,1600.0,1300.0,24.0,14.333333333333334,92.68722640954581,106.40191533724392,-13.714688927698111,qm,-67
