,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,284,235,43.0,18.0,13.0,2.0,6152.0,1407.0,3160.0,2250.0,72.0,16.0,79.22870532269049,59.092714039719205,20.135991282971293,43.0,18.0,13.0,2.0,6152.0,1407.0,3160.0,2250.0,72.0,16.0,79.22870532269049,59.092714039719205,20.135991282971293,f,49
1,306,285,43.0,18.0,13.0,2.0,6152.0,1407.0,3160.0,2250.0,72.0,16.0,79.22870532269049,59.092714039719205,20.135991282971293,43.0,18.0,13.0,2.0,6152.0,1407.0,3160.0,2250.0,72.0,16.0,79.22870532269049,59.092714039719205,20.135991282971293,f,21
2,165,215,42.0,18.0,15.0,0.0,5993.0,1306.0,3400.0,1850.0,48.0,14.333333333333334,68.34395962329715,53.075275229347675,15.268684393949485,42.0,18.0,15.0,0.0,5993.0,1306.0,3400.0,1850.0,48.0,14.333333333333334,68.34395962329715,53.075275229347675,15.268684393949485,qf,-50
3,170,265,42.0,18.0,15.0,0.0,5993.0,1306.0,3400.0,1850.0,48.0,14.333333333333334,68.34395962329715,53.075275229347675,15.268684393949485,42.0,18.0,15.0,0.0,5993.0,1306.0,3400.0,1850.0,48.0,14.333333333333334,68.34395962329715,53.075275229347675,15.268684393949485,qf,-95
4,195,269,52.0,16.0,17.0,0.0,5913.0,1045.0,3000.0,2100.0,53.0,21.333333333333332,68.29016419992479,53.771686843585144,14.518477356339647,52.0,16.0,17.0,0.0,5913.0,1045.0,3000.0,2100.0,53.0,21.333333333333332,68.29016419992479,53.771686843585144,14.518477356339647,qf,-74
5,250,264,52.0,16.0,17.0,0.0,5913.0,1045.0,3000.0,2100.0,53.0,21.333333333333332,68.29016419992479,53.771686843585144,14.518477356339647,52.0,16.0,17.0,0.0,5913.0,1045.0,3000.0,2100.0,53.0,21.333333333333332,68.29016419992479,53.771686843585144,14.518477356339647,qf,-14
6,193,210,32.0,18.0,14.0,1.0,6061.0,1126.0,3140.0,2050.0,251.0,14.0,67.90239606235234,47.30246796852871,20.599928093823628,32.0,18.0,14.0,1.0,6061.0,1126.0,3140.0,2050.0,251.0,14.0,67.90239606235234,47.30246796852871,20.599928093823628,qf,-17
7,211,210,32.0,18.0,14.0,1.0,6061.0,1126.0,3140.0,2050.0,251.0,14.0,67.90239606235234,47.30246796852871,20.599928093823628,32.0,18.0,14.0,1.0,6061.0,1126.0,3140.0,2050.0,251.0,14.0,67.90239606235234,47.30246796852871,20.599928093823628,qf,1
8,238,240,32.0,18.0,14.0,1.0,6061.0,1126.0,3140.0,2050.0,251.0,14.0,67.90239606235234,47.30246796852871,20.599928093823628,32.0,18.0,14.0,1.0,6061.0,1126.0,3140.0,2050.0,251.0,14.0,67.90239606235234,47.30246796852871,20.599928093823628,qf,-2
9,102,265,9.0,20.0,12.0,1.0,5152.0,891.0,2600.0,1900.0,77.0,12.333333333333334,40.17072654355257,55.090188920525804,-14.919462376973238,9.0,20.0,12.0,1.0,5152.0,891.0,2600.0,1900.0,77.0,12.333333333333334,40.17072654355257,55.090188920525804,-14.919462376973238,qf,-163
10,193,306,9.0,20.0,12.0,1.0,5152.0,891.0,2600.0,1900.0,77.0,12.333333333333334,40.17072654355257,55.090188920525804,-14.919462376973238,9.0,20.0,12.0,1.0,5152.0,891.0,2600.0,1900.0,77.0,12.333333333333334,40.17072654355257,55.090188920525804,-14.919462376973238,qf,-113
11,145,90,43.0,14.0,18.0,1.0,5470.0,1118.0,3100.0,1600.0,50.0,25.333333333333332,51.57546457274673,60.586150683256825,-9.010686110510091,43.0,14.0,18.0,1.0,5470.0,1118.0,3100.0,1600.0,50.0,25.333333333333332,51.57546457274673,60.586150683256825,-9.010686110510091,qm,55
12,157,242,44.0,17.0,16.0,0.0,5528.0,731.0,2940.0,1850.0,78.0,21.333333333333332,52.98444299934528,61.96477644555654,-8.980333446211256,44.0,17.0,16.0,0.0,5528.0,731.0,2940.0,1850.0,78.0,21.333333333333332,52.98444299934528,61.96477644555654,-8.980333446211256,qm,-85
13,120,145,44.0,12.0,20.0,1.0,5698.0,1118.0,2780.0,2000.0,28.0,28.333333333333332,67.07656234273712,54.26754018236641,12.809022160370716,44.0,12.0,20.0,1.0,5698.0,1118.0,2780.0,2000.0,28.0,28.333333333333332,67.07656234273712,54.26754018236641,12.809022160370716,qm,-25
14,155,215,21.0,11.0,21.0,1.0,5449.0,895.0,2760.0,1950.0,49.0,31.333333333333332,51.1789488094902,67.73442668112565,-16.55547787163545,21.0,11.0,21.0,1.0,5449.0,895.0,2760.0,1950.0,49.0,31.333333333333332,51.1789488094902,67.73442668112565,-16.55547787163545,qm,-60
15,53,240,20.0,11.0,21.0,1.0,4658.0,803.0,2680.0,1250.0,73.0,32.333333333333336,29.212501430123144,63.56169359213046,-34.34919216200731,20.0,11.0,21.0,1.0,4658.0,803.0,2680.0,1250.0,73.0,32.333333333333336,29.212501430123144,63.56169359213046,-34.34919216200731,qm,-187
16,90,150,24.0,16.0,15.0,1.0,5259.0,800.0,2900.0,1750.0,59.0,22.0,49.24596358054597,51.61536716312393,-2.3694035825779616,24.0,16.0,15.0,1.0,5259.0,800.0,2900.0,1750.0,59.0,22.0,49.24596358054597,51.61536716312393,-2.3694035825779616,qm,-60
17,140,182,11.0,14.0,18.0,1.0,5720.0,943.0,3200.0,1650.0,80.0,24.333333333333332,63.043541675814446,60.33605476422479,2.7074869115896547,11.0,14.0,18.0,1.0,5720.0,943.0,3200.0,1650.0,80.0,24.333333333333332,63.043541675814446,60.33605476422479,2.7074869115896547,qm,-42
18,95,155,36.0,10.0,22.0,1.0,4988.0,1035.0,2800.0,1500.0,63.0,35.0,34.96869533162528,74.0225694008455,-39.053874069220214,36.0,10.0,22.0,1.0,4988.0,1035.0,2800.0,1500.0,63.0,35.0,34.96869533162528,74.0225694008455,-39.053874069220214,qm,-60
19,280,138,26.0,17.0,15.0,1.0,6361.0,1134.0,3100.0,2400.0,236.0,21.0,74.31763337578933,62.68303238834884,11.634600987440491,26.0,17.0,15.0,1.0,6361.0,1134.0,3100.0,2400.0,236.0,21.0,74.31763337578933,62.68303238834884,11.634600987440491,qm,142
