,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,451,605,16.0,19.0,11.0,0.0,9857.0,2323.0,5100.0,3900.0,307.0,9.666666666666666,120.62217213924237,94.82849615736414,25.793675981878224,16.0,19.0,11.0,0.0,9857.0,2323.0,5100.0,3900.0,307.0,9.666666666666666,120.62217213924237,94.82849615736414,25.793675981878224,f,-154
1,307,519,18.0,16.0,14.0,0.0,9439.0,2051.0,5020.0,3600.0,274.0,21.0,113.89511567474285,101.49470737278536,12.400408301957489,18.0,16.0,14.0,0.0,9439.0,2051.0,5020.0,3600.0,274.0,21.0,113.89511567474285,101.49470737278536,12.400408301957489,f,-212
2,476,528,51.0,18.0,12.0,0.0,9746.0,2259.0,5080.0,3950.0,201.0,14.0,123.91081807379454,110.32454706459531,13.586271009199242,51.0,18.0,12.0,0.0,9746.0,2259.0,5080.0,3950.0,201.0,14.0,123.91081807379454,110.32454706459531,13.586271009199242,qf,-52
3,355,540,51.0,18.0,12.0,0.0,9746.0,2259.0,5080.0,3950.0,201.0,14.0,123.91081807379454,110.32454706459531,13.586271009199242,51.0,18.0,12.0,0.0,9746.0,2259.0,5080.0,3950.0,201.0,14.0,123.91081807379454,110.32454706459531,13.586271009199242,qf,-185
4,475,453,38.0,16.0,13.0,1.0,9893.0,2271.0,5040.0,3950.0,203.0,19.0,124.05391749717552,115.6804997771679,8.373417720007614,38.0,16.0,13.0,1.0,9893.0,2271.0,5040.0,3950.0,203.0,19.0,124.05391749717552,115.6804997771679,8.373417720007614,qf,22
5,447,470,38.0,16.0,13.0,1.0,9893.0,2271.0,5040.0,3950.0,203.0,19.0,124.05391749717552,115.6804997771679,8.373417720007614,38.0,16.0,13.0,1.0,9893.0,2271.0,5040.0,3950.0,203.0,19.0,124.05391749717552,115.6804997771679,8.373417720007614,qf,-23
6,207,456,38.0,16.0,13.0,1.0,9893.0,2271.0,5040.0,3950.0,203.0,19.0,124.05391749717552,115.6804997771679,8.373417720007614,38.0,16.0,13.0,1.0,9893.0,2271.0,5040.0,3950.0,203.0,19.0,124.05391749717552,115.6804997771679,8.373417720007614,qf,-249
7,453,429,32.0,18.0,11.0,1.0,8873.0,2114.0,4960.0,3150.0,203.0,20.666666666666668,91.66079813300024,71.94390767046217,19.71689046253808,32.0,18.0,11.0,1.0,8873.0,2114.0,4960.0,3150.0,203.0,20.666666666666668,91.66079813300024,71.94390767046217,19.71689046253808,qf,24
8,256,507,32.0,18.0,11.0,1.0,8873.0,2114.0,4960.0,3150.0,203.0,20.666666666666668,91.66079813300024,71.94390767046217,19.71689046253808,32.0,18.0,11.0,1.0,8873.0,2114.0,4960.0,3150.0,203.0,20.666666666666668,91.66079813300024,71.94390767046217,19.71689046253808,qf,-251
9,315,293,32.0,18.0,11.0,1.0,8873.0,2114.0,4960.0,3150.0,203.0,20.666666666666668,91.66079813300024,71.94390767046217,19.71689046253808,32.0,18.0,11.0,1.0,8873.0,2114.0,4960.0,3150.0,203.0,20.666666666666668,91.66079813300024,71.94390767046217,19.71689046253808,qf,22
10,449,445,16.0,19.0,11.0,0.0,9857.0,2323.0,5100.0,3900.0,307.0,9.666666666666666,120.62217213924237,94.82849615736414,25.793675981878224,16.0,19.0,11.0,0.0,9857.0,2323.0,5100.0,3900.0,307.0,9.666666666666666,120.62217213924237,94.82849615736414,25.793675981878224,qf,4
11,462,423,16.0,19.0,11.0,0.0,9857.0,2323.0,5100.0,3900.0,307.0,9.666666666666666,120.62217213924237,94.82849615736414,25.793675981878224,16.0,19.0,11.0,0.0,9857.0,2323.0,5100.0,3900.0,307.0,9.666666666666666,120.62217213924237,94.82849615736414,25.793675981878224,qf,39
12,345,295,33.0,17.0,13.0,0.0,9296.0,2086.0,4760.0,3800.0,141.0,30.0,114.33347260632085,102.83162791622264,11.501844690098201,33.0,17.0,13.0,0.0,9296.0,2086.0,4760.0,3800.0,141.0,30.0,114.33347260632085,102.83162791622264,11.501844690098201,qm,50
13,298,225,21.0,20.0,10.0,0.0,9568.0,2212.0,4980.0,3700.0,193.0,13.333333333333334,116.91233529858647,105.01031840392226,11.902016894664229,21.0,20.0,10.0,0.0,9568.0,2212.0,4980.0,3700.0,193.0,13.333333333333334,116.91233529858647,105.01031840392226,11.902016894664229,qm,73
14,362,338,30.0,19.0,11.0,0.0,9957.0,2304.0,5080.0,4050.0,287.0,10.666666666666666,124.023887956427,99.30492634555723,24.71896161086975,30.0,19.0,11.0,0.0,9957.0,2304.0,5080.0,4050.0,287.0,10.666666666666666,124.023887956427,99.30492634555723,24.71896161086975,qm,24
