,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,230,371,27.0,17.0,13.0,0.0,9689.0,2513.0,4940.0,3500.0,659.0,32.0,107.00433477455341,101.9783536241216,5.025981150431837,27.0,17.0,13.0,0.0,9689.0,2513.0,4940.0,3500.0,659.0,32.0,107.00433477455341,101.9783536241216,5.025981150431837,f,-141
1,334,355,27.0,17.0,13.0,0.0,9689.0,2513.0,4940.0,3500.0,659.0,32.0,107.00433477455341,101.9783536241216,5.025981150431837,27.0,17.0,13.0,0.0,9689.0,2513.0,4940.0,3500.0,659.0,32.0,107.00433477455341,101.9783536241216,5.025981150431837,f,-21
2,395,522,49.0,18.0,12.0,0.0,10127.0,2170.0,5160.0,4100.0,337.0,15.333333333333334,122.57967041056996,95.10734666406627,27.472323746503687,49.0,18.0,12.0,0.0,10127.0,2170.0,5160.0,4100.0,337.0,15.333333333333334,122.57967041056996,95.10734666406627,27.472323746503687,qf,-127
3,445,509,49.0,18.0,12.0,0.0,10127.0,2170.0,5160.0,4100.0,337.0,15.333333333333334,122.57967041056996,95.10734666406627,27.472323746503687,49.0,18.0,12.0,0.0,10127.0,2170.0,5160.0,4100.0,337.0,15.333333333333334,122.57967041056996,95.10734666406627,27.472323746503687,qf,-64
4,445,370,24.0,20.0,10.0,0.0,9990.0,2274.0,5120.0,3950.0,265.0,18.0,114.34035058059044,106.66824694044173,7.672103640148724,24.0,20.0,10.0,0.0,9990.0,2274.0,5120.0,3950.0,265.0,18.0,114.34035058059044,106.66824694044173,7.672103640148724,qf,75
5,445,475,24.0,20.0,10.0,0.0,9990.0,2274.0,5120.0,3950.0,265.0,18.0,114.34035058059044,106.66824694044173,7.672103640148724,24.0,20.0,10.0,0.0,9990.0,2274.0,5120.0,3950.0,265.0,18.0,114.34035058059044,106.66824694044173,7.672103640148724,qf,-30
6,467,456,38.0,16.0,14.0,0.0,9721.0,1963.0,5060.0,3850.0,256.0,28.666666666666668,105.51549211691423,112.36575368477467,-6.850261567860453,38.0,16.0,14.0,0.0,9721.0,1963.0,5060.0,3850.0,256.0,28.666666666666668,105.51549211691423,112.36575368477467,-6.850261567860453,qf,11
7,453,348,23.0,18.0,11.0,1.0,10079.0,2193.0,4960.0,4150.0,324.0,18.333333333333332,118.05925914203175,102.83848459938292,15.220774542648835,23.0,18.0,11.0,1.0,10079.0,2193.0,4960.0,4150.0,324.0,18.333333333333332,118.05925914203175,102.83848459938292,15.220774542648835,qf,105
8,470,470,23.0,18.0,11.0,1.0,10079.0,2193.0,4960.0,4150.0,324.0,18.333333333333332,118.05925914203175,102.83848459938292,15.220774542648835,23.0,18.0,11.0,1.0,10079.0,2193.0,4960.0,4150.0,324.0,18.333333333333332,118.05925914203175,102.83848459938292,15.220774542648835,qf,0
9,471,290,23.0,18.0,11.0,1.0,10079.0,2193.0,4960.0,4150.0,324.0,18.333333333333332,118.05925914203175,102.83848459938292,15.220774542648835,23.0,18.0,11.0,1.0,10079.0,2193.0,4960.0,4150.0,324.0,18.333333333333332,118.05925914203175,102.83848459938292,15.220774542648835,qf,181
