,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,455,522,47.0,16.0,14.0,0.0,9716.0,2569.0,4780.0,3600.0,766.0,22.0,119.77989901118218,109.36918430809813,10.410714703084054,47.0,16.0,14.0,0.0,9716.0,2569.0,4780.0,3600.0,766.0,22.0,119.77989901118218,109.36918430809813,10.410714703084054,f,-67
1,418,515,47.0,16.0,14.0,0.0,9716.0,2569.0,4780.0,3600.0,766.0,22.0,119.77989901118218,109.36918430809813,10.410714703084054,47.0,16.0,14.0,0.0,9716.0,2569.0,4780.0,3600.0,766.0,22.0,119.77989901118218,109.36918430809813,10.410714703084054,f,-97
2,258,489,22.0,19.0,10.0,1.0,9405.0,2191.0,4680.0,3700.0,445.0,15.0,105.51540752992956,95.67509531633482,9.840312213594743,22.0,19.0,10.0,1.0,9405.0,2191.0,4680.0,3700.0,445.0,15.0,105.51540752992956,95.67509531633482,9.840312213594743,qf,-231
3,357,428,22.0,19.0,10.0,1.0,9405.0,2191.0,4680.0,3700.0,445.0,15.0,105.51540752992956,95.67509531633482,9.840312213594743,22.0,19.0,10.0,1.0,9405.0,2191.0,4680.0,3700.0,445.0,15.0,105.51540752992956,95.67509531633482,9.840312213594743,qf,-71
4,397,470,18.0,18.0,12.0,0.0,9550.0,2235.0,4480.0,3850.0,640.0,17.666666666666668,114.98306368400456,98.76604780750726,16.217015876497303,18.0,18.0,12.0,0.0,9550.0,2235.0,4480.0,3850.0,640.0,17.666666666666668,114.98306368400456,98.76604780750726,16.217015876497303,qf,-73
5,451,455,27.0,15.0,15.0,0.0,9369.0,2076.0,4700.0,3750.0,254.0,34.0,113.91322651637533,112.62239675814597,1.2908297582293546,27.0,15.0,15.0,0.0,9369.0,2076.0,4700.0,3750.0,254.0,34.0,113.91322651637533,112.62239675814597,1.2908297582293546,qf,-4
6,401,540,21.0,17.0,12.0,1.0,9287.0,2160.0,4720.0,3700.0,277.0,28.0,105.62851089008869,96.42057510274735,9.207935787341356,21.0,17.0,12.0,1.0,9287.0,2160.0,4720.0,3700.0,277.0,28.0,105.62851089008869,96.42057510274735,9.207935787341356,qf,-139
7,494,481,33.0,15.0,15.0,0.0,9122.0,2082.0,4680.0,3650.0,162.0,40.666666666666664,102.64729545848276,98.5943955780926,4.0528998803901475,33.0,15.0,15.0,0.0,9122.0,2082.0,4680.0,3650.0,162.0,40.666666666666664,102.64729545848276,98.5943955780926,4.0528998803901475,qf,13
8,478,513,33.0,15.0,15.0,0.0,9122.0,2082.0,4680.0,3650.0,162.0,40.666666666666664,102.64729545848276,98.5943955780926,4.0528998803901475,33.0,15.0,15.0,0.0,9122.0,2082.0,4680.0,3650.0,162.0,40.666666666666664,102.64729545848276,98.5943955780926,4.0528998803901475,qf,-35
9,445,241,49.0,15.0,13.0,2.0,9525.0,2116.0,4840.0,3750.0,355.0,19.0,104.56357443620232,93.26624632704831,11.297328109154009,49.0,15.0,13.0,2.0,9525.0,2116.0,4840.0,3750.0,355.0,19.0,104.56357443620232,93.26624632704831,11.297328109154009,qf,204
10,310,506,49.0,15.0,13.0,2.0,9525.0,2116.0,4840.0,3750.0,355.0,19.0,104.56357443620232,93.26624632704831,11.297328109154009,49.0,15.0,13.0,2.0,9525.0,2116.0,4840.0,3750.0,355.0,19.0,104.56357443620232,93.26624632704831,11.297328109154009,qf,-196
11,445,511,49.0,15.0,13.0,2.0,9525.0,2116.0,4840.0,3750.0,355.0,19.0,104.56357443620232,93.26624632704831,11.297328109154009,49.0,15.0,13.0,2.0,9525.0,2116.0,4840.0,3750.0,355.0,19.0,104.56357443620232,93.26624632704831,11.297328109154009,qf,-66
12,351,280,30.0,18.0,12.0,0.0,9399.0,2209.0,4400.0,3750.0,714.0,15.0,105.1731717716463,88.66573373169852,16.50743803994776,30.0,18.0,12.0,0.0,9399.0,2209.0,4400.0,3750.0,714.0,15.0,105.1731717716463,88.66573373169852,16.50743803994776,qm,71
13,305,263,19.0,17.0,12.0,1.0,9068.0,2204.0,4420.0,3650.0,288.0,34.333333333333336,92.77815860009134,100.19663204908437,-7.418473448993022,19.0,17.0,12.0,1.0,9068.0,2204.0,4420.0,3650.0,288.0,34.333333333333336,92.77815860009134,100.19663204908437,-7.418473448993022,qm,42
14,349,256,25.0,19.0,11.0,0.0,9637.0,2570.0,4660.0,3750.0,637.0,20.333333333333332,115.10635156312266,90.43298652538046,24.673365037742204,25.0,19.0,11.0,0.0,9637.0,2570.0,4660.0,3750.0,637.0,20.333333333333332,115.10635156312266,90.43298652538046,24.673365037742204,qm,93
15,425,393,39.0,13.0,17.0,0.0,9145.0,1891.0,4500.0,3600.0,225.0,43.333333333333336,111.5706975218522,111.64088505394689,-0.07018753209469253,39.0,13.0,17.0,0.0,9145.0,1891.0,4500.0,3600.0,225.0,43.333333333333336,111.5706975218522,111.64088505394689,-0.07018753209469253,qm,32
16,305,285,18.0,17.0,13.0,0.0,9116.0,2173.0,4460.0,3700.0,376.0,27.0,99.32764263367473,106.54956128113652,-7.221918647461782,18.0,17.0,13.0,0.0,9116.0,2173.0,4460.0,3700.0,376.0,27.0,99.32764263367473,106.54956128113652,-7.221918647461782,qm,20
17,374,255,43.0,19.0,10.0,1.0,9755.0,2131.0,4960.0,3850.0,255.0,11.0,114.02500912026274,91.26549267275304,22.75951644750971,43.0,19.0,10.0,1.0,9755.0,2131.0,4960.0,3850.0,255.0,11.0,114.02500912026274,91.26549267275304,22.75951644750971,qm,119
18,305,323,18.0,12.0,16.0,1.0,8358.0,2101.0,4220.0,3300.0,308.0,46.333333333333336,87.30935925709143,83.11277471136371,4.196584545727717,18.0,12.0,16.0,1.0,8358.0,2101.0,4220.0,3300.0,308.0,46.333333333333336,87.30935925709143,83.11277471136371,4.196584545727717,qm,-18
19,312,351,20.0,15.0,15.0,0.0,9135.0,1874.0,4100.0,3750.0,590.0,33.666666666666664,101.05936473001604,104.93402672618349,-3.874661996167447,20.0,15.0,15.0,0.0,9135.0,1874.0,4100.0,3750.0,590.0,33.666666666666664,101.05936473001604,104.93402672618349,-3.874661996167447,qm,-39
20,365,300,34.0,17.0,13.0,0.0,9513.0,2196.0,4720.0,3850.0,303.0,24.666666666666668,112.26527210846633,104.05589048544634,8.209381623020013,34.0,17.0,13.0,0.0,9513.0,2196.0,4720.0,3850.0,303.0,24.666666666666668,112.26527210846633,104.05589048544634,8.209381623020013,qm,65
21,220,325,35.0,11.0,19.0,0.0,8406.0,1415.0,4100.0,3350.0,321.0,59.333333333333336,85.95377629720421,107.69812481578411,-21.74434851857991,35.0,11.0,19.0,0.0,8406.0,1415.0,4100.0,3350.0,321.0,59.333333333333336,85.95377629720421,107.69812481578411,-21.74434851857991,qm,-105
22,350,345,33.0,13.0,17.0,0.0,8926.0,1882.0,4380.0,3650.0,301.0,42.333333333333336,92.26383327896274,120.13774332097269,-27.87391004200997,33.0,13.0,17.0,0.0,8926.0,1882.0,4380.0,3650.0,301.0,42.333333333333336,92.26383327896274,120.13774332097269,-27.87391004200997,qm,5
23,382,245,30.0,14.0,16.0,0.0,9225.0,2146.0,4460.0,3650.0,660.0,33.666666666666664,106.33898582716664,95.5491115519754,10.789874275191229,30.0,14.0,16.0,0.0,9225.0,2146.0,4460.0,3650.0,660.0,33.666666666666664,106.33898582716664,95.5491115519754,10.789874275191229,qm,137
24,250,331,29.0,10.0,20.0,0.0,8604.0,1770.0,4280.0,3500.0,309.0,53.666666666666664,85.09620975353356,103.46770369749932,-18.37149394396576,29.0,10.0,20.0,0.0,8604.0,1770.0,4280.0,3500.0,309.0,53.666666666666664,85.09620975353356,103.46770369749932,-18.37149394396576,qm,-81
25,382,255,20.0,18.0,12.0,0.0,9486.0,2154.0,4320.0,3650.0,836.0,22.333333333333332,115.2655713369781,93.43368538563476,21.831885951343335,20.0,18.0,12.0,0.0,9486.0,2154.0,4320.0,3650.0,836.0,22.333333333333332,115.2655713369781,93.43368538563476,21.831885951343335,qm,127
26,245,390,31.0,13.0,16.0,1.0,9064.0,2014.0,4720.0,3350.0,444.0,33.333333333333336,93.78698015793005,117.73239635705409,-23.945416199124022,31.0,13.0,16.0,1.0,9064.0,2014.0,4720.0,3350.0,444.0,33.333333333333336,93.78698015793005,117.73239635705409,-23.945416199124022,qm,-145
27,301,285,18.0,18.0,12.0,0.0,9382.0,2228.0,4560.0,3850.0,347.0,21.333333333333332,94.87286972689121,99.6447828649528,-4.771913138061606,18.0,18.0,12.0,0.0,9382.0,2228.0,4560.0,3850.0,347.0,21.333333333333332,94.87286972689121,99.6447828649528,-4.771913138061606,qm,16
28,382,413,20.0,20.0,10.0,0.0,9924.0,2208.0,4800.0,3950.0,539.0,11.0,124.82875322861497,96.08038616466922,28.748367063945754,20.0,20.0,10.0,0.0,9924.0,2208.0,4800.0,3950.0,539.0,11.0,124.82875322861497,96.08038616466922,28.748367063945754,qm,-31
29,370,277,36.0,14.0,16.0,0.0,9134.0,2208.0,4560.0,3600.0,194.0,41.0,105.40440682667082,107.11947881033437,-1.7150719836635442,36.0,14.0,16.0,0.0,9134.0,2208.0,4560.0,3600.0,194.0,41.0,105.40440682667082,107.11947881033437,-1.7150719836635442,qm,93
30,310,339,36.0,15.0,15.0,0.0,9401.0,1827.0,4640.0,3800.0,311.0,31.666666666666668,108.5887935499896,104.63567601071539,3.9531175392742313,36.0,15.0,15.0,0.0,9401.0,1827.0,4640.0,3800.0,311.0,31.666666666666668,108.5887935499896,104.63567601071539,3.9531175392742313,qm,-29
31,330,241,24.0,13.0,17.0,0.0,9050.0,1706.0,4340.0,3600.0,245.0,44.333333333333336,95.62610974902294,111.93190858620206,-16.30579883717911,24.0,13.0,17.0,0.0,9050.0,1706.0,4340.0,3600.0,245.0,44.333333333333336,95.62610974902294,111.93190858620206,-16.30579883717911,qm,89
32,372,307,15.0,19.0,10.0,1.0,9945.0,2384.0,4420.0,4100.0,895.0,22.666666666666668,125.1059138521075,115.33625245059174,9.769661401515743,15.0,19.0,10.0,1.0,9945.0,2384.0,4420.0,4100.0,895.0,22.666666666666668,125.1059138521075,115.33625245059174,9.769661401515743,qm,65
33,350,296,22.0,17.0,13.0,0.0,9294.0,1798.0,4620.0,3650.0,274.0,26.0,105.9053635181876,109.90104609743537,-3.995682579247775,22.0,17.0,13.0,0.0,9294.0,1798.0,4620.0,3650.0,274.0,26.0,105.9053635181876,109.90104609743537,-3.995682579247775,qm,54
34,305,213,43.0,15.0,14.0,1.0,9074.0,2182.0,4500.0,3750.0,254.0,36.666666666666664,96.59151754985031,100.35730066638446,-3.765783116534166,43.0,15.0,14.0,1.0,9074.0,2182.0,4500.0,3750.0,254.0,36.666666666666664,96.59151754985031,100.35730066638446,-3.765783116534166,qm,92
35,347,296,50.0,13.0,17.0,0.0,8893.0,1690.0,4300.0,3400.0,488.0,45.333333333333336,96.83791312725657,99.85623289715856,-3.018319769902002,50.0,13.0,17.0,0.0,8893.0,1690.0,4300.0,3400.0,488.0,45.333333333333336,96.83791312725657,99.85623289715856,-3.018319769902002,qm,51
36,278,235,31.0,14.0,16.0,0.0,9110.0,2064.0,4940.0,3400.0,250.0,29.0,99.11751409935825,104.39559592827773,-5.278081828919483,31.0,14.0,16.0,0.0,9110.0,2064.0,4940.0,3400.0,250.0,29.0,99.11751409935825,104.39559592827773,-5.278081828919483,qm,43
37,358,285,40.0,19.0,11.0,0.0,9814.0,2031.0,4240.0,3950.0,989.0,8.666666666666666,123.58944349617404,104.83292854421494,18.7565149519591,40.0,19.0,11.0,0.0,9814.0,2031.0,4240.0,3950.0,989.0,8.666666666666666,123.58944349617404,104.83292854421494,18.7565149519591,qm,73
38,190,423,17.0,11.0,19.0,0.0,8277.0,1613.0,4260.0,3350.0,142.0,58.0,78.22454490411893,115.25624934291754,-37.03170443879861,17.0,11.0,19.0,0.0,8277.0,1613.0,4260.0,3350.0,142.0,58.0,78.22454490411893,115.25624934291754,-37.03170443879861,qm,-233
39,298,295,21.0,15.0,15.0,0.0,9296.0,2065.0,4340.0,3850.0,411.0,38.333333333333336,101.44640116430537,105.32061406718117,-3.874212902875802,21.0,15.0,15.0,0.0,9296.0,2065.0,4340.0,3850.0,411.0,38.333333333333336,101.44640116430537,105.32061406718117,-3.874212902875802,qm,3
40,190,305,19.0,17.0,12.0,1.0,9170.0,1881.0,4740.0,3450.0,355.0,16.666666666666668,94.41429792376368,90.89201072238261,3.5222872013810993,19.0,17.0,12.0,1.0,9170.0,1881.0,4740.0,3450.0,355.0,16.666666666666668,94.41429792376368,90.89201072238261,3.5222872013810993,qm,-115
41,305,293,29.0,15.0,15.0,0.0,9088.0,2036.0,4340.0,3550.0,398.0,37.333333333333336,88.33630552624656,101.09823971386488,-12.761934187618303,29.0,15.0,15.0,0.0,9088.0,2036.0,4340.0,3550.0,398.0,37.333333333333336,88.33630552624656,101.09823971386488,-12.761934187618303,qm,12
42,205,310,19.0,15.0,14.0,1.0,8875.0,1958.0,4500.0,3450.0,315.0,38.333333333333336,91.82403949310095,100.75463182620824,-8.93059233310727,19.0,15.0,14.0,1.0,8875.0,1958.0,4500.0,3450.0,315.0,38.333333333333336,91.82403949310095,100.75463182620824,-8.93059233310727,qm,-105
43,346,319,35.0,13.0,17.0,0.0,8936.0,2141.0,4520.0,3500.0,276.0,43.666666666666664,100.39881735373645,124.65626719032626,-24.25744983658981,35.0,13.0,17.0,0.0,8936.0,2141.0,4520.0,3500.0,276.0,43.666666666666664,100.39881735373645,124.65626719032626,-24.25744983658981,qm,27
44,235,270,41.0,9.0,20.0,0.0,8235.0,1737.0,4260.0,3150.0,130.0,56.333333333333336,84.20532357316364,110.36079876291411,-26.15547518975048,41.0,9.0,20.0,0.0,8235.0,1737.0,4260.0,3150.0,130.0,56.333333333333336,84.20532357316364,110.36079876291411,-26.15547518975048,qm,-35
45,352,340,22.0,14.0,15.0,1.0,9403.0,2119.0,4900.0,3500.0,363.0,22.666666666666668,108.0298782534931,108.70208955751502,-0.6722113040219426,22.0,14.0,15.0,1.0,9403.0,2119.0,4900.0,3500.0,363.0,22.666666666666668,108.0298782534931,108.70208955751502,-0.6722113040219426,qm,12
46,390,260,34.0,19.0,11.0,0.0,9852.0,2369.0,4220.0,3900.0,1157.0,21.0,120.05079863750484,95.8514101338037,24.19938850370113,34.0,19.0,11.0,0.0,9852.0,2369.0,4220.0,3900.0,1157.0,21.0,120.05079863750484,95.8514101338037,24.19938850370113,qm,130
47,306,325,19.0,13.0,17.0,0.0,9112.0,2142.0,4520.0,3800.0,192.0,48.0,95.37309261046192,105.48812731511674,-10.115034704654818,19.0,13.0,17.0,0.0,9112.0,2142.0,4520.0,3800.0,192.0,48.0,95.37309261046192,105.48812731511674,-10.115034704654818,qm,-19
48,355,255,27.0,16.0,13.0,1.0,9700.0,2371.0,4760.0,3350.0,840.0,18.0,114.61444305831441,98.01466685463345,16.599776203680943,27.0,16.0,13.0,1.0,9700.0,2371.0,4760.0,3350.0,840.0,18.0,114.61444305831441,98.01466685463345,16.599776203680943,qm,100
49,286,255,26.0,15.0,15.0,0.0,8896.0,1917.0,4160.0,3450.0,676.0,38.333333333333336,99.71081526369608,103.92226329684792,-4.211448033151842,26.0,15.0,15.0,0.0,8896.0,1917.0,4160.0,3450.0,676.0,38.333333333333336,99.71081526369608,103.92226329684792,-4.211448033151842,qm,31
50,354,350,22.0,16.0,14.0,0.0,9379.0,1669.0,4260.0,3850.0,699.0,26.0,108.78055049861631,113.08106688586842,-4.300516387252131,22.0,16.0,14.0,0.0,9379.0,1669.0,4260.0,3850.0,699.0,26.0,108.78055049861631,113.08106688586842,-4.300516387252131,qm,4
51,350,288,61.0,19.0,10.0,1.0,9559.0,2162.0,4740.0,4000.0,194.0,17.666666666666668,115.6814162681798,92.5302112067384,23.151205061441402,61.0,19.0,10.0,1.0,9559.0,2162.0,4740.0,4000.0,194.0,17.666666666666668,115.6814162681798,92.5302112067384,23.151205061441402,qm,62
52,255,285,23.0,15.0,15.0,0.0,9088.0,1988.0,4260.0,3650.0,468.0,38.666666666666664,96.17684070516354,83.48699526211904,12.689845443044495,23.0,15.0,15.0,0.0,9088.0,1988.0,4260.0,3650.0,468.0,38.666666666666664,96.17684070516354,83.48699526211904,12.689845443044495,qm,-30
