,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,264,473,42.0,15.0,8.0,0.0,5503.0,936.0,2540.0,2250.0,108.0,15.666666666666666,108.14839185688912,82.72870208996183,25.419689766927288,34.0,18.0,6.0,0.0,5686.0,979.0,2860.0,2200.0,21.0,13.0,107.8766047859379,58.14965452076251,49.7269502651754,f,-209
1,291,448,42.0,15.0,8.0,0.0,5503.0,936.0,2540.0,2250.0,108.0,15.666666666666666,108.14839185688912,82.72870208996183,25.419689766927288,34.0,18.0,6.0,0.0,5686.0,979.0,2860.0,2200.0,21.0,13.0,107.8766047859379,58.14965452076251,49.7269502651754,f,-157
2,310,163,33.0,14.0,10.0,0.0,5265.0,947.0,2520.0,2050.0,60.0,22.666666666666668,91.92876029925424,79.84688834023204,12.081871959022195,34.0,18.0,6.0,0.0,5686.0,979.0,2860.0,2200.0,21.0,13.0,107.8766047859379,58.14965452076251,49.7269502651754,qf,147
3,259,398,33.0,14.0,10.0,0.0,5265.0,947.0,2520.0,2050.0,60.0,22.666666666666668,91.92876029925424,79.84688834023204,12.081871959022195,34.0,18.0,6.0,0.0,5686.0,979.0,2860.0,2200.0,21.0,13.0,107.8766047859379,58.14965452076251,49.7269502651754,qf,-139
4,190,447,33.0,14.0,10.0,0.0,5265.0,947.0,2520.0,2050.0,60.0,22.666666666666668,91.92876029925424,79.84688834023204,12.081871959022195,34.0,18.0,6.0,0.0,5686.0,979.0,2860.0,2200.0,21.0,13.0,107.8766047859379,58.14965452076251,49.7269502651754,qf,-257
5,390,260,31.0,13.0,10.0,0.0,5034.0,1178.0,2800.0,1800.0,54.0,24.333333333333332,97.77012663744256,76.60572718701322,21.16439945042933,44.0,15.0,9.0,0.0,5324.0,1414.0,2760.0,2000.0,24.0,19.333333333333332,88.77281976488962,58.02352446842989,30.74929529645974,qf,130
6,311,233,31.0,13.0,10.0,0.0,5034.0,1178.0,2800.0,1800.0,54.0,24.333333333333332,97.77012663744256,76.60572718701322,21.16439945042933,44.0,15.0,9.0,0.0,5324.0,1414.0,2760.0,2000.0,24.0,19.333333333333332,88.77281976488962,58.02352446842989,30.74929529645974,qf,78
7,308,305,26.0,16.0,8.0,0.0,5333.0,900.0,2260.0,2400.0,48.0,15.666666666666666,87.39408435063295,45.22562930432355,42.16845504630939,20.0,15.0,8.0,0.0,5211.0,903.0,2420.0,2150.0,76.0,22.0,97.03555274541941,64.5996401137942,32.43591263162523,qf,3
8,312,316,26.0,16.0,8.0,0.0,5333.0,900.0,2260.0,2400.0,48.0,15.666666666666666,87.39408435063295,45.22562930432355,42.16845504630939,20.0,15.0,8.0,0.0,5211.0,903.0,2420.0,2150.0,76.0,22.0,97.03555274541941,64.5996401137942,32.43591263162523,qf,-4
9,249,319,26.0,16.0,8.0,0.0,5333.0,900.0,2260.0,2400.0,48.0,15.666666666666666,87.39408435063295,45.22562930432355,42.16845504630939,20.0,15.0,8.0,0.0,5211.0,903.0,2420.0,2150.0,76.0,22.0,97.03555274541941,64.5996401137942,32.43591263162523,qf,-70
10,321,235,42.0,15.0,8.0,0.0,5503.0,936.0,2540.0,2250.0,108.0,15.666666666666666,108.14839185688912,82.72870208996183,25.419689766927288,43.0,17.0,7.0,0.0,5484.0,1345.0,2620.0,2250.0,24.0,14.0,81.94094396123492,62.80084308346371,19.14010087777122,qf,86
11,459,306,42.0,15.0,8.0,0.0,5503.0,936.0,2540.0,2250.0,108.0,15.666666666666666,108.14839185688912,82.72870208996183,25.419689766927288,43.0,17.0,7.0,0.0,5484.0,1345.0,2620.0,2250.0,24.0,14.0,81.94094396123492,62.80084308346371,19.14010087777122,qf,153
12,250,97,35.0,19.0,5.0,0.0,5513.0,1143.0,2680.0,2250.0,23.0,12.0,90.99946275807218,61.71656771832966,29.282895039742517,18.0,12.0,12.0,0.0,4402.0,708.0,2180.0,1850.0,32.0,33.0,50.29478397593062,58.75668789772319,-8.461903921792567,qm,153
13,165,255,26.0,8.0,15.0,0.0,4294.0,669.0,2160.0,1550.0,44.0,47.333333333333336,54.95633252410975,74.76669398284739,-19.810361458737635,30.0,14.0,10.0,0.0,5548.0,1233.0,2780.0,2150.0,53.0,19.666666666666668,93.69322877121243,70.01258512143289,23.68064364977953,qm,-90
14,148,290,30.0,13.0,11.0,0.0,4988.0,887.0,2400.0,2000.0,108.0,27.0,68.49317140572238,74.30758896098996,-5.814417555267577,43.0,17.0,7.0,0.0,5827.0,1183.0,2680.0,2350.0,42.0,12.666666666666666,92.2224352433059,54.62531589644973,37.597119346856175,qm,-142
15,120,225,24.0,9.0,14.0,0.0,3897.0,501.0,1980.0,1400.0,22.0,45.0,34.647896631353866,78.66252248131688,-44.01462584996302,25.0,15.0,9.0,0.0,5118.0,668.0,2480.0,1950.0,18.0,26.0,75.1974611936481,61.02861118997566,14.16885000367244,qm,-105
16,145,85,27.0,12.0,11.0,0.0,4417.0,742.0,2300.0,1600.0,7.0,31.666666666666668,60.163546019596026,63.519968284115656,-3.3564222645196202,17.0,11.0,13.0,0.0,4461.0,829.0,2620.0,1450.0,36.0,35.0,49.46309565745347,61.45419886734083,-11.99110320988735,qm,60
17,71,97,3.0,6.0,18.0,0.0,4042.0,1213.0,2260.0,1350.0,32.0,53.666666666666664,48.22013509211124,75.07006800387683,-26.84993291176558,7.0,14.0,9.0,0.0,4257.0,727.0,2240.0,1600.0,62.0,27.0,65.43691285513925,45.824817374171516,19.612095480967742,qm,-26
18,55,41,4.0,7.0,16.0,0.0,3394.0,867.0,1940.0,1000.0,19.0,54.333333333333336,29.6884333812818,50.059248395433535,-20.370815014151727,12.0,5.0,19.0,0.0,3698.0,752.0,2040.0,1150.0,18.0,57.333333333333336,33.58143851573703,55.98083941123081,-22.399400895493784,qm,14
19,172,200,47.0,12.0,11.0,0.0,4989.0,1282.0,2520.0,1900.0,44.0,30.333333333333332,78.55392056587222,68.46689046967413,10.087030096198083,15.0,15.0,9.0,0.0,5331.0,1065.0,2900.0,1950.0,26.0,18.0,87.21036075124972,54.961828683301434,32.248532067948304,qm,-28
20,185,140,31.0,14.0,10.0,0.0,4980.0,831.0,2520.0,1850.0,40.0,21.0,78.90652302381949,68.85662648934253,10.049896534476959,25.0,13.0,11.0,0.0,4600.0,803.0,2440.0,1700.0,40.0,27.0,65.06357760083253,68.46663835722387,-3.4030607563913358,qm,45
21,140,260,18.0,7.0,15.0,0.0,4248.0,960.0,2340.0,1550.0,38.0,45.0,53.01523878241489,89.20746382909003,-36.192225046675134,30.0,19.0,4.0,0.0,5183.0,1098.0,2340.0,2300.0,18.0,7.333333333333333,91.40562746413595,58.671258805818695,32.73436865831726,qm,-120
22,145,206,12.0,12.0,12.0,0.0,4746.0,877.0,2260.0,2000.0,31.0,30.666666666666668,56.621978770853566,73.40724486316127,-16.78526609230769,12.0,14.0,10.0,0.0,5022.0,563.0,2080.0,2300.0,37.0,23.666666666666668,76.77227740697985,53.14772563457058,23.624551772409266,qm,-61
23,140,145,3.0,12.0,11.0,0.0,4111.0,904.0,2280.0,1500.0,11.0,35.333333333333336,46.030827236975746,46.08083818638375,-0.05001094940799907,12.0,14.0,9.0,0.0,4044.0,735.0,2220.0,1400.0,14.0,27.333333333333332,46.33490995168325,58.476438127077266,-12.14152817539401,qm,-5
24,305,205,46.0,10.0,14.0,0.0,5479.0,1167.0,2760.0,2200.0,19.0,35.333333333333336,96.22699545134184,93.56436098534165,2.662634466000185,36.0,11.0,12.0,0.0,5058.0,1331.0,2760.0,1700.0,48.0,33.666666666666664,86.37965392776823,87.06268155890173,-0.6830276311335078,qm,100
25,95,161,22.0,12.0,12.0,0.0,4521.0,762.0,2180.0,1700.0,36.0,35.333333333333336,54.10653640924814,64.28336068428895,-10.176824275040808,27.0,18.0,6.0,0.0,4924.0,902.0,2440.0,2000.0,39.0,11.0,74.28163751202128,51.7927073296948,22.48893018232646,qm,-66
