,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,302,240,31.0,18.0,11.0,0.0,5381.0,789.0,2840.0,1800.0,141.0,15.666666666666666,76.05326374092886,63.76305340857999,12.290210332348861,31.0,18.0,11.0,0.0,5381.0,789.0,2840.0,1800.0,141.0,15.666666666666666,76.05326374092886,63.76305340857999,12.290210332348861,f,62
1,302,305,31.0,18.0,11.0,0.0,5381.0,789.0,2840.0,1800.0,141.0,15.666666666666666,76.05326374092886,63.76305340857999,12.290210332348861,31.0,18.0,11.0,0.0,5381.0,789.0,2840.0,1800.0,141.0,15.666666666666666,76.05326374092886,63.76305340857999,12.290210332348861,f,-3
2,220,308,31.0,18.0,11.0,0.0,5381.0,789.0,2840.0,1800.0,141.0,15.666666666666666,76.05326374092886,63.76305340857999,12.290210332348861,31.0,18.0,11.0,0.0,5381.0,789.0,2840.0,1800.0,141.0,15.666666666666666,76.05326374092886,63.76305340857999,12.290210332348861,f,-88
3,250,215,31.0,19.0,11.0,0.0,5235.0,897.0,2920.0,1650.0,15.0,13.666666666666666,59.6715526598637,47.254033409130706,12.417519250732989,31.0,19.0,11.0,0.0,5235.0,897.0,2920.0,1650.0,15.0,13.666666666666666,59.6715526598637,47.254033409130706,12.417519250732989,qf,35
4,250,255,31.0,19.0,11.0,0.0,5235.0,897.0,2920.0,1650.0,15.0,13.666666666666666,59.6715526598637,47.254033409130706,12.417519250732989,31.0,19.0,11.0,0.0,5235.0,897.0,2920.0,1650.0,15.0,13.666666666666666,59.6715526598637,47.254033409130706,12.417519250732989,qf,-5
5,165,285,31.0,19.0,11.0,0.0,5235.0,897.0,2920.0,1650.0,15.0,13.666666666666666,59.6715526598637,47.254033409130706,12.417519250732989,31.0,19.0,11.0,0.0,5235.0,897.0,2920.0,1650.0,15.0,13.666666666666666,59.6715526598637,47.254033409130706,12.417519250732989,qf,-120
6,224,255,41.0,19.0,11.0,0.0,6003.0,889.0,2860.0,2300.0,258.0,11.666666666666666,85.36132093637588,49.84727180855716,35.51404912781873,41.0,19.0,11.0,0.0,6003.0,889.0,2860.0,2300.0,258.0,11.666666666666666,85.36132093637588,49.84727180855716,35.51404912781873,qf,-31
7,190,256,41.0,19.0,11.0,0.0,6003.0,889.0,2860.0,2300.0,258.0,11.666666666666666,85.36132093637588,49.84727180855716,35.51404912781873,41.0,19.0,11.0,0.0,6003.0,889.0,2860.0,2300.0,258.0,11.666666666666666,85.36132093637588,49.84727180855716,35.51404912781873,qf,-66
8,300,260,31.0,19.0,11.0,0.0,5611.0,582.0,2700.0,2200.0,81.0,12.666666666666666,73.7493829748001,61.022213513539505,12.727169461260592,31.0,19.0,11.0,0.0,5611.0,582.0,2700.0,2200.0,81.0,12.666666666666666,73.7493829748001,61.022213513539505,12.727169461260592,qf,40
9,250,160,31.0,19.0,11.0,0.0,5611.0,582.0,2700.0,2200.0,81.0,12.666666666666666,73.7493829748001,61.022213513539505,12.727169461260592,31.0,19.0,11.0,0.0,5611.0,582.0,2700.0,2200.0,81.0,12.666666666666666,73.7493829748001,61.022213513539505,12.727169461260592,qf,90
10,208,305,39.0,18.0,12.0,0.0,5269.0,700.0,2760.0,1850.0,124.0,16.666666666666668,63.36285677379649,61.135019367943904,2.2278374058525805,39.0,18.0,12.0,0.0,5269.0,700.0,2760.0,1850.0,124.0,16.666666666666668,63.36285677379649,61.135019367943904,2.2278374058525805,qf,-97
11,195,228,39.0,18.0,12.0,0.0,5269.0,700.0,2760.0,1850.0,124.0,16.666666666666668,63.36285677379649,61.135019367943904,2.2278374058525805,39.0,18.0,12.0,0.0,5269.0,700.0,2760.0,1850.0,124.0,16.666666666666668,63.36285677379649,61.135019367943904,2.2278374058525805,qf,-33
12,111,155,37.0,14.0,15.0,0.0,5438.0,853.0,2620.0,1950.0,228.0,24.666666666666668,67.77178837954548,54.907159236495396,12.864629143050088,37.0,14.0,15.0,0.0,5438.0,853.0,2620.0,1950.0,228.0,24.666666666666668,67.77178837954548,54.907159236495396,12.864629143050088,qm,-44
13,45,80,6.0,10.0,20.0,0.0,4230.0,670.0,2320.0,1450.0,55.0,37.0,23.920459258720303,57.97343020931523,-34.052970950594926,6.0,10.0,20.0,0.0,4230.0,670.0,2320.0,1450.0,55.0,37.0,23.920459258720303,57.97343020931523,-34.052970950594926,qm,-35
14,156,45,50.0,17.0,13.0,0.0,5571.0,627.0,2780.0,2000.0,146.0,16.0,70.12058234289907,62.73804685366749,7.382535489231581,50.0,17.0,13.0,0.0,5571.0,627.0,2780.0,2000.0,146.0,16.0,70.12058234289907,62.73804685366749,7.382535489231581,qm,111
15,140,180,2.0,13.0,16.0,0.0,5054.0,749.0,2660.0,1650.0,59.0,27.0,53.259028268130436,57.64235643482087,-4.38332816669043,2.0,13.0,16.0,0.0,5054.0,749.0,2660.0,1650.0,59.0,27.0,53.259028268130436,57.64235643482087,-4.38332816669043,qm,-40
16,115,135,1.0,8.0,22.0,0.0,4634.0,579.0,2280.0,1600.0,59.0,40.666666666666664,43.09093308132009,58.839046604259345,-15.748113522939258,1.0,8.0,22.0,0.0,4634.0,579.0,2280.0,1600.0,59.0,40.666666666666664,43.09093308132009,58.839046604259345,-15.748113522939258,qm,-20
17,204,235,27.0,16.0,14.0,0.0,5467.0,525.0,2540.0,2200.0,132.0,19.0,62.76980095814839,66.43159030595389,-3.661789347805493,27.0,16.0,14.0,0.0,5467.0,525.0,2540.0,2200.0,132.0,19.0,62.76980095814839,66.43159030595389,-3.661789347805493,qm,-31
18,140,220,19.0,12.0,17.0,0.0,4618.0,565.0,2520.0,1400.0,38.0,32.0,42.400511869935336,68.08073641661578,-25.68022454668045,19.0,12.0,17.0,0.0,4618.0,565.0,2520.0,1400.0,38.0,32.0,42.400511869935336,68.08073641661578,-25.68022454668045,qm,-80
19,124,195,19.0,19.0,11.0,0.0,5281.0,812.0,2720.0,1850.0,66.0,14.666666666666666,60.793263129484245,47.41750394227918,13.375759187205068,19.0,19.0,11.0,0.0,5281.0,812.0,2720.0,1850.0,66.0,14.666666666666666,60.793263129484245,47.41750394227918,13.375759187205068,qm,-71
20,180,140,20.0,13.0,14.0,0.0,4654.0,630.0,2400.0,1700.0,69.0,24.333333333333332,53.986732222714345,54.57566700795931,-0.588934785244966,20.0,13.0,14.0,0.0,4654.0,630.0,2400.0,1700.0,69.0,24.333333333333332,53.986732222714345,54.57566700795931,-0.588934785244966,qm,40
21,187,155,38.0,16.0,14.0,0.0,5630.0,909.0,2900.0,1750.0,175.0,18.0,72.72444857549085,52.01971336745813,20.704735208032734,38.0,16.0,14.0,0.0,5630.0,909.0,2900.0,1750.0,175.0,18.0,72.72444857549085,52.01971336745813,20.704735208032734,qm,32
22,136,110,10.0,15.0,15.0,0.0,4407.0,677.0,2660.0,1050.0,32.0,24.666666666666668,35.531772286026374,53.19538464753089,-17.66361236150451,10.0,15.0,15.0,0.0,4407.0,677.0,2660.0,1050.0,32.0,24.666666666666668,35.531772286026374,53.19538464753089,-17.66361236150451,qm,26
23,80,125,21.0,16.0,14.0,0.0,4870.0,768.0,2640.0,1550.0,95.0,22.666666666666668,48.31256316542569,38.046152194019136,10.26641097140656,21.0,16.0,14.0,0.0,4870.0,768.0,2640.0,1550.0,95.0,22.666666666666668,48.31256316542569,38.046152194019136,10.26641097140656,qm,-45
24,160,145,40.0,20.0,10.0,0.0,5821.0,837.0,2800.0,2300.0,126.0,10.666666666666666,76.47993788984768,50.80628047091994,25.673657418927743,40.0,20.0,10.0,0.0,5821.0,837.0,2800.0,2300.0,126.0,10.666666666666666,76.47993788984768,50.80628047091994,25.673657418927743,qm,15
25,230,180,7.0,22.0,7.0,0.0,5391.0,800.0,3000.0,1600.0,11.0,10.0,76.71716630765506,44.37138617330161,32.34578013435344,7.0,22.0,7.0,0.0,5391.0,800.0,3000.0,1600.0,11.0,10.0,76.71716630765506,44.37138617330161,32.34578013435344,qm,50
26,160,145,38.0,18.0,11.0,0.0,5526.0,1105.0,2740.0,2000.0,241.0,16.666666666666668,73.25240605102856,60.55009796979696,12.702308081231598,38.0,18.0,11.0,0.0,5526.0,1105.0,2740.0,2000.0,241.0,16.666666666666668,73.25240605102856,60.55009796979696,12.702308081231598,qm,15
27,180,245,3.0,11.0,18.0,0.0,4952.0,738.0,2820.0,1500.0,47.0,32.333333333333336,47.65178828203582,75.52054881059028,-27.868760528554475,3.0,11.0,18.0,0.0,4952.0,738.0,2820.0,1500.0,47.0,32.333333333333336,47.65178828203582,75.52054881059028,-27.868760528554475,qm,-65
28,113,220,30.0,12.0,18.0,0.0,4720.0,570.0,2400.0,1600.0,115.0,30.333333333333332,47.168870122225094,60.498355361808386,-13.32948523958328,30.0,12.0,18.0,0.0,4720.0,570.0,2400.0,1600.0,115.0,30.333333333333332,47.168870122225094,60.498355361808386,-13.32948523958328,qm,-107
29,180,145,18.0,15.0,14.0,0.0,4980.0,961.0,2900.0,1350.0,40.0,23.333333333333332,63.796678805089165,48.56318519811605,15.233493606973106,18.0,15.0,14.0,0.0,4980.0,961.0,2900.0,1350.0,40.0,23.333333333333332,63.796678805089165,48.56318519811605,15.233493606973106,qm,35
30,190,215,23.0,17.0,13.0,0.0,5874.0,662.0,2700.0,2300.0,69.0,16.0,84.07990410299584,58.53775328536542,25.542150817630414,23.0,17.0,13.0,0.0,5874.0,662.0,2700.0,2300.0,69.0,16.0,84.07990410299584,58.53775328536542,25.542150817630414,qm,-25
31,145,230,22.0,11.0,19.0,0.0,4594.0,564.0,2440.0,1450.0,159.0,32.666666666666664,39.80645674059562,60.81326774086796,-21.00681100027234,22.0,11.0,19.0,0.0,4594.0,564.0,2440.0,1450.0,159.0,32.666666666666664,39.80645674059562,60.81326774086796,-21.00681100027234,qm,-85
32,90,145,5.0,6.0,21.0,0.0,3949.0,519.0,2200.0,1100.0,64.0,41.0,32.175506823801435,53.24589493606254,-21.070388112261103,5.0,6.0,21.0,0.0,3949.0,519.0,2200.0,1100.0,64.0,41.0,32.175506823801435,53.24589493606254,-21.070388112261103,qm,-55
33,165,180,19.0,11.0,19.0,0.0,4503.0,719.0,2380.0,1450.0,53.0,32.333333333333336,41.143724206707674,71.22739781662453,-30.08367360991686,19.0,11.0,19.0,0.0,4503.0,719.0,2380.0,1450.0,53.0,32.333333333333336,41.143724206707674,71.22739781662453,-30.08367360991686,qm,-15
34,140,105,16.0,17.0,10.0,0.0,5001.0,650.0,2560.0,1750.0,71.0,16.666666666666668,65.52567466506508,36.31707930532762,29.208595359737462,16.0,17.0,10.0,0.0,5001.0,650.0,2560.0,1750.0,71.0,16.666666666666668,65.52567466506508,36.31707930532762,29.208595359737462,qm,35
35,145,47,8.0,15.0,15.0,0.0,5247.0,675.0,2740.0,1700.0,12.0,23.666666666666668,55.85798628729469,54.16466869998509,1.6933175873096076,8.0,15.0,15.0,0.0,5247.0,675.0,2740.0,1700.0,12.0,23.666666666666668,55.85798628729469,54.16466869998509,1.6933175873096076,qm,98
36,210,95,19.0,15.0,15.0,0.0,5550.0,512.0,2700.0,2250.0,30.0,21.0,62.6285263021855,59.45092903117404,3.1775972710114693,19.0,15.0,15.0,0.0,5550.0,512.0,2700.0,2250.0,30.0,21.0,62.6285263021855,59.45092903117404,3.1775972710114693,qm,115
37,150,126,33.0,19.0,10.0,0.0,5592.0,916.0,3000.0,1900.0,97.0,14.666666666666666,71.45051811987,58.05725546946122,13.393262650408772,33.0,19.0,10.0,0.0,5592.0,916.0,3000.0,1900.0,97.0,14.666666666666666,71.45051811987,58.05725546946122,13.393262650408772,qm,24
