,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,265,255,8.0,20.0,14.0,2.0,6719.0,1341.0,3900.0,2150.0,9.0,13.666666666666666,76.55970786176034,58.727252234495886,17.832455627264466,8.0,20.0,14.0,2.0,6719.0,1341.0,3900.0,2150.0,9.0,13.666666666666666,76.55970786176034,58.727252234495886,17.832455627264466,f,10
1,255,255,8.0,20.0,14.0,2.0,6719.0,1341.0,3900.0,2150.0,9.0,13.666666666666666,76.55970786176034,58.727252234495886,17.832455627264466,8.0,20.0,14.0,2.0,6719.0,1341.0,3900.0,2150.0,9.0,13.666666666666666,76.55970786176034,58.727252234495886,17.832455627264466,f,0
2,230,255,8.0,20.0,14.0,2.0,6719.0,1341.0,3900.0,2150.0,9.0,13.666666666666666,76.55970786176034,58.727252234495886,17.832455627264466,8.0,20.0,14.0,2.0,6719.0,1341.0,3900.0,2150.0,9.0,13.666666666666666,76.55970786176034,58.727252234495886,17.832455627264466,f,-25
3,155,311,8.0,20.0,14.0,2.0,6719.0,1341.0,3900.0,2150.0,9.0,13.666666666666666,76.55970786176034,58.727252234495886,17.832455627264466,8.0,20.0,14.0,2.0,6719.0,1341.0,3900.0,2150.0,9.0,13.666666666666666,76.55970786176034,58.727252234495886,17.832455627264466,f,-156
4,255,305,19.0,16.0,18.0,1.0,6380.0,1249.0,3640.0,2150.0,35.0,18.666666666666668,62.697014260333646,60.028421692045534,2.668592568288105,19.0,16.0,18.0,1.0,6380.0,1249.0,3640.0,2150.0,35.0,18.666666666666668,62.697014260333646,60.028421692045534,2.668592568288105,qf,-50
5,232,305,19.0,16.0,18.0,1.0,6380.0,1249.0,3640.0,2150.0,35.0,18.666666666666668,62.697014260333646,60.028421692045534,2.668592568288105,19.0,16.0,18.0,1.0,6380.0,1249.0,3640.0,2150.0,35.0,18.666666666666668,62.697014260333646,60.028421692045534,2.668592568288105,qf,-73
6,255,310,20.0,18.0,16.0,2.0,6656.0,1159.0,3560.0,2350.0,11.0,14.666666666666666,65.8773621669761,48.794460163209756,17.08290200376634,20.0,18.0,16.0,2.0,6656.0,1159.0,3560.0,2350.0,11.0,14.666666666666666,65.8773621669761,48.794460163209756,17.08290200376634,qf,-55
7,205,235,20.0,18.0,16.0,2.0,6656.0,1159.0,3560.0,2350.0,11.0,14.666666666666666,65.8773621669761,48.794460163209756,17.08290200376634,20.0,18.0,16.0,2.0,6656.0,1159.0,3560.0,2350.0,11.0,14.666666666666666,65.8773621669761,48.794460163209756,17.08290200376634,qf,-30
8,230,185,10.0,19.0,16.0,1.0,6521.0,1150.0,3800.0,2100.0,31.0,13.666666666666666,60.25933109613845,56.71063781057245,3.548693285566008,10.0,19.0,16.0,1.0,6521.0,1150.0,3800.0,2100.0,31.0,13.666666666666666,60.25933109613845,56.71063781057245,3.548693285566008,qf,45
9,95,295,10.0,19.0,16.0,1.0,6521.0,1150.0,3800.0,2100.0,31.0,13.666666666666666,60.25933109613845,56.71063781057245,3.548693285566008,10.0,19.0,16.0,1.0,6521.0,1150.0,3800.0,2100.0,31.0,13.666666666666666,60.25933109613845,56.71063781057245,3.548693285566008,qf,-200
