,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,205,213,24.0,25.0,11.0,0.0,9667.0,1723.0,4840.0,4000.0,22.0,10.0,102.31759337463302,79.19037343884115,23.127219935791867,24.0,25.0,11.0,0.0,9667.0,1723.0,4840.0,4000.0,22.0,10.0,102.31759337463302,79.19037343884115,23.127219935791867,f,-8
1,255,405,24.0,25.0,11.0,0.0,9667.0,1723.0,4840.0,4000.0,22.0,10.0,102.31759337463302,79.19037343884115,23.127219935791867,24.0,25.0,11.0,0.0,9667.0,1723.0,4840.0,4000.0,22.0,10.0,102.31759337463302,79.19037343884115,23.127219935791867,f,-150
2,213,402,24.0,19.0,17.0,0.0,8993.0,1618.0,4800.0,3450.0,48.0,20.333333333333332,87.14265660604572,85.74747416208955,1.3951824439561686,24.0,19.0,17.0,0.0,8993.0,1618.0,4800.0,3450.0,48.0,20.333333333333332,87.14265660604572,85.74747416208955,1.3951824439561686,qf,-189
3,286,401,24.0,19.0,17.0,0.0,8993.0,1618.0,4800.0,3450.0,48.0,20.333333333333332,87.14265660604572,85.74747416208955,1.3951824439561686,24.0,19.0,17.0,0.0,8993.0,1618.0,4800.0,3450.0,48.0,20.333333333333332,87.14265660604572,85.74747416208955,1.3951824439561686,qf,-115
4,305,257,36.0,23.0,13.0,0.0,9137.0,1678.0,4780.0,3550.0,32.0,14.666666666666666,91.09566890185194,64.43138741026289,26.664281491589055,36.0,23.0,13.0,0.0,9137.0,1678.0,4780.0,3550.0,32.0,14.666666666666666,91.09566890185194,64.43138741026289,26.664281491589055,qf,48
5,230,422,36.0,23.0,13.0,0.0,9137.0,1678.0,4780.0,3550.0,32.0,14.666666666666666,91.09566890185194,64.43138741026289,26.664281491589055,36.0,23.0,13.0,0.0,9137.0,1678.0,4780.0,3550.0,32.0,14.666666666666666,91.09566890185194,64.43138741026289,26.664281491589055,qf,-192
6,255,380,36.0,23.0,13.0,0.0,9137.0,1678.0,4780.0,3550.0,32.0,14.666666666666666,91.09566890185194,64.43138741026289,26.664281491589055,36.0,23.0,13.0,0.0,9137.0,1678.0,4780.0,3550.0,32.0,14.666666666666666,91.09566890185194,64.43138741026289,26.664281491589055,qf,-125
7,237,446,17.0,20.0,16.0,0.0,9681.0,1626.0,5120.0,3700.0,71.0,12.0,99.58870728559852,81.56010370844203,18.02860357715649,17.0,20.0,16.0,0.0,9681.0,1626.0,5120.0,3700.0,71.0,12.0,99.58870728559852,81.56010370844203,18.02860357715649,qf,-209
8,252,395,17.0,20.0,16.0,0.0,9681.0,1626.0,5120.0,3700.0,71.0,12.0,99.58870728559852,81.56010370844203,18.02860357715649,17.0,20.0,16.0,0.0,9681.0,1626.0,5120.0,3700.0,71.0,12.0,99.58870728559852,81.56010370844203,18.02860357715649,qf,-143
9,305,390,9.0,19.0,17.0,0.0,9341.0,2033.0,5060.0,3450.0,26.0,16.333333333333332,92.63382954541912,81.92707148446318,10.70675806095592,9.0,19.0,17.0,0.0,9341.0,2033.0,5060.0,3450.0,26.0,16.333333333333332,92.63382954541912,81.92707148446318,10.70675806095592,qf,-85
10,280,395,9.0,19.0,17.0,0.0,9341.0,2033.0,5060.0,3450.0,26.0,16.333333333333332,92.63382954541912,81.92707148446318,10.70675806095592,9.0,19.0,17.0,0.0,9341.0,2033.0,5060.0,3450.0,26.0,16.333333333333332,92.63382954541912,81.92707148446318,10.70675806095592,qf,-115
11,140,265,10.0,16.0,20.0,0.0,8533.0,1246.0,4500.0,3400.0,33.0,28.0,73.0894037136221,89.12944702551975,-16.040043311897644,10.0,16.0,20.0,0.0,8533.0,1246.0,4500.0,3400.0,33.0,28.0,73.0894037136221,89.12944702551975,-16.040043311897644,qm,-125
12,305,309,22.0,18.0,18.0,0.0,9506.0,1859.0,4880.0,3850.0,26.0,21.0,99.37973919049404,90.94130037741854,8.438438813075502,22.0,18.0,18.0,0.0,9506.0,1859.0,4880.0,3850.0,26.0,21.0,99.37973919049404,90.94130037741854,8.438438813075502,qm,-4
