,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,236,185,6.0,19.0,13.0,1.0,5511.0,915.0,3080.0,1850.0,36.0,11.666666666666666,60.204189548253964,39.01834197173165,21.185847576522306,6.0,19.0,13.0,1.0,5511.0,915.0,3080.0,1850.0,36.0,11.666666666666666,60.204189548253964,39.01834197173165,21.185847576522306,f,51
1,211,255,6.0,19.0,13.0,1.0,5511.0,915.0,3080.0,1850.0,36.0,11.666666666666666,60.204189548253964,39.01834197173165,21.185847576522306,6.0,19.0,13.0,1.0,5511.0,915.0,3080.0,1850.0,36.0,11.666666666666666,60.204189548253964,39.01834197173165,21.185847576522306,f,-44
2,206,445,6.0,19.0,13.0,1.0,5511.0,915.0,3080.0,1850.0,36.0,11.666666666666666,60.204189548253964,39.01834197173165,21.185847576522306,6.0,19.0,13.0,1.0,5511.0,915.0,3080.0,1850.0,36.0,11.666666666666666,60.204189548253964,39.01834197173165,21.185847576522306,f,-239
3,135,160,4.0,19.0,13.0,1.0,4735.0,498.0,2960.0,1150.0,20.0,12.666666666666666,45.34833718738138,45.302822782903,0.04551440447838454,4.0,19.0,13.0,1.0,4735.0,498.0,2960.0,1150.0,20.0,12.666666666666666,45.34833718738138,45.302822782903,0.04551440447838454,qf,-25
4,95,250,4.0,19.0,13.0,1.0,4735.0,498.0,2960.0,1150.0,20.0,12.666666666666666,45.34833718738138,45.302822782903,0.04551440447838454,4.0,19.0,13.0,1.0,4735.0,498.0,2960.0,1150.0,20.0,12.666666666666666,45.34833718738138,45.302822782903,0.04551440447838454,qf,-155
5,260,145,28.0,16.0,17.0,0.0,5842.0,911.0,3460.0,1750.0,17.0,16.333333333333332,77.92322105361076,62.84637455577771,15.076846497833062,28.0,16.0,17.0,0.0,5842.0,911.0,3460.0,1750.0,17.0,16.333333333333332,77.92322105361076,62.84637455577771,15.076846497833062,qf,115
6,280,140,28.0,16.0,17.0,0.0,5842.0,911.0,3460.0,1750.0,17.0,16.333333333333332,77.92322105361076,62.84637455577771,15.076846497833062,28.0,16.0,17.0,0.0,5842.0,911.0,3460.0,1750.0,17.0,16.333333333333332,77.92322105361076,62.84637455577771,15.076846497833062,qf,140
7,330,235,8.0,18.0,15.0,0.0,5022.0,815.0,3180.0,1350.0,12.0,14.333333333333334,56.65805674251604,38.321533005159196,18.336523737356845,8.0,18.0,15.0,0.0,5022.0,815.0,3180.0,1350.0,12.0,14.333333333333334,56.65805674251604,38.321533005159196,18.336523737356845,qf,95
8,255,140,8.0,18.0,15.0,0.0,5022.0,815.0,3180.0,1350.0,12.0,14.333333333333334,56.65805674251604,38.321533005159196,18.336523737356845,8.0,18.0,15.0,0.0,5022.0,815.0,3180.0,1350.0,12.0,14.333333333333334,56.65805674251604,38.321533005159196,18.336523737356845,qf,115
9,166,211,18.0,17.0,14.0,2.0,5291.0,589.0,3060.0,1750.0,71.0,14.333333333333334,59.17311857425713,46.589609767658665,12.583508806598465,18.0,17.0,14.0,2.0,5291.0,589.0,3060.0,1750.0,71.0,14.333333333333334,59.17311857425713,46.589609767658665,12.583508806598465,qf,-45
10,125,166,18.0,17.0,14.0,2.0,5291.0,589.0,3060.0,1750.0,71.0,14.333333333333334,59.17311857425713,46.589609767658665,12.583508806598465,18.0,17.0,14.0,2.0,5291.0,589.0,3060.0,1750.0,71.0,14.333333333333334,59.17311857425713,46.589609767658665,12.583508806598465,qf,-41
11,85,85,11.0,10.0,19.0,4.0,4187.0,693.0,2640.0,1100.0,12.0,27.666666666666668,26.200540770550372,58.7667982185655,-32.566257448015136,11.0,10.0,19.0,4.0,4187.0,693.0,2640.0,1100.0,12.0,27.666666666666668,26.200540770550372,58.7667982185655,-32.566257448015136,qm,0
