,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,257,255,10.0,17.0,12.0,1.0,4110.0,560.0,2680.0,950.0,15.0,12.0,43.54567106589379,30.87305200786361,12.672619058030174,10.0,17.0,12.0,1.0,4110.0,560.0,2680.0,950.0,15.0,12.0,43.54567106589379,30.87305200786361,12.672619058030174,f,2
1,256,306,10.0,17.0,12.0,1.0,4110.0,560.0,2680.0,950.0,15.0,12.0,43.54567106589379,30.87305200786361,12.672619058030174,10.0,17.0,12.0,1.0,4110.0,560.0,2680.0,950.0,15.0,12.0,43.54567106589379,30.87305200786361,12.672619058030174,f,-50
2,155,255,10.0,17.0,12.0,1.0,4110.0,560.0,2680.0,950.0,15.0,12.0,43.54567106589379,30.87305200786361,12.672619058030174,10.0,17.0,12.0,1.0,4110.0,560.0,2680.0,950.0,15.0,12.0,43.54567106589379,30.87305200786361,12.672619058030174,f,-100
3,95,235,18.0,14.0,14.0,0.0,3665.0,577.0,2220.0,1000.0,5.0,19.333333333333332,29.655877278245253,38.03204917894278,-8.37617190069753,18.0,14.0,14.0,0.0,3665.0,577.0,2220.0,1000.0,5.0,19.333333333333332,29.655877278245253,38.03204917894278,-8.37617190069753,qf,-140
4,115,185,18.0,14.0,14.0,0.0,3665.0,577.0,2220.0,1000.0,5.0,19.333333333333332,29.655877278245253,38.03204917894278,-8.37617190069753,18.0,14.0,14.0,0.0,3665.0,577.0,2220.0,1000.0,5.0,19.333333333333332,29.655877278245253,38.03204917894278,-8.37617190069753,qf,-70
5,250,235,18.0,13.0,15.0,2.0,4629.0,833.0,2900.0,1250.0,4.0,18.666666666666668,50.56802150660579,44.902401219586416,5.6656202870193715,18.0,13.0,15.0,2.0,4629.0,833.0,2900.0,1250.0,4.0,18.666666666666668,50.56802150660579,44.902401219586416,5.6656202870193715,qf,15
6,255,305,18.0,13.0,15.0,2.0,4629.0,833.0,2900.0,1250.0,4.0,18.666666666666668,50.56802150660579,44.902401219586416,5.6656202870193715,18.0,13.0,15.0,2.0,4629.0,833.0,2900.0,1250.0,4.0,18.666666666666668,50.56802150660579,44.902401219586416,5.6656202870193715,qf,-50
7,240,305,18.0,13.0,15.0,2.0,4629.0,833.0,2900.0,1250.0,4.0,18.666666666666668,50.56802150660579,44.902401219586416,5.6656202870193715,18.0,13.0,15.0,2.0,4629.0,833.0,2900.0,1250.0,4.0,18.666666666666668,50.56802150660579,44.902401219586416,5.6656202870193715,qf,-65
8,235,311,7.0,13.0,15.0,1.0,4088.0,560.0,2500.0,1150.0,13.0,19.333333333333332,40.430424493797325,41.031875224934545,-0.6014507311372128,7.0,13.0,15.0,1.0,4088.0,560.0,2500.0,1150.0,13.0,19.333333333333332,40.430424493797325,41.031875224934545,-0.6014507311372128,qf,-76
9,215,207,7.0,13.0,15.0,1.0,4088.0,560.0,2500.0,1150.0,13.0,19.333333333333332,40.430424493797325,41.031875224934545,-0.6014507311372128,7.0,13.0,15.0,1.0,4088.0,560.0,2500.0,1150.0,13.0,19.333333333333332,40.430424493797325,41.031875224934545,-0.6014507311372128,qf,8
10,165,259,7.0,13.0,15.0,1.0,4088.0,560.0,2500.0,1150.0,13.0,19.333333333333332,40.430424493797325,41.031875224934545,-0.6014507311372128,7.0,13.0,15.0,1.0,4088.0,560.0,2500.0,1150.0,13.0,19.333333333333332,40.430424493797325,41.031875224934545,-0.6014507311372128,qf,-94
11,285,245,10.0,17.0,12.0,1.0,4110.0,560.0,2680.0,950.0,15.0,12.0,43.54567106589379,30.87305200786361,12.672619058030174,10.0,17.0,12.0,1.0,4110.0,560.0,2680.0,950.0,15.0,12.0,43.54567106589379,30.87305200786361,12.672619058030174,qf,40
12,255,215,10.0,17.0,12.0,1.0,4110.0,560.0,2680.0,950.0,15.0,12.0,43.54567106589379,30.87305200786361,12.672619058030174,10.0,17.0,12.0,1.0,4110.0,560.0,2680.0,950.0,15.0,12.0,43.54567106589379,30.87305200786361,12.672619058030174,qf,40
13,115,46,16.0,17.0,12.0,1.0,4429.0,480.0,2740.0,1200.0,29.0,15.333333333333334,47.930571429971955,31.243097577727735,16.687473852244214,16.0,17.0,12.0,1.0,4429.0,480.0,2740.0,1200.0,29.0,15.333333333333334,47.930571429971955,31.243097577727735,16.687473852244214,qm,69
14,40,45,5.0,6.0,18.0,0.0,2742.0,230.0,1820.0,700.0,12.0,33.0,21.45385996502539,47.20946665384265,-25.755606688817256,5.0,6.0,18.0,0.0,2742.0,230.0,1820.0,700.0,12.0,33.0,21.45385996502539,47.20946665384265,-25.755606688817256,qm,-5
15,80,80,12.0,12.0,11.0,3.0,3421.0,368.0,2140.0,900.0,16.0,22.333333333333332,33.50885468683429,33.18514580889296,0.32370887794133313,12.0,12.0,11.0,3.0,3421.0,368.0,2140.0,900.0,16.0,22.333333333333332,33.50885468683429,33.18514580889296,0.32370887794133313,qm,0
16,150,126,17.0,15.0,15.0,0.0,3952.0,515.0,2420.0,950.0,7.0,17.0,40.241071791445805,37.13034212867104,3.110729662774767,17.0,15.0,15.0,0.0,3952.0,515.0,2420.0,950.0,7.0,17.0,40.241071791445805,37.13034212867104,3.110729662774767,qm,24
17,140,80,20.0,14.0,9.0,2.0,3714.0,585.0,2320.0,1000.0,9.0,17.666666666666668,41.937064477990965,28.89804465348496,13.039019824506008,20.0,14.0,9.0,2.0,3714.0,585.0,2320.0,1000.0,9.0,17.666666666666668,41.937064477990965,28.89804465348496,13.039019824506008,qm,60
18,90,131,18.0,10.0,20.0,0.0,3404.0,657.0,2280.0,700.0,14.0,28.0,20.44556468845113,39.44447658211967,-18.998911893668534,18.0,10.0,20.0,0.0,3404.0,657.0,2280.0,700.0,14.0,28.0,20.44556468845113,39.44447658211967,-18.998911893668534,qm,-41
19,130,175,13.0,13.0,11.0,2.0,3777.0,480.0,2560.0,850.0,7.0,19.666666666666668,36.864717471710954,47.70941117921193,-10.84469370750098,13.0,13.0,11.0,2.0,3777.0,480.0,2560.0,850.0,7.0,19.666666666666668,36.864717471710954,47.70941117921193,-10.84469370750098,qm,-45
20,135,135,5.0,12.0,12.0,3.0,3817.0,740.0,2480.0,900.0,7.0,21.333333333333332,36.07058680017857,48.155623842694325,-12.08503704251576,5.0,12.0,12.0,3.0,3817.0,740.0,2480.0,900.0,7.0,21.333333333333332,36.07058680017857,48.155623842694325,-12.08503704251576,qm,0
21,140,95,16.0,19.0,9.0,1.0,4349.0,525.0,2480.0,1350.0,9.0,10.666666666666666,46.611942078715195,30.62081522738247,15.991126851332723,16.0,19.0,9.0,1.0,4349.0,525.0,2480.0,1350.0,9.0,10.666666666666666,46.611942078715195,30.62081522738247,15.991126851332723,qm,45
22,10,185,21.0,8.0,20.0,1.0,3500.0,385.0,2280.0,800.0,30.0,31.0,23.72561657349352,52.680091089776816,-28.954474516283298,21.0,8.0,20.0,1.0,3500.0,385.0,2280.0,800.0,30.0,31.0,23.72561657349352,52.680091089776816,-28.954474516283298,qm,-175
23,50,120,10.0,6.0,17.0,1.0,2754.0,443.0,1880.0,650.0,9.0,32.0,24.021605697377307,43.732737821630224,-19.711132124252913,10.0,6.0,17.0,1.0,2754.0,443.0,1880.0,650.0,9.0,32.0,24.021605697377307,43.732737821630224,-19.711132124252913,qm,-70
24,80,40,18.0,11.0,19.0,0.0,3612.0,500.0,2600.0,650.0,7.0,26.0,26.86820440818704,47.45521638390361,-20.587011975716578,18.0,11.0,19.0,0.0,3612.0,500.0,2600.0,650.0,7.0,26.0,26.86820440818704,47.45521638390361,-20.587011975716578,qm,40
25,80,135,9.0,8.0,11.0,2.0,2892.0,310.0,1800.0,750.0,12.0,29.0,33.05155385114484,37.64005502467089,-4.58850117352605,9.0,8.0,11.0,2.0,2892.0,310.0,1800.0,750.0,12.0,29.0,33.05155385114484,37.64005502467089,-4.58850117352605,qm,-55
26,95,145,18.0,13.0,16.0,1.0,3523.0,505.0,2360.0,750.0,8.0,21.333333333333332,23.597869679465404,32.0516565622801,-8.453786882814697,18.0,13.0,16.0,1.0,3523.0,505.0,2360.0,750.0,8.0,21.333333333333332,23.597869679465404,32.0516565622801,-8.453786882814697,qm,-50
27,140,45,6.0,14.0,14.0,1.0,4324.0,383.0,2640.0,1300.0,4.0,21.0,45.42179918881252,40.3992060129564,5.022593175856133,6.0,14.0,14.0,1.0,4324.0,383.0,2640.0,1300.0,4.0,21.0,45.42179918881252,40.3992060129564,5.022593175856133,qm,95
28,95,190,20.0,17.0,13.0,0.0,3993.0,630.0,2400.0,1150.0,23.0,13.666666666666666,34.32873348797267,30.74949575206544,3.5792377359072347,20.0,17.0,13.0,0.0,3993.0,630.0,2400.0,1150.0,23.0,13.666666666666666,34.32873348797267,30.74949575206544,3.5792377359072347,qm,-95
29,185,117,17.0,11.0,12.0,1.0,3912.0,610.0,2260.0,1350.0,2.0,21.333333333333332,53.749535614464854,44.719216993184716,9.03031862128014,17.0,11.0,12.0,1.0,3912.0,610.0,2260.0,1350.0,2.0,21.333333333333332,53.749535614464854,44.719216993184716,9.03031862128014,qm,68
30,190,55,18.0,12.0,9.0,2.0,3077.0,450.0,2040.0,750.0,12.0,23.333333333333332,38.47347635473386,22.360680432938313,16.11279592179555,18.0,12.0,9.0,2.0,3077.0,450.0,2040.0,750.0,12.0,23.333333333333332,38.47347635473386,22.360680432938313,16.11279592179555,qm,135
31,160,135,24.0,16.0,12.0,2.0,4334.0,940.0,2980.0,950.0,9.0,15.333333333333334,48.32492607861095,39.942363551240724,8.382562527370226,24.0,16.0,12.0,2.0,4334.0,940.0,2980.0,950.0,9.0,15.333333333333334,48.32492607861095,39.942363551240724,8.382562527370226,qm,25
32,100,90,9.0,15.0,11.0,0.0,3218.0,510.0,2000.0,650.0,13.0,18.666666666666668,25.952839697956318,32.30196246808643,-6.3491227701301085,9.0,15.0,11.0,0.0,3218.0,510.0,2000.0,650.0,13.0,18.666666666666668,25.952839697956318,32.30196246808643,-6.3491227701301085,qm,10
33,95,156,22.0,9.0,18.0,1.0,3162.0,385.0,2040.0,750.0,2.0,30.0,18.899595347666523,41.1090107991272,-22.20941545146067,22.0,9.0,18.0,1.0,3162.0,385.0,2040.0,750.0,2.0,30.0,18.899595347666523,41.1090107991272,-22.20941545146067,qm,-61
34,170,95,18.0,18.0,9.0,3.0,4485.0,890.0,2760.0,1250.0,0.0,11.666666666666666,49.27374190510681,38.78667974283609,10.487062162270709,18.0,18.0,9.0,3.0,4485.0,890.0,2760.0,1250.0,0.0,11.666666666666666,49.27374190510681,38.78667974283609,10.487062162270709,qm,75
35,135,90,12.0,14.0,12.0,3.0,4145.0,650.0,2660.0,1100.0,0.0,19.0,41.140997862838034,40.89918555651684,0.2418123063211913,12.0,14.0,12.0,3.0,4145.0,650.0,2660.0,1100.0,0.0,19.0,41.140997862838034,40.89918555651684,0.2418123063211913,qm,45
36,105,190,26.0,9.0,19.0,0.0,3250.0,722.0,2180.0,650.0,35.0,31.0,20.543549964000952,40.2441957309046,-19.700645766903644,26.0,9.0,19.0,0.0,3250.0,722.0,2180.0,650.0,35.0,31.0,20.543549964000952,40.2441957309046,-19.700645766903644,qm,-85
37,105,185,13.0,10.0,20.0,0.0,3385.0,453.0,2260.0,800.0,10.0,28.0,23.83107168797585,41.04400754226605,-17.212935854290194,13.0,10.0,20.0,0.0,3385.0,453.0,2260.0,800.0,10.0,28.0,23.83107168797585,41.04400754226605,-17.212935854290194,qm,-80
38,135,130,6.0,10.0,12.0,2.0,3135.0,310.0,2080.0,800.0,0.0,23.0,32.40592632872205,41.081687122445466,-8.675760793723413,6.0,10.0,12.0,2.0,3135.0,310.0,2080.0,800.0,0.0,23.0,32.40592632872205,41.081687122445466,-8.675760793723413,qm,5
39,86,91,22.0,14.0,14.0,2.0,3996.0,393.0,2420.0,1200.0,16.0,18.333333333333332,39.97956524016929,25.49509403035755,14.484471209811744,22.0,14.0,14.0,2.0,3996.0,393.0,2420.0,1200.0,16.0,18.333333333333332,39.97956524016929,25.49509403035755,14.484471209811744,qm,-5
40,200,190,22.0,16.0,12.0,2.0,4780.0,855.0,2920.0,1400.0,10.0,15.0,58.769568349703356,40.78093858499701,17.988629764706346,22.0,16.0,12.0,2.0,4780.0,855.0,2920.0,1400.0,10.0,15.0,58.769568349703356,40.78093858499701,17.988629764706346,qm,10
41,135,52,4.0,13.0,13.0,1.0,3541.0,265.0,2180.0,1100.0,1.0,21.0,28.670707769815454,27.1501880384268,1.5205197313886576,4.0,13.0,13.0,1.0,3541.0,265.0,2180.0,1100.0,1.0,21.0,28.670707769815454,27.1501880384268,1.5205197313886576,qm,83
42,50,85,14.0,13.0,15.0,0.0,3137.0,540.0,2080.0,550.0,7.0,23.666666666666668,19.196449433955515,28.178546614930763,-8.98209718097525,14.0,13.0,15.0,0.0,3137.0,540.0,2080.0,550.0,7.0,23.666666666666668,19.196449433955515,28.178546614930763,-8.98209718097525,qm,-35
43,270,180,8.0,16.0,11.0,2.0,4550.0,493.0,2660.0,1550.0,10.0,14.333333333333334,55.43841402098199,35.26754282126054,20.17087119972145,8.0,16.0,11.0,2.0,4550.0,493.0,2660.0,1550.0,10.0,14.333333333333334,55.43841402098199,35.26754282126054,20.17087119972145,qm,90
44,185,160,21.0,19.0,9.0,1.0,4040.0,610.0,2620.0,900.0,10.0,9.0,46.32174370829697,30.42142976812468,15.900313940172294,21.0,19.0,9.0,1.0,4040.0,610.0,2620.0,900.0,10.0,9.0,46.32174370829697,30.42142976812468,15.900313940172294,qm,25
45,235,145,15.0,19.0,8.0,0.0,4212.0,490.0,2440.0,1300.0,7.0,13.0,48.706671164227934,30.209817845746525,18.49685331848141,15.0,19.0,8.0,0.0,4212.0,490.0,2440.0,1300.0,7.0,13.0,48.706671164227934,30.209817845746525,18.49685331848141,qm,90
46,137,45,21.0,15.0,14.0,1.0,4473.0,744.0,2580.0,1350.0,13.0,18.0,43.579221080918266,45.80749591869272,-2.228274837774452,21.0,15.0,14.0,1.0,4473.0,744.0,2580.0,1350.0,13.0,18.0,43.579221080918266,45.80749591869272,-2.228274837774452,qm,92
47,180,180,31.0,7.0,15.0,3.0,3320.0,350.0,2100.0,950.0,10.0,30.333333333333332,36.53431129356693,36.552727283705444,-0.018415990138507254,31.0,7.0,15.0,3.0,3320.0,350.0,2100.0,950.0,10.0,30.333333333333332,36.53431129356693,36.552727283705444,-0.018415990138507254,qm,0
48,95,145,13.0,13.0,16.0,1.0,3642.0,563.0,2480.0,750.0,12.0,20.0,31.119725140477456,39.112011402360594,-7.992286261883141,13.0,13.0,16.0,1.0,3642.0,563.0,2480.0,750.0,12.0,20.0,31.119725140477456,39.112011402360594,-7.992286261883141,qm,-50
49,158,95,31.0,14.0,16.0,0.0,3825.0,817.0,2640.0,700.0,15.0,19.333333333333332,33.34867776618183,41.69534044842222,-8.346662682240394,31.0,14.0,16.0,0.0,3825.0,817.0,2640.0,700.0,15.0,19.333333333333332,33.34867776618183,41.69534044842222,-8.346662682240394,qm,63
50,85,171,13.0,11.0,16.0,2.0,3684.0,240.0,2420.0,1050.0,4.0,23.666666666666668,29.59151581361608,39.939725453727725,-10.348209640111643,13.0,11.0,16.0,2.0,3684.0,240.0,2420.0,1050.0,4.0,23.666666666666668,29.59151581361608,39.939725453727725,-10.348209640111643,qm,-86
51,191,50,17.0,15.0,15.0,0.0,4183.0,570.0,2500.0,1300.0,13.0,17.666666666666668,42.69905528879451,41.92117637992933,0.7778789088651905,17.0,15.0,15.0,0.0,4183.0,570.0,2500.0,1300.0,13.0,17.666666666666668,42.69905528879451,41.92117637992933,0.7778789088651905,qm,141
52,95,215,12.0,14.0,15.0,1.0,4029.0,447.0,2580.0,1000.0,4.0,19.0,36.05029671860748,45.03720705715147,-8.986910338543993,12.0,14.0,15.0,1.0,4029.0,447.0,2580.0,1000.0,4.0,19.0,36.05029671860748,45.03720705715147,-8.986910338543993,qm,-120
53,235,130,19.0,22.0,7.0,1.0,4949.0,715.0,2900.0,1550.0,4.0,7.333333333333333,67.53064174882361,25.221056875854988,42.30958487296862,19.0,22.0,7.0,1.0,4949.0,715.0,2900.0,1550.0,4.0,7.333333333333333,67.53064174882361,25.221056875854988,42.30958487296862,qm,105
54,90,175,13.0,7.0,14.0,4.0,2759.0,460.0,2000.0,500.0,14.0,30.333333333333332,23.14818145790915,38.551418931882466,-15.403237473973318,13.0,7.0,14.0,4.0,2759.0,460.0,2000.0,500.0,14.0,30.333333333333332,23.14818145790915,38.551418931882466,-15.403237473973318,qm,-85
55,185,145,2.0,15.0,13.0,2.0,4100.0,348.0,2600.0,1100.0,10.0,16.666666666666668,44.424181127274665,32.161863398893985,12.262317728380674,2.0,15.0,13.0,2.0,4100.0,348.0,2600.0,1100.0,10.0,16.666666666666668,44.424181127274665,32.161863398893985,12.262317728380674,qm,40
56,171,90,10.0,14.0,11.0,1.0,3409.0,535.0,2080.0,800.0,24.0,18.666666666666668,32.06987233538626,35.201797976748715,-3.1319256413624585,10.0,14.0,11.0,1.0,3409.0,535.0,2080.0,800.0,24.0,18.666666666666668,32.06987233538626,35.201797976748715,-3.1319256413624585,qm,81
57,235,50,19.0,15.0,13.0,2.0,4985.0,825.0,3060.0,1400.0,0.0,13.666666666666666,61.26139835524234,44.059252969011425,17.20214538623092,19.0,15.0,13.0,2.0,4985.0,825.0,3060.0,1400.0,0.0,13.666666666666666,61.26139835524234,44.059252969011425,17.20214538623092,qm,185
58,100,115,16.0,8.0,15.0,0.0,3005.0,442.0,1800.0,950.0,5.0,28.333333333333332,30.266674596423588,43.658465302949935,-13.39179070652635,16.0,8.0,15.0,0.0,3005.0,442.0,1800.0,950.0,5.0,28.333333333333332,30.266674596423588,43.658465302949935,-13.39179070652635,qm,-15
59,200,130,23.0,20.0,8.0,2.0,4909.0,930.0,2980.0,1500.0,4.0,6.333333333333333,60.86825874412974,28.052709362629184,32.81554938150056,23.0,20.0,8.0,2.0,4909.0,930.0,2980.0,1500.0,4.0,6.333333333333333,60.86825874412974,28.052709362629184,32.81554938150056,qm,70
60,85,175,6.0,11.0,15.0,1.0,3480.0,392.0,2220.0,900.0,10.0,24.333333333333332,26.916274650730543,45.948742623103264,-19.032467972372714,6.0,11.0,15.0,1.0,3480.0,392.0,2220.0,900.0,10.0,24.333333333333332,26.916274650730543,45.948742623103264,-19.032467972372714,qm,-90
61,135,280,20.0,12.0,18.0,0.0,3959.0,628.0,2700.0,850.0,9.0,22.666666666666668,37.44482859546731,53.307968912542464,-15.863140317075164,20.0,12.0,18.0,0.0,3959.0,628.0,2700.0,850.0,9.0,22.666666666666668,37.44482859546731,53.307968912542464,-15.863140317075164,qm,-145
