,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,255,455,20.0,18.0,12.0,0.0,8567.0,1680.0,4180.0,3550.0,37.0,23.666666666666668,109.19980180180737,88.65134834976705,20.54845345204031,20.0,18.0,12.0,0.0,8567.0,1680.0,4180.0,3550.0,37.0,23.666666666666668,109.19980180180737,88.65134834976705,20.54845345204031,f,-200
1,445,310,20.0,18.0,12.0,0.0,8567.0,1680.0,4180.0,3550.0,37.0,23.666666666666668,109.19980180180737,88.65134834976705,20.54845345204031,20.0,18.0,12.0,0.0,8567.0,1680.0,4180.0,3550.0,37.0,23.666666666666668,109.19980180180737,88.65134834976705,20.54845345204031,f,135
2,405,336,20.0,18.0,12.0,0.0,8567.0,1680.0,4180.0,3550.0,37.0,23.666666666666668,109.19980180180737,88.65134834976705,20.54845345204031,20.0,18.0,12.0,0.0,8567.0,1680.0,4180.0,3550.0,37.0,23.666666666666668,109.19980180180737,88.65134834976705,20.54845345204031,f,69
3,305,316,30.0,16.0,13.0,1.0,8238.0,1821.0,4040.0,3500.0,168.0,23.0,84.90974015850094,91.17114532602801,-6.261405167527063,30.0,16.0,13.0,1.0,8238.0,1821.0,4040.0,3500.0,168.0,23.0,84.90974015850094,91.17114532602801,-6.261405167527063,qf,-11
4,172,316,30.0,16.0,13.0,1.0,8238.0,1821.0,4040.0,3500.0,168.0,23.0,84.90974015850094,91.17114532602801,-6.261405167527063,30.0,16.0,13.0,1.0,8238.0,1821.0,4040.0,3500.0,168.0,23.0,84.90974015850094,91.17114532602801,-6.261405167527063,qf,-144
5,255,329,20.0,18.0,12.0,0.0,8771.0,1605.0,4260.0,3650.0,71.0,18.666666666666668,106.74001742965852,71.68283626477024,35.05718116488827,20.0,18.0,12.0,0.0,8771.0,1605.0,4260.0,3650.0,71.0,18.666666666666668,106.74001742965852,71.68283626477024,35.05718116488827,qf,-74
6,425,202,20.0,18.0,12.0,0.0,8771.0,1605.0,4260.0,3650.0,71.0,18.666666666666668,106.74001742965852,71.68283626477024,35.05718116488827,20.0,18.0,12.0,0.0,8771.0,1605.0,4260.0,3650.0,71.0,18.666666666666668,106.74001742965852,71.68283626477024,35.05718116488827,qf,223
7,465,332,20.0,18.0,12.0,0.0,8771.0,1605.0,4260.0,3650.0,71.0,18.666666666666668,106.74001742965852,71.68283626477024,35.05718116488827,20.0,18.0,12.0,0.0,8771.0,1605.0,4260.0,3650.0,71.0,18.666666666666668,106.74001742965852,71.68283626477024,35.05718116488827,qf,133
8,427,451,16.0,21.0,9.0,0.0,8812.0,1716.0,4140.0,3800.0,67.0,10.333333333333334,118.88879500272468,84.64199979967955,34.24679520304512,16.0,21.0,9.0,0.0,8812.0,1716.0,4140.0,3800.0,67.0,10.333333333333334,118.88879500272468,84.64199979967955,34.24679520304512,qf,-24
9,470,457,12.0,19.0,11.0,0.0,8798.0,1831.0,4220.0,3700.0,93.0,15.0,116.64605020615461,93.59557144752881,23.0504787586258,12.0,19.0,11.0,0.0,8798.0,1831.0,4220.0,3700.0,93.0,15.0,116.64605020615461,93.59557144752881,23.0504787586258,qf,13
10,399,404,12.0,19.0,11.0,0.0,8957.0,2084.0,4340.0,3750.0,112.0,16.333333333333332,121.63662167276554,99.4898829922534,22.14673868051212,12.0,19.0,11.0,0.0,8957.0,2084.0,4340.0,3750.0,112.0,16.333333333333332,121.63662167276554,99.4898829922534,22.14673868051212,qf,-5
11,430,305,20.0,18.0,12.0,0.0,8567.0,1680.0,4180.0,3550.0,37.0,23.666666666666668,109.19980180180737,88.65134834976705,20.54845345204031,20.0,18.0,12.0,0.0,8567.0,1680.0,4180.0,3550.0,37.0,23.666666666666668,109.19980180180737,88.65134834976705,20.54845345204031,qf,125
