,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,165,305,15.0,17.0,13.0,0.0,5077.0,1065.0,2860.0,1150.0,272.0,13.666666666666666,78.81519916284101,61.517026672145334,17.29817249069568,15.0,17.0,13.0,0.0,5077.0,1065.0,2860.0,1150.0,272.0,13.666666666666666,78.81519916284101,61.517026672145334,17.29817249069568,f,-140
1,219,215,15.0,17.0,13.0,0.0,5077.0,1065.0,2860.0,1150.0,272.0,13.666666666666666,78.81519916284101,61.517026672145334,17.29817249069568,15.0,17.0,13.0,0.0,5077.0,1065.0,2860.0,1150.0,272.0,13.666666666666666,78.81519916284101,61.517026672145334,17.29817249069568,f,4
2,297,285,15.0,17.0,13.0,0.0,5077.0,1065.0,2860.0,1150.0,272.0,13.666666666666666,78.81519916284101,61.517026672145334,17.29817249069568,15.0,17.0,13.0,0.0,5077.0,1065.0,2860.0,1150.0,272.0,13.666666666666666,78.81519916284101,61.517026672145334,17.29817249069568,f,12
3,271,255,4.0,16.0,14.0,0.0,4720.0,1054.0,2660.0,1350.0,15.0,17.333333333333332,53.982620029979955,46.27351294697413,7.709107083005823,4.0,16.0,14.0,0.0,4720.0,1054.0,2660.0,1350.0,15.0,17.333333333333332,53.982620029979955,46.27351294697413,7.709107083005823,qf,16
4,215,205,4.0,16.0,14.0,0.0,4720.0,1054.0,2660.0,1350.0,15.0,17.333333333333332,53.982620029979955,46.27351294697413,7.709107083005823,4.0,16.0,14.0,0.0,4720.0,1054.0,2660.0,1350.0,15.0,17.333333333333332,53.982620029979955,46.27351294697413,7.709107083005823,qf,10
5,95,280,3.0,19.0,11.0,0.0,4213.0,571.0,2460.0,900.0,53.0,10.666666666666666,31.72517126330221,51.38153875069551,-19.6563674873933,3.0,19.0,11.0,0.0,4213.0,571.0,2460.0,900.0,53.0,10.666666666666666,31.72517126330221,51.38153875069551,-19.6563674873933,qf,-185
6,115,220,3.0,19.0,11.0,0.0,4213.0,571.0,2460.0,900.0,53.0,10.666666666666666,31.72517126330221,51.38153875069551,-19.6563674873933,3.0,19.0,11.0,0.0,4213.0,571.0,2460.0,900.0,53.0,10.666666666666666,31.72517126330221,51.38153875069551,-19.6563674873933,qf,-105
7,95,323,1.0,15.0,15.0,0.0,4543.0,897.0,2540.0,1050.0,48.0,19.666666666666668,52.807709874216705,35.754392001552254,17.053317872664454,1.0,15.0,15.0,0.0,4543.0,897.0,2540.0,1050.0,48.0,19.666666666666668,52.807709874216705,35.754392001552254,17.053317872664454,qf,-228
8,105,232,1.0,15.0,15.0,0.0,4543.0,897.0,2540.0,1050.0,48.0,19.666666666666668,52.807709874216705,35.754392001552254,17.053317872664454,1.0,15.0,15.0,0.0,4543.0,897.0,2540.0,1050.0,48.0,19.666666666666668,52.807709874216705,35.754392001552254,17.053317872664454,qf,-127
9,245,280,2.0,17.0,13.0,0.0,4704.0,886.0,2520.0,1450.0,114.0,11.333333333333334,60.14883229830203,51.53923490533976,8.609597392962272,2.0,17.0,13.0,0.0,4704.0,886.0,2520.0,1450.0,114.0,11.333333333333334,60.14883229830203,51.53923490533976,8.609597392962272,qf,-35
10,170,165,2.0,17.0,13.0,0.0,4704.0,886.0,2520.0,1450.0,114.0,11.333333333333334,60.14883229830203,51.53923490533976,8.609597392962272,2.0,17.0,13.0,0.0,4704.0,886.0,2520.0,1450.0,114.0,11.333333333333334,60.14883229830203,51.53923490533976,8.609597392962272,qf,5
11,195,215,2.0,17.0,13.0,0.0,4704.0,886.0,2520.0,1450.0,114.0,11.333333333333334,60.14883229830203,51.53923490533976,8.609597392962272,2.0,17.0,13.0,0.0,4704.0,886.0,2520.0,1450.0,114.0,11.333333333333334,60.14883229830203,51.53923490533976,8.609597392962272,qf,-20
12,105,140,0.0,13.0,17.0,0.0,4405.0,818.0,2620.0,800.0,50.0,28.333333333333332,43.11971764341845,50.57223444795323,-7.452516804534784,0.0,13.0,17.0,0.0,4405.0,818.0,2620.0,800.0,50.0,28.333333333333332,43.11971764341845,50.57223444795323,-7.452516804534784,qm,-35
13,140,50,1.0,15.0,15.0,0.0,4013.0,798.0,2460.0,950.0,68.0,20.333333333333332,33.894399157865074,51.40415899885432,-17.509759840989247,1.0,15.0,15.0,0.0,4013.0,798.0,2460.0,950.0,68.0,20.333333333333332,33.894399157865074,51.40415899885432,-17.509759840989247,qm,90
