,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,305,329,23.0,22.0,11.0,0.0,7259.0,1518.0,4040.0,2300.0,139.0,9.666666666666666,89.80972009473128,55.860696653009846,33.949023441721415,20.0,20.0,13.0,0.0,6912.0,1674.0,3700.0,2200.0,267.0,12.333333333333334,85.23031325789132,59.36206618997841,25.86824706791292,f,-24
1,290,308,23.0,22.0,11.0,0.0,7259.0,1518.0,4040.0,2300.0,139.0,9.666666666666666,89.80972009473128,55.860696653009846,33.949023441721415,20.0,20.0,13.0,0.0,6912.0,1674.0,3700.0,2200.0,267.0,12.333333333333334,85.23031325789132,59.36206618997841,25.86824706791292,f,-18
2,155,285,10.0,21.0,12.0,0.0,6662.0,1226.0,3420.0,2450.0,67.0,13.666666666666666,72.73840692741548,48.200529587382356,24.53787734003313,20.0,20.0,13.0,0.0,6912.0,1674.0,3700.0,2200.0,267.0,12.333333333333334,85.23031325789132,59.36206618997841,25.86824706791292,qf,-130
3,230,279,10.0,21.0,12.0,0.0,6662.0,1226.0,3420.0,2450.0,67.0,13.666666666666666,72.73840692741548,48.200529587382356,24.53787734003313,20.0,20.0,13.0,0.0,6912.0,1674.0,3700.0,2200.0,267.0,12.333333333333334,85.23031325789132,59.36206618997841,25.86824706791292,qf,-49
4,219,305,43.0,15.0,18.0,0.0,6318.0,1220.0,3280.0,2100.0,248.0,19.0,69.48134594498413,73.91867100564436,-4.4373250606602355,33.0,17.0,16.0,0.0,6893.0,1353.0,3700.0,2400.0,138.0,16.0,82.3745061035358,60.40499792777797,21.969508175757824,qf,-86
5,338,255,43.0,15.0,18.0,0.0,6318.0,1220.0,3280.0,2100.0,248.0,19.0,69.48134594498413,73.91867100564436,-4.4373250606602355,33.0,17.0,16.0,0.0,6893.0,1353.0,3700.0,2400.0,138.0,16.0,82.3745061035358,60.40499792777797,21.969508175757824,qf,83
6,226,186,43.0,15.0,18.0,0.0,6318.0,1220.0,3280.0,2100.0,248.0,19.0,69.48134594498413,73.91867100564436,-4.4373250606602355,33.0,17.0,16.0,0.0,6893.0,1353.0,3700.0,2400.0,138.0,16.0,82.3745061035358,60.40499792777797,21.969508175757824,qf,40
7,244,202,21.0,19.0,14.0,0.0,6698.0,1387.0,3660.0,2150.0,263.0,14.666666666666666,76.35598498156087,58.505939421393954,17.85004556016692,27.0,20.0,13.0,0.0,6747.0,1295.0,3420.0,2200.0,202.0,12.666666666666666,77.56626462213104,38.4855786747397,39.08068594739134,qf,42
8,314,259,21.0,19.0,14.0,0.0,6698.0,1387.0,3660.0,2150.0,263.0,14.666666666666666,76.35598498156087,58.505939421393954,17.85004556016692,27.0,20.0,13.0,0.0,6747.0,1295.0,3420.0,2200.0,202.0,12.666666666666666,77.56626462213104,38.4855786747397,39.08068594739134,qf,55
9,285,255,26.0,19.0,14.0,0.0,6674.0,1150.0,3500.0,2400.0,149.0,15.0,81.81420478694226,58.242372946973944,23.571831839968322,23.0,22.0,11.0,0.0,7259.0,1518.0,4040.0,2300.0,139.0,9.666666666666666,89.80972009473128,55.860696653009846,33.949023441721415,qf,30
