,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,445,237,32.0,22.0,8.0,0.0,8541.0,1566.0,4380.0,3250.0,176.0,9.0,101.32832258210927,70.49214592309927,30.836176659009993,32.0,22.0,8.0,0.0,8541.0,1566.0,4380.0,3250.0,176.0,9.0,101.32832258210927,70.49214592309927,30.836176659009993,f,208
1,450,217,32.0,22.0,8.0,0.0,8541.0,1566.0,4380.0,3250.0,176.0,9.0,101.32832258210927,70.49214592309927,30.836176659009993,32.0,22.0,8.0,0.0,8541.0,1566.0,4380.0,3250.0,176.0,9.0,101.32832258210927,70.49214592309927,30.836176659009993,f,233
2,401,345,15.0,18.0,11.0,1.0,8807.0,1938.0,4320.0,3400.0,342.0,14.666666666666666,103.80663258857403,84.60699658645125,19.1996360021228,15.0,18.0,11.0,1.0,8807.0,1938.0,4320.0,3400.0,342.0,14.666666666666666,103.80663258857403,84.60699658645125,19.1996360021228,qf,56
3,507,457,15.0,18.0,11.0,1.0,8807.0,1938.0,4320.0,3400.0,342.0,14.666666666666666,103.80663258857403,84.60699658645125,19.1996360021228,15.0,18.0,11.0,1.0,8807.0,1938.0,4320.0,3400.0,342.0,14.666666666666666,103.80663258857403,84.60699658645125,19.1996360021228,qf,50
4,473,235,8.0,20.0,9.0,1.0,8857.0,1796.0,4240.0,3550.0,412.0,13.333333333333334,112.4659935990219,84.21808709541247,28.247906503609432,8.0,20.0,9.0,1.0,8857.0,1796.0,4240.0,3550.0,412.0,13.333333333333334,112.4659935990219,84.21808709541247,28.247906503609432,qf,238
5,426,287,8.0,20.0,9.0,1.0,8857.0,1796.0,4240.0,3550.0,412.0,13.333333333333334,112.4659935990219,84.21808709541247,28.247906503609432,8.0,20.0,9.0,1.0,8857.0,1796.0,4240.0,3550.0,412.0,13.333333333333334,112.4659935990219,84.21808709541247,28.247906503609432,qf,139
6,470,419,24.0,18.0,12.0,0.0,9010.0,1887.0,4340.0,3600.0,185.0,19.0,113.1341830967919,101.58234369648524,11.551839400306648,24.0,18.0,12.0,0.0,9010.0,1887.0,4340.0,3600.0,185.0,19.0,113.1341830967919,101.58234369648524,11.551839400306648,qf,51
7,255,322,24.0,18.0,12.0,0.0,9010.0,1887.0,4340.0,3600.0,185.0,19.0,113.1341830967919,101.58234369648524,11.551839400306648,24.0,18.0,12.0,0.0,9010.0,1887.0,4340.0,3600.0,185.0,19.0,113.1341830967919,101.58234369648524,11.551839400306648,qf,-67
8,452,482,23.0,18.0,12.0,0.0,8962.0,1724.0,4020.0,3800.0,422.0,22.333333333333332,115.5944085431973,93.12231521159032,22.472093331607,23.0,18.0,12.0,0.0,8962.0,1724.0,4020.0,3800.0,422.0,22.333333333333332,115.5944085431973,93.12231521159032,22.472093331607,qf,-30
9,237,447,24.0,16.0,14.0,0.0,8842.0,2127.0,4480.0,3500.0,217.0,23.333333333333332,106.88070009798953,76.16739308857422,30.71330700941533,24.0,16.0,14.0,0.0,8842.0,2127.0,4480.0,3500.0,217.0,23.333333333333332,106.88070009798953,76.16739308857422,30.71330700941533,qf,-210
10,308,428,24.0,17.0,13.0,0.0,8874.0,1898.0,4360.0,3550.0,234.0,22.333333333333332,111.69520924147737,84.596638030796,27.09857121068138,24.0,17.0,13.0,0.0,8874.0,1898.0,4360.0,3550.0,234.0,22.333333333333332,111.69520924147737,84.596638030796,27.09857121068138,qf,-120
11,310,258,31.0,23.0,7.0,0.0,9483.0,2263.0,4480.0,3550.0,618.0,4.333333333333333,120.94176985655251,92.44295726221655,28.49881259433596,31.0,23.0,7.0,0.0,9483.0,2263.0,4480.0,3550.0,618.0,4.333333333333333,120.94176985655251,92.44295726221655,28.49881259433596,qm,52
12,333,350,33.0,15.0,15.0,0.0,8642.0,1729.0,4040.0,3650.0,187.0,36.666666666666664,98.73918741612755,109.34245073557861,-10.603263319451054,33.0,15.0,15.0,0.0,8642.0,1729.0,4040.0,3650.0,187.0,36.666666666666664,98.73918741612755,109.34245073557861,-10.603263319451054,qm,-17
13,350,258,16.0,19.0,11.0,0.0,9153.0,2014.0,4500.0,3600.0,188.0,14.333333333333334,113.45086590182102,83.7171206051679,29.7337452966531,16.0,19.0,11.0,0.0,9153.0,2014.0,4500.0,3600.0,188.0,14.333333333333334,113.45086590182102,83.7171206051679,29.7337452966531,qm,92
14,309,255,11.0,13.0,17.0,0.0,8481.0,1676.0,3980.0,3650.0,161.0,41.0,95.27248542700043,96.67604727294832,-1.4035618459478911,11.0,13.0,17.0,0.0,8481.0,1676.0,3980.0,3650.0,161.0,41.0,95.27248542700043,96.67604727294832,-1.4035618459478911,qm,54
15,245,313,25.0,15.0,15.0,0.0,8059.0,1598.0,4180.0,3100.0,84.0,32.666666666666664,98.44110199140272,99.36417625970928,-0.9230742683065642,25.0,15.0,15.0,0.0,8059.0,1598.0,4180.0,3100.0,84.0,32.666666666666664,98.44110199140272,99.36417625970928,-0.9230742683065642,qm,-68
16,100,255,8.0,10.0,20.0,0.0,6904.0,1258.0,3440.0,2700.0,164.0,53.333333333333336,54.890405730724716,83.00917591636343,-28.11877018563872,8.0,10.0,20.0,0.0,6904.0,1258.0,3440.0,2700.0,164.0,53.333333333333336,54.890405730724716,83.00917591636343,-28.11877018563872,qm,-155
17,294,255,10.0,15.0,14.0,1.0,8615.0,2042.0,4060.0,3500.0,300.0,32.666666666666664,97.73958555044929,76.66108762959433,21.078497920854957,10.0,15.0,14.0,1.0,8615.0,2042.0,4060.0,3500.0,300.0,32.666666666666664,97.73958555044929,76.66108762959433,21.078497920854957,qm,39
18,230,206,21.0,14.0,15.0,1.0,7792.0,1215.0,3820.0,3200.0,132.0,38.666666666666664,75.7871202289992,92.76959116226915,-16.98247093326997,21.0,14.0,15.0,1.0,7792.0,1215.0,3820.0,3200.0,132.0,38.666666666666664,75.7871202289992,92.76959116226915,-16.98247093326997,qm,24
19,317,280,23.0,13.0,17.0,0.0,8330.0,1483.0,3780.0,3600.0,390.0,46.333333333333336,104.35129401050047,105.2414695168104,-0.8901755063099112,23.0,13.0,17.0,0.0,8330.0,1483.0,3780.0,3600.0,390.0,46.333333333333336,104.35129401050047,105.2414695168104,-0.8901755063099112,qm,37
20,305,330,2.0,13.0,16.0,1.0,8008.0,1564.0,3760.0,3450.0,118.0,41.333333333333336,81.87506448285609,86.03628487249063,-4.161220389634536,2.0,13.0,16.0,1.0,8008.0,1564.0,3760.0,3450.0,118.0,41.333333333333336,81.87506448285609,86.03628487249063,-4.161220389634536,qm,-25
21,305,349,31.0,14.0,16.0,0.0,8293.0,1468.0,3960.0,3300.0,128.0,37.0,96.22406671507424,104.4915802963374,-8.26751358126315,31.0,14.0,16.0,0.0,8293.0,1468.0,3960.0,3300.0,128.0,37.0,96.22406671507424,104.4915802963374,-8.26751358126315,qm,-44
22,302,371,10.0,12.0,18.0,0.0,7909.0,1931.0,3720.0,3200.0,424.0,40.666666666666664,80.24756707159565,93.63892720894255,-13.391360137346894,10.0,12.0,18.0,0.0,7909.0,1931.0,3720.0,3200.0,424.0,40.666666666666664,80.24756707159565,93.63892720894255,-13.391360137346894,qm,-69
23,325,281,39.0,17.0,13.0,0.0,8764.0,1714.0,4140.0,3750.0,189.0,31.0,102.52991554587472,90.35252344827943,12.177392097595302,39.0,17.0,13.0,0.0,8764.0,1714.0,4140.0,3750.0,189.0,31.0,102.52991554587472,90.35252344827943,12.177392097595302,qm,44
24,255,374,14.0,17.0,13.0,0.0,8937.0,1813.0,4120.0,3700.0,122.0,24.333333333333332,111.73710362742433,95.08039556116881,16.65670806625552,14.0,17.0,13.0,0.0,8937.0,1813.0,4120.0,3700.0,122.0,24.333333333333332,111.73710362742433,95.08039556116881,16.65670806625552,qm,-119
25,330,320,12.0,13.0,17.0,0.0,8070.0,1423.0,3820.0,3250.0,150.0,46.666666666666664,82.38836180443253,96.12983831661273,-13.741476512180213,12.0,13.0,17.0,0.0,8070.0,1423.0,3820.0,3250.0,150.0,46.666666666666664,82.38836180443253,96.12983831661273,-13.741476512180213,qm,10
26,285,110,18.0,15.0,15.0,0.0,8109.0,1307.0,3940.0,3350.0,189.0,36.0,91.70675804621085,71.8529333604235,19.853824685787334,18.0,15.0,15.0,0.0,8109.0,1307.0,3940.0,3350.0,189.0,36.0,91.70675804621085,71.8529333604235,19.853824685787334,qm,175
27,210,275,5.0,15.0,15.0,0.0,8212.0,1582.0,3960.0,3250.0,122.0,36.0,83.49445442341587,87.69112054989834,-4.196666126482455,5.0,15.0,15.0,0.0,8212.0,1582.0,3960.0,3250.0,122.0,36.0,83.49445442341587,87.69112054989834,-4.196666126482455,qm,-65
28,295,200,9.0,17.0,13.0,0.0,8738.0,2218.0,4300.0,3450.0,363.0,19.0,112.88391876924827,76.86013042185631,36.02378834739194,9.0,17.0,13.0,0.0,8738.0,2218.0,4300.0,3450.0,363.0,19.0,112.88391876924827,76.86013042185631,36.02378834739194,qm,95
29,306,259,26.0,19.0,11.0,0.0,8591.0,1961.0,4120.0,3550.0,216.0,22.0,100.95003990192596,86.31900461667391,14.631035285252052,26.0,19.0,11.0,0.0,8591.0,1961.0,4120.0,3550.0,216.0,22.0,100.95003990192596,86.31900461667391,14.631035285252052,qm,47
30,350,305,28.0,17.0,12.0,1.0,8432.0,1878.0,4200.0,3400.0,217.0,23.0,88.73037939534463,84.06547552498186,4.664903870362757,28.0,17.0,12.0,1.0,8432.0,1878.0,4200.0,3400.0,217.0,23.0,88.73037939534463,84.06547552498186,4.664903870362757,qm,45
31,353,135,20.0,16.0,14.0,0.0,8796.0,1802.0,4140.0,3750.0,191.0,27.333333333333332,112.53058247512065,86.71854157673395,25.812040898386694,20.0,16.0,14.0,0.0,8796.0,1802.0,4140.0,3750.0,191.0,27.333333333333332,112.53058247512065,86.71854157673395,25.812040898386694,qm,218
32,195,257,24.0,8.0,22.0,0.0,7033.0,1253.0,3440.0,2800.0,178.0,55.666666666666664,59.295126155443654,102.78463429078171,-43.48950813533806,24.0,8.0,22.0,0.0,7033.0,1253.0,3440.0,2800.0,178.0,55.666666666666664,59.295126155443654,102.78463429078171,-43.48950813533806,qm,-62
33,230,245,15.0,15.0,14.0,1.0,8189.0,1757.0,3980.0,3250.0,194.0,31.333333333333332,87.18135762801313,81.87366424563017,5.307693382382951,15.0,15.0,14.0,1.0,8189.0,1757.0,3980.0,3250.0,194.0,31.333333333333332,87.18135762801313,81.87366424563017,5.307693382382951,qm,-15
34,273,255,6.0,11.0,19.0,0.0,7610.0,1456.0,3340.0,3300.0,420.0,50.666666666666664,83.8850746819939,101.99417239079388,-18.10909770879997,6.0,11.0,19.0,0.0,7610.0,1456.0,3340.0,3300.0,420.0,50.666666666666664,83.8850746819939,101.99417239079388,-18.10909770879997,qm,18
35,210,346,19.0,9.0,21.0,0.0,7720.0,1688.0,3900.0,3000.0,215.0,51.333333333333336,81.22566254238563,114.73461366161506,-33.50895111922941,19.0,9.0,21.0,0.0,7720.0,1688.0,3900.0,3000.0,215.0,51.333333333333336,81.22566254238563,114.73461366161506,-33.50895111922941,qm,-136
36,251,323,29.0,15.0,15.0,0.0,8139.0,1757.0,3860.0,3500.0,169.0,37.0,87.51877785837917,87.58019701002081,-0.06141915164163455,29.0,15.0,15.0,0.0,8139.0,1757.0,3860.0,3500.0,169.0,37.0,87.51877785837917,87.58019701002081,-0.06141915164163455,qm,-72
37,383,300,29.0,18.0,12.0,0.0,9292.0,1883.0,4060.0,3650.0,627.0,13.666666666666666,120.96861305126193,107.9147254521718,13.053887599090151,29.0,18.0,12.0,0.0,9292.0,1883.0,4060.0,3650.0,627.0,13.666666666666666,120.96861305126193,107.9147254521718,13.053887599090151,qm,83
38,195,314,17.0,11.0,18.0,1.0,7902.0,1561.0,3880.0,3200.0,147.0,42.0,80.91697319069745,105.97492053348525,-25.057947342787802,17.0,11.0,18.0,1.0,7902.0,1561.0,3880.0,3200.0,147.0,42.0,80.91697319069745,105.97492053348525,-25.057947342787802,qm,-119
39,306,256,40.0,23.0,7.0,0.0,8658.0,1796.0,4180.0,3600.0,203.0,14.333333333333334,100.24642229826826,72.39009664043623,27.85632565783203,40.0,23.0,7.0,0.0,8658.0,1796.0,4180.0,3600.0,203.0,14.333333333333334,100.24642229826826,72.39009664043623,27.85632565783203,qm,50
40,295,255,20.0,17.0,13.0,0.0,8406.0,1574.0,4080.0,3150.0,291.0,28.333333333333332,91.41336141722094,76.15769746558199,15.25566395163896,20.0,17.0,13.0,0.0,8406.0,1574.0,4080.0,3150.0,291.0,28.333333333333332,91.41336141722094,76.15769746558199,15.25566395163896,qm,40
41,245,237,16.0,14.0,16.0,0.0,7769.0,1391.0,3540.0,3450.0,174.0,43.666666666666664,74.67861581048605,90.12383803229352,-15.445222221807477,16.0,14.0,16.0,0.0,7769.0,1391.0,3540.0,3450.0,174.0,43.666666666666664,74.67861581048605,90.12383803229352,-15.445222221807477,qm,8
42,305,243,11.0,14.0,15.0,1.0,8216.0,1895.0,4000.0,3150.0,371.0,30.0,92.05272770912579,86.4698310260062,5.5828966831195785,11.0,14.0,15.0,1.0,8216.0,1895.0,4000.0,3150.0,371.0,30.0,92.05272770912579,86.4698310260062,5.5828966831195785,qm,62
43,287,257,7.0,14.0,16.0,0.0,8221.0,1355.0,3880.0,3500.0,146.0,42.0,94.72482115658426,102.84211653393531,-8.11729537735105,7.0,14.0,16.0,0.0,8221.0,1355.0,3880.0,3500.0,146.0,42.0,94.72482115658426,102.84211653393531,-8.11729537735105,qm,30
44,359,215,16.0,16.0,14.0,0.0,8663.0,1602.0,4160.0,3600.0,108.0,29.333333333333332,112.77291150971469,86.74565803720755,26.02725347250715,16.0,16.0,14.0,0.0,8663.0,1602.0,4160.0,3600.0,108.0,29.333333333333332,112.77291150971469,86.74565803720755,26.02725347250715,qm,144
