,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,395,407,15.0,18.0,8.0,1.0,6673.0,1185.0,3380.0,2500.0,28.0,10.666666666666666,96.90643770462191,70.55664076120878,26.34979694341312,24.0,20.0,7.0,0.0,6891.0,1537.0,3700.0,2400.0,36.0,10.0,103.76153342649076,54.457813952757895,49.30371947373286,f,-12
1,355,345,15.0,18.0,8.0,1.0,6673.0,1185.0,3380.0,2500.0,28.0,10.666666666666666,96.90643770462191,70.55664076120878,26.34979694341312,24.0,20.0,7.0,0.0,6891.0,1537.0,3700.0,2400.0,36.0,10.0,103.76153342649076,54.457813952757895,49.30371947373286,f,10
2,425,255,15.0,18.0,8.0,1.0,6673.0,1185.0,3380.0,2500.0,28.0,10.666666666666666,96.90643770462191,70.55664076120878,26.34979694341312,24.0,20.0,7.0,0.0,6891.0,1537.0,3700.0,2400.0,36.0,10.0,103.76153342649076,54.457813952757895,49.30371947373286,f,170
3,208,280,41.0,17.0,10.0,0.0,6219.0,1174.0,3260.0,2150.0,49.0,18.0,86.40843377866241,72.7502216900327,13.658212088629712,24.0,20.0,7.0,0.0,6891.0,1537.0,3700.0,2400.0,36.0,10.0,103.76153342649076,54.457813952757895,49.30371947373286,qf,-72
4,246,445,41.0,17.0,10.0,0.0,6219.0,1174.0,3260.0,2150.0,49.0,18.0,86.40843377866241,72.7502216900327,13.658212088629712,24.0,20.0,7.0,0.0,6891.0,1537.0,3700.0,2400.0,36.0,10.0,103.76153342649076,54.457813952757895,49.30371947373286,qf,-199
5,445,390,20.0,16.0,9.0,2.0,6336.0,1346.0,3320.0,2450.0,21.0,18.0,104.28352431752762,56.57337090312014,47.71015341440748,13.0,18.0,9.0,0.0,6272.0,1411.0,3180.0,2400.0,17.0,16.0,84.32649199259427,58.56829899219037,25.758193000403896,qf,55
6,255,200,20.0,16.0,9.0,2.0,6336.0,1346.0,3320.0,2450.0,21.0,18.0,104.28352431752762,56.57337090312014,47.71015341440748,13.0,18.0,9.0,0.0,6272.0,1411.0,3180.0,2400.0,17.0,16.0,84.32649199259427,58.56829899219037,25.758193000403896,qf,55
7,339,445,25.0,16.0,11.0,0.0,6127.0,1293.0,3300.0,2300.0,52.0,18.333333333333332,82.092400036706,68.29249591643237,13.799904120273625,17.0,15.0,11.0,0.0,6089.0,1503.0,3220.0,2350.0,29.0,19.0,97.03504523949276,66.67448461154738,30.360560627945357,qf,-106
8,306,445,25.0,16.0,11.0,0.0,6127.0,1293.0,3300.0,2300.0,52.0,18.333333333333332,82.092400036706,68.29249591643237,13.799904120273625,17.0,15.0,11.0,0.0,6089.0,1503.0,3220.0,2350.0,29.0,19.0,97.03504523949276,66.67448461154738,30.360560627945357,qf,-139
9,310,310,21.0,19.0,8.0,0.0,6210.0,1366.0,3340.0,2300.0,15.0,12.0,85.95321804706214,61.78243583539139,24.17078221167077,15.0,18.0,8.0,1.0,6673.0,1185.0,3380.0,2500.0,28.0,10.666666666666666,96.90643770462191,70.55664076120878,26.34979694341312,qf,0
