,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,395,419,31.0,20.0,12.0,1.0,8022.0,1644.0,4260.0,2800.0,117.0,11.666666666666666,90.30431047060544,63.95652158253548,26.34778888806996,31.0,20.0,12.0,1.0,8022.0,1644.0,4260.0,2800.0,117.0,11.666666666666666,90.30431047060544,63.95652158253548,26.34778888806996,f,-24
1,280,295,31.0,20.0,12.0,1.0,8022.0,1644.0,4260.0,2800.0,117.0,11.666666666666666,90.30431047060544,63.95652158253548,26.34778888806996,31.0,20.0,12.0,1.0,8022.0,1644.0,4260.0,2800.0,117.0,11.666666666666666,90.30431047060544,63.95652158253548,26.34778888806996,f,-15
2,140,348,18.0,14.0,19.0,0.0,6703.0,1447.0,3740.0,2250.0,53.0,24.333333333333332,46.89591694579607,76.21391728426475,-29.31800033846868,18.0,14.0,19.0,0.0,6703.0,1447.0,3740.0,2250.0,53.0,24.333333333333332,46.89591694579607,76.21391728426475,-29.31800033846868,qf,-208
3,165,313,18.0,14.0,19.0,0.0,6703.0,1447.0,3740.0,2250.0,53.0,24.333333333333332,46.89591694579607,76.21391728426475,-29.31800033846868,18.0,14.0,19.0,0.0,6703.0,1447.0,3740.0,2250.0,53.0,24.333333333333332,46.89591694579607,76.21391728426475,-29.31800033846868,qf,-148
4,314,308,20.0,17.0,15.0,1.0,7978.0,1914.0,4280.0,3050.0,78.0,17.333333333333332,95.91752983437205,71.97885554050856,23.938674293863485,20.0,17.0,15.0,1.0,7978.0,1914.0,4280.0,3050.0,78.0,17.333333333333332,95.91752983437205,71.97885554050856,23.938674293863485,qf,6
5,332,155,20.0,17.0,15.0,1.0,7978.0,1914.0,4280.0,3050.0,78.0,17.333333333333332,95.91752983437205,71.97885554050856,23.938674293863485,20.0,17.0,15.0,1.0,7978.0,1914.0,4280.0,3050.0,78.0,17.333333333333332,95.91752983437205,71.97885554050856,23.938674293863485,qf,177
6,235,425,16.0,16.0,17.0,0.0,7493.0,1530.0,4180.0,2600.0,93.0,20.0,81.42634633160496,74.6245733415738,6.801772990031182,16.0,16.0,17.0,0.0,7493.0,1530.0,4180.0,2600.0,93.0,20.0,81.42634633160496,74.6245733415738,6.801772990031182,qf,-190
7,185,187,17.0,19.0,14.0,0.0,7350.0,1362.0,4040.0,2550.0,125.0,13.666666666666666,75.56439947027228,65.96446362324183,9.599935847030466,17.0,19.0,14.0,0.0,7350.0,1362.0,4040.0,2550.0,125.0,13.666666666666666,75.56439947027228,65.96446362324183,9.599935847030466,qf,-2
8,235,395,30.0,17.0,15.0,1.0,7416.0,1433.0,4020.0,2800.0,66.0,18.0,73.33006021905881,72.7919117294415,0.5381484896172992,30.0,17.0,15.0,1.0,7416.0,1433.0,4020.0,2800.0,66.0,18.0,73.33006021905881,72.7919117294415,0.5381484896172992,qf,-160
9,285,260,30.0,17.0,15.0,1.0,7416.0,1433.0,4020.0,2800.0,66.0,18.0,73.33006021905881,72.7919117294415,0.5381484896172992,30.0,17.0,15.0,1.0,7416.0,1433.0,4020.0,2800.0,66.0,18.0,73.33006021905881,72.7919117294415,0.5381484896172992,qf,25
10,255,420,30.0,17.0,15.0,1.0,7416.0,1433.0,4020.0,2800.0,66.0,18.0,73.33006021905881,72.7919117294415,0.5381484896172992,30.0,17.0,15.0,1.0,7416.0,1433.0,4020.0,2800.0,66.0,18.0,73.33006021905881,72.7919117294415,0.5381484896172992,qf,-165
11,255,180,23.0,21.0,12.0,0.0,7628.0,1943.0,4260.0,2650.0,48.0,13.0,86.29359830064443,83.93369857862227,2.3598997220221563,23.0,21.0,12.0,0.0,7628.0,1943.0,4260.0,2650.0,48.0,13.0,86.29359830064443,83.93369857862227,2.3598997220221563,qm,75
12,90,185,12.0,11.0,21.0,1.0,6783.0,1244.0,3680.0,2500.0,43.0,29.0,65.46850660035498,83.51310187375218,-18.04459527339719,12.0,11.0,21.0,1.0,6783.0,1244.0,3680.0,2500.0,43.0,29.0,65.46850660035498,83.51310187375218,-18.04459527339719,qm,-95
13,85,252,6.0,13.0,19.0,1.0,6848.0,1401.0,3800.0,2400.0,53.0,26.0,57.87919025816689,75.76196917623591,-17.88277891806903,6.0,13.0,19.0,1.0,6848.0,1401.0,3800.0,2400.0,53.0,26.0,57.87919025816689,75.76196917623591,-17.88277891806903,qm,-167
14,256,250,29.0,21.0,11.0,1.0,8055.0,2228.0,4340.0,3000.0,130.0,10.0,95.5547749224623,68.3932780768127,27.161496845649605,29.0,21.0,11.0,1.0,8055.0,2228.0,4340.0,3000.0,130.0,10.0,95.5547749224623,68.3932780768127,27.161496845649605,qm,6
15,215,235,20.0,14.0,18.0,1.0,7179.0,1811.0,3880.0,2400.0,54.0,22.666666666666668,65.81133771311627,82.88491864380782,-17.073580930691538,20.0,14.0,18.0,1.0,7179.0,1811.0,3880.0,2400.0,54.0,22.666666666666668,65.81133771311627,82.88491864380782,-17.073580930691538,qm,-20
16,305,160,11.0,14.0,18.0,1.0,7475.0,1350.0,4120.0,2700.0,0.0,25.333333333333332,86.04562589037471,73.55544822048539,12.490177669889334,11.0,14.0,18.0,1.0,7475.0,1350.0,4120.0,2700.0,0.0,25.333333333333332,86.04562589037471,73.55544822048539,12.490177669889334,qm,145
17,225,280,20.0,14.0,19.0,0.0,7217.0,1207.0,3840.0,2650.0,147.0,23.0,71.58727021446181,79.51051460275818,-7.923244388296375,20.0,14.0,19.0,0.0,7217.0,1207.0,3840.0,2650.0,147.0,23.0,71.58727021446181,79.51051460275818,-7.923244388296375,qm,-55
18,235,207,9.0,18.0,15.0,0.0,7533.0,1569.0,4200.0,2650.0,63.0,13.0,71.36896231196242,73.92234193187343,-2.553379619911025,9.0,18.0,15.0,0.0,7533.0,1569.0,4200.0,2650.0,63.0,13.0,71.36896231196242,73.92234193187343,-2.553379619911025,qm,28
19,140,202,21.0,12.0,20.0,1.0,6903.0,1470.0,3780.0,2450.0,78.0,26.0,64.24099843936183,80.96609533774487,-16.725096898383025,21.0,12.0,20.0,1.0,6903.0,1470.0,3780.0,2450.0,78.0,26.0,64.24099843936183,80.96609533774487,-16.725096898383025,qm,-62
20,140,256,18.0,13.0,18.0,2.0,7069.0,1217.0,3860.0,2550.0,19.0,25.666666666666668,66.12955736595713,79.7732177308047,-13.643660364847575,18.0,13.0,18.0,2.0,7069.0,1217.0,3860.0,2550.0,19.0,25.666666666666668,66.12955736595713,79.7732177308047,-13.643660364847575,qm,-116
21,330,292,8.0,21.0,12.0,0.0,7907.0,1989.0,4220.0,3000.0,82.0,12.0,91.14923522136098,81.77707650616254,9.372158715198447,8.0,21.0,12.0,0.0,7907.0,1989.0,4220.0,3000.0,82.0,12.0,91.14923522136098,81.77707650616254,9.372158715198447,qm,38
22,255,205,25.0,23.0,10.0,0.0,7954.0,1966.0,4360.0,2600.0,74.0,10.666666666666666,93.97110590452546,52.9192012842359,41.051904620289555,25.0,23.0,10.0,0.0,7954.0,1966.0,4360.0,2600.0,74.0,10.666666666666666,93.97110590452546,52.9192012842359,41.051904620289555,qm,50
23,315,282,21.0,22.0,11.0,0.0,8036.0,1823.0,4460.0,2800.0,46.0,10.666666666666666,94.80425043751326,66.5678107279037,28.236439709609556,21.0,22.0,11.0,0.0,8036.0,1823.0,4460.0,2800.0,46.0,10.666666666666666,94.80425043751326,66.5678107279037,28.236439709609556,qm,33
24,185,258,9.0,9.0,22.0,2.0,6568.0,930.0,3640.0,2450.0,3.0,33.333333333333336,56.51894481165371,75.08591532519517,-18.56697051354146,9.0,9.0,22.0,2.0,6568.0,930.0,3640.0,2450.0,3.0,33.333333333333336,56.51894481165371,75.08591532519517,-18.56697051354146,qm,-73
