,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,371,349,33.0,18.0,8.0,1.0,7225.0,1536.0,3460.0,2600.0,335.0,7.666666666666667,104.75388173398788,69.54756349225643,35.20631824173143,33.0,18.0,8.0,1.0,7225.0,1536.0,3460.0,2600.0,335.0,7.666666666666667,104.75388173398788,69.54756349225643,35.20631824173143,f,22
1,274,327,33.0,18.0,8.0,1.0,7225.0,1536.0,3460.0,2600.0,335.0,7.666666666666667,104.75388173398788,69.54756349225643,35.20631824173143,33.0,18.0,8.0,1.0,7225.0,1536.0,3460.0,2600.0,335.0,7.666666666666667,104.75388173398788,69.54756349225643,35.20631824173143,f,-53
2,326,260,33.0,18.0,8.0,1.0,7225.0,1536.0,3460.0,2600.0,335.0,7.666666666666667,104.75388173398788,69.54756349225643,35.20631824173143,33.0,18.0,8.0,1.0,7225.0,1536.0,3460.0,2600.0,335.0,7.666666666666667,104.75388173398788,69.54756349225643,35.20631824173143,f,66
3,307,360,43.0,15.0,11.0,1.0,6938.0,1327.0,3280.0,2850.0,153.0,20.666666666666668,101.53489865105063,100.22257892526994,1.3123197257806727,43.0,15.0,11.0,1.0,6938.0,1327.0,3280.0,2850.0,153.0,20.666666666666668,101.53489865105063,100.22257892526994,1.3123197257806727,qf,-53
4,308,310,43.0,15.0,11.0,1.0,6938.0,1327.0,3280.0,2850.0,153.0,20.666666666666668,101.53489865105063,100.22257892526994,1.3123197257806727,43.0,15.0,11.0,1.0,6938.0,1327.0,3280.0,2850.0,153.0,20.666666666666668,101.53489865105063,100.22257892526994,1.3123197257806727,qf,-2
5,400,281,30.0,15.0,12.0,0.0,7025.0,1571.0,3480.0,2600.0,155.0,18.666666666666668,96.0826130504333,70.34064662608641,25.741966424346902,30.0,15.0,12.0,0.0,7025.0,1571.0,3480.0,2600.0,155.0,18.666666666666668,96.0826130504333,70.34064662608641,25.741966424346902,qf,119
6,287,309,30.0,15.0,12.0,0.0,7025.0,1571.0,3480.0,2600.0,155.0,18.666666666666668,96.0826130504333,70.34064662608641,25.741966424346902,30.0,15.0,12.0,0.0,7025.0,1571.0,3480.0,2600.0,155.0,18.666666666666668,96.0826130504333,70.34064662608641,25.741966424346902,qf,-22
7,215,302,30.0,15.0,12.0,0.0,7025.0,1571.0,3480.0,2600.0,155.0,18.666666666666668,96.0826130504333,70.34064662608641,25.741966424346902,30.0,15.0,12.0,0.0,7025.0,1571.0,3480.0,2600.0,155.0,18.666666666666668,96.0826130504333,70.34064662608641,25.741966424346902,qf,-87
8,284,345,26.0,15.0,11.0,0.0,6978.0,1649.0,3480.0,2850.0,138.0,23.333333333333332,112.52222902903584,77.42939527078984,35.09283375824602,26.0,15.0,11.0,0.0,6978.0,1649.0,3480.0,2850.0,138.0,23.333333333333332,112.52222902903584,77.42939527078984,35.09283375824602,qf,-61
9,287,340,26.0,15.0,11.0,0.0,6978.0,1649.0,3480.0,2850.0,138.0,23.333333333333332,112.52222902903584,77.42939527078984,35.09283375824602,26.0,15.0,11.0,0.0,6978.0,1649.0,3480.0,2850.0,138.0,23.333333333333332,112.52222902903584,77.42939527078984,35.09283375824602,qf,-53
10,287,450,45.0,18.0,9.0,0.0,6903.0,1413.0,3360.0,2800.0,143.0,12.333333333333334,95.86585691209253,74.46213755843586,21.403719353656694,45.0,18.0,9.0,0.0,6903.0,1413.0,3360.0,2800.0,143.0,12.333333333333334,95.86585691209253,74.46213755843586,21.403719353656694,qf,-163
11,235,470,45.0,18.0,9.0,0.0,6903.0,1413.0,3360.0,2800.0,143.0,12.333333333333334,95.86585691209253,74.46213755843586,21.403719353656694,45.0,18.0,9.0,0.0,6903.0,1413.0,3360.0,2800.0,143.0,12.333333333333334,95.86585691209253,74.46213755843586,21.403719353656694,qf,-235
12,195,305,23.0,8.0,19.0,0.0,5443.0,1367.0,3000.0,1750.0,98.0,42.0,52.66544638848733,89.69388143826643,-37.028435049779105,23.0,8.0,19.0,0.0,5443.0,1367.0,3000.0,1750.0,98.0,42.0,52.66544638848733,89.69388143826643,-37.028435049779105,qm,-110
13,337,250,33.0,17.0,10.0,0.0,7326.0,1343.0,3520.0,2700.0,186.0,9.0,108.93957279490307,81.17242917321595,27.767143621687126,33.0,17.0,10.0,0.0,7326.0,1343.0,3520.0,2700.0,186.0,9.0,108.93957279490307,81.17242917321595,27.767143621687126,qm,87
14,309,195,20.0,11.0,15.0,0.0,6357.0,1362.0,3240.0,2500.0,87.0,37.333333333333336,89.93954853517113,75.81750992674338,14.122038608427745,20.0,11.0,15.0,0.0,6357.0,1362.0,3240.0,2500.0,87.0,37.333333333333336,89.93954853517113,75.81750992674338,14.122038608427745,qm,114
15,346,255,33.0,20.0,7.0,0.0,7695.0,1727.0,3300.0,2750.0,615.0,11.666666666666666,112.89866835751802,82.74213085313802,30.156537504380015,33.0,20.0,7.0,0.0,7695.0,1727.0,3300.0,2750.0,615.0,11.666666666666666,112.89866835751802,82.74213085313802,30.156537504380015,qm,91
16,260,160,27.0,13.0,14.0,0.0,6870.0,1858.0,3640.0,2450.0,190.0,23.0,88.7125976564202,80.6072946997251,8.105302956695096,27.0,13.0,14.0,0.0,6870.0,1858.0,3640.0,2450.0,190.0,23.0,88.7125976564202,80.6072946997251,8.105302956695096,qm,100
17,134,90,32.0,16.0,10.0,1.0,6591.0,1353.0,3440.0,2300.0,296.0,14.333333333333334,87.50924959042614,57.318960501917765,30.190289088508383,32.0,16.0,10.0,1.0,6591.0,1353.0,3440.0,2300.0,296.0,14.333333333333334,87.50924959042614,57.318960501917765,30.190289088508383,qm,44
18,180,310,16.0,11.0,16.0,0.0,5980.0,1113.0,3180.0,2000.0,150.0,34.0,61.35035851562501,87.82736869382965,-26.47701017820464,16.0,11.0,16.0,0.0,5980.0,1113.0,3180.0,2000.0,150.0,34.0,61.35035851562501,87.82736869382965,-26.47701017820464,qm,-130
19,201,409,33.0,10.0,17.0,0.0,6116.0,1504.0,3280.0,2200.0,81.0,36.666666666666664,73.20184941317247,96.27247536657437,-23.07062595340189,33.0,10.0,17.0,0.0,6116.0,1504.0,3280.0,2200.0,81.0,36.666666666666664,73.20184941317247,96.27247536657437,-23.07062595340189,qm,-208
