,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,270,393,17.0,12.0,3.0,0.0,3548.0,941.0,1820.0,1300.0,73.0,6.666666666666667,93.08668961003445,42.78495296915247,50.301736640881984,17.0,12.0,3.0,0.0,3548.0,941.0,1820.0,1300.0,73.0,6.666666666666667,93.08668961003445,42.78495296915247,50.301736640881984,f,-123
1,269,375,17.0,12.0,3.0,0.0,3548.0,941.0,1820.0,1300.0,73.0,6.666666666666667,93.08668961003445,42.78495296915247,50.301736640881984,17.0,12.0,3.0,0.0,3548.0,941.0,1820.0,1300.0,73.0,6.666666666666667,93.08668961003445,42.78495296915247,50.301736640881984,f,-106
2,317,371,14.0,8.0,7.0,0.0,3469.0,622.0,1680.0,1400.0,99.0,18.666666666666668,66.43139546794406,82.50839447589796,-16.0769990079539,14.0,8.0,7.0,0.0,3469.0,622.0,1680.0,1400.0,99.0,18.666666666666668,66.43139546794406,82.50839447589796,-16.0769990079539,qf,-54
3,258,339,8.0,7.0,8.0,0.0,3407.0,541.0,1700.0,1350.0,57.0,21.333333333333332,56.17910071471968,69.47391232080315,-13.29481160608347,8.0,7.0,8.0,0.0,3407.0,541.0,1700.0,1350.0,57.0,21.333333333333332,56.17910071471968,69.47391232080315,-13.29481160608347,qf,-81
4,255,263,36.0,7.0,8.0,0.0,3392.0,582.0,1600.0,1350.0,32.0,21.0,89.26530134067688,107.31365246460314,-18.048351123926263,36.0,7.0,8.0,0.0,3392.0,582.0,1600.0,1350.0,32.0,21.0,89.26530134067688,107.31365246460314,-18.048351123926263,qf,-8
5,305,170,23.0,9.0,6.0,0.0,3569.0,518.0,1660.0,1550.0,9.0,14.333333333333334,107.16849927919036,109.64023797362512,-2.4717386944347766,23.0,9.0,6.0,0.0,3569.0,518.0,1660.0,1550.0,9.0,14.333333333333334,107.16849927919036,109.64023797362512,-2.4717386944347766,qf,135
6,265,266,23.0,9.0,6.0,0.0,3569.0,518.0,1660.0,1550.0,9.0,14.333333333333334,107.16849927919036,109.64023797362512,-2.4717386944347766,23.0,9.0,6.0,0.0,3569.0,518.0,1660.0,1550.0,9.0,14.333333333333334,107.16849927919036,109.64023797362512,-2.4717386944347766,qf,-1
7,165,300,34.0,7.0,8.0,0.0,3236.0,593.0,1680.0,1200.0,31.0,22.666666666666668,40.0287612468912,81.63106854361378,-41.602307296722564,34.0,7.0,8.0,0.0,3236.0,593.0,1680.0,1200.0,31.0,22.666666666666668,40.0287612468912,81.63106854361378,-41.602307296722564,qf,-135
8,255,237,40.0,7.0,8.0,0.0,3346.0,651.0,1740.0,1200.0,31.0,21.666666666666668,35.01344123584288,84.906055772949,-49.892614537106105,40.0,7.0,8.0,0.0,3346.0,651.0,1740.0,1200.0,31.0,21.666666666666668,35.01344123584288,84.906055772949,-49.892614537106105,qf,18
9,245,306,40.0,7.0,8.0,0.0,3346.0,651.0,1740.0,1200.0,31.0,21.666666666666668,35.01344123584288,84.906055772949,-49.892614537106105,40.0,7.0,8.0,0.0,3346.0,651.0,1740.0,1200.0,31.0,21.666666666666668,35.01344123584288,84.906055772949,-49.892614537106105,qf,-61
