,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,377,446,25.0,19.0,17.0,0.0,10838.0,2139.0,5380.0,4500.0,183.0,12.333333333333334,112.5896374875431,92.86902755915794,19.720609928385162,40.0,21.0,15.0,0.0,10704.0,2353.0,5380.0,4400.0,139.0,11.0,106.92580829398962,100.4056191566375,6.520189137352115,f,-69
1,449,259,25.0,19.0,17.0,0.0,10838.0,2139.0,5380.0,4500.0,183.0,12.333333333333334,112.5896374875431,92.86902755915794,19.720609928385162,40.0,21.0,15.0,0.0,10704.0,2353.0,5380.0,4400.0,139.0,11.0,106.92580829398962,100.4056191566375,6.520189137352115,f,190
2,239,450,25.0,19.0,17.0,0.0,10838.0,2139.0,5380.0,4500.0,183.0,12.333333333333334,112.5896374875431,92.86902755915794,19.720609928385162,40.0,21.0,15.0,0.0,10704.0,2353.0,5380.0,4400.0,139.0,11.0,106.92580829398962,100.4056191566375,6.520189137352115,f,-211
3,450,450,15.0,17.0,19.0,0.0,9998.0,2120.0,5360.0,3900.0,88.0,14.666666666666666,89.58165061040138,91.25956661058065,-1.6779160001792566,44.0,22.0,13.0,1.0,10622.0,2231.0,5360.0,4100.0,82.0,11.666666666666666,108.83216584099712,81.37742715318177,27.454738687815365,qf,0
4,445,300,15.0,17.0,19.0,0.0,9998.0,2120.0,5360.0,3900.0,88.0,14.666666666666666,89.58165061040138,91.25956661058065,-1.6779160001792566,44.0,22.0,13.0,1.0,10622.0,2231.0,5360.0,4100.0,82.0,11.666666666666666,108.83216584099712,81.37742715318177,27.454738687815365,qf,145
5,445,395,15.0,17.0,19.0,0.0,9998.0,2120.0,5360.0,3900.0,88.0,14.666666666666666,89.58165061040138,91.25956661058065,-1.6779160001792566,44.0,22.0,13.0,1.0,10622.0,2231.0,5360.0,4100.0,82.0,11.666666666666666,108.83216584099712,81.37742715318177,27.454738687815365,qf,50
6,451,222,40.0,21.0,15.0,0.0,10704.0,2353.0,5380.0,4400.0,139.0,11.0,106.92580829398962,100.4056191566375,6.520189137352115,38.0,17.0,18.0,0.0,10012.0,2248.0,5220.0,3750.0,182.0,16.666666666666668,93.60604333267581,96.34587300857612,-2.7398296759003102,qf,229
7,452,264,40.0,21.0,15.0,0.0,10704.0,2353.0,5380.0,4400.0,139.0,11.0,106.92580829398962,100.4056191566375,6.520189137352115,38.0,17.0,18.0,0.0,10012.0,2248.0,5220.0,3750.0,182.0,16.666666666666668,93.60604333267581,96.34587300857612,-2.7398296759003102,qf,188
8,299,296,25.0,19.0,17.0,0.0,10838.0,2139.0,5380.0,4500.0,183.0,12.333333333333334,112.5896374875431,92.86902755915794,19.720609928385162,33.0,20.0,15.0,1.0,10447.0,2215.0,5300.0,4200.0,287.0,15.0,103.42097165093178,96.37031004737075,7.050661603561035,qf,3
9,453,453,25.0,19.0,17.0,0.0,10838.0,2139.0,5380.0,4500.0,183.0,12.333333333333334,112.5896374875431,92.86902755915794,19.720609928385162,33.0,20.0,15.0,1.0,10447.0,2215.0,5300.0,4200.0,287.0,15.0,103.42097165093178,96.37031004737075,7.050661603561035,qf,0
10,316,395,13.0,19.0,16.0,1.0,10399.0,2557.0,5260.0,4150.0,94.0,14.666666666666666,100.43672738928642,95.68066681268847,4.756060576597942,29.0,21.0,14.0,1.0,10605.0,2618.0,5600.0,4200.0,95.0,9.666666666666666,101.19734568631632,86.9558892127926,14.241456473523726,qf,-79
11,395,255,13.0,19.0,16.0,1.0,10399.0,2557.0,5260.0,4150.0,94.0,14.666666666666666,100.43672738928642,95.68066681268847,4.756060576597942,29.0,21.0,14.0,1.0,10605.0,2618.0,5600.0,4200.0,95.0,9.666666666666666,101.19734568631632,86.9558892127926,14.241456473523726,qf,140
12,265,395,13.0,19.0,16.0,1.0,10399.0,2557.0,5260.0,4150.0,94.0,14.666666666666666,100.43672738928642,95.68066681268847,4.756060576597942,29.0,21.0,14.0,1.0,10605.0,2618.0,5600.0,4200.0,95.0,9.666666666666666,101.19734568631632,86.9558892127926,14.241456473523726,qf,-130
13,305,235,41.0,21.0,13.0,2.0,10817.0,2520.0,5520.0,4450.0,127.0,12.0,109.8335445304286,88.95403785396913,20.879506676459467,29.0,22.0,14.0,0.0,10502.0,2140.0,5140.0,4350.0,177.0,12.0,100.40112492433684,92.44798065018036,7.953144274156472,qm,70
14,269,258,42.0,21.0,12.0,2.0,10204.0,2311.0,5200.0,4100.0,189.0,13.666666666666666,103.68600013034704,92.56866132916015,11.11733880118689,38.0,19.0,17.0,0.0,10633.0,2315.0,5420.0,4350.0,148.0,13.0,104.13242637385194,98.0466149084932,6.085811465358738,qm,11
15,189,239,22.0,14.0,22.0,0.0,9630.0,2253.0,5160.0,3500.0,255.0,22.666666666666668,75.14088460178765,103.9016417253856,-28.76075712359795,27.0,19.0,17.0,0.0,10239.0,2426.0,5440.0,3900.0,154.0,14.0,95.6103514486348,94.9942506083582,0.6161008402766063,qm,-50
16,345,340,22.0,21.0,14.0,1.0,10847.0,2340.0,5460.0,4350.0,112.0,9.666666666666666,109.91339452320376,93.8899943607301,16.023400162473674,40.0,19.0,16.0,0.0,10467.0,2205.0,5300.0,4300.0,132.0,12.666666666666666,106.20390557593417,99.07045357399745,7.133452001936718,qm,5
17,290,255,26.0,22.0,14.0,0.0,10544.0,2065.0,5220.0,4400.0,79.0,12.666666666666666,106.09825188021479,86.20425315287046,19.893998727344325,37.0,15.0,20.0,1.0,10102.0,2243.0,5320.0,3700.0,112.0,18.0,92.03741499496243,94.69013441407452,-2.6527194191120884,qm,35
18,246,321,22.0,11.0,23.0,1.0,9171.0,1828.0,4740.0,3450.0,296.0,28.333333333333332,72.47740295603943,106.40955323921742,-33.932150283178004,29.0,17.0,18.0,1.0,10010.0,2078.0,5000.0,4050.0,145.0,19.0,87.04695271135627,88.02470197958117,-0.9777492682249024,qm,-75
19,206,355,14.0,15.0,20.0,1.0,9787.0,2424.0,5100.0,3800.0,112.0,21.0,81.98465130681682,96.66843621100729,-14.683784904190468,42.0,22.0,14.0,0.0,10861.0,2484.0,5500.0,4500.0,191.0,9.0,111.5877459172561,89.91586553200572,21.671880385250393,qm,-149
20,305,205,26.0,19.0,16.0,1.0,10461.0,2474.0,5360.0,4350.0,81.0,15.666666666666666,101.45490051923798,92.0757899035264,9.379110615711596,22.0,14.0,21.0,0.0,9454.0,2183.0,5060.0,3650.0,114.0,22.333333333333332,77.05727767524063,101.06103519999071,-24.003757524750085,qm,100
21,285,435,18.0,14.0,22.0,0.0,9519.0,2097.0,4860.0,3650.0,299.0,24.666666666666668,74.71190038156281,102.52829978373607,-27.81639940217326,37.0,23.0,13.0,0.0,10818.0,2380.0,5320.0,4150.0,93.0,10.0,109.39515085263655,91.28013779988906,18.115013052747486,qm,-150
22,306,353,18.0,12.0,24.0,0.0,10024.0,1968.0,5340.0,3950.0,129.0,20.0,90.65937723131741,101.80237503334133,-11.142997802023942,25.0,21.0,15.0,0.0,10723.0,2322.0,5660.0,4250.0,138.0,8.666666666666666,106.21356540784177,94.83695301838311,11.376612389458652,qm,-47
23,298,190,29.0,20.0,15.0,0.0,10455.0,2057.0,5080.0,4500.0,155.0,13.0,103.97357063743941,99.13581922978899,4.837751407650411,29.0,15.0,21.0,0.0,9610.0,2003.0,4880.0,3850.0,145.0,22.666666666666668,77.92760708127068,92.68664912804873,-14.75904204677805,qm,108
24,223,310,34.0,14.0,21.0,0.0,9791.0,2156.0,5000.0,3500.0,286.0,22.666666666666668,93.00890558793435,97.8063337535744,-4.797428165640052,36.0,25.0,11.0,0.0,10941.0,2199.0,5420.0,4500.0,81.0,7.666666666666667,111.36972727406565,82.08756390314728,29.282163370918372,qm,-87
25,280,280,24.0,21.0,12.0,3.0,10381.0,2468.0,5320.0,4200.0,86.0,12.666666666666666,99.83491215199821,84.49911879220056,15.335793359797657,27.0,14.0,18.0,3.0,9663.0,2258.0,5040.0,3750.0,93.0,22.333333333333332,83.73472304158129,99.67728501842181,-15.942561976840523,qm,0
26,297,267,50.0,23.0,13.0,0.0,10918.0,2555.0,5540.0,4500.0,108.0,10.333333333333334,113.75535793966749,88.4621263400136,25.29323159965388,21.0,14.0,21.0,0.0,9634.0,2409.0,5240.0,3550.0,154.0,20.666666666666668,87.18994543697302,93.21696198160375,-6.02701654463073,qm,30
27,289,260,44.0,22.0,14.0,0.0,10910.0,2248.0,5460.0,4350.0,165.0,10.0,112.91432338112922,97.22384492165587,15.69047845947336,19.0,15.0,20.0,1.0,10258.0,2127.0,5280.0,4150.0,73.0,18.666666666666668,89.73111300246296,96.52670029197192,-6.795587289508977,qm,29
28,183,305,12.0,15.0,20.0,1.0,9745.0,2002.0,5120.0,3800.0,130.0,20.333333333333332,79.4371898720524,88.94219281666228,-9.50500294460989,28.0,19.0,16.0,1.0,10445.0,2369.0,5240.0,4050.0,110.0,15.0,102.547183892254,92.59561529920488,9.951568593049124,qm,-122
29,353,295,35.0,23.0,13.0,0.0,10722.0,2387.0,5380.0,4300.0,177.0,10.666666666666666,110.66234160750271,85.17691242969026,25.485429177812453,21.0,17.0,18.0,1.0,10277.0,2263.0,5360.0,4000.0,102.0,15.333333333333334,96.32954494134044,99.98807020629029,-3.658525264949835,qm,58
30,339,255,31.0,17.0,18.0,1.0,10106.0,2274.0,5320.0,3850.0,281.0,18.0,92.89430712997353,101.56734686710439,-8.673039737130884,13.0,15.0,21.0,0.0,10208.0,2365.0,5400.0,4050.0,98.0,18.666666666666668,94.55025720724747,95.89336276157093,-1.3431055543234482,qm,84
31,308,205,27.0,17.0,18.0,0.0,9548.0,2073.0,4820.0,3800.0,113.0,19.666666666666668,85.72262921588269,89.80424527711278,-4.081616061230093,41.0,14.0,20.0,1.0,9288.0,2326.0,4940.0,3500.0,158.0,23.666666666666668,74.891125096978,102.67232935769238,-27.78120426071438,qm,103
32,345,310,32.0,17.0,19.0,0.0,10374.0,2122.0,5360.0,4300.0,74.0,14.333333333333334,92.84476593188919,100.382704544395,-7.537938612505812,26.0,15.0,20.0,0.0,10071.0,2135.0,5080.0,4050.0,276.0,20.0,96.29651067115158,104.05832422047676,-7.761813549325178,qm,35
33,210,372,15.0,16.0,19.0,1.0,9743.0,2198.0,5140.0,3750.0,63.0,20.333333333333332,75.56307486039428,94.9828965030748,-19.419821642680517,14.0,16.0,20.0,0.0,10486.0,1957.0,5260.0,4350.0,161.0,17.0,103.05504939023996,94.73726732081415,8.317782069425803,qm,-162
