,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,0,240,13.0,23.0,13.0,0.0,8944.0,1808.0,4180.0,3850.0,124.0,9.333333333333334,97.51156532203395,60.906221573512376,36.60534374852156,20.0,22.0,14.0,0.0,8864.0,1615.0,4320.0,3650.0,69.0,9.0,90.24808130319666,67.8174268247664,22.430654478430252,f,-240
1,255,270,13.0,23.0,13.0,0.0,8944.0,1808.0,4180.0,3850.0,124.0,9.333333333333334,97.51156532203395,60.906221573512376,36.60534374852156,20.0,22.0,14.0,0.0,8864.0,1615.0,4320.0,3650.0,69.0,9.0,90.24808130319666,67.8174268247664,22.430654478430252,f,-15
2,310,307,37.0,18.0,18.0,0.0,8395.0,1797.0,4200.0,3250.0,170.0,16.666666666666668,79.78305988590063,76.88765502250128,2.8954048633993636,37.0,20.0,16.0,0.0,9001.0,1831.0,4440.0,3550.0,171.0,13.0,99.82912305623483,78.18403643342556,21.64508662280927,qf,3
3,269,210,37.0,18.0,18.0,0.0,8395.0,1797.0,4200.0,3250.0,170.0,16.666666666666668,79.78305988590063,76.88765502250128,2.8954048633993636,37.0,20.0,16.0,0.0,9001.0,1831.0,4440.0,3550.0,171.0,13.0,99.82912305623483,78.18403643342556,21.64508662280927,qf,59
4,255,255,21.0,21.0,15.0,0.0,8142.0,1451.0,4140.0,3100.0,137.0,12.333333333333334,72.58404228417957,74.76055316076689,-2.176510876587306,20.0,22.0,14.0,0.0,8864.0,1615.0,4320.0,3650.0,69.0,9.0,90.24808130319666,67.8174268247664,22.430654478430252,qf,0
5,256,317,21.0,21.0,15.0,0.0,8142.0,1451.0,4140.0,3100.0,137.0,12.333333333333334,72.58404228417957,74.76055316076689,-2.176510876587306,20.0,22.0,14.0,0.0,8864.0,1615.0,4320.0,3650.0,69.0,9.0,90.24808130319666,67.8174268247664,22.430654478430252,qf,-61
6,230,316,21.0,21.0,15.0,0.0,8142.0,1451.0,4140.0,3100.0,137.0,12.333333333333334,72.58404228417957,74.76055316076689,-2.176510876587306,20.0,22.0,14.0,0.0,8864.0,1615.0,4320.0,3650.0,69.0,9.0,90.24808130319666,67.8174268247664,22.430654478430252,qf,-86
7,240,235,22.0,17.0,19.0,0.0,8126.0,1485.0,4000.0,3350.0,91.0,19.666666666666668,80.39130070110453,68.83869100021793,11.5526097008866,13.0,23.0,13.0,0.0,8944.0,1808.0,4180.0,3850.0,124.0,9.333333333333334,97.51156532203395,60.906221573512376,36.60534374852156,qf,5
8,252,306,22.0,17.0,19.0,0.0,8126.0,1485.0,4000.0,3350.0,91.0,19.666666666666668,80.39130070110453,68.83869100021793,11.5526097008866,13.0,23.0,13.0,0.0,8944.0,1808.0,4180.0,3850.0,124.0,9.333333333333334,97.51156532203395,60.906221573512376,36.60534374852156,qf,-54
9,147,266,22.0,17.0,19.0,0.0,8126.0,1485.0,4000.0,3350.0,91.0,19.666666666666668,80.39130070110453,68.83869100021793,11.5526097008866,13.0,23.0,13.0,0.0,8944.0,1808.0,4180.0,3850.0,124.0,9.333333333333334,97.51156532203395,60.906221573512376,36.60534374852156,qf,-119
10,310,302,42.0,19.0,17.0,0.0,8747.0,2022.0,4400.0,3500.0,147.0,14.666666666666666,85.82936965191914,84.88606695368632,0.9433026982328272,23.0,18.0,18.0,0.0,8610.0,1868.0,4040.0,3550.0,365.0,16.333333333333332,95.12740592586142,81.67349009405389,13.453915831807535,qf,8
11,305,292,42.0,19.0,17.0,0.0,8747.0,2022.0,4400.0,3500.0,147.0,14.666666666666666,85.82936965191914,84.88606695368632,0.9433026982328272,23.0,18.0,18.0,0.0,8610.0,1868.0,4040.0,3550.0,365.0,16.333333333333332,95.12740592586142,81.67349009405389,13.453915831807535,qf,13
12,145,125,15.0,19.0,17.0,0.0,8100.0,1804.0,4220.0,3000.0,120.0,18.0,75.76133027270747,72.48659180248289,3.2747384702245577,8.0,12.0,24.0,0.0,7566.0,1550.0,3820.0,2850.0,141.0,29.333333333333332,62.575583141223035,82.56039365598303,-19.98481051476,qm,20
13,150,319,25.0,16.0,18.0,0.0,7558.0,1129.0,3400.0,3300.0,233.0,21.0,73.15162132178793,86.90016695151746,-13.748545629729525,26.0,22.0,14.0,0.0,8779.0,1914.0,4300.0,3500.0,199.0,9.0,90.69448041236967,75.78142139905349,14.913059013316195,qm,-169
14,248,114,46.0,24.0,12.0,0.0,8691.0,1657.0,4240.0,3500.0,151.0,7.0,86.17707894217146,65.87890130393932,20.29817763823215,9.0,15.0,21.0,0.0,7404.0,1890.0,3960.0,2500.0,129.0,24.0,49.01755235666082,82.50442768086786,-33.48687532420704,qm,134
15,280,145,20.0,18.0,16.0,0.0,7840.0,1181.0,3720.0,3350.0,85.0,19.666666666666668,86.4270716119375,75.40019031775886,11.026881294178656,23.0,14.0,22.0,0.0,7620.0,1639.0,3960.0,2750.0,160.0,27.333333333333332,65.16385937025012,88.69912585294082,-23.535266482690698,qm,135
16,312,190,27.0,15.0,21.0,0.0,8653.0,1773.0,4320.0,3450.0,143.0,21.333333333333332,87.34162095416467,85.48453602382205,1.8570849303426253,15.0,16.0,20.0,0.0,7839.0,1706.0,4020.0,2850.0,124.0,19.666666666666668,61.528220111800984,73.57670073385974,-12.048480622058749,qm,122
17,205,250,22.0,14.0,22.0,0.0,7958.0,1923.0,4360.0,2750.0,143.0,20.0,65.97004241044652,88.46894825411981,-22.498905843673285,24.0,21.0,15.0,0.0,8043.0,1745.0,4240.0,3000.0,123.0,12.666666666666666,72.83327068572919,66.67046673132356,6.162803954405642,qm,-45
18,285,232,11.0,20.0,16.0,0.0,8437.0,1678.0,4060.0,3550.0,87.0,15.0,86.87627539123527,72.5733715969893,14.302903794245976,17.0,15.0,21.0,0.0,8068.0,1860.0,3900.0,3150.0,293.0,23.0,76.81337776769296,73.73883203787629,3.074545729816672,qm,53
19,143,308,32.0,20.0,16.0,0.0,8023.0,1776.0,4240.0,2900.0,163.0,15.333333333333334,62.67450589446222,86.76640406394851,-24.09189816948628,36.0,26.0,10.0,0.0,9369.0,1880.0,4520.0,3950.0,99.0,3.0,109.71590148196043,62.90485331425136,46.81104816770907,qm,-165
20,145,287,25.0,18.0,18.0,0.0,7974.0,1488.0,3900.0,3150.0,129.0,18.0,58.91782539963145,68.6348636991745,-9.717038299543054,43.0,21.0,15.0,0.0,8864.0,1937.0,4520.0,3300.0,159.0,12.0,96.00704796501797,69.52553549076138,26.48151247425659,qm,-142
21,234,215,14.0,16.0,20.0,0.0,8036.0,1805.0,3880.0,3250.0,311.0,20.666666666666668,77.85489966640341,84.89731658295169,-7.042416916548281,47.0,14.0,20.0,0.0,7305.0,1560.0,4000.0,2500.0,100.0,22.333333333333332,65.08105812571004,83.31244553232165,-18.231387406611603,qm,19
22,147,165,16.0,16.0,20.0,0.0,8223.0,1920.0,4120.0,3050.0,168.0,20.0,74.53377009872369,66.76306818052923,7.770701918194459,31.0,21.0,15.0,0.0,8262.0,2023.0,4400.0,2900.0,157.0,12.0,77.04848453543532,69.3203975221053,7.7280870133300255,qm,-18
23,145,254,28.0,15.0,21.0,0.0,7978.0,1269.0,3920.0,3150.0,93.0,23.666666666666668,66.06829517989854,81.73079355934668,-15.662498379448131,26.0,20.0,16.0,0.0,8785.0,1749.0,4100.0,3750.0,290.0,12.0,90.99033006134512,80.87652504153552,10.113805019809618,qm,-109
24,145,310,38.0,20.0,16.0,0.0,7819.0,1674.0,4040.0,2850.0,164.0,15.666666666666666,58.46511285100862,72.23559035861959,-13.77047750761097,21.0,19.0,17.0,0.0,8734.0,2070.0,4360.0,3500.0,159.0,14.0,89.59572785906056,84.62115334864929,4.9745745104112755,qm,-165
25,235,185,31.0,18.0,18.0,0.0,8273.0,1629.0,4160.0,3200.0,103.0,19.0,81.70386473335016,80.4256244437584,1.2782402895917688,19.0,17.0,19.0,0.0,8229.0,1707.0,4140.0,3200.0,104.0,21.0,75.7789487773688,71.99940973647023,3.7795390408985603,qm,50
26,260,190,28.0,20.0,16.0,0.0,8284.0,1420.0,4160.0,3200.0,114.0,14.666666666666666,74.631762281396,61.41829143915134,13.213470842244677,7.0,17.0,19.0,0.0,7901.0,1341.0,3880.0,3300.0,66.0,20.666666666666668,62.879777173646914,74.67608144001967,-11.796304266372767,qm,70
27,310,227,25.0,19.0,17.0,0.0,8369.0,1779.0,4240.0,3250.0,169.0,14.0,76.06696307980101,78.20493766515058,-2.1379745853495677,26.0,20.0,16.0,0.0,8609.0,1968.0,4340.0,3300.0,174.0,14.666666666666666,88.15762912810601,86.14959887257476,2.008030255531255,qm,83
28,95,221,17.0,15.0,21.0,0.0,7479.0,1512.0,3960.0,2650.0,104.0,25.333333333333332,54.327957299512796,77.06835096637774,-22.740393666864936,40.0,17.0,17.0,0.0,7596.0,1470.0,3960.0,2750.0,96.0,21.666666666666668,70.6390262576391,70.73887974446104,-0.09985348682193991,qm,-126
29,259,288,11.0,17.0,19.0,0.0,8448.0,1714.0,3980.0,3600.0,248.0,18.0,86.29811195143118,77.54498720386914,8.753124747562055,29.0,21.0,15.0,0.0,8662.0,1625.0,4180.0,3550.0,157.0,10.0,87.69459598067961,69.66781239873737,18.02678358194225,qm,-29
30,158,195,34.0,11.0,25.0,0.0,7459.0,1737.0,4120.0,2450.0,124.0,27.666666666666668,53.14909898746631,78.79124605397516,-25.64214706650886,26.0,18.0,18.0,0.0,8224.0,1688.0,4340.0,3000.0,114.0,18.0,78.12549426169909,79.13934753999155,-1.0138532782924703,qm,-37
31,239,310,18.0,16.0,20.0,0.0,7910.0,1813.0,4160.0,2800.0,150.0,21.0,65.73375394722409,82.63322736219452,-16.89947341497042,28.0,23.0,13.0,0.0,9231.0,1992.0,4560.0,3700.0,146.0,7.0,105.54894466973902,75.19332869836461,30.355615971374423,qm,-71
32,185,245,29.0,18.0,18.0,0.0,8207.0,1718.0,4140.0,3200.0,142.0,17.0,75.03860543471556,77.31358161166916,-2.2749761769535914,26.0,26.0,10.0,0.0,9080.0,1701.0,4260.0,3950.0,115.0,4.333333333333333,98.03326976809733,66.92430883683282,31.108960931264516,qm,-60
33,200,226,22.0,14.0,22.0,0.0,7902.0,1463.0,4020.0,3000.0,87.0,26.666666666666668,64.32974015293858,71.37930594968044,-7.049565796741867,23.0,18.0,18.0,0.0,8373.0,2087.0,4280.0,3100.0,248.0,18.0,81.47788894738069,85.7715206933084,-4.293631745927719,qm,-26
34,327,256,22.0,21.0,15.0,0.0,8845.0,1923.0,4420.0,3500.0,105.0,11.333333333333334,93.2492909047768,57.529134956695486,35.72015594808132,34.0,23.0,13.0,0.0,9064.0,2108.0,4540.0,3550.0,164.0,7.333333333333333,100.64666969702638,67.97627438209115,32.67039531493524,qm,71
35,296,90,30.0,17.0,19.0,0.0,7714.0,1696.0,4060.0,2700.0,159.0,20.333333333333332,64.71774158822564,67.18492452383938,-2.4671829356137565,33.0,16.0,18.0,0.0,7044.0,1318.0,3800.0,2550.0,99.0,23.666666666666668,56.41786153905883,84.47495288916194,-28.057091350103093,qm,206
36,272,310,21.0,14.0,22.0,0.0,8078.0,2076.0,4220.0,2950.0,183.0,25.0,75.80108974768706,88.04781629267633,-12.246726544989286,29.0,22.0,14.0,0.0,8540.0,1933.0,4380.0,3300.0,105.0,10.333333333333334,79.48487017154552,67.81505393117689,11.669816240368625,qm,-38
37,287,180,34.0,25.0,11.0,0.0,8968.0,1902.0,4320.0,3650.0,163.0,4.666666666666667,99.32584205459922,61.854118046372434,37.47172400822679,26.0,16.0,20.0,0.0,8449.0,1555.0,4180.0,3400.0,119.0,21.333333333333332,85.77604122062702,81.44478841098686,4.331252809640176,qm,107
38,167,245,16.0,15.0,21.0,0.0,7816.0,1713.0,4060.0,2850.0,251.0,18.666666666666668,65.93681152468231,82.49106601428743,-16.554254489605114,18.0,22.0,14.0,0.0,8297.0,1591.0,3980.0,3500.0,107.0,11.333333333333334,76.14883014603866,64.58773732404762,11.561092821991025,qm,-78
39,315,224,22.0,21.0,15.0,0.0,9050.0,1572.0,4280.0,3850.0,130.0,10.0,97.23611777832825,82.251339762984,14.984778015344233,26.0,13.0,23.0,0.0,7928.0,1758.0,4040.0,2950.0,108.0,26.333333333333332,69.62697492733871,86.32505728937228,-16.69808236203357,qm,91
40,213,264,28.0,19.0,17.0,0.0,8267.0,1975.0,4180.0,3150.0,192.0,15.666666666666666,78.28450369271307,69.81333226592686,8.471171426786215,35.0,18.0,18.0,0.0,8043.0,1401.0,3820.0,3200.0,288.0,17.666666666666668,76.51736348367673,76.35070755159222,0.16665593208451904,qm,-51
41,195,259,10.0,22.0,14.0,0.0,8714.0,1604.0,4160.0,3750.0,84.0,11.666666666666666,90.86849240129328,68.03803225325316,22.830460148040117,31.0,20.0,16.0,0.0,8873.0,2175.0,4420.0,3500.0,148.0,12.666666666666666,93.28330286332717,67.59370753093462,25.689595332392557,qm,-64
42,288,294,33.0,16.0,18.0,0.0,7836.0,1395.0,3880.0,3100.0,136.0,21.666666666666668,80.33529532740455,75.6760421387193,4.659253188685258,24.0,22.0,14.0,0.0,8923.0,1692.0,4400.0,3550.0,178.0,9.666666666666666,99.38581384181494,85.47642206225032,13.909391779564624,qm,-6
43,255,215,14.0,18.0,18.0,0.0,8116.0,2011.0,4320.0,2950.0,156.0,18.0,67.41701653385924,83.32969438152777,-15.912677847668533,13.0,16.0,20.0,0.0,7770.0,1932.0,4100.0,2850.0,105.0,22.333333333333332,64.1606075450353,76.95567296771101,-12.795065422675707,qm,40
44,95,250,25.0,11.0,25.0,0.0,7053.0,1676.0,4060.0,2100.0,108.0,25.666666666666668,42.62678338218672,76.87053741967226,-34.24375403748555,25.0,19.0,17.0,0.0,8358.0,1441.0,3940.0,3600.0,83.0,16.0,73.28205153580744,79.90721914402687,-6.625167608219432,qm,-155
45,120,158,28.0,17.0,19.0,0.0,8107.0,1764.0,4320.0,2900.0,127.0,19.666666666666668,66.66997604721972,79.51019918346107,-12.84022313624134,27.0,15.0,21.0,0.0,7385.0,1600.0,3980.0,2550.0,145.0,19.0,46.307886003972804,68.71320282031873,-22.405316816345927,qm,-38
46,255,188,34.0,18.0,18.0,0.0,8415.0,1779.0,4320.0,3150.0,140.0,18.666666666666668,79.4806581076564,78.8789129782009,0.6017451294554993,23.0,19.0,17.0,0.0,7941.0,1776.0,4280.0,2700.0,141.0,17.666666666666668,66.39582691129704,81.14937546252825,-14.753548551231221,qm,67
47,152,190,13.0,18.0,18.0,0.0,7815.0,1727.0,3860.0,3150.0,245.0,18.333333333333332,66.72146478656872,74.57200592199023,-7.850541135421511,15.0,16.0,20.0,0.0,7965.0,1457.0,3900.0,3250.0,115.0,21.666666666666668,67.1535396279008,64.76053593851522,2.393003689385582,qm,-38
48,310,155,14.0,23.0,13.0,0.0,8896.0,1611.0,4240.0,3700.0,91.0,8.0,93.34128859112501,69.0611230376516,24.2801655534734,35.0,14.0,22.0,0.0,8123.0,1808.0,4420.0,2900.0,103.0,20.333333333333332,72.3446225731455,84.26611455568595,-11.921491982540443,qm,155
49,305,150,31.0,12.0,24.0,0.0,7425.0,1703.0,4020.0,2350.0,125.0,30.0,56.74010973805616,84.11901836056548,-27.378908622509318,30.0,19.0,17.0,0.0,8128.0,1542.0,4140.0,2950.0,193.0,16.333333333333332,74.24459271673514,81.83016110321718,-7.5855683864820405,qm,155
50,255,200,39.0,21.0,15.0,0.0,8502.0,1893.0,4320.0,3350.0,142.0,10.666666666666666,81.21301179070288,71.19353635444939,10.019475436253495,28.0,14.0,20.0,0.0,7478.0,1445.0,3640.0,3050.0,98.0,26.333333333333332,72.16734836179093,75.83210684916054,-3.6647584873696104,qm,55
51,295,290,24.0,19.0,17.0,0.0,8275.0,1702.0,4140.0,3300.0,165.0,17.0,79.57763525013331,84.3597525390323,-4.782117288898985,27.0,19.0,17.0,0.0,8909.0,1889.0,4460.0,3450.0,179.0,14.666666666666666,91.34078147324216,71.92242219984008,19.41835927340209,qm,5
52,207,164,32.0,17.0,19.0,0.0,7751.0,1751.0,4160.0,2500.0,131.0,20.666666666666668,63.85324955254439,77.81080012732637,-13.957550574781962,19.0,18.0,18.0,0.0,8036.0,1834.0,4020.0,3200.0,116.0,17.333333333333332,69.05164003328989,69.63598350953284,-0.5843434762429496,qm,43
53,216,329,31.0,14.0,20.0,0.0,7106.0,1668.0,3820.0,2400.0,146.0,27.666666666666668,59.56965245967894,90.06812947365582,-30.498477013976878,19.0,20.0,16.0,0.0,8482.0,1568.0,4000.0,3450.0,272.0,14.666666666666666,87.11417777397249,70.42410981196338,16.690067962009124,qm,-113
54,200,205,28.0,15.0,21.0,0.0,7718.0,1782.0,4420.0,2450.0,98.0,19.333333333333332,57.67841651321422,80.12621785873522,-22.447801345520986,13.0,18.0,18.0,0.0,8034.0,2043.0,4300.0,3000.0,99.0,17.333333333333332,65.9425359086095,74.90310099298765,-8.96056508437814,qm,-5
