,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,450,405,40.0,26.0,10.0,0.0,10189.0,1974.0,5220.0,4100.0,114.0,6.666666666666667,107.04830516819705,72.73014376424993,34.318161403947116,40.0,26.0,10.0,0.0,10189.0,1974.0,5220.0,4100.0,114.0,6.666666666666667,107.04830516819705,72.73014376424993,34.318161403947116,f,45
1,404,215,40.0,26.0,10.0,0.0,10189.0,1974.0,5220.0,4100.0,114.0,6.666666666666667,107.04830516819705,72.73014376424993,34.318161403947116,40.0,26.0,10.0,0.0,10189.0,1974.0,5220.0,4100.0,114.0,6.666666666666667,107.04830516819705,72.73014376424993,34.318161403947116,f,189
2,450,263,15.0,16.0,19.0,1.0,9830.0,2171.0,5020.0,4050.0,90.0,16.333333333333332,95.42101741474289,98.0452448718474,-2.624227457104515,15.0,16.0,19.0,1.0,9830.0,2171.0,5020.0,4050.0,90.0,16.333333333333332,95.42101741474289,98.0452448718474,-2.624227457104515,qf,187
3,252,408,15.0,16.0,19.0,1.0,9830.0,2171.0,5020.0,4050.0,90.0,16.333333333333332,95.42101741474289,98.0452448718474,-2.624227457104515,15.0,16.0,19.0,1.0,9830.0,2171.0,5020.0,4050.0,90.0,16.333333333333332,95.42101741474289,98.0452448718474,-2.624227457104515,qf,-156
4,345,403,15.0,16.0,19.0,1.0,9830.0,2171.0,5020.0,4050.0,90.0,16.333333333333332,95.42101741474289,98.0452448718474,-2.624227457104515,15.0,16.0,19.0,1.0,9830.0,2171.0,5020.0,4050.0,90.0,16.333333333333332,95.42101741474289,98.0452448718474,-2.624227457104515,qf,-58
5,305,240,8.0,20.0,16.0,0.0,9719.0,1938.0,5020.0,3950.0,119.0,12.333333333333334,97.2015211506581,74.38988604960086,22.811635101057245,8.0,20.0,16.0,0.0,9719.0,1938.0,5020.0,3950.0,119.0,12.333333333333334,97.2015211506581,74.38988604960086,22.811635101057245,qf,65
6,285,323,8.0,20.0,16.0,0.0,9719.0,1938.0,5020.0,3950.0,119.0,12.333333333333334,97.2015211506581,74.38988604960086,22.811635101057245,8.0,20.0,16.0,0.0,9719.0,1938.0,5020.0,3950.0,119.0,12.333333333333334,97.2015211506581,74.38988604960086,22.811635101057245,qf,-38
7,305,453,8.0,20.0,16.0,0.0,9719.0,1938.0,5020.0,3950.0,119.0,12.333333333333334,97.2015211506581,74.38988604960086,22.811635101057245,8.0,20.0,16.0,0.0,9719.0,1938.0,5020.0,3950.0,119.0,12.333333333333334,97.2015211506581,74.38988604960086,22.811635101057245,qf,-148
8,302,339,12.0,18.0,17.0,1.0,9718.0,2091.0,4740.0,3900.0,288.0,20.0,93.52717063179274,87.98879219307575,5.538378438717004,12.0,18.0,17.0,1.0,9718.0,2091.0,4740.0,3900.0,288.0,20.0,93.52717063179274,87.98879219307575,5.538378438717004,qf,-37
9,264,452,12.0,18.0,17.0,1.0,9718.0,2091.0,4740.0,3900.0,288.0,20.0,93.52717063179274,87.98879219307575,5.538378438717004,12.0,18.0,17.0,1.0,9718.0,2091.0,4740.0,3900.0,288.0,20.0,93.52717063179274,87.98879219307575,5.538378438717004,qf,-188
