,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,255,255,35.0,19.0,16.0,1.0,7070.0,1700.0,3800.0,2350.0,65.0,16.333333333333332,77.197744500186,52.181406704292606,25.016337795893403,34.0,24.0,11.0,0.0,7092.0,1226.0,3740.0,2650.0,47.0,11.333333333333334,81.13313088303447,40.3698189652743,40.763311917760156,f,0
1,280,255,35.0,19.0,16.0,1.0,7070.0,1700.0,3800.0,2350.0,65.0,16.333333333333332,77.197744500186,52.181406704292606,25.016337795893403,34.0,24.0,11.0,0.0,7092.0,1226.0,3740.0,2650.0,47.0,11.333333333333334,81.13313088303447,40.3698189652743,40.763311917760156,f,25
2,307,250,35.0,19.0,16.0,1.0,7070.0,1700.0,3800.0,2350.0,65.0,16.333333333333332,77.197744500186,52.181406704292606,25.016337795893403,34.0,24.0,11.0,0.0,7092.0,1226.0,3740.0,2650.0,47.0,11.333333333333334,81.13313088303447,40.3698189652743,40.763311917760156,f,57
3,148,305,24.0,19.0,16.0,1.0,6645.0,1139.0,3220.0,2600.0,75.0,14.333333333333334,60.4181702697259,54.731307340879596,5.68686292884631,34.0,24.0,11.0,0.0,7092.0,1226.0,3740.0,2650.0,47.0,11.333333333333334,81.13313088303447,40.3698189652743,40.763311917760156,qf,-157
4,191,255,24.0,19.0,16.0,1.0,6645.0,1139.0,3220.0,2600.0,75.0,14.333333333333334,60.4181702697259,54.731307340879596,5.68686292884631,34.0,24.0,11.0,0.0,7092.0,1226.0,3740.0,2650.0,47.0,11.333333333333334,81.13313088303447,40.3698189652743,40.763311917760156,qf,-64
5,235,259,18.0,19.0,16.0,0.0,6372.0,1248.0,3380.0,2300.0,67.0,16.666666666666668,54.23460259422097,55.93209830275168,-1.6974957085307072,32.0,20.0,12.0,2.0,6290.0,1024.0,3340.0,2300.0,125.0,12.666666666666666,72.36170042810834,67.84017480841787,4.521525619690465,qf,-24
6,205,220,18.0,19.0,16.0,0.0,6372.0,1248.0,3380.0,2300.0,67.0,16.666666666666668,54.23460259422097,55.93209830275168,-1.6974957085307072,32.0,20.0,12.0,2.0,6290.0,1024.0,3340.0,2300.0,125.0,12.666666666666666,72.36170042810834,67.84017480841787,4.521525619690465,qf,-15
7,212,181,31.0,16.0,18.0,1.0,7008.0,863.0,3040.0,3050.0,93.0,20.0,85.97430265496631,71.18270336882136,14.791599286144942,54.0,21.0,14.0,1.0,6992.0,1081.0,3420.0,2800.0,132.0,11.333333333333334,74.16332104510367,57.51552820790899,16.64779283719469,qf,31
8,291,111,31.0,16.0,18.0,1.0,7008.0,863.0,3040.0,3050.0,93.0,20.0,85.97430265496631,71.18270336882136,14.791599286144942,54.0,21.0,14.0,1.0,6992.0,1081.0,3420.0,2800.0,132.0,11.333333333333334,74.16332104510367,57.51552820790899,16.64779283719469,qf,180
9,162,280,13.0,19.0,16.0,0.0,6206.0,1212.0,3200.0,2150.0,146.0,15.666666666666666,60.02522250484521,62.10623539671815,-2.0810128918729327,35.0,19.0,16.0,1.0,7070.0,1700.0,3800.0,2350.0,65.0,16.333333333333332,77.197744500186,52.181406704292606,25.016337795893403,qf,-118
10,107,230,13.0,19.0,16.0,0.0,6206.0,1212.0,3200.0,2150.0,146.0,15.666666666666666,60.02522250484521,62.10623539671815,-2.0810128918729327,35.0,19.0,16.0,1.0,7070.0,1700.0,3800.0,2350.0,65.0,16.333333333333332,77.197744500186,52.181406704292606,25.016337795893403,qf,-123
11,85,190,23.0,18.0,18.0,0.0,6607.0,1083.0,3440.0,2450.0,162.0,18.333333333333332,58.06428395732738,68.61671167282225,-10.552427715494865,28.0,17.0,17.0,1.0,6589.0,1249.0,3420.0,2400.0,44.0,22.333333333333332,67.21892916214692,64.57539745926704,2.6435317028798786,qm,-105
12,104,225,26.0,19.0,17.0,0.0,6479.0,961.0,3000.0,2800.0,104.0,15.0,64.85351417502368,64.86255332332404,-0.009039148300360011,22.0,16.0,19.0,0.0,6275.0,1577.0,3600.0,1850.0,125.0,23.666666666666668,53.69893458927482,70.54832718062976,-16.84939259135494,qm,-121
13,195,170,28.0,25.0,10.0,1.0,7145.0,1024.0,3380.0,2950.0,85.0,7.333333333333333,75.75799100071784,50.278400510979054,25.479590489738786,17.0,17.0,18.0,0.0,6813.0,1164.0,3380.0,2500.0,83.0,17.333333333333332,74.16601427413134,71.17273297978807,2.9932812943432836,qm,25
14,210,81,14.0,17.0,19.0,0.0,6432.0,1178.0,3400.0,2200.0,77.0,20.666666666666668,57.03676225432318,57.05533148339609,-0.0185692290729141,49.0,13.0,23.0,0.0,6143.0,1151.0,3200.0,2300.0,83.0,27.333333333333332,51.57743352436694,66.15420223326775,-14.57676870890081,qm,129
15,185,186,46.0,8.0,22.0,3.0,5615.0,857.0,2780.0,2150.0,75.0,34.0,53.59480038987845,67.07442061707773,-13.479620227199284,34.0,20.0,16.0,0.0,6732.0,1091.0,3440.0,2700.0,117.0,14.333333333333334,62.16565567646305,68.63766538031815,-6.472009703855103,qm,-1
16,95,255,31.0,17.0,17.0,1.0,6532.0,1213.0,3440.0,2300.0,82.0,19.0,67.0497009377915,68.55153322708617,-1.5018322892946614,37.0,20.0,16.0,0.0,7391.0,1719.0,3800.0,2650.0,71.0,14.0,86.35232507615717,58.15635343101105,28.195971645146116,qm,-160
17,137,160,23.0,16.0,17.0,1.0,6151.0,1091.0,3100.0,2350.0,76.0,20.666666666666668,62.06604754744046,58.896416729211275,3.169630818229185,23.0,24.0,11.0,1.0,7066.0,1074.0,3680.0,2600.0,146.0,7.666666666666667,75.46619320881248,52.60283927040524,22.863353938407244,qm,-23
18,103,195,23.0,15.0,18.0,1.0,6406.0,1092.0,3160.0,2450.0,121.0,21.0,71.16854208670513,69.05783487868258,2.1107072080225273,26.0,17.0,17.0,2.0,6285.0,791.0,2980.0,2450.0,90.0,19.333333333333332,47.887678504092456,58.949750062832955,-11.062071558740497,qm,-92
19,135,136,22.0,14.0,22.0,0.0,6001.0,1101.0,3280.0,2050.0,56.0,28.333333333333332,45.30926963730938,70.16717949477453,-24.857909857465156,26.0,14.0,20.0,2.0,5901.0,1110.0,3240.0,1950.0,111.0,22.666666666666668,47.90211550458161,65.39268395755938,-17.490568452977783,qm,-1
20,100,95,20.0,18.0,18.0,0.0,6232.0,1013.0,2940.0,2500.0,72.0,18.666666666666668,53.39337213005837,64.15861423436527,-10.765242104306902,23.0,13.0,20.0,1.0,5799.0,840.0,3040.0,2050.0,69.0,30.333333333333332,48.038402888614485,54.86702975340742,-6.828626864792938,qm,5
21,93,145,28.0,19.0,16.0,1.0,6515.0,1044.0,3140.0,2450.0,170.0,14.666666666666666,65.58373804407073,54.7385108848193,10.845227159251435,19.0,19.0,15.0,0.0,6334.0,1095.0,3260.0,2350.0,74.0,16.666666666666668,64.29728165123105,50.33822770310874,13.959053948122301,qm,-52
22,121,50,48.0,21.0,13.0,2.0,6687.0,1491.0,3820.0,2100.0,67.0,13.666666666666666,64.03260562407738,35.43143553298828,28.60117009108909,16.0,10.0,23.0,0.0,5232.0,788.0,2400.0,2150.0,97.0,31.0,43.33662169114652,77.48699953005557,-34.15037783890905,qm,71
