,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,344,350,29.0,20.0,11.0,2.0,10344.0,2024.0,4440.0,4550.0,709.0,10.666666666666666,125.46469288828284,90.42385614194173,35.04083674634109,16.0,16.0,17.0,0.0,8835.0,1787.0,4260.0,3600.0,270.0,21.0,77.73675582813725,94.60355649426695,-16.866800666129716,f,-6
1,293,406,29.0,20.0,11.0,2.0,10344.0,2024.0,4440.0,4550.0,709.0,10.666666666666666,125.46469288828284,90.42385614194173,35.04083674634109,16.0,16.0,17.0,0.0,8835.0,1787.0,4260.0,3600.0,270.0,21.0,77.73675582813725,94.60355649426695,-16.866800666129716,f,-113
2,266,430,16.0,16.0,17.0,0.0,8835.0,1787.0,4260.0,3600.0,270.0,21.0,77.73675582813725,94.60355649426695,-16.866800666129716,31.0,17.0,14.0,1.0,9506.0,2022.0,4520.0,3450.0,586.0,17.0,113.58069615677398,108.32006650756428,5.2606296492097,qf,-164
3,453,431,16.0,16.0,17.0,0.0,8835.0,1787.0,4260.0,3600.0,270.0,21.0,77.73675582813725,94.60355649426695,-16.866800666129716,31.0,17.0,14.0,1.0,9506.0,2022.0,4520.0,3450.0,586.0,17.0,113.58069615677398,108.32006650756428,5.2606296492097,qf,22
4,395,273,16.0,16.0,17.0,0.0,8835.0,1787.0,4260.0,3600.0,270.0,21.0,77.73675582813725,94.60355649426695,-16.866800666129716,31.0,17.0,14.0,1.0,9506.0,2022.0,4520.0,3450.0,586.0,17.0,113.58069615677398,108.32006650756428,5.2606296492097,qf,122
5,255,260,13.0,18.0,15.0,0.0,9303.0,1634.0,4440.0,4000.0,188.0,14.0,95.26185139754661,76.72380150474166,18.53804989280495,23.0,19.0,13.0,1.0,9472.0,1845.0,4580.0,3800.0,172.0,15.333333333333334,106.12356028353035,84.59993981233917,21.52362047119117,qf,-5
6,445,285,13.0,18.0,15.0,0.0,9303.0,1634.0,4440.0,4000.0,188.0,14.0,95.26185139754661,76.72380150474166,18.53804989280495,23.0,19.0,13.0,1.0,9472.0,1845.0,4580.0,3800.0,172.0,15.333333333333334,106.12356028353035,84.59993981233917,21.52362047119117,qf,160
7,445,396,13.0,18.0,15.0,0.0,9303.0,1634.0,4440.0,4000.0,188.0,14.0,95.26185139754661,76.72380150474166,18.53804989280495,23.0,19.0,13.0,1.0,9472.0,1845.0,4580.0,3800.0,172.0,15.333333333333334,106.12356028353035,84.59993981233917,21.52362047119117,qf,49
8,305,479,6.0,15.0,15.0,2.0,8915.0,1708.0,4100.0,3850.0,260.0,25.333333333333332,92.59404934687764,100.08824377465966,-7.49419442778201,29.0,20.0,11.0,2.0,10344.0,2024.0,4440.0,4550.0,709.0,10.666666666666666,125.46469288828284,90.42385614194173,35.04083674634109,qf,-174
9,205,484,6.0,15.0,15.0,2.0,8915.0,1708.0,4100.0,3850.0,260.0,25.333333333333332,92.59404934687764,100.08824377465966,-7.49419442778201,29.0,20.0,11.0,2.0,10344.0,2024.0,4440.0,4550.0,709.0,10.666666666666666,125.46469288828284,90.42385614194173,35.04083674634109,qf,-279
10,316,287,15.0,19.0,14.0,0.0,9460.0,1881.0,4500.0,4000.0,265.0,13.666666666666666,101.11725325980488,84.6626314775465,16.45462178225837,27.0,14.0,17.0,2.0,9026.0,1725.0,4420.0,3500.0,201.0,28.333333333333332,88.49460102061425,95.82557262226233,-7.330971601648069,qf,29
11,302,430,15.0,19.0,14.0,0.0,9460.0,1881.0,4500.0,4000.0,265.0,13.666666666666666,101.11725325980488,84.6626314775465,16.45462178225837,27.0,14.0,17.0,2.0,9026.0,1725.0,4420.0,3500.0,201.0,28.333333333333332,88.49460102061425,95.82557262226233,-7.330971601648069,qf,-128
12,266,436,15.0,19.0,14.0,0.0,9460.0,1881.0,4500.0,4000.0,265.0,13.666666666666666,101.11725325980488,84.6626314775465,16.45462178225837,27.0,14.0,17.0,2.0,9026.0,1725.0,4420.0,3500.0,201.0,28.333333333333332,88.49460102061425,95.82557262226233,-7.330971601648069,qf,-170
13,317,389,15.0,10.0,23.0,0.0,8446.0,1774.0,4280.0,3150.0,176.0,38.0,75.0658576323957,100.70368510800377,-25.637827475608063,25.0,21.0,10.0,2.0,9761.0,2162.0,4500.0,3650.0,661.0,9.333333333333334,110.70732788600306,96.8603132324921,13.847014653510945,qm,-72
14,240,345,6.0,17.0,15.0,1.0,9213.0,1639.0,4200.0,4000.0,178.0,24.666666666666668,90.40335441588554,93.03045724099597,-2.6271028251104034,16.0,16.0,17.0,0.0,9197.0,1618.0,4440.0,3900.0,157.0,18.666666666666668,93.19160926628238,84.84710675455653,8.344502511725835,qm,-105
15,330,185,4.0,17.0,15.0,1.0,8973.0,1885.0,4400.0,3800.0,168.0,19.0,89.88455896692221,74.93035549574849,14.954203471173736,24.0,14.0,18.0,1.0,8937.0,1643.0,4300.0,3700.0,207.0,25.0,86.40931626801125,94.38295516106912,-7.97363889305787,qm,145
16,359,323,27.0,10.0,20.0,2.0,8895.0,1796.0,4500.0,3350.0,110.0,30.666666666666668,97.32137912815152,116.0547139469074,-18.733334818755896,22.0,20.0,11.0,1.0,9619.0,1935.0,4320.0,3800.0,709.0,16.0,112.81564024472475,96.49743635880395,16.318203885920813,qm,36
17,351,255,21.0,24.0,7.0,2.0,10186.0,2240.0,4580.0,4050.0,676.0,3.0,119.58707183295326,88.75099017434343,30.836081658609817,15.0,12.0,20.0,1.0,8714.0,1999.0,4380.0,3600.0,109.0,36.666666666666664,80.28235387013392,101.37315848811947,-21.090804617985555,qm,96
18,230,250,15.0,11.0,20.0,2.0,8720.0,1688.0,4220.0,3650.0,160.0,31.333333333333332,82.140733843348,95.58998485645117,-13.449251013103172,19.0,19.0,13.0,1.0,9052.0,1713.0,4260.0,3750.0,237.0,18.0,89.39898870256918,85.69937708497133,3.699611617597865,qm,-20
19,219,175,28.0,15.0,17.0,1.0,8847.0,1827.0,4180.0,3700.0,232.0,25.666666666666668,82.54324500619103,81.82993113633773,0.7133138698532969,12.0,17.0,14.0,2.0,8716.0,1770.0,4140.0,3450.0,251.0,20.666666666666668,84.20532607487883,78.42489990877662,5.780426166102207,qm,44
20,231,305,20.0,11.0,20.0,1.0,8965.0,1762.0,4400.0,3600.0,210.0,32.0,93.57119460069059,109.14497971148005,-15.573785110789473,19.0,17.0,15.0,1.0,9208.0,1955.0,4420.0,3900.0,173.0,21.333333333333332,93.76815890171888,88.75183195815653,5.016326943562343,qm,-74
21,155,317,8.0,11.0,21.0,1.0,8409.0,1628.0,4120.0,3350.0,154.0,34.666666666666664,68.81066436999951,93.66171464220345,-24.851050272203935,21.0,18.0,13.0,2.0,9811.0,1802.0,4380.0,4400.0,416.0,12.666666666666666,109.85215339612567,91.33214639819941,18.52000699792627,qm,-162
22,190,279,22.0,13.0,19.0,1.0,8431.0,1819.0,4420.0,3250.0,106.0,32.333333333333336,76.97446866094043,95.32053006003908,-18.346061399098648,12.0,21.0,11.0,1.0,9439.0,1998.0,4240.0,3750.0,639.0,17.333333333333332,101.40388351310759,80.20292687712447,21.200956635983108,qm,-89
23,250,240,23.0,17.0,15.0,1.0,8810.0,1535.0,4040.0,3650.0,285.0,20.333333333333332,79.70893208757876,81.31609958587676,-1.6071674982979995,11.0,13.0,18.0,1.0,9099.0,1605.0,4300.0,3900.0,194.0,22.0,96.69451481964039,92.65799225015208,4.036522569488312,qm,10
24,235,264,16.0,19.0,13.0,1.0,9207.0,1641.0,4360.0,3900.0,217.0,13.666666666666666,92.65297789770584,82.37753291585034,10.2754449818555,16.0,18.0,12.0,3.0,9079.0,1881.0,4460.0,3650.0,234.0,17.666666666666668,92.82652171589143,85.05400418055174,7.772517535339698,qm,-29
25,200,260,21.0,11.0,19.0,3.0,8734.0,1579.0,4200.0,3750.0,34.0,37.666666666666664,85.96359088480081,96.90572195054004,-10.942131065739224,14.0,17.0,14.0,2.0,8965.0,1831.0,4200.0,3800.0,245.0,18.0,91.39520599854477,81.99932355696353,9.39588244158123,qm,-60
26,155,395,11.0,14.0,18.0,1.0,8681.0,1789.0,4340.0,3600.0,126.0,31.0,79.29219640199214,101.40907819667358,-22.116881794681433,24.0,18.0,14.0,1.0,9564.0,1864.0,4520.0,4000.0,134.0,13.333333333333334,109.55316909463505,85.48906089119468,24.06410820344035,qm,-240
27,318,210,14.0,21.0,12.0,0.0,9084.0,1760.0,4420.0,3450.0,244.0,13.666666666666666,89.99033804617686,82.51528478702919,7.475053259147678,21.0,16.0,15.0,2.0,9158.0,2024.0,4460.0,3650.0,243.0,21.0,90.36159567932107,108.53412238079379,-18.17252670147271,qm,108
