,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,257,233,22.0,15.0,15.0,0.0,6590.0,1408.0,3320.0,2450.0,140.0,12.666666666666666,80.85485285469656,68.17360419782706,12.681248656869505,22.0,15.0,15.0,0.0,6590.0,1408.0,3320.0,2450.0,140.0,12.666666666666666,80.85485285469656,68.17360419782706,12.681248656869505,f,24
1,205,254,22.0,15.0,15.0,0.0,6590.0,1408.0,3320.0,2450.0,140.0,12.666666666666666,80.85485285469656,68.17360419782706,12.681248656869505,22.0,15.0,15.0,0.0,6590.0,1408.0,3320.0,2450.0,140.0,12.666666666666666,80.85485285469656,68.17360419782706,12.681248656869505,f,-49
2,205,266,22.0,15.0,15.0,0.0,6590.0,1408.0,3320.0,2450.0,140.0,12.666666666666666,80.85485285469656,68.17360419782706,12.681248656869505,22.0,15.0,15.0,0.0,6590.0,1408.0,3320.0,2450.0,140.0,12.666666666666666,80.85485285469656,68.17360419782706,12.681248656869505,f,-61
3,255,329,5.0,13.0,16.0,0.0,6200.0,1245.0,2940.0,2500.0,130.0,18.666666666666668,66.68109895348766,72.97458859423608,-6.293489640748419,5.0,13.0,16.0,0.0,6200.0,1245.0,2940.0,2500.0,130.0,18.666666666666668,66.68109895348766,72.97458859423608,-6.293489640748419,qf,-74
4,255,329,5.0,13.0,16.0,0.0,6200.0,1245.0,2940.0,2500.0,130.0,18.666666666666668,66.68109895348766,72.97458859423608,-6.293489640748419,5.0,13.0,16.0,0.0,6200.0,1245.0,2940.0,2500.0,130.0,18.666666666666668,66.68109895348766,72.97458859423608,-6.293489640748419,qf,-74
5,312,204,19.0,15.0,15.0,0.0,6856.0,1598.0,3240.0,2700.0,176.0,13.0,82.0400650076566,94.17035091971057,-12.130285912053978,19.0,15.0,15.0,0.0,6856.0,1598.0,3240.0,2700.0,176.0,13.0,82.0400650076566,94.17035091971057,-12.130285912053978,qf,108
6,315,203,19.0,15.0,15.0,0.0,6856.0,1598.0,3240.0,2700.0,176.0,13.0,82.0400650076566,94.17035091971057,-12.130285912053978,19.0,15.0,15.0,0.0,6856.0,1598.0,3240.0,2700.0,176.0,13.0,82.0400650076566,94.17035091971057,-12.130285912053978,qf,112
7,230,255,5.0,16.0,14.0,0.0,6623.0,1560.0,3240.0,2650.0,138.0,12.0,82.85519373603513,68.27310414854325,14.582089587491872,5.0,16.0,14.0,0.0,6623.0,1560.0,3240.0,2650.0,138.0,12.0,82.85519373603513,68.27310414854325,14.582089587491872,qf,-25
8,265,255,5.0,16.0,14.0,0.0,6623.0,1560.0,3240.0,2650.0,138.0,12.0,82.85519373603513,68.27310414854325,14.582089587491872,5.0,16.0,14.0,0.0,6623.0,1560.0,3240.0,2650.0,138.0,12.0,82.85519373603513,68.27310414854325,14.582089587491872,qf,10
9,305,205,5.0,16.0,14.0,0.0,6623.0,1560.0,3240.0,2650.0,138.0,12.0,82.85519373603513,68.27310414854325,14.582089587491872,5.0,16.0,14.0,0.0,6623.0,1560.0,3240.0,2650.0,138.0,12.0,82.85519373603513,68.27310414854325,14.582089587491872,qf,100
