,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,322,455,21.0,14.0,10.0,0.0,5427.0,878.0,2520.0,2200.0,137.0,23.0,96.73679165870523,85.02998493982712,11.706806718878125,29.0,15.0,9.0,0.0,5990.0,931.0,2840.0,2600.0,60.0,18.0,122.99661545830413,78.427604707068,44.569010751236135,f,-133
1,324,270,21.0,14.0,10.0,0.0,5427.0,878.0,2520.0,2200.0,137.0,23.0,96.73679165870523,85.02998493982712,11.706806718878125,29.0,15.0,9.0,0.0,5990.0,931.0,2840.0,2600.0,60.0,18.0,122.99661545830413,78.427604707068,44.569010751236135,f,54
2,286,452,21.0,14.0,10.0,0.0,5427.0,878.0,2520.0,2200.0,137.0,23.0,96.73679165870523,85.02998493982712,11.706806718878125,29.0,15.0,9.0,0.0,5990.0,931.0,2840.0,2600.0,60.0,18.0,122.99661545830413,78.427604707068,44.569010751236135,f,-166
3,190,312,21.0,16.0,8.0,0.0,5380.0,910.0,2700.0,2200.0,40.0,13.0,78.17482941144009,63.60936461642287,14.565464795017208,29.0,15.0,9.0,0.0,5990.0,931.0,2840.0,2600.0,60.0,18.0,122.99661545830413,78.427604707068,44.569010751236135,qf,-122
4,170,345,21.0,16.0,8.0,0.0,5380.0,910.0,2700.0,2200.0,40.0,13.0,78.17482941144009,63.60936461642287,14.565464795017208,29.0,15.0,9.0,0.0,5990.0,931.0,2840.0,2600.0,60.0,18.0,122.99661545830413,78.427604707068,44.569010751236135,qf,-175
5,280,458,44.0,15.0,9.0,0.0,5752.0,853.0,2700.0,2500.0,32.0,11.666666666666666,93.81504562034682,81.76678618722666,12.048259433120165,17.0,15.0,9.0,0.0,5360.0,879.0,2860.0,2000.0,40.0,18.0,95.83417752285884,74.48424892066376,21.349928602195064,qf,-178
6,305,433,44.0,15.0,9.0,0.0,5752.0,853.0,2700.0,2500.0,32.0,11.666666666666666,93.81504562034682,81.76678618722666,12.048259433120165,17.0,15.0,9.0,0.0,5360.0,879.0,2860.0,2000.0,40.0,18.0,95.83417752285884,74.48424892066376,21.349928602195064,qf,-128
7,294,340,20.0,14.0,10.0,0.0,5171.0,710.0,2720.0,2050.0,36.0,22.333333333333332,70.62554258898626,53.58809410904118,17.03744847994508,23.0,16.0,8.0,0.0,5811.0,942.0,2760.0,2400.0,31.0,15.333333333333334,108.75682828726758,77.47019861534953,31.28662967191806,qf,-46
8,243,260,20.0,14.0,10.0,0.0,5171.0,710.0,2720.0,2050.0,36.0,22.333333333333332,70.62554258898626,53.58809410904118,17.03744847994508,23.0,16.0,8.0,0.0,5811.0,942.0,2760.0,2400.0,31.0,15.333333333333334,108.75682828726758,77.47019861534953,31.28662967191806,qf,-17
9,255,365,26.0,16.0,8.0,0.0,5723.0,1195.0,2800.0,2200.0,13.0,10.333333333333334,94.48646277741268,62.36638307747802,32.12007969993468,21.0,14.0,10.0,0.0,5427.0,878.0,2520.0,2200.0,137.0,23.0,96.73679165870523,85.02998493982712,11.706806718878125,qf,-110
10,315,287,26.0,16.0,8.0,0.0,5723.0,1195.0,2800.0,2200.0,13.0,10.333333333333334,94.48646277741268,62.36638307747802,32.12007969993468,21.0,14.0,10.0,0.0,5427.0,878.0,2520.0,2200.0,137.0,23.0,96.73679165870523,85.02998493982712,11.706806718878125,qf,28
11,255,352,26.0,16.0,8.0,0.0,5723.0,1195.0,2800.0,2200.0,13.0,10.333333333333334,94.48646277741268,62.36638307747802,32.12007969993468,21.0,14.0,10.0,0.0,5427.0,878.0,2520.0,2200.0,137.0,23.0,96.73679165870523,85.02998493982712,11.706806718878125,qf,-97
12,205,200,13.0,18.0,6.0,0.0,5618.0,1253.0,2940.0,2250.0,33.0,9.666666666666666,84.0396294284974,61.37539343285349,22.664235995643917,20.0,12.0,12.0,0.0,5061.0,515.0,2620.0,1850.0,41.0,30.666666666666668,67.3367538081187,63.83951898613089,3.497234821987815,qm,5
13,165,135,20.0,10.0,14.0,0.0,4342.0,705.0,2180.0,1650.0,22.0,39.666666666666664,58.52437773902441,57.7768357731019,0.7475419659225201,12.0,7.0,17.0,0.0,4870.0,772.0,2440.0,1950.0,35.0,46.666666666666664,72.03459627410156,76.10091377953016,-4.06631750542861,qm,30
