,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,205,305,15.0,21.0,14.0,1.0,5942.0,1301.0,3280.0,1800.0,47.0,17.666666666666668,46.679157335093514,49.884624748586646,-3.2054674134931354,33.0,18.0,18.0,0.0,6617.0,875.0,3500.0,2250.0,47.0,19.0,60.068760181601725,62.416000200684415,-2.3472400190826925,f,-100
1,260,290,15.0,21.0,14.0,1.0,5942.0,1301.0,3280.0,1800.0,47.0,17.666666666666668,46.679157335093514,49.884624748586646,-3.2054674134931354,33.0,18.0,18.0,0.0,6617.0,875.0,3500.0,2250.0,47.0,19.0,60.068760181601725,62.416000200684415,-2.3472400190826925,f,-30
2,277,255,37.0,21.0,14.0,0.0,6316.0,1236.0,3100.0,2200.0,241.0,17.666666666666668,64.03853510558856,52.04946342497328,11.989071680615282,41.0,27.0,9.0,0.0,8002.0,1808.0,4200.0,2500.0,52.0,6.333333333333333,104.44528821803969,44.19258032959749,60.252707888442195,qf,22
3,158,310,37.0,21.0,14.0,0.0,6316.0,1236.0,3100.0,2200.0,241.0,17.666666666666668,64.03853510558856,52.04946342497328,11.989071680615282,41.0,27.0,9.0,0.0,8002.0,1808.0,4200.0,2500.0,52.0,6.333333333333333,104.44528821803969,44.19258032959749,60.252707888442195,qf,-152
4,321,255,37.0,21.0,14.0,0.0,6316.0,1236.0,3100.0,2200.0,241.0,17.666666666666668,64.03853510558856,52.04946342497328,11.989071680615282,41.0,27.0,9.0,0.0,8002.0,1808.0,4200.0,2500.0,52.0,6.333333333333333,104.44528821803969,44.19258032959749,60.252707888442195,qf,66
5,307,250,15.0,22.0,12.0,2.0,6493.0,988.0,3580.0,1900.0,48.0,12.0,69.30015168874104,51.36024921697068,17.93990247177037,33.0,18.0,18.0,0.0,6617.0,875.0,3500.0,2250.0,47.0,19.0,60.068760181601725,62.416000200684415,-2.3472400190826925,qf,57
6,195,265,15.0,22.0,12.0,2.0,6493.0,988.0,3580.0,1900.0,48.0,12.0,69.30015168874104,51.36024921697068,17.93990247177037,33.0,18.0,18.0,0.0,6617.0,875.0,3500.0,2250.0,47.0,19.0,60.068760181601725,62.416000200684415,-2.3472400190826925,qf,-70
7,235,285,15.0,22.0,12.0,2.0,6493.0,988.0,3580.0,1900.0,48.0,12.0,69.30015168874104,51.36024921697068,17.93990247177037,33.0,18.0,18.0,0.0,6617.0,875.0,3500.0,2250.0,47.0,19.0,60.068760181601725,62.416000200684415,-2.3472400190826925,qf,-50
8,270,255,20.0,21.0,15.0,0.0,6651.0,1050.0,3000.0,2600.0,86.0,15.333333333333334,87.32333963483002,47.79646310177133,39.52687653305869,31.0,24.0,12.0,0.0,7285.0,1515.0,3580.0,2850.0,10.0,10.333333333333334,86.00363571343075,48.785709663719594,37.21792604971115,qf,15
9,250,240,20.0,21.0,15.0,0.0,6651.0,1050.0,3000.0,2600.0,86.0,15.333333333333334,87.32333963483002,47.79646310177133,39.52687653305869,31.0,24.0,12.0,0.0,7285.0,1515.0,3580.0,2850.0,10.0,10.333333333333334,86.00363571343075,48.785709663719594,37.21792604971115,qf,10
10,165,305,25.0,18.0,17.0,0.0,6485.0,1102.0,3020.0,2550.0,45.0,20.0,68.06415038199553,58.57137411107046,9.492776270925075,15.0,21.0,14.0,1.0,5942.0,1301.0,3280.0,1800.0,47.0,17.666666666666668,46.679157335093514,49.884624748586646,-3.2054674134931354,qf,-140
11,235,245,15.0,23.0,13.0,0.0,6830.0,1035.0,3200.0,2750.0,50.0,11.666666666666666,80.97000060725865,47.67578547297058,33.29421513428807,15.0,21.0,14.0,1.0,5942.0,1301.0,3280.0,1800.0,47.0,17.666666666666668,46.679157335093514,49.884624748586646,-3.2054674134931354,qf,-10
12,88,100,24.0,12.0,23.0,0.0,5220.0,995.0,2920.0,1500.0,35.0,32.333333333333336,39.35537431265334,62.0195391308254,-22.66416481817207,27.0,23.0,13.0,0.0,6452.0,1570.0,3640.0,2000.0,2.0,14.666666666666666,60.2322994724935,49.18342460219665,11.048874870296842,qm,-12
13,315,50,34.0,20.0,15.0,0.0,6818.0,1617.0,3340.0,2000.0,73.0,19.666666666666668,80.34977889319653,61.26852216870833,19.081256724488213,5.0,16.0,19.0,0.0,5273.0,993.0,3120.0,1400.0,43.0,25.333333333333332,33.04080261590107,61.71859828087769,-28.677795664976617,qm,265
