,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,268,395,25.0,20.0,15.0,1.0,8748.0,1362.0,3720.0,3700.0,463.0,14.333333333333334,104.60375630507922,64.22198081720563,40.381775487873576,20.0,22.0,14.0,0.0,8921.0,1953.0,4520.0,3500.0,141.0,12.0,101.554530976715,63.00540537364651,38.5491256030685,f,-127
1,213,255,25.0,20.0,15.0,1.0,8748.0,1362.0,3720.0,3700.0,463.0,14.333333333333334,104.60375630507922,64.22198081720563,40.381775487873576,20.0,22.0,14.0,0.0,8921.0,1953.0,4520.0,3500.0,141.0,12.0,101.554530976715,63.00540537364651,38.5491256030685,f,-42
2,115,320,38.0,19.0,17.0,0.0,7665.0,1764.0,3820.0,2950.0,30.0,19.333333333333332,67.6304012303323,56.360292327839524,11.27010890249277,46.0,23.0,12.0,1.0,8114.0,1464.0,3840.0,3250.0,284.0,12.333333333333334,80.3166136362551,74.08252408875448,6.2340895475006235,qf,-205
3,220,211,38.0,19.0,17.0,0.0,7665.0,1764.0,3820.0,2950.0,30.0,19.333333333333332,67.6304012303323,56.360292327839524,11.27010890249277,46.0,23.0,12.0,1.0,8114.0,1464.0,3840.0,3250.0,284.0,12.333333333333334,80.3166136362551,74.08252408875448,6.2340895475006235,qf,9
4,330,262,38.0,19.0,17.0,0.0,7665.0,1764.0,3820.0,2950.0,30.0,19.333333333333332,67.6304012303323,56.360292327839524,11.27010890249277,46.0,23.0,12.0,1.0,8114.0,1464.0,3840.0,3250.0,284.0,12.333333333333334,80.3166136362551,74.08252408875448,6.2340895475006235,qf,68
5,295,255,23.0,23.0,13.0,0.0,8579.0,1342.0,3920.0,3800.0,169.0,11.333333333333334,97.15904040135949,76.66928289949408,20.489757501865412,20.0,22.0,14.0,0.0,8921.0,1953.0,4520.0,3500.0,141.0,12.0,101.554530976715,63.00540537364651,38.5491256030685,qf,40
6,387,395,23.0,23.0,13.0,0.0,8579.0,1342.0,3920.0,3800.0,169.0,11.333333333333334,97.15904040135949,76.66928289949408,20.489757501865412,20.0,22.0,14.0,0.0,8921.0,1953.0,4520.0,3500.0,141.0,12.0,101.554530976715,63.00540537364651,38.5491256030685,qf,-8
7,304,470,23.0,23.0,13.0,0.0,8579.0,1342.0,3920.0,3800.0,169.0,11.333333333333334,97.15904040135949,76.66928289949408,20.489757501865412,20.0,22.0,14.0,0.0,8921.0,1953.0,4520.0,3500.0,141.0,12.0,101.554530976715,63.00540537364651,38.5491256030685,qf,-166
8,311,305,25.0,20.0,15.0,1.0,8748.0,1362.0,3720.0,3700.0,463.0,14.333333333333334,104.60375630507922,64.22198081720563,40.381775487873576,40.0,21.0,15.0,0.0,8395.0,1507.0,3940.0,3400.0,150.0,15.333333333333334,88.95242357084885,80.4605804870824,8.491843083766454,qf,6
9,307,287,25.0,20.0,15.0,1.0,8748.0,1362.0,3720.0,3700.0,463.0,14.333333333333334,104.60375630507922,64.22198081720563,40.381775487873576,40.0,21.0,15.0,0.0,8395.0,1507.0,3940.0,3400.0,150.0,15.333333333333334,88.95242357084885,80.4605804870824,8.491843083766454,qf,20
10,448,260,24.0,24.0,12.0,0.0,8432.0,1556.0,4120.0,3300.0,172.0,10.666666666666666,86.48693594097779,67.66597628073033,18.82095966024745,15.0,22.0,13.0,1.0,8738.0,1316.0,4040.0,3550.0,83.0,11.666666666666666,109.00933031800956,74.15312473739799,34.856205580611565,qf,188
11,288,445,24.0,24.0,12.0,0.0,8432.0,1556.0,4120.0,3300.0,172.0,10.666666666666666,86.48693594097779,67.66597628073033,18.82095966024745,15.0,22.0,13.0,1.0,8738.0,1316.0,4040.0,3550.0,83.0,11.666666666666666,109.00933031800956,74.15312473739799,34.856205580611565,qf,-157
12,285,445,24.0,24.0,12.0,0.0,8432.0,1556.0,4120.0,3300.0,172.0,10.666666666666666,86.48693594097779,67.66597628073033,18.82095966024745,15.0,22.0,13.0,1.0,8738.0,1316.0,4040.0,3550.0,83.0,11.666666666666666,109.00933031800956,74.15312473739799,34.856205580611565,qf,-160
13,115,90,47.0,21.0,15.0,0.0,7944.0,1402.0,3580.0,3250.0,114.0,16.666666666666668,75.12976699586308,50.770960577825036,24.35880641803804,5.0,17.0,18.0,1.0,7769.0,1274.0,3780.0,3100.0,149.0,22.666666666666668,66.17818316767192,61.2994579592742,4.878725208397715,qm,25
14,227,140,24.0,26.0,9.0,1.0,8397.0,1595.0,4000.0,3300.0,172.0,7.333333333333333,88.5522559243722,47.3237141997796,41.22854172459258,27.0,9.0,27.0,0.0,6654.0,1048.0,3400.0,2500.0,114.0,34.333333333333336,41.950569494686626,85.96947365403895,-44.01890415935231,qm,87
15,285,93,31.0,17.0,16.0,1.0,7735.0,1763.0,3780.0,2900.0,115.0,19.666666666666668,79.5663502013401,66.75445971279021,12.811890488549894,21.0,13.0,23.0,0.0,7160.0,1111.0,3300.0,2650.0,470.0,26.0,54.533414205752585,84.70380587051932,-30.170391664766743,qm,192
16,268,152,3.0,17.0,18.0,1.0,8145.0,1507.0,4020.0,3200.0,150.0,20.666666666666668,74.974504194034,79.65752049717828,-4.683016303144285,13.0,17.0,19.0,0.0,7322.0,1128.0,3340.0,3100.0,137.0,23.666666666666668,57.64276823739713,78.35592408593662,-20.713155848539483,qm,116
17,215,330,27.0,15.0,21.0,0.0,7487.0,1763.0,3740.0,2850.0,32.0,25.0,68.63872798542775,72.7840405455329,-4.145312560105157,31.0,24.0,11.0,1.0,8951.0,1646.0,4260.0,3400.0,111.0,8.666666666666666,109.47300787069088,72.80178785905305,36.67122001163782,qm,-115
18,255,145,40.0,21.0,15.0,0.0,8844.0,1936.0,4480.0,3500.0,124.0,14.0,96.94906420911657,76.20328327068135,20.745780938435214,3.0,15.0,20.0,1.0,6889.0,1151.0,3580.0,2550.0,129.0,27.0,46.115467614878675,64.87539871817802,-18.75993110329934,qm,110
19,220,155,17.0,21.0,14.0,1.0,8110.0,1382.0,3860.0,3300.0,140.0,16.0,80.62213123360006,63.91541933952272,16.706711894077326,32.0,20.0,16.0,0.0,8265.0,1405.0,3820.0,3450.0,130.0,17.0,77.2228449325939,63.09849421562674,14.12435071696717,qm,65
20,185,140,8.0,19.0,16.0,1.0,7597.0,1206.0,3800.0,3050.0,142.0,18.666666666666668,63.87741855578011,82.02881400113226,-18.15139544535215,18.0,17.0,18.0,1.0,7555.0,1275.0,3660.0,2850.0,145.0,22.666666666666668,60.57562327567623,71.90775073362967,-11.332127457953447,qm,45
21,145,210,31.0,11.0,25.0,0.0,7306.0,1291.0,3760.0,2700.0,151.0,30.666666666666668,63.486015885299786,71.84221877920434,-8.356202893904559,4.0,14.0,22.0,0.0,7108.0,1098.0,3580.0,2700.0,148.0,25.333333333333332,61.50699804498135,91.13209401726932,-29.62509597228798,qm,-65
22,105,352,15.0,13.0,23.0,0.0,6791.0,1133.0,3380.0,2650.0,121.0,29.666666666666668,51.51093948077749,73.64163806413798,-22.130698583360488,34.0,26.0,10.0,0.0,9201.0,1658.0,4020.0,3700.0,481.0,5.666666666666667,111.71774763624255,62.85221485980386,48.86553277643868,qm,-247
23,335,190,39.0,21.0,14.0,1.0,8279.0,1818.0,4160.0,2850.0,64.0,13.666666666666666,91.1745295256302,66.89124713037397,24.283282395256247,25.0,19.0,17.0,0.0,8284.0,1640.0,3820.0,3400.0,264.0,18.0,90.6813738310352,87.89888357696441,2.782490254070789,qm,145
24,327,95,28.0,19.0,16.0,1.0,7887.0,1572.0,3720.0,3200.0,92.0,17.666666666666668,75.30950105147839,56.031565987090175,19.277935064388213,16.0,13.0,21.0,0.0,6518.0,977.0,3220.0,2400.0,98.0,28.666666666666668,50.59133458752232,82.26928460494439,-31.677950017422063,qm,232
25,145,105,17.0,23.0,12.0,1.0,8045.0,1402.0,3660.0,3250.0,115.0,12.666666666666666,80.88624678437752,50.72240476331649,30.163842021061033,19.0,11.0,23.0,0.0,6724.0,1379.0,3340.0,2450.0,79.0,30.333333333333332,50.44938073575498,67.48980571368627,-17.04042497793128,qm,40
26,235,185,17.0,21.0,15.0,0.0,8062.0,1554.0,3880.0,3250.0,122.0,15.666666666666666,75.4086554933872,65.46685456538843,9.941800927998768,22.0,22.0,13.0,1.0,8279.0,1562.0,4280.0,3100.0,179.0,13.666666666666666,85.08545191383415,67.50371415082152,17.581737763012615,qm,50
27,200,215,15.0,11.0,24.0,1.0,7143.0,1226.0,3600.0,2750.0,138.0,31.666666666666668,57.15852895183124,79.67560920189679,-22.517080250065543,24.0,21.0,15.0,0.0,7928.0,1452.0,3760.0,3200.0,88.0,15.333333333333334,79.80541638367248,76.96150949269219,2.8439068909802905,qm,-15
28,255,50,18.0,18.0,18.0,0.0,7628.0,1406.0,3780.0,3000.0,93.0,20.333333333333332,67.0853701514982,64.18289984443415,2.9024703070640547,24.0,14.0,21.0,1.0,6756.0,1507.0,3580.0,2100.0,106.0,29.0,40.879590475253345,65.38491528800212,-24.50532481274877,qm,205
29,325,200,23.0,21.0,15.0,0.0,8420.0,1338.0,3840.0,3400.0,135.0,15.0,91.70030670179817,71.08299538211189,20.617311319686284,10.0,11.0,24.0,1.0,7208.0,1400.0,3800.0,2350.0,93.0,27.666666666666668,59.12148236259108,94.81811490523616,-35.69663254264507,qm,125
30,321,230,19.0,18.0,17.0,1.0,7781.0,1227.0,3880.0,3000.0,171.0,20.666666666666668,67.32630948034979,74.93548521852348,-7.609175738173694,25.0,17.0,18.0,1.0,7864.0,1275.0,3500.0,3100.0,464.0,19.0,78.8864101444608,67.64355559996899,11.2428545444918,qm,91
31,261,233,48.0,22.0,14.0,0.0,8533.0,1855.0,4000.0,3450.0,248.0,13.333333333333334,85.85458124190511,69.26620388196694,16.58837735993816,10.0,17.0,17.0,0.0,7668.0,1423.0,3600.0,3150.0,148.0,21.333333333333332,85.05777785787497,74.72716243449622,10.33061542337873,qm,28
32,345,40,25.0,21.0,14.0,1.0,8654.0,1442.0,3920.0,3550.0,94.0,13.666666666666666,102.05302053612952,55.744124822271345,46.308895713858185,26.0,11.0,25.0,0.0,6403.0,994.0,3280.0,2400.0,113.0,32.0,34.31692550738396,104.15411915592937,-69.8371936485454,qm,305
33,145,150,21.0,9.0,26.0,1.0,6754.0,1184.0,3360.0,2450.0,119.0,35.0,46.8665331816459,79.95170210545659,-33.08516892381068,19.0,19.0,16.0,1.0,7250.0,1438.0,3640.0,2650.0,115.0,19.333333333333332,53.382848221459284,56.52692627414647,-3.144078052687187,qm,-5
34,141,334,28.0,15.0,18.0,1.0,6841.0,1201.0,3280.0,2500.0,136.0,25.333333333333332,53.30913620939365,78.10313719382913,-24.79400098443548,21.0,17.0,19.0,0.0,8614.0,1445.0,4120.0,3650.0,164.0,21.0,104.06699682503547,71.44352917620733,32.62346764882815,qm,-193
35,213,275,23.0,19.0,17.0,0.0,7869.0,1409.0,3660.0,3150.0,259.0,17.666666666666668,75.49689040978662,78.4239058731838,-2.927015463397171,24.0,17.0,18.0,1.0,8211.0,1676.0,4320.0,2850.0,101.0,20.0,88.08118798805693,80.61253694977079,7.468651038286154,qm,-62
