,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,305,311,27.0,18.0,15.0,3.0,7288.0,1412.0,3640.0,2950.0,3.0,18.0,71.94024585303889,62.47475140383427,9.465494449204606,25.0,20.0,15.0,1.0,7744.0,1606.0,3980.0,2850.0,4.0,13.666666666666666,88.78260206737582,59.0195096844546,29.7630923829212,f,-6
1,205,305,27.0,18.0,15.0,3.0,7288.0,1412.0,3640.0,2950.0,3.0,18.0,71.94024585303889,62.47475140383427,9.465494449204606,25.0,20.0,15.0,1.0,7744.0,1606.0,3980.0,2850.0,4.0,13.666666666666666,88.78260206737582,59.0195096844546,29.7630923829212,f,-100
2,331,250,36.0,18.0,17.0,1.0,7181.0,1720.0,3860.0,2500.0,11.0,18.333333333333332,74.6500049690141,65.44610944301327,9.20389552600083,28.0,26.0,9.0,1.0,8067.0,1260.0,3780.0,3350.0,2.0,7.666666666666667,87.99764529494917,56.40488539133646,31.592759903612716,qf,81
3,306,250,36.0,18.0,17.0,1.0,7181.0,1720.0,3860.0,2500.0,11.0,18.333333333333332,74.6500049690141,65.44610944301327,9.20389552600083,28.0,26.0,9.0,1.0,8067.0,1260.0,3780.0,3350.0,2.0,7.666666666666667,87.99764529494917,56.40488539133646,31.592759903612716,qf,56
4,280,245,25.0,20.0,15.0,1.0,7744.0,1606.0,3980.0,2850.0,4.0,13.666666666666666,88.78260206737582,59.0195096844546,29.7630923829212,5.0,19.0,14.0,0.0,6481.0,1185.0,3260.0,2550.0,1.0,19.0,69.7480546406272,74.24439770236262,-4.496343061735419,qf,35
5,285,220,25.0,20.0,15.0,1.0,7744.0,1606.0,3980.0,2850.0,4.0,13.666666666666666,88.78260206737582,59.0195096844546,29.7630923829212,5.0,19.0,14.0,0.0,6481.0,1185.0,3260.0,2550.0,1.0,19.0,69.7480546406272,74.24439770236262,-4.496343061735419,qf,65
6,306,165,18.0,20.0,14.0,2.0,7934.0,1476.0,3980.0,3250.0,4.0,11.666666666666666,92.80998378616947,49.39554652923173,43.41443725693773,27.0,18.0,15.0,3.0,7288.0,1412.0,3640.0,2950.0,3.0,18.0,71.94024585303889,62.47475140383427,9.465494449204606,qf,141
7,255,255,18.0,20.0,14.0,2.0,7934.0,1476.0,3980.0,3250.0,4.0,11.666666666666666,92.80998378616947,49.39554652923173,43.41443725693773,27.0,18.0,15.0,3.0,7288.0,1412.0,3640.0,2950.0,3.0,18.0,71.94024585303889,62.47475140383427,9.465494449204606,qf,0
8,286,330,18.0,20.0,14.0,2.0,7934.0,1476.0,3980.0,3250.0,4.0,11.666666666666666,92.80998378616947,49.39554652923173,43.41443725693773,27.0,18.0,15.0,3.0,7288.0,1412.0,3640.0,2950.0,3.0,18.0,71.94024585303889,62.47475140383427,9.465494449204606,qf,-44
9,185,305,18.0,20.0,14.0,2.0,7934.0,1476.0,3980.0,3250.0,4.0,11.666666666666666,92.80998378616947,49.39554652923173,43.41443725693773,27.0,18.0,15.0,3.0,7288.0,1412.0,3640.0,2950.0,3.0,18.0,71.94024585303889,62.47475140383427,9.465494449204606,qf,-120
10,165,260,14.0,21.0,13.0,2.0,7396.0,1496.0,3820.0,2700.0,1.0,11.0,74.35380109813968,54.31252462493084,20.041276473208843,28.0,23.0,11.0,2.0,7542.0,1501.0,3860.0,2700.0,2.0,8.0,85.40296957392748,60.87718505102411,24.525784522903383,qf,-95
11,255,205,14.0,21.0,13.0,2.0,7396.0,1496.0,3820.0,2700.0,1.0,11.0,74.35380109813968,54.31252462493084,20.041276473208843,28.0,23.0,11.0,2.0,7542.0,1501.0,3860.0,2700.0,2.0,8.0,85.40296957392748,60.87718505102411,24.525784522903383,qf,50
12,255,285,14.0,21.0,13.0,2.0,7396.0,1496.0,3820.0,2700.0,1.0,11.0,74.35380109813968,54.31252462493084,20.041276473208843,28.0,23.0,11.0,2.0,7542.0,1501.0,3860.0,2700.0,2.0,8.0,85.40296957392748,60.87718505102411,24.525784522903383,qf,-30
13,165,175,6.0,11.0,21.0,1.0,5763.0,1141.0,3120.0,1900.0,3.0,32.333333333333336,51.18014570691329,78.47537664979377,-27.295230942880494,17.0,20.0,15.0,1.0,7456.0,1610.0,3860.0,2900.0,1.0,14.0,79.10277323854139,67.13284374684402,11.969929491697352,qm,-10
14,185,95,33.0,19.0,16.0,1.0,7549.0,1498.0,3860.0,2750.0,4.0,15.666666666666666,82.38521907893833,63.00068773803804,19.384531340900285,9.0,14.0,22.0,0.0,6238.0,1212.0,3480.0,1950.0,3.0,28.0,36.30879597014421,66.32129539086462,-30.012499420720417,qm,90
