,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,250,280,31.0,22.0,13.0,1.0,7501.0,1496.0,3860.0,2800.0,1.0,11.666666666666666,79.1301813932365,70.93054263740237,8.199638755834131,35.0,23.0,12.0,1.0,7371.0,1390.0,3780.0,2450.0,1.0,12.333333333333334,82.0275584247263,45.316236274677514,36.71132215004878,f,-30
1,240,256,31.0,22.0,13.0,1.0,7501.0,1496.0,3860.0,2800.0,1.0,11.666666666666666,79.1301813932365,70.93054263740237,8.199638755834131,35.0,23.0,12.0,1.0,7371.0,1390.0,3780.0,2450.0,1.0,12.333333333333334,82.0275584247263,45.316236274677514,36.71132215004878,f,-16
2,305,215,38.0,17.0,18.0,1.0,7448.0,1326.0,4000.0,2650.0,3.0,20.333333333333332,81.74843498263988,69.53761136810257,12.210823614537295,35.0,23.0,12.0,1.0,7371.0,1390.0,3780.0,2450.0,1.0,12.333333333333334,82.0275584247263,45.316236274677514,36.71132215004878,qf,90
3,185,260,38.0,17.0,18.0,1.0,7448.0,1326.0,4000.0,2650.0,3.0,20.333333333333332,81.74843498263988,69.53761136810257,12.210823614537295,35.0,23.0,12.0,1.0,7371.0,1390.0,3780.0,2450.0,1.0,12.333333333333334,82.0275584247263,45.316236274677514,36.71132215004878,qf,-75
4,305,305,38.0,17.0,18.0,1.0,7448.0,1326.0,4000.0,2650.0,3.0,20.333333333333332,81.74843498263988,69.53761136810257,12.210823614537295,35.0,23.0,12.0,1.0,7371.0,1390.0,3780.0,2450.0,1.0,12.333333333333334,82.0275584247263,45.316236274677514,36.71132215004878,qf,0
5,285,285,38.0,17.0,18.0,1.0,7448.0,1326.0,4000.0,2650.0,3.0,20.333333333333332,81.74843498263988,69.53761136810257,12.210823614537295,35.0,23.0,12.0,1.0,7371.0,1390.0,3780.0,2450.0,1.0,12.333333333333334,82.0275584247263,45.316236274677514,36.71132215004878,qf,0
6,215,240,45.0,20.0,14.0,2.0,7616.0,1495.0,3980.0,2900.0,1.0,12.333333333333334,86.15452034817402,60.50801052927256,25.64650981890145,19.0,21.0,14.0,1.0,7392.0,1680.0,3760.0,2750.0,12.0,12.666666666666666,74.8925662898312,53.70617553607218,21.186390753759014,qf,-25
7,255,265,45.0,20.0,14.0,2.0,7616.0,1495.0,3980.0,2900.0,1.0,12.333333333333334,86.15452034817402,60.50801052927256,25.64650981890145,19.0,21.0,14.0,1.0,7392.0,1680.0,3760.0,2750.0,12.0,12.666666666666666,74.8925662898312,53.70617553607218,21.186390753759014,qf,-10
8,230,305,26.0,20.0,16.0,0.0,7343.0,1445.0,3800.0,2450.0,8.0,14.333333333333334,86.78959250390221,53.52789542978069,33.26169707412152,31.0,22.0,13.0,1.0,7501.0,1496.0,3860.0,2800.0,1.0,11.666666666666666,79.1301813932365,70.93054263740237,8.199638755834131,qf,-75
9,140,355,26.0,20.0,16.0,0.0,7343.0,1445.0,3800.0,2450.0,8.0,14.333333333333334,86.78959250390221,53.52789542978069,33.26169707412152,31.0,22.0,13.0,1.0,7501.0,1496.0,3860.0,2800.0,1.0,11.666666666666666,79.1301813932365,70.93054263740237,8.199638755834131,qf,-215
