,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,288,370,42.0,20.0,16.0,0.0,9365.0,1568.0,4340.0,3650.0,120.0,17.666666666666668,100.79453835853873,86.47945744073655,14.315080917802172,24.0,22.0,14.0,0.0,9392.0,1766.0,4280.0,3650.0,667.0,11.666666666666666,100.61495438524871,89.4902022998104,11.124752085438274,f,-82
1,306,370,42.0,20.0,16.0,0.0,9365.0,1568.0,4340.0,3650.0,120.0,17.666666666666668,100.79453835853873,86.47945744073655,14.315080917802172,24.0,22.0,14.0,0.0,9392.0,1766.0,4280.0,3650.0,667.0,11.666666666666666,100.61495438524871,89.4902022998104,11.124752085438274,f,-64
2,305,377,50.0,20.0,16.0,0.0,8860.0,1433.0,4140.0,3500.0,220.0,18.666666666666668,82.60309603109627,67.93383397592004,14.669262055176235,24.0,22.0,14.0,0.0,9392.0,1766.0,4280.0,3650.0,667.0,11.666666666666666,100.61495438524871,89.4902022998104,11.124752085438274,qf,-72
3,230,374,50.0,20.0,16.0,0.0,8860.0,1433.0,4140.0,3500.0,220.0,18.666666666666668,82.60309603109627,67.93383397592004,14.669262055176235,24.0,22.0,14.0,0.0,9392.0,1766.0,4280.0,3650.0,667.0,11.666666666666666,100.61495438524871,89.4902022998104,11.124752085438274,qf,-144
4,395,305,30.0,18.0,18.0,0.0,9364.0,2211.0,4180.0,3750.0,604.0,16.0,93.91993070298714,87.66795016136949,6.2519805416176695,9.0,22.0,14.0,0.0,9505.0,1941.0,4460.0,4050.0,215.0,11.333333333333334,101.11174475991648,74.07531177073683,27.036432989179627,qf,90
5,330,395,30.0,18.0,18.0,0.0,9364.0,2211.0,4180.0,3750.0,604.0,16.0,93.91993070298714,87.66795016136949,6.2519805416176695,9.0,22.0,14.0,0.0,9505.0,1941.0,4460.0,4050.0,215.0,11.333333333333334,101.11174475991648,74.07531177073683,27.036432989179627,qf,-65
6,218,395,30.0,18.0,18.0,0.0,9364.0,2211.0,4180.0,3750.0,604.0,16.0,93.91993070298714,87.66795016136949,6.2519805416176695,9.0,22.0,14.0,0.0,9505.0,1941.0,4460.0,4050.0,215.0,11.333333333333334,101.11174475991648,74.07531177073683,27.036432989179627,qf,-177
7,318,305,42.0,20.0,16.0,0.0,9365.0,1568.0,4340.0,3650.0,120.0,17.666666666666668,100.79453835853873,86.47945744073655,14.315080917802172,20.0,21.0,15.0,0.0,9285.0,2270.0,4860.0,3400.0,105.0,14.0,99.26421907656895,68.90646853697235,30.357750539596577,qf,13
8,310,450,42.0,20.0,16.0,0.0,9365.0,1568.0,4340.0,3650.0,120.0,17.666666666666668,100.79453835853873,86.47945744073655,14.315080917802172,20.0,21.0,15.0,0.0,9285.0,2270.0,4860.0,3400.0,105.0,14.0,99.26421907656895,68.90646853697235,30.357750539596577,qf,-140
9,449,445,42.0,20.0,16.0,0.0,9365.0,1568.0,4340.0,3650.0,120.0,17.666666666666668,100.79453835853873,86.47945744073655,14.315080917802172,20.0,21.0,15.0,0.0,9285.0,2270.0,4860.0,3400.0,105.0,14.0,99.26421907656895,68.90646853697235,30.357750539596577,qf,4
10,286,297,16.0,21.0,14.0,1.0,8806.0,1553.0,3920.0,3850.0,271.0,11.333333333333334,83.01526281290732,67.19026870693357,15.824994105973763,22.0,23.0,13.0,0.0,9318.0,1628.0,4240.0,4000.0,318.0,12.0,97.72570744031684,77.5573700889973,20.168337351319526,qf,-11
11,305,296,16.0,21.0,14.0,1.0,8806.0,1553.0,3920.0,3850.0,271.0,11.333333333333334,83.01526281290732,67.19026870693357,15.824994105973763,22.0,23.0,13.0,0.0,9318.0,1628.0,4240.0,4000.0,318.0,12.0,97.72570744031684,77.5573700889973,20.168337351319526,qf,9
12,210,322,16.0,21.0,14.0,1.0,8806.0,1553.0,3920.0,3850.0,271.0,11.333333333333334,83.01526281290732,67.19026870693357,15.824994105973763,22.0,23.0,13.0,0.0,9318.0,1628.0,4240.0,4000.0,318.0,12.0,97.72570744031684,77.5573700889973,20.168337351319526,qf,-112
13,117,245,22.0,16.0,19.0,1.0,8117.0,1520.0,3880.0,3050.0,162.0,27.333333333333332,66.49023406890718,82.72050601960969,-16.230271950702505,32.0,19.0,16.0,1.0,8626.0,1446.0,4020.0,3300.0,236.0,19.0,76.34617686169362,69.37624989747411,6.969926964219499,qm,-128
14,280,310,24.0,19.0,17.0,0.0,9325.0,1551.0,4260.0,4150.0,200.0,17.0,96.53687707523231,80.98461397888977,15.552263096342534,17.0,21.0,14.0,1.0,9153.0,1952.0,4340.0,3900.0,138.0,15.666666666666666,89.66588405314518,86.18334285769919,3.4825411954459895,qm,-30
15,258,95,33.0,22.0,14.0,0.0,9045.0,1648.0,3940.0,3600.0,820.0,7.0,88.80592983462452,74.30608253636228,14.499847298262248,8.0,13.0,21.0,2.0,7439.0,1369.0,3800.0,2650.0,154.0,33.666666666666664,44.87937743720074,86.45200561886385,-41.572628181663106,qm,163
16,256,220,33.0,21.0,14.0,1.0,9027.0,1521.0,4080.0,3750.0,212.0,13.666666666666666,89.98282989891162,77.49227200048236,12.490557898429245,18.0,15.0,21.0,0.0,8607.0,1553.0,4180.0,3400.0,62.0,30.0,77.38078355900069,96.6148233552911,-19.234039796290407,qm,36
17,375,200,28.0,18.0,17.0,1.0,9441.0,1933.0,4040.0,3800.0,591.0,14.0,96.37093965574348,86.52556104963804,9.845378606105436,13.0,11.0,25.0,0.0,8229.0,1710.0,3820.0,3450.0,224.0,31.666666666666668,63.93035851418639,116.045099584488,-52.11474107030162,qm,175
18,290,205,17.0,20.0,16.0,0.0,9290.0,1619.0,4100.0,4150.0,255.0,15.666666666666666,95.54965144450593,70.09823139543097,25.451420049074954,5.0,19.0,17.0,0.0,9020.0,2007.0,4520.0,3550.0,155.0,17.0,87.98659393533306,79.74252019957827,8.244073735754784,qm,85
19,313,145,42.0,24.0,12.0,0.0,9479.0,1625.0,4200.0,3750.0,679.0,7.0,103.60217511174841,70.47737877165899,33.124796340089404,27.0,14.0,22.0,0.0,7899.0,1236.0,4000.0,3000.0,129.0,28.666666666666668,51.12235566237788,87.47648746312088,-36.354131800743005,qm,168
20,170,231,14.0,12.0,24.0,0.0,8413.0,1613.0,4000.0,3350.0,158.0,31.666666666666668,67.41349996844185,98.8541936150251,-31.440693646583227,7.0,17.0,19.0,0.0,8424.0,1247.0,3800.0,3800.0,219.0,23.333333333333332,71.16699953393352,74.97347526518826,-3.8064757312547264,qm,-61
21,300,430,24.0,17.0,19.0,0.0,9461.0,2104.0,4380.0,3700.0,601.0,14.333333333333334,98.84588376048593,99.13754251642735,-0.29165875594141255,38.0,18.0,18.0,0.0,8891.0,1667.0,4260.0,3300.0,71.0,23.666666666666668,90.4197525100352,87.77165777382027,2.64809473621492,qm,-130
22,145,145,13.0,14.0,19.0,3.0,7726.0,1266.0,3880.0,2850.0,121.0,29.666666666666668,52.34299068009448,70.54230253856379,-18.1993118584693,13.0,15.0,18.0,3.0,8344.0,1580.0,3940.0,3350.0,184.0,24.666666666666668,70.63429988173675,84.68999235671858,-14.055692474981825,qm,0
23,255,190,22.0,23.0,13.0,0.0,9128.0,1990.0,4400.0,3750.0,213.0,11.0,90.76572667987693,72.13766242554648,18.628064254330457,13.0,18.0,18.0,0.0,8713.0,1462.0,4020.0,3750.0,223.0,21.0,79.03034961478649,77.93144091828965,1.0989086964968375,qm,65
24,290,215,19.0,22.0,14.0,0.0,9586.0,1896.0,4780.0,3450.0,281.0,9.333333333333334,102.30080758278315,71.5077004625914,30.79310712019176,28.0,14.0,21.0,1.0,8369.0,1362.0,3880.0,3550.0,164.0,28.666666666666668,70.1157108671207,95.05432986736946,-24.938619000248753,qm,75
25,312,262,9.0,18.0,18.0,0.0,9354.0,1883.0,4400.0,3800.0,209.0,20.333333333333332,96.21269558990623,84.9095561069148,11.30313948299144,29.0,20.0,16.0,0.0,9040.0,1768.0,4120.0,3700.0,340.0,15.0,85.92336726338857,70.80689964224804,15.116467621140515,qm,50
