,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,294,390,20.0,7.0,11.0,0.0,3918.0,862.0,1880.0,1600.0,178.0,16.0,50.368163219469636,85.83300224286386,-35.46483902339423,16.0,11.0,7.0,0.0,4324.0,770.0,2060.0,1750.0,54.0,9.0,86.24431621523905,73.44092096892824,12.8033952463108,f,-96
1,217,245,20.0,7.0,11.0,0.0,3918.0,862.0,1880.0,1600.0,178.0,16.0,50.368163219469636,85.83300224286386,-35.46483902339423,16.0,11.0,7.0,0.0,4324.0,770.0,2060.0,1750.0,54.0,9.0,86.24431621523905,73.44092096892824,12.8033952463108,f,-28
2,216,250,27.0,7.0,11.0,0.0,4190.0,982.0,2160.0,1550.0,30.0,17.0,72.25208179301745,93.04183680132233,-20.789755008304876,16.0,11.0,7.0,0.0,4324.0,770.0,2060.0,1750.0,54.0,9.0,86.24431621523905,73.44092096892824,12.8033952463108,qf,-34
3,256,370,27.0,7.0,11.0,0.0,4190.0,982.0,2160.0,1550.0,30.0,17.0,72.25208179301745,93.04183680132233,-20.789755008304876,16.0,11.0,7.0,0.0,4324.0,770.0,2060.0,1750.0,54.0,9.0,86.24431621523905,73.44092096892824,12.8033952463108,qf,-114
4,230,310,8.0,10.0,8.0,0.0,3943.0,733.0,1800.0,1650.0,83.0,11.333333333333334,64.44318249330699,59.96426452273507,4.478917970571907,56.0,10.0,8.0,0.0,4146.0,794.0,1900.0,1900.0,16.0,9.666666666666666,79.00025251718507,67.42314035054035,11.577112166644733,qf,-80
5,285,205,8.0,10.0,8.0,0.0,3943.0,733.0,1800.0,1650.0,83.0,11.333333333333334,64.44318249330699,59.96426452273507,4.478917970571907,56.0,10.0,8.0,0.0,4146.0,794.0,1900.0,1900.0,16.0,9.666666666666666,79.00025251718507,67.42314035054035,11.577112166644733,qf,80
6,235,255,8.0,10.0,8.0,0.0,3943.0,733.0,1800.0,1650.0,83.0,11.333333333333334,64.44318249330699,59.96426452273507,4.478917970571907,56.0,10.0,8.0,0.0,4146.0,794.0,1900.0,1900.0,16.0,9.666666666666666,79.00025251718507,67.42314035054035,11.577112166644733,qf,-20
7,265,305,12.0,8.0,10.0,0.0,4192.0,785.0,1820.0,1850.0,92.0,14.666666666666666,100.93770923143484,62.681157971829656,38.256551259605175,8.0,9.0,9.0,0.0,4326.0,734.0,2200.0,1800.0,36.0,10.0,89.90027738099927,77.58135928811542,12.318918092883848,qf,-40
8,265,285,12.0,8.0,10.0,0.0,4192.0,785.0,1820.0,1850.0,92.0,14.666666666666666,100.93770923143484,62.681157971829656,38.256551259605175,8.0,9.0,9.0,0.0,4326.0,734.0,2200.0,1800.0,36.0,10.0,89.90027738099927,77.58135928811542,12.318918092883848,qf,-20
9,110,382,39.0,10.0,8.0,0.0,3880.0,667.0,1900.0,1550.0,15.0,12.333333333333334,66.4651282605082,89.64542896474376,-23.180300704235552,20.0,7.0,11.0,0.0,3918.0,862.0,1880.0,1600.0,178.0,16.0,50.368163219469636,85.83300224286386,-35.46483902339423,qf,-272
10,230,225,39.0,10.0,8.0,0.0,3880.0,667.0,1900.0,1550.0,15.0,12.333333333333334,66.4651282605082,89.64542896474376,-23.180300704235552,20.0,7.0,11.0,0.0,3918.0,862.0,1880.0,1600.0,178.0,16.0,50.368163219469636,85.83300224286386,-35.46483902339423,qf,5
11,145,322,39.0,10.0,8.0,0.0,3880.0,667.0,1900.0,1550.0,15.0,12.333333333333334,66.4651282605082,89.64542896474376,-23.180300704235552,20.0,7.0,11.0,0.0,3918.0,862.0,1880.0,1600.0,178.0,16.0,50.368163219469636,85.83300224286386,-35.46483902339423,qf,-177
12,90,295,31.0,7.0,11.0,0.0,3634.0,709.0,1880.0,1250.0,19.0,17.333333333333332,44.017369677636395,97.12004218212633,-53.10267250448993,9.0,13.0,5.0,0.0,4708.0,679.0,2180.0,2100.0,48.0,2.6666666666666665,114.61982489182147,56.222759364975765,58.3970655268457,qm,-205
13,185,220,18.0,9.0,9.0,0.0,4070.0,674.0,2100.0,1650.0,35.0,11.0,67.72118186018449,79.00464501316297,-11.283463152978472,18.0,11.0,7.0,0.0,3896.0,593.0,1760.0,1600.0,36.0,8.666666666666666,76.14932746775757,57.7009262728434,18.448401194914172,qm,-35
