,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,285,306,11.0,22.0,12.0,1.0,7716.0,1480.0,3980.0,2900.0,6.0,12.333333333333334,86.66029133925878,62.95853331798537,23.701758021273395,7.0,21.0,13.0,2.0,7882.0,1360.0,4020.0,3150.0,12.0,12.0,85.67546560398891,70.41961029585498,15.255855308133919,f,-21
1,235,261,11.0,22.0,12.0,1.0,7716.0,1480.0,3980.0,2900.0,6.0,12.333333333333334,86.66029133925878,62.95853331798537,23.701758021273395,7.0,21.0,13.0,2.0,7882.0,1360.0,4020.0,3150.0,12.0,12.0,85.67546560398891,70.41961029585498,15.255855308133919,f,-26
2,280,305,32.0,16.0,20.0,0.0,7501.0,1245.0,3820.0,2850.0,1.0,21.333333333333332,82.953577252868,84.41326752743532,-1.4596902745673124,12.0,22.0,12.0,2.0,7767.0,1560.0,4120.0,2850.0,7.0,12.666666666666666,83.64349720451546,61.366999332848245,22.276497871667214,qf,-25
3,285,310,32.0,16.0,20.0,0.0,7501.0,1245.0,3820.0,2850.0,1.0,21.333333333333332,82.953577252868,84.41326752743532,-1.4596902745673124,12.0,22.0,12.0,2.0,7767.0,1560.0,4120.0,2850.0,7.0,12.666666666666666,83.64349720451546,61.366999332848245,22.276497871667214,qf,-25
4,210,312,24.0,23.0,13.0,0.0,7745.0,1690.0,4040.0,3000.0,0.0,11.0,85.82709760109908,45.97271057384157,39.85438702725753,7.0,21.0,13.0,2.0,7882.0,1360.0,4020.0,3150.0,12.0,12.0,85.67546560398891,70.41961029585498,15.255855308133919,qf,-102
5,305,334,24.0,23.0,13.0,0.0,7745.0,1690.0,4040.0,3000.0,0.0,11.0,85.82709760109908,45.97271057384157,39.85438702725753,7.0,21.0,13.0,2.0,7882.0,1360.0,4020.0,3150.0,12.0,12.0,85.67546560398891,70.41961029585498,15.255855308133919,qf,-29
6,235,285,17.0,15.0,16.0,4.0,7111.0,1240.0,3780.0,2600.0,1.0,20.333333333333332,71.95557554212725,67.20587206157789,4.749703480549357,21.0,25.0,11.0,0.0,7740.0,1245.0,3900.0,3200.0,0.0,8.333333333333334,75.72101439624637,50.55476980689917,25.1662445893472,qf,-50
7,235,255,17.0,15.0,16.0,4.0,7111.0,1240.0,3780.0,2600.0,1.0,20.333333333333332,71.95557554212725,67.20587206157789,4.749703480549357,21.0,25.0,11.0,0.0,7740.0,1245.0,3900.0,3200.0,0.0,8.333333333333334,75.72101439624637,50.55476980689917,25.1662445893472,qf,-20
8,117,305,19.0,20.0,14.0,1.0,7486.0,1720.0,3900.0,2950.0,6.0,14.0,90.71237196189948,62.83142728866312,27.880944673236357,11.0,22.0,12.0,1.0,7716.0,1480.0,3980.0,2900.0,6.0,12.333333333333334,86.66029133925878,62.95853331798537,23.701758021273395,qf,-188
9,167,280,19.0,20.0,14.0,1.0,7486.0,1720.0,3900.0,2950.0,6.0,14.0,90.71237196189948,62.83142728866312,27.880944673236357,11.0,22.0,12.0,1.0,7716.0,1480.0,3980.0,2900.0,6.0,12.333333333333334,86.66029133925878,62.95853331798537,23.701758021273395,qf,-113
10,90,30,5.0,17.0,15.0,2.0,6664.0,1265.0,3680.0,2250.0,4.0,21.666666666666668,63.65347674199043,60.820517271606626,2.8329594703838006,14.0,14.0,20.0,1.0,6216.0,1160.0,3240.0,2250.0,6.0,28.333333333333332,56.45542126825569,55.87932623537693,0.5760950328787638,qm,60
11,255,160,21.0,25.0,10.0,0.0,8038.0,1910.0,4120.0,3150.0,3.0,8.0,94.13029950354797,57.775622942497456,36.35467656105052,20.0,12.0,21.0,2.0,6533.0,1130.0,3620.0,2250.0,3.0,28.333333333333332,51.91815754343211,78.29510484891932,-26.37694730548721,qm,95
12,45,237,42.0,18.0,17.0,1.0,6795.0,835.0,3460.0,2700.0,0.0,20.0,58.42205466194604,74.9893184140979,-16.56726375215186,20.0,20.0,14.0,2.0,7935.0,1635.0,4180.0,3000.0,10.0,13.333333333333334,84.58518583192027,49.876591053992875,34.708594777927395,qm,-192
13,195,200,23.0,16.0,20.0,0.0,7545.0,1575.0,4080.0,2750.0,0.0,22.666666666666668,74.99541583560209,77.30541321920765,-2.3099973836055625,5.0,21.0,12.0,3.0,7487.0,1550.0,4040.0,2650.0,2.0,11.666666666666666,76.00561650227526,60.4645717443589,15.541044757916346,qm,-5
14,241,90,10.0,14.0,20.0,1.0,6931.0,1585.0,3700.0,2500.0,21.0,26.666666666666668,75.221127470088,71.15061744141435,4.070510028673652,20.0,10.0,23.0,2.0,5688.0,920.0,3080.0,1950.0,3.0,33.666666666666664,38.98418522613792,68.96999433196437,-29.985809105826462,qm,151
15,235,155,12.0,25.0,10.0,1.0,8370.0,1430.0,4160.0,3450.0,5.0,7.0,97.12333165504533,58.392745482783816,38.7305861722615,14.0,17.0,18.0,0.0,6757.0,1435.0,3800.0,2300.0,2.0,21.0,60.510407230392566,62.55762194524804,-2.047214714855476,qm,80
16,265,200,15.0,15.0,20.0,1.0,6900.0,1335.0,3880.0,2350.0,5.0,23.666666666666668,58.55422780335868,69.34834118360972,-10.794113380251053,19.0,19.0,16.0,1.0,7762.0,1610.0,4020.0,3000.0,2.0,16.666666666666668,87.14496762792537,61.14080262503501,26.004165002890357,qm,65
17,90,230,31.0,14.0,20.0,2.0,6086.0,925.0,3480.0,1950.0,1.0,23.666666666666668,46.91283092550206,69.24731417283694,-22.334483247334887,28.0,18.0,17.0,1.0,6977.0,1130.0,3680.0,2700.0,2.0,19.333333333333332,63.678458585886574,58.33787263497089,5.340585950915681,qm,-140
18,125,260,9.0,15.0,18.0,3.0,6992.0,1140.0,3540.0,2650.0,2.0,21.666666666666668,64.41574387485649,80.91812030711009,-16.5023764322536,20.0,24.0,11.0,0.0,7808.0,1265.0,4080.0,3100.0,3.0,10.0,85.96807013514285,62.306930256775296,23.661139878367567,qm,-135
19,170,165,19.0,23.0,9.0,3.0,7604.0,1800.0,4080.0,2700.0,4.0,9.333333333333334,79.14220866852646,60.63212995443337,18.51007871409311,4.0,10.0,23.0,2.0,6012.0,1305.0,3320.0,1950.0,2.0,34.0,43.50909702479661,72.03487259476104,-28.525775569964427,qm,5
20,180,190,8.0,10.0,23.0,2.0,5975.0,1180.0,3400.0,1950.0,10.0,34.0,44.08175450717712,56.12973659332087,-12.047982086143753,11.0,19.0,15.0,1.0,7068.0,1105.0,3500.0,2950.0,8.0,17.0,68.27121476966376,74.56228954356214,-6.291074773898383,qm,-10
21,115,90,3.0,21.0,13.0,2.0,7066.0,1565.0,3960.0,2350.0,1.0,13.0,56.93926953530536,50.3816369719224,6.557632563382967,29.0,15.0,20.0,1.0,7206.0,1510.0,3820.0,2650.0,6.0,23.333333333333332,66.90955305691595,73.99761868704371,-7.088065630127761,qm,25
22,140,281,32.0,14.0,21.0,0.0,6394.0,1615.0,3660.0,1950.0,4.0,26.333333333333332,49.91824712920402,74.74647691009352,-24.828229780889497,18.0,19.0,16.0,1.0,7865.0,1690.0,4160.0,2900.0,15.0,17.666666666666668,84.28309213040241,62.4736710685117,21.809421061890703,qm,-141
23,180,105,22.0,15.0,19.0,2.0,6804.0,1355.0,3620.0,2550.0,4.0,22.666666666666668,59.67459728279311,66.26167993502223,-6.5870826522291255,16.0,16.0,17.0,2.0,6831.0,1555.0,3640.0,2450.0,1.0,21.333333333333332,66.79649704761285,57.55066527875332,9.24583176885951,qm,75
24,55,140,8.0,12.0,23.0,1.0,6253.0,1340.0,3400.0,2150.0,8.0,30.666666666666668,45.267956319083055,68.28353285619454,-23.01557653711148,15.0,21.0,14.0,1.0,7218.0,1100.0,3900.0,2650.0,8.0,13.666666666666666,63.31738364580102,51.479698210843615,11.83768543495741,qm,-85
