,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,196,305,34.0,20.0,16.0,0.0,8703.0,1550.0,4300.0,3800.0,43.0,15.333333333333334,93.82762289148862,68.6054879611652,25.22213493032341,34.0,20.0,16.0,0.0,8703.0,1550.0,4300.0,3800.0,43.0,15.333333333333334,93.82762289148862,68.6054879611652,25.22213493032341,f,-109
1,166,256,34.0,20.0,16.0,0.0,8703.0,1550.0,4300.0,3800.0,43.0,15.333333333333334,93.82762289148862,68.6054879611652,25.22213493032341,34.0,20.0,16.0,0.0,8703.0,1550.0,4300.0,3800.0,43.0,15.333333333333334,93.82762289148862,68.6054879611652,25.22213493032341,f,-90
2,231,280,14.0,22.0,14.0,0.0,8214.0,1577.0,3960.0,3600.0,39.0,14.666666666666666,82.00474344457028,61.1659448997685,20.838798544801765,14.0,22.0,14.0,0.0,8214.0,1577.0,3960.0,3600.0,39.0,14.666666666666666,82.00474344457028,61.1659448997685,20.838798544801765,qf,-49
3,206,258,14.0,22.0,14.0,0.0,8214.0,1577.0,3960.0,3600.0,39.0,14.666666666666666,82.00474344457028,61.1659448997685,20.838798544801765,14.0,22.0,14.0,0.0,8214.0,1577.0,3960.0,3600.0,39.0,14.666666666666666,82.00474344457028,61.1659448997685,20.838798544801765,qf,-52
4,231,305,24.0,21.0,13.0,2.0,7826.0,1051.0,3860.0,3150.0,41.0,14.333333333333334,78.56595134964059,70.22360584843246,8.342345501208115,24.0,21.0,13.0,2.0,7826.0,1051.0,3860.0,3150.0,41.0,14.333333333333334,78.56595134964059,70.22360584843246,8.342345501208115,qf,-74
5,312,305,24.0,21.0,13.0,2.0,7826.0,1051.0,3860.0,3150.0,41.0,14.333333333333334,78.56595134964059,70.22360584843246,8.342345501208115,24.0,21.0,13.0,2.0,7826.0,1051.0,3860.0,3150.0,41.0,14.333333333333334,78.56595134964059,70.22360584843246,8.342345501208115,qf,7
6,295,305,24.0,21.0,13.0,2.0,7826.0,1051.0,3860.0,3150.0,41.0,14.333333333333334,78.56595134964059,70.22360584843246,8.342345501208115,24.0,21.0,13.0,2.0,7826.0,1051.0,3860.0,3150.0,41.0,14.333333333333334,78.56595134964059,70.22360584843246,8.342345501208115,qf,-10
7,285,291,4.0,19.0,17.0,0.0,8356.0,1553.0,4140.0,3500.0,41.0,18.666666666666668,95.61582673211001,68.92245988390107,26.693366848208942,4.0,19.0,17.0,0.0,8356.0,1553.0,4140.0,3500.0,41.0,18.666666666666668,95.61582673211001,68.92245988390107,26.693366848208942,qf,-6
8,255,307,4.0,19.0,17.0,0.0,8356.0,1553.0,4140.0,3500.0,41.0,18.666666666666668,95.61582673211001,68.92245988390107,26.693366848208942,4.0,19.0,17.0,0.0,8356.0,1553.0,4140.0,3500.0,41.0,18.666666666666668,95.61582673211001,68.92245988390107,26.693366848208942,qf,-52
9,305,264,6.0,19.0,16.0,1.0,8005.0,1364.0,4000.0,3150.0,35.0,18.0,84.8078080893901,68.09008241923685,16.717725670153254,6.0,19.0,16.0,1.0,8005.0,1364.0,4000.0,3150.0,35.0,18.0,84.8078080893901,68.09008241923685,16.717725670153254,qf,41
10,255,238,6.0,19.0,16.0,1.0,8005.0,1364.0,4000.0,3150.0,35.0,18.0,84.8078080893901,68.09008241923685,16.717725670153254,6.0,19.0,16.0,1.0,8005.0,1364.0,4000.0,3150.0,35.0,18.0,84.8078080893901,68.09008241923685,16.717725670153254,qf,17
11,260,130,19.0,20.0,15.0,1.0,7980.0,1314.0,4060.0,3050.0,40.0,16.666666666666668,76.48211595078065,58.228424236771566,18.25369171400908,19.0,20.0,15.0,1.0,7980.0,1314.0,4060.0,3050.0,40.0,16.666666666666668,76.48211595078065,58.228424236771566,18.25369171400908,qm,130
12,160,245,25.0,13.0,23.0,0.0,7068.0,1611.0,3780.0,2650.0,28.0,28.666666666666668,54.529106065132005,76.49396850938733,-21.964862444255328,25.0,13.0,23.0,0.0,7068.0,1611.0,3780.0,2650.0,28.0,28.666666666666668,54.529106065132005,76.49396850938733,-21.964862444255328,qm,-85
13,285,235,40.0,20.0,16.0,0.0,7882.0,1399.0,3940.0,3350.0,37.0,18.666666666666668,73.6801993072756,64.16855831520904,9.511640992066573,40.0,20.0,16.0,0.0,7882.0,1399.0,3940.0,3350.0,37.0,18.666666666666668,73.6801993072756,64.16855831520904,9.511640992066573,qm,50
14,255,210,7.0,22.0,14.0,0.0,8319.0,1897.0,4300.0,3400.0,49.0,13.333333333333334,86.42927462764779,71.04839332839633,15.380881299251449,7.0,22.0,14.0,0.0,8319.0,1897.0,4300.0,3400.0,49.0,13.333333333333334,86.42927462764779,71.04839332839633,15.380881299251449,qm,45
15,165,120,19.0,26.0,10.0,0.0,7896.0,1048.0,3660.0,3450.0,26.0,8.0,70.55663870722414,55.513448143257136,15.043190563967002,19.0,26.0,10.0,0.0,7896.0,1048.0,3660.0,3450.0,26.0,8.0,70.55663870722414,55.513448143257136,15.043190563967002,qm,45
16,205,242,35.0,15.0,21.0,0.0,7998.0,1757.0,4260.0,2950.0,23.0,25.0,84.35251185319252,76.64537221475466,7.707139638437852,35.0,15.0,21.0,0.0,7998.0,1757.0,4260.0,2950.0,23.0,25.0,84.35251185319252,76.64537221475466,7.707139638437852,qm,-37
17,310,195,8.0,23.0,13.0,0.0,8676.0,1716.0,4160.0,3900.0,61.0,11.0,100.84656115078762,87.19237483998099,13.654186310806631,8.0,23.0,13.0,0.0,8676.0,1716.0,4160.0,3900.0,61.0,11.0,100.84656115078762,87.19237483998099,13.654186310806631,qm,115
18,305,95,36.0,24.0,12.0,0.0,8843.0,1653.0,4380.0,3900.0,23.0,9.333333333333334,102.32955304248561,67.91084175695623,34.41871128552938,36.0,24.0,12.0,0.0,8843.0,1653.0,4380.0,3900.0,23.0,9.333333333333334,102.32955304248561,67.91084175695623,34.41871128552938,qm,210
19,120,115,37.0,10.0,23.0,2.0,6066.0,1211.0,3320.0,2000.0,26.0,32.333333333333336,37.65402166750525,73.51307298278437,-35.85905131527912,37.0,10.0,23.0,2.0,6066.0,1211.0,3320.0,2000.0,26.0,32.333333333333336,37.65402166750525,73.51307298278437,-35.85905131527912,qm,5
20,283,259,26.0,26.0,10.0,0.0,8164.0,927.0,3820.0,3650.0,59.0,7.0,80.65773064122754,59.409038471461486,21.248692169766052,26.0,26.0,10.0,0.0,8164.0,927.0,3820.0,3650.0,59.0,7.0,80.65773064122754,59.409038471461486,21.248692169766052,qm,24
21,160,90,15.0,19.0,17.0,0.0,7413.0,1212.0,3720.0,2900.0,13.0,20.0,66.81210731979847,66.32047464900027,0.49163267079820844,15.0,19.0,17.0,0.0,7413.0,1212.0,3720.0,2900.0,13.0,20.0,66.81210731979847,66.32047464900027,0.49163267079820844,qm,70
22,165,110,36.0,12.0,21.0,2.0,6820.0,1339.0,3440.0,2700.0,35.0,30.0,58.94809173756503,78.06387859740299,-19.115786859837964,36.0,12.0,21.0,2.0,6820.0,1339.0,3440.0,2700.0,35.0,30.0,58.94809173756503,78.06387859740299,-19.115786859837964,qm,55
23,145,197,6.0,17.0,19.0,0.0,7449.0,1575.0,3800.0,2900.0,24.0,22.666666666666668,69.26790849275066,77.61750656948811,-8.34959807673746,6.0,17.0,19.0,0.0,7449.0,1575.0,3800.0,2900.0,24.0,22.666666666666668,69.26790849275066,77.61750656948811,-8.34959807673746,qm,-52
24,126,197,25.0,10.0,25.0,1.0,7000.0,1498.0,3500.0,2750.0,25.0,33.333333333333336,59.20429150210676,71.23407880181927,-12.029787299712504,25.0,10.0,25.0,1.0,7000.0,1498.0,3500.0,2750.0,25.0,33.333333333333336,59.20429150210676,71.23407880181927,-12.029787299712504,qm,-71
25,309,245,8.0,20.0,16.0,0.0,8117.0,1777.0,4140.0,3100.0,52.0,15.333333333333334,86.05724169406142,80.02415306934398,6.033088624717425,8.0,20.0,16.0,0.0,8117.0,1777.0,4140.0,3100.0,52.0,15.333333333333334,86.05724169406142,80.02415306934398,6.033088624717425,qm,64
26,232,255,31.0,16.0,19.0,1.0,7899.0,1162.0,4060.0,3050.0,49.0,22.0,82.17707018029235,73.27602664270806,8.901043537584286,31.0,16.0,19.0,1.0,7899.0,1162.0,4060.0,3050.0,49.0,22.0,82.17707018029235,73.27602664270806,8.901043537584286,qm,-23
27,193,94,15.0,24.0,11.0,1.0,7924.0,1098.0,3980.0,3200.0,124.0,10.333333333333334,71.15233605713644,50.65086604682589,20.501470010310538,15.0,24.0,11.0,1.0,7924.0,1098.0,3980.0,3200.0,124.0,10.333333333333334,71.15233605713644,50.65086604682589,20.501470010310538,qm,99
28,305,140,13.0,24.0,11.0,1.0,7911.0,1346.0,3920.0,3250.0,26.0,10.333333333333334,77.9072790471213,53.02181947623683,24.88545957088449,13.0,24.0,11.0,1.0,7911.0,1346.0,3920.0,3250.0,26.0,10.333333333333334,77.9072790471213,53.02181947623683,24.88545957088449,qm,165
29,255,168,2.0,18.0,18.0,0.0,7839.0,1394.0,3900.0,3300.0,39.0,20.0,79.11112838938347,94.46940705792393,-15.358278668540459,2.0,18.0,18.0,0.0,7839.0,1394.0,3900.0,3300.0,39.0,20.0,79.11112838938347,94.46940705792393,-15.358278668540459,qm,87
30,250,140,26.0,17.0,19.0,0.0,8016.0,1415.0,3980.0,3300.0,26.0,23.0,74.24858207038307,66.34321416245376,7.905367907929306,26.0,17.0,19.0,0.0,8016.0,1415.0,3980.0,3300.0,26.0,23.0,74.24858207038307,66.34321416245376,7.905367907929306,qm,110
31,195,300,6.0,16.0,20.0,0.0,7405.0,1281.0,3580.0,3050.0,30.0,24.666666666666668,68.96593218099711,71.16611256392547,-2.2001803829283397,6.0,16.0,20.0,0.0,7405.0,1281.0,3580.0,3050.0,30.0,24.666666666666668,68.96593218099711,71.16611256392547,-2.2001803829283397,qm,-105
32,230,245,19.0,16.0,20.0,0.0,7797.0,1367.0,4000.0,3100.0,32.0,24.333333333333332,75.62079818332563,69.98147605421049,5.639322129115139,19.0,16.0,20.0,0.0,7797.0,1367.0,4000.0,3100.0,32.0,24.333333333333332,75.62079818332563,69.98147605421049,5.639322129115139,qm,-15
