,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,190,145,10.0,20.0,14.0,1.0,5786.0,745.0,3300.0,1800.0,1.0,13.666666666666666,61.239580369641224,55.70945613802714,5.530124231614084,10.0,20.0,14.0,1.0,5786.0,745.0,3300.0,1800.0,1.0,13.666666666666666,61.239580369641224,55.70945613802714,5.530124231614084,f,45
1,125,190,10.0,20.0,14.0,1.0,5786.0,745.0,3300.0,1800.0,1.0,13.666666666666666,61.239580369641224,55.70945613802714,5.530124231614084,10.0,20.0,14.0,1.0,5786.0,745.0,3300.0,1800.0,1.0,13.666666666666666,61.239580369641224,55.70945613802714,5.530124231614084,f,-65
2,205,255,10.0,20.0,14.0,1.0,5786.0,745.0,3300.0,1800.0,1.0,13.666666666666666,61.239580369641224,55.70945613802714,5.530124231614084,10.0,20.0,14.0,1.0,5786.0,745.0,3300.0,1800.0,1.0,13.666666666666666,61.239580369641224,55.70945613802714,5.530124231614084,f,-50
3,145,380,31.0,18.0,18.0,0.0,5511.0,850.0,3420.0,1400.0,1.0,16.666666666666668,55.14480256223072,67.75592317581531,-12.611120613584596,31.0,18.0,18.0,0.0,5511.0,850.0,3420.0,1400.0,1.0,16.666666666666668,55.14480256223072,67.75592317581531,-12.611120613584596,qf,-235
4,170,255,31.0,18.0,18.0,0.0,5511.0,850.0,3420.0,1400.0,1.0,16.666666666666668,55.14480256223072,67.75592317581531,-12.611120613584596,31.0,18.0,18.0,0.0,5511.0,850.0,3420.0,1400.0,1.0,16.666666666666668,55.14480256223072,67.75592317581531,-12.611120613584596,qf,-85
5,195,180,25.0,21.0,15.0,0.0,5950.0,860.0,3260.0,2050.0,5.0,12.666666666666666,68.1619166317979,42.37366585217174,25.78825077962615,25.0,21.0,15.0,0.0,5950.0,860.0,3260.0,2050.0,5.0,12.666666666666666,68.1619166317979,42.37366585217174,25.78825077962615,qf,15
6,205,200,25.0,21.0,15.0,0.0,5950.0,860.0,3260.0,2050.0,5.0,12.666666666666666,68.1619166317979,42.37366585217174,25.78825077962615,25.0,21.0,15.0,0.0,5950.0,860.0,3260.0,2050.0,5.0,12.666666666666666,68.1619166317979,42.37366585217174,25.78825077962615,qf,5
7,180,200,28.0,19.0,17.0,0.0,5380.0,970.0,3340.0,1200.0,0.0,14.0,46.46954368220937,40.526102352264466,5.943441329944895,28.0,19.0,17.0,0.0,5380.0,970.0,3340.0,1200.0,0.0,14.0,46.46954368220937,40.526102352264466,5.943441329944895,qf,-20
8,165,205,28.0,19.0,17.0,0.0,5380.0,970.0,3340.0,1200.0,0.0,14.0,46.46954368220937,40.526102352264466,5.943441329944895,28.0,19.0,17.0,0.0,5380.0,970.0,3340.0,1200.0,0.0,14.0,46.46954368220937,40.526102352264466,5.943441329944895,qf,-40
9,105,170,22.0,19.0,16.0,0.0,5225.0,665.0,2860.0,1700.0,0.0,15.333333333333334,57.43630236570147,37.2439102580914,20.192392107610083,22.0,19.0,16.0,0.0,5225.0,665.0,2860.0,1700.0,0.0,15.333333333333334,57.43630236570147,37.2439102580914,20.192392107610083,qf,-65
10,180,205,22.0,19.0,16.0,0.0,5225.0,665.0,2860.0,1700.0,0.0,15.333333333333334,57.43630236570147,37.2439102580914,20.192392107610083,22.0,19.0,16.0,0.0,5225.0,665.0,2860.0,1700.0,0.0,15.333333333333334,57.43630236570147,37.2439102580914,20.192392107610083,qf,-25
11,50,145,12.0,15.0,21.0,0.0,4717.0,890.0,3000.0,1150.0,2.0,24.333333333333332,35.25171977179449,58.255618214492834,-23.003898442698333,12.0,15.0,21.0,0.0,4717.0,890.0,3000.0,1150.0,2.0,24.333333333333332,35.25171977179449,58.255618214492834,-23.003898442698333,qm,-95
12,275,130,50.0,22.0,14.0,0.0,6390.0,1200.0,3380.0,1950.0,0.0,9.0,78.71373029055904,45.51884823001698,33.19488206054208,50.0,22.0,14.0,0.0,6390.0,1200.0,3380.0,1950.0,0.0,9.0,78.71373029055904,45.51884823001698,33.19488206054208,qm,145
13,140,45,12.0,21.0,14.0,0.0,4947.0,595.0,2960.0,1250.0,2.0,13.333333333333334,45.10892534678205,34.02397520542242,11.084950141359633,12.0,21.0,14.0,0.0,4947.0,595.0,2960.0,1250.0,2.0,13.333333333333334,45.10892534678205,34.02397520542242,11.084950141359633,qm,95
14,105,55,25.0,16.0,16.0,0.0,4703.0,720.0,2880.0,1250.0,3.0,24.0,41.07280991617219,42.427218823370424,-1.3544089071982282,25.0,16.0,16.0,0.0,4703.0,720.0,2880.0,1250.0,3.0,24.0,41.07280991617219,42.427218823370424,-1.3544089071982282,qm,50
15,145,140,20.0,22.0,13.0,1.0,5787.0,850.0,3140.0,1850.0,7.0,11.333333333333334,63.625086591729065,51.226480400588905,12.398606191140162,20.0,22.0,13.0,1.0,5787.0,850.0,3140.0,1850.0,7.0,11.333333333333334,63.625086591729065,51.226480400588905,12.398606191140162,qm,5
16,105,170,18.0,17.0,19.0,0.0,5535.0,905.0,3560.0,1200.0,0.0,21.0,56.12045647549615,61.214373771273706,-5.093917295777561,18.0,17.0,19.0,0.0,5535.0,905.0,3560.0,1200.0,0.0,21.0,56.12045647549615,61.214373771273706,-5.093917295777561,qm,-65
17,185,90,33.0,22.0,14.0,0.0,5992.0,900.0,3480.0,1550.0,2.0,10.666666666666666,66.68365607211892,37.79482896450764,28.888827107611277,33.0,22.0,14.0,0.0,5992.0,900.0,3480.0,1550.0,2.0,10.666666666666666,66.68365607211892,37.79482896450764,28.888827107611277,qm,95
18,205,140,35.0,21.0,15.0,0.0,6023.0,740.0,3420.0,1900.0,3.0,12.333333333333334,62.405367808801145,45.64643152265811,16.75893628614303,35.0,21.0,15.0,0.0,6023.0,740.0,3420.0,1900.0,3.0,12.333333333333334,62.405367808801145,45.64643152265811,16.75893628614303,qm,65
19,115,95,15.0,14.0,17.0,0.0,4466.0,570.0,2840.0,1050.0,1.0,22.666666666666668,47.33669421662437,63.863593450742115,-16.52689923411775,15.0,14.0,17.0,0.0,4466.0,570.0,2840.0,1050.0,1.0,22.666666666666668,47.33669421662437,63.863593450742115,-16.52689923411775,qm,20
20,85,85,6.0,14.0,19.0,3.0,4405.0,625.0,3260.0,550.0,0.0,22.666666666666668,25.971983274369297,39.42990425234179,-13.45792097797249,6.0,14.0,19.0,3.0,4405.0,625.0,3260.0,550.0,0.0,22.666666666666668,25.971983274369297,39.42990425234179,-13.45792097797249,qm,0
21,45,185,5.0,12.0,24.0,0.0,4674.0,845.0,2760.0,1400.0,4.0,30.0,32.31019382931228,61.004308852857854,-28.694115023545578,5.0,12.0,24.0,0.0,4674.0,845.0,2760.0,1400.0,4.0,30.0,32.31019382931228,61.004308852857854,-28.694115023545578,qm,-140
