,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,471,503,40.0,21.0,15.0,0.0,11570.0,2593.0,5720.0,4900.0,215.0,12.333333333333334,119.05929704907368,103.73291761279665,15.326379436277014,40.0,21.0,15.0,0.0,11570.0,2593.0,5720.0,4900.0,215.0,12.333333333333334,119.05929704907368,103.73291761279665,15.326379436277014,f,-32
1,420,474,40.0,21.0,15.0,0.0,11570.0,2593.0,5720.0,4900.0,215.0,12.333333333333334,119.05929704907368,103.73291761279665,15.326379436277014,40.0,21.0,15.0,0.0,11570.0,2593.0,5720.0,4900.0,215.0,12.333333333333334,119.05929704907368,103.73291761279665,15.326379436277014,f,-54
2,309,485,6.0,19.0,17.0,0.0,11249.0,2465.0,5640.0,4650.0,209.0,17.0,107.03954091759408,106.50050549214099,0.5390354254530934,6.0,19.0,17.0,0.0,11249.0,2465.0,5640.0,4650.0,209.0,17.0,107.03954091759408,106.50050549214099,0.5390354254530934,qf,-176
3,310,465,6.0,19.0,17.0,0.0,11249.0,2465.0,5640.0,4650.0,209.0,17.0,107.03954091759408,106.50050549214099,0.5390354254530934,6.0,19.0,17.0,0.0,11249.0,2465.0,5640.0,4650.0,209.0,17.0,107.03954091759408,106.50050549214099,0.5390354254530934,qf,-155
4,395,501,11.0,21.0,15.0,0.0,10964.0,2406.0,5420.0,4600.0,209.0,16.333333333333332,95.62473252825374,82.34883818813307,13.275894340120695,11.0,21.0,15.0,0.0,10964.0,2406.0,5420.0,4600.0,209.0,16.333333333333332,95.62473252825374,82.34883818813307,13.275894340120695,qf,-106
5,235,386,11.0,21.0,15.0,0.0,10964.0,2406.0,5420.0,4600.0,209.0,16.333333333333332,95.62473252825374,82.34883818813307,13.275894340120695,11.0,21.0,15.0,0.0,10964.0,2406.0,5420.0,4600.0,209.0,16.333333333333332,95.62473252825374,82.34883818813307,13.275894340120695,qf,-151
6,205,408,23.0,17.0,19.0,0.0,10953.0,2522.0,5560.0,4500.0,143.0,22.333333333333332,100.44967935911559,110.9316324586568,-10.481953099541196,23.0,17.0,19.0,0.0,10953.0,2522.0,5560.0,4500.0,143.0,22.333333333333332,100.44967935911559,110.9316324586568,-10.481953099541196,qf,-203
7,474,458,23.0,17.0,19.0,0.0,10953.0,2522.0,5560.0,4500.0,143.0,22.333333333333332,100.44967935911559,110.9316324586568,-10.481953099541196,23.0,17.0,19.0,0.0,10953.0,2522.0,5560.0,4500.0,143.0,22.333333333333332,100.44967935911559,110.9316324586568,-10.481953099541196,qf,16
8,330,222,23.0,17.0,19.0,0.0,10953.0,2522.0,5560.0,4500.0,143.0,22.333333333333332,100.44967935911559,110.9316324586568,-10.481953099541196,23.0,17.0,19.0,0.0,10953.0,2522.0,5560.0,4500.0,143.0,22.333333333333332,100.44967935911559,110.9316324586568,-10.481953099541196,qf,108
9,446,454,40.0,21.0,15.0,0.0,11570.0,2593.0,5720.0,4900.0,215.0,12.333333333333334,119.05929704907368,103.73291761279665,15.326379436277014,40.0,21.0,15.0,0.0,11570.0,2593.0,5720.0,4900.0,215.0,12.333333333333334,119.05929704907368,103.73291761279665,15.326379436277014,qf,-8
10,471,311,40.0,21.0,15.0,0.0,11570.0,2593.0,5720.0,4900.0,215.0,12.333333333333334,119.05929704907368,103.73291761279665,15.326379436277014,40.0,21.0,15.0,0.0,11570.0,2593.0,5720.0,4900.0,215.0,12.333333333333334,119.05929704907368,103.73291761279665,15.326379436277014,qf,160
11,450,311,40.0,21.0,15.0,0.0,11570.0,2593.0,5720.0,4900.0,215.0,12.333333333333334,119.05929704907368,103.73291761279665,15.326379436277014,40.0,21.0,15.0,0.0,11570.0,2593.0,5720.0,4900.0,215.0,12.333333333333334,119.05929704907368,103.73291761279665,15.326379436277014,qf,139
12,345,327,14.0,20.0,16.0,0.0,11484.0,2622.0,5660.0,4900.0,179.0,16.0,114.33552089597264,107.36575997562294,6.969760920349695,14.0,20.0,16.0,0.0,11484.0,2622.0,5660.0,4900.0,179.0,16.0,114.33552089597264,107.36575997562294,6.969760920349695,qm,18
13,286,300,22.0,15.0,21.0,0.0,10687.0,2210.0,5240.0,4500.0,202.0,28.666666666666668,91.85180626498988,109.58409154504487,-17.73228528005499,22.0,15.0,21.0,0.0,10687.0,2210.0,5240.0,4500.0,202.0,28.666666666666668,91.85180626498988,109.58409154504487,-17.73228528005499,qm,-14
14,205,357,6.0,19.0,16.0,0.0,10873.0,2336.0,5420.0,4550.0,138.0,20.0,106.58178304002404,109.93462276391425,-3.3528397238902037,6.0,19.0,16.0,0.0,10873.0,2336.0,5420.0,4550.0,138.0,20.0,106.58178304002404,109.93462276391425,-3.3528397238902037,qm,-152
15,260,305,19.0,16.0,20.0,0.0,10730.0,2386.0,5060.0,4350.0,660.0,20.333333333333332,94.73142440870087,97.99192061306398,-3.2604962043631125,19.0,16.0,20.0,0.0,10730.0,2386.0,5060.0,4350.0,660.0,20.333333333333332,94.73142440870087,97.99192061306398,-3.2604962043631125,qm,-45
16,346,257,19.0,19.0,17.0,0.0,11520.0,2307.0,5700.0,4850.0,275.0,12.0,112.08921107965803,105.6656511829972,6.423559896660834,19.0,19.0,17.0,0.0,11520.0,2307.0,5700.0,4850.0,275.0,12.0,112.08921107965803,105.6656511829972,6.423559896660834,qm,89
17,215,348,29.0,21.0,15.0,0.0,11259.0,2740.0,5720.0,4600.0,274.0,16.333333333333332,107.33490477043942,101.53564722984906,5.799257540590342,29.0,21.0,15.0,0.0,11259.0,2740.0,5720.0,4600.0,274.0,16.333333333333332,107.33490477043942,101.53564722984906,5.799257540590342,qm,-133
18,311,247,32.0,20.0,16.0,0.0,11533.0,2647.0,5600.0,4900.0,258.0,18.0,113.2998490303285,104.89848013559639,8.401368894732101,32.0,20.0,16.0,0.0,11533.0,2647.0,5600.0,4900.0,258.0,18.0,113.2998490303285,104.89848013559639,8.401368894732101,qm,64
19,330,310,27.0,22.0,14.0,0.0,11125.0,2486.0,5500.0,4650.0,170.0,14.333333333333334,107.45897607923371,104.65086326992758,2.808112809306138,27.0,22.0,14.0,0.0,11125.0,2486.0,5500.0,4650.0,170.0,14.333333333333334,107.45897607923371,104.65086326992758,2.808112809306138,qm,20
20,210,265,11.0,15.0,21.0,0.0,10572.0,2397.0,5240.0,4300.0,292.0,27.0,88.1844999560722,98.13726540560407,-9.952765449531867,11.0,15.0,21.0,0.0,10572.0,2397.0,5240.0,4300.0,292.0,27.0,88.1844999560722,98.13726540560407,-9.952765449531867,qm,-55
21,381,330,41.0,24.0,12.0,0.0,11878.0,2711.0,5880.0,4850.0,428.0,7.0,126.23800541905139,99.40928122769903,26.82872419135238,41.0,24.0,12.0,0.0,11878.0,2711.0,5880.0,4850.0,428.0,7.0,126.23800541905139,99.40928122769903,26.82872419135238,qm,51
22,237,351,9.0,15.0,21.0,0.0,10938.0,2303.0,5140.0,4600.0,518.0,25.0,97.32630184733729,120.55252368746876,-23.22622184013146,9.0,15.0,21.0,0.0,10938.0,2303.0,5140.0,4600.0,518.0,25.0,97.32630184733729,120.55252368746876,-23.22622184013146,qm,-114
23,282,335,24.0,15.0,21.0,0.0,10644.0,2546.0,5520.0,4250.0,174.0,26.333333333333332,90.7669278248606,101.41188727515679,-10.644959450296176,24.0,15.0,21.0,0.0,10644.0,2546.0,5520.0,4250.0,174.0,26.333333333333332,90.7669278248606,101.41188727515679,-10.644959450296176,qm,-53
24,235,280,22.0,18.0,17.0,0.0,11001.0,2268.0,5420.0,4700.0,176.0,20.333333333333332,106.60169197678256,105.00891220961921,1.5927797671633452,22.0,18.0,17.0,0.0,11001.0,2268.0,5420.0,4700.0,176.0,20.333333333333332,106.60169197678256,105.00891220961921,1.5927797671633452,qm,-45
25,255,185,6.0,21.0,15.0,0.0,10935.0,2596.0,5460.0,4550.0,145.0,19.0,95.35150256349375,90.15126097233485,5.200241591158914,6.0,21.0,15.0,0.0,10935.0,2596.0,5460.0,4550.0,145.0,19.0,95.35150256349375,90.15126097233485,5.200241591158914,qm,70
26,300,287,11.0,17.0,19.0,0.0,10928.0,2374.0,5500.0,4550.0,143.0,23.0,97.8669703780608,111.96312621763616,-14.096155839575369,11.0,17.0,19.0,0.0,10928.0,2374.0,5500.0,4550.0,143.0,23.0,97.8669703780608,111.96312621763616,-14.096155839575369,qm,13
27,250,295,39.0,17.0,19.0,0.0,11017.0,2490.0,5500.0,4600.0,207.0,21.0,106.0000414293033,96.24131892336483,9.75872250593846,39.0,17.0,19.0,0.0,11017.0,2490.0,5500.0,4600.0,207.0,21.0,106.0000414293033,96.24131892336483,9.75872250593846,qm,-45
