,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,255,305,25.0,18.0,16.0,2.0,7557.0,1459.0,4040.0,2800.0,37.0,15.333333333333334,79.90827630675123,68.03607617800492,11.87220012874633,25.0,18.0,16.0,2.0,7557.0,1459.0,4040.0,2800.0,37.0,15.333333333333334,79.90827630675123,68.03607617800492,11.87220012874633,f,-50
1,255,305,25.0,18.0,16.0,2.0,7557.0,1459.0,4040.0,2800.0,37.0,15.333333333333334,79.90827630675123,68.03607617800492,11.87220012874633,25.0,18.0,16.0,2.0,7557.0,1459.0,4040.0,2800.0,37.0,15.333333333333334,79.90827630675123,68.03607617800492,11.87220012874633,f,-50
2,235,255,6.0,19.0,16.0,1.0,7363.0,1462.0,3840.0,2800.0,38.0,15.333333333333334,74.45903811438929,64.03469726454715,10.424340849842148,6.0,19.0,16.0,1.0,7363.0,1462.0,3840.0,2800.0,38.0,15.333333333333334,74.45903811438929,64.03469726454715,10.424340849842148,qf,-20
3,255,395,6.0,19.0,16.0,1.0,7363.0,1462.0,3840.0,2800.0,38.0,15.333333333333334,74.45903811438929,64.03469726454715,10.424340849842148,6.0,19.0,16.0,1.0,7363.0,1462.0,3840.0,2800.0,38.0,15.333333333333334,74.45903811438929,64.03469726454715,10.424340849842148,qf,-140
4,255,242,31.0,20.0,15.0,1.0,8124.0,1913.0,4020.0,3350.0,29.0,12.666666666666666,84.69866640162817,60.9992139195403,23.699452482087867,31.0,20.0,15.0,1.0,8124.0,1913.0,4020.0,3350.0,29.0,12.666666666666666,84.69866640162817,60.9992139195403,23.699452482087867,qf,13
5,310,314,31.0,20.0,15.0,1.0,8124.0,1913.0,4020.0,3350.0,29.0,12.666666666666666,84.69866640162817,60.9992139195403,23.699452482087867,31.0,20.0,15.0,1.0,8124.0,1913.0,4020.0,3350.0,29.0,12.666666666666666,84.69866640162817,60.9992139195403,23.699452482087867,qf,-4
6,305,310,31.0,20.0,15.0,1.0,8124.0,1913.0,4020.0,3350.0,29.0,12.666666666666666,84.69866640162817,60.9992139195403,23.699452482087867,31.0,20.0,15.0,1.0,8124.0,1913.0,4020.0,3350.0,29.0,12.666666666666666,84.69866640162817,60.9992139195403,23.699452482087867,qf,-5
7,205,307,6.0,19.0,15.0,2.0,7480.0,1817.0,4200.0,2700.0,40.0,14.333333333333334,77.46679130116358,74.63961090506271,2.8271803961008666,6.0,19.0,15.0,2.0,7480.0,1817.0,4200.0,2700.0,40.0,14.333333333333334,77.46679130116358,74.63961090506271,2.8271803961008666,qf,-102
8,205,311,6.0,19.0,15.0,2.0,7480.0,1817.0,4200.0,2700.0,40.0,14.333333333333334,77.46679130116358,74.63961090506271,2.8271803961008666,6.0,19.0,15.0,2.0,7480.0,1817.0,4200.0,2700.0,40.0,14.333333333333334,77.46679130116358,74.63961090506271,2.8271803961008666,qf,-106
9,310,245,25.0,18.0,16.0,2.0,7557.0,1459.0,4040.0,2800.0,37.0,15.333333333333334,79.90827630675123,68.03607617800492,11.87220012874633,25.0,18.0,16.0,2.0,7557.0,1459.0,4040.0,2800.0,37.0,15.333333333333334,79.90827630675123,68.03607617800492,11.87220012874633,qf,65
10,255,255,25.0,18.0,16.0,2.0,7557.0,1459.0,4040.0,2800.0,37.0,15.333333333333334,79.90827630675123,68.03607617800492,11.87220012874633,25.0,18.0,16.0,2.0,7557.0,1459.0,4040.0,2800.0,37.0,15.333333333333334,79.90827630675123,68.03607617800492,11.87220012874633,qf,0
11,255,235,25.0,18.0,16.0,2.0,7557.0,1459.0,4040.0,2800.0,37.0,15.333333333333334,79.90827630675123,68.03607617800492,11.87220012874633,25.0,18.0,16.0,2.0,7557.0,1459.0,4040.0,2800.0,37.0,15.333333333333334,79.90827630675123,68.03607617800492,11.87220012874633,qf,20
12,255,230,9.0,23.0,12.0,0.0,8025.0,1550.0,4020.0,3150.0,50.0,14.666666666666666,98.50363464656887,52.4691607937826,46.034473852786284,9.0,23.0,12.0,0.0,8025.0,1550.0,4020.0,3150.0,50.0,14.666666666666666,98.50363464656887,52.4691607937826,46.034473852786284,qm,25
13,245,175,2.0,18.0,17.0,0.0,7107.0,1452.0,3780.0,2650.0,12.0,20.333333333333332,73.08326398975912,77.6175627380499,-4.534298748290769,2.0,18.0,17.0,0.0,7107.0,1452.0,3780.0,2650.0,12.0,20.333333333333332,73.08326398975912,77.6175627380499,-4.534298748290769,qm,70
14,190,185,9.0,19.0,16.0,1.0,7263.0,1366.0,3720.0,2650.0,53.0,15.666666666666666,74.46897595956787,62.682516319660714,11.786459639907159,9.0,19.0,16.0,1.0,7263.0,1366.0,3720.0,2650.0,53.0,15.666666666666666,74.46897595956787,62.682516319660714,11.786459639907159,qm,5
15,195,264,23.0,19.0,15.0,1.0,7232.0,1342.0,3800.0,2700.0,27.0,16.333333333333332,77.01434303666265,58.939986895829406,18.07435614083325,23.0,19.0,15.0,1.0,7232.0,1342.0,3800.0,2700.0,27.0,16.333333333333332,77.01434303666265,58.939986895829406,18.07435614083325,qm,-69
16,265,195,15.0,15.0,20.0,1.0,7041.0,1194.0,3760.0,2450.0,16.0,25.0,64.1803212482346,80.72359583617163,-16.543274587937017,15.0,15.0,20.0,1.0,7041.0,1194.0,3760.0,2450.0,16.0,25.0,64.1803212482346,80.72359583617163,-16.543274587937017,qm,70
17,180,250,9.0,19.0,16.0,1.0,7543.0,1647.0,3940.0,2950.0,13.0,16.333333333333332,72.76867081350089,72.45795499741276,0.3107158160881364,9.0,19.0,16.0,1.0,7543.0,1647.0,3940.0,2950.0,13.0,16.333333333333332,72.76867081350089,72.45795499741276,0.3107158160881364,qm,-70
18,145,211,29.0,18.0,17.0,1.0,7183.0,1522.0,4020.0,2500.0,48.0,17.666666666666668,71.93742228585477,71.31547004358242,0.6219522422723216,29.0,18.0,17.0,1.0,7183.0,1522.0,4020.0,2500.0,48.0,17.666666666666668,71.93742228585477,71.31547004358242,0.6219522422723216,qm,-66
19,161,180,7.0,19.0,17.0,0.0,7100.0,1915.0,4120.0,2250.0,100.0,18.333333333333332,62.901682830533694,52.53558480644344,10.366098024090254,7.0,19.0,17.0,0.0,7100.0,1915.0,4120.0,2250.0,100.0,18.333333333333332,62.901682830533694,52.53558480644344,10.366098024090254,qm,-19
20,260,145,9.0,16.0,19.0,1.0,7407.0,1205.0,3720.0,2850.0,37.0,22.0,72.6525005749284,77.88663168267944,-5.23413110775104,9.0,16.0,19.0,1.0,7407.0,1205.0,3720.0,2850.0,37.0,22.0,72.6525005749284,77.88663168267944,-5.23413110775104,qm,115
21,220,200,6.0,17.0,17.0,2.0,6625.0,1185.0,3320.0,2300.0,10.0,21.333333333333332,54.76325099107817,61.58449707507193,-6.821246083993752,6.0,17.0,17.0,2.0,6625.0,1185.0,3320.0,2300.0,10.0,21.333333333333332,54.76325099107817,61.58449707507193,-6.821246083993752,qm,20
22,90,255,3.0,9.0,25.0,1.0,5395.0,1121.0,3300.0,1450.0,15.0,37.333333333333336,26.788687001022357,71.47399967922192,-44.68531267819955,3.0,9.0,25.0,1.0,5395.0,1121.0,3300.0,1450.0,15.0,37.333333333333336,26.788687001022357,71.47399967922192,-44.68531267819955,qm,-165
23,157,50,15.0,19.0,17.0,0.0,6844.0,1096.0,3360.0,2550.0,124.0,20.0,63.67756013772091,47.31606815857375,16.361491979147164,15.0,19.0,17.0,0.0,6844.0,1096.0,3360.0,2550.0,124.0,20.0,63.67756013772091,47.31606815857375,16.361491979147164,qm,107
24,151,90,14.0,14.0,18.0,1.0,5775.0,1294.0,3360.0,1600.0,25.0,30.666666666666668,41.636787160520704,57.32493381950756,-15.688146658986854,14.0,14.0,18.0,1.0,5775.0,1294.0,3360.0,1600.0,25.0,30.666666666666668,41.636787160520704,57.32493381950756,-15.688146658986854,qm,61
25,135,220,6.0,11.0,24.0,1.0,6435.0,995.0,3380.0,2350.0,10.0,33.666666666666664,49.254787545722536,90.40573182889635,-41.15094428317381,6.0,11.0,24.0,1.0,6435.0,995.0,3380.0,2350.0,10.0,33.666666666666664,49.254787545722536,90.40573182889635,-41.15094428317381,qm,-85
