,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,261,268,15.0,14.0,10.0,0.0,5456.0,1281.0,2720.0,2250.0,126.0,9.0,80.44884432411031,66.30064509935404,14.148199224756262,18.0,10.0,14.0,0.0,5702.0,1153.0,2900.0,2350.0,52.0,12.333333333333334,91.33957748244454,90.99185305756845,0.34772442487609584,f,-7
1,314,206,15.0,14.0,10.0,0.0,5456.0,1281.0,2720.0,2250.0,126.0,9.0,80.44884432411031,66.30064509935404,14.148199224756262,18.0,10.0,14.0,0.0,5702.0,1153.0,2900.0,2350.0,52.0,12.333333333333334,91.33957748244454,90.99185305756845,0.34772442487609584,f,108
2,314,251,15.0,14.0,10.0,0.0,5456.0,1281.0,2720.0,2250.0,126.0,9.0,80.44884432411031,66.30064509935404,14.148199224756262,18.0,10.0,14.0,0.0,5702.0,1153.0,2900.0,2350.0,52.0,12.333333333333334,91.33957748244454,90.99185305756845,0.34772442487609584,f,63
3,165,271,18.0,13.0,11.0,0.0,5039.0,684.0,2480.0,2150.0,64.0,11.333333333333334,55.21310940417993,52.44619687336942,2.7669125308104987,15.0,14.0,10.0,0.0,5456.0,1281.0,2720.0,2250.0,126.0,9.0,80.44884432411031,66.30064509935404,14.148199224756262,qf,-106
4,310,248,18.0,13.0,11.0,0.0,5039.0,684.0,2480.0,2150.0,64.0,11.333333333333334,55.21310940417993,52.44619687336942,2.7669125308104987,15.0,14.0,10.0,0.0,5456.0,1281.0,2720.0,2250.0,126.0,9.0,80.44884432411031,66.30064509935404,14.148199224756262,qf,62
5,170,325,18.0,13.0,11.0,0.0,5039.0,684.0,2480.0,2150.0,64.0,11.333333333333334,55.21310940417993,52.44619687336942,2.7669125308104987,15.0,14.0,10.0,0.0,5456.0,1281.0,2720.0,2250.0,126.0,9.0,80.44884432411031,66.30064509935404,14.148199224756262,qf,-155
6,240,268,33.0,10.0,14.0,0.0,5352.0,1289.0,2800.0,2150.0,27.0,12.666666666666666,72.56543109887319,90.88869488363162,-18.32326378475843,18.0,10.0,14.0,0.0,5702.0,1153.0,2900.0,2350.0,52.0,12.333333333333334,91.33957748244454,90.99185305756845,0.34772442487609584,qf,-28
7,225,215,33.0,10.0,14.0,0.0,5352.0,1289.0,2800.0,2150.0,27.0,12.666666666666666,72.56543109887319,90.88869488363162,-18.32326378475843,18.0,10.0,14.0,0.0,5702.0,1153.0,2900.0,2350.0,52.0,12.333333333333334,91.33957748244454,90.99185305756845,0.34772442487609584,qf,10
8,225,275,33.0,10.0,14.0,0.0,5352.0,1289.0,2800.0,2150.0,27.0,12.666666666666666,72.56543109887319,90.88869488363162,-18.32326378475843,18.0,10.0,14.0,0.0,5702.0,1153.0,2900.0,2350.0,52.0,12.333333333333334,91.33957748244454,90.99185305756845,0.34772442487609584,qf,-50
9,305,266,9.0,14.0,10.0,0.0,5192.0,1068.0,2600.0,2150.0,27.0,9.0,65.21746529016801,60.7658080490761,4.451657241091913,12.0,9.0,15.0,0.0,5369.0,1327.0,2920.0,2050.0,49.0,13.666666666666666,77.66398552822207,83.12018356260255,-5.456198034380478,qf,39
10,305,208,9.0,14.0,10.0,0.0,5192.0,1068.0,2600.0,2150.0,27.0,9.0,65.21746529016801,60.7658080490761,4.451657241091913,12.0,9.0,15.0,0.0,5369.0,1327.0,2920.0,2050.0,49.0,13.666666666666666,77.66398552822207,83.12018356260255,-5.456198034380478,qf,97
11,145,250,5.0,10.0,14.0,0.0,5044.0,958.0,2600.0,2000.0,24.0,13.333333333333334,59.32756330218411,77.77182813491892,-18.444264832734802,23.0,16.0,8.0,0.0,5703.0,1193.0,2700.0,2500.0,108.0,5.666666666666667,91.20863664931096,56.68547345827207,34.52316319103888,qm,-105
12,149,240,18.0,7.0,17.0,0.0,5046.0,1216.0,2760.0,1850.0,56.0,16.666666666666668,61.03051448471994,82.54179212920177,-21.51127764448182,19.0,13.0,11.0,0.0,5456.0,829.0,2640.0,2350.0,61.0,10.666666666666666,75.55733318327924,63.17705080542024,12.380282377859002,qm,-91
13,160,230,26.0,12.0,12.0,0.0,5234.0,1300.0,2800.0,2050.0,34.0,11.333333333333334,69.11574716191282,70.62256802699228,-1.5068208650794759,5.0,14.0,10.0,0.0,5278.0,921.0,2640.0,2250.0,33.0,9.0,72.8794331316828,57.09755534006249,15.78187779162031,qm,-70
14,217,225,16.0,10.0,14.0,0.0,5459.0,1180.0,2840.0,2250.0,44.0,13.333333333333334,79.00070137665578,85.64678659946664,-6.646085222810856,13.0,15.0,9.0,0.0,5382.0,1094.0,2600.0,2250.0,52.0,8.0,74.11792362743937,71.16779190134012,2.9501317260992437,qm,-8
15,205,241,11.0,7.0,17.0,0.0,4967.0,1060.0,2720.0,1850.0,52.0,17.666666666666668,58.72652218182012,82.22435411635041,-23.497831934530286,22.0,12.0,12.0,0.0,5417.0,1243.0,2620.0,2250.0,152.0,11.0,75.20950648460978,78.33700062898748,-3.1274941443776947,qm,-36
16,185,210,20.0,13.0,11.0,0.0,5677.0,1144.0,2900.0,2350.0,37.0,9.0,89.21076658994404,74.67476637566888,14.53600021427514,34.0,14.0,10.0,0.0,5371.0,1163.0,2760.0,2250.0,31.0,8.333333333333334,75.30507314894969,64.29741299647958,11.007660152470097,qm,-25
17,280,255,9.0,15.0,9.0,0.0,5788.0,1336.0,2840.0,2450.0,58.0,7.0,92.8770663909017,81.9379746192649,10.939091771636805,9.0,8.0,16.0,0.0,5269.0,1201.0,2920.0,1950.0,59.0,16.333333333333332,71.60301521028464,80.08165259378626,-8.47863738350162,qm,25
18,206,150,14.0,15.0,9.0,0.0,5177.0,840.0,2420.0,2250.0,127.0,8.333333333333334,63.44220065850266,49.48237180292606,13.959828855576587,32.0,12.0,12.0,0.0,5167.0,1199.0,2560.0,2150.0,37.0,11.0,68.41575095101872,73.61208666966722,-5.196335718648496,qm,56
19,280,205,16.0,15.0,9.0,0.0,5567.0,1133.0,2820.0,2350.0,62.0,8.0,80.66243901794913,64.46942715138977,16.19301186655937,12.0,7.0,17.0,0.0,4897.0,1184.0,2760.0,1750.0,17.0,16.333333333333332,55.902129176703035,85.94548355099312,-30.04335437429008,qm,75
20,255,313,21.0,10.0,14.0,0.0,5546.0,1393.0,2980.0,2150.0,66.0,13.0,83.72158785502616,93.6292533015306,-9.907665446504447,29.0,12.0,12.0,0.0,5631.0,1110.0,2740.0,2450.0,31.0,10.333333333333334,87.66453196124657,81.23916458188218,6.4253673793644,qm,-58
21,265,185,26.0,14.0,10.0,0.0,5317.0,1219.0,2680.0,2200.0,47.0,9.333333333333334,71.98241384460762,67.93130704482572,4.051106799781908,16.0,8.0,16.0,0.0,4967.0,1026.0,2740.0,1800.0,57.0,16.0,53.329541685236755,84.9177717391009,-31.58823005386414,qm,80
22,200,307,34.0,10.0,14.0,0.0,5206.0,1181.0,2760.0,2050.0,51.0,13.333333333333334,62.89074955433038,89.61062575032433,-26.719876195993933,24.0,13.0,11.0,0.0,5675.0,1395.0,2860.0,2400.0,60.0,9.333333333333334,91.56733214394978,85.91948845966836,5.647843684281431,qm,-107
23,188,164,19.0,13.0,11.0,0.0,5147.0,897.0,2600.0,2200.0,27.0,10.666666666666666,62.59992975929486,62.42437934119234,0.17555041810251262,14.0,15.0,9.0,0.0,5466.0,1076.0,2580.0,2350.0,131.0,8.333333333333334,76.5580485742824,64.26698779138441,12.291060782897985,qm,24
24,205,310,24.0,11.0,13.0,0.0,5439.0,1439.0,3000.0,2050.0,49.0,10.666666666666666,78.1875047493988,87.66241414686101,-9.474909397462218,15.0,13.0,11.0,0.0,5820.0,1189.0,2880.0,2500.0,30.0,8.666666666666666,97.4705068322135,66.81639233186213,30.65411450035136,qm,-105
25,273,190,21.0,14.0,10.0,0.0,5516.0,1347.0,2820.0,2200.0,136.0,8.666666666666666,77.67843386251623,66.02162331350972,11.656810549006524,8.0,12.0,12.0,0.0,5045.0,1014.0,2620.0,2000.0,45.0,12.333333333333334,61.16721777147518,67.09807013956011,-5.930852368084918,qm,83
26,255,251,18.0,12.0,12.0,0.0,5306.0,1192.0,2720.0,2150.0,26.0,11.0,75.0492194319743,84.98610365136274,-9.936884219388451,14.0,8.0,16.0,0.0,5448.0,1145.0,2820.0,2200.0,68.0,16.333333333333332,76.95014115704042,82.38413331236119,-5.433992155320773,qm,4
27,170,195,15.0,10.0,14.0,0.0,5224.0,1311.0,2720.0,2050.0,19.0,12.0,71.33122998986373,79.59231941181854,-8.261089421954802,16.0,16.0,8.0,0.0,5326.0,884.0,2620.0,2300.0,66.0,6.666666666666667,70.72635919249002,55.44674655941503,15.279612633074985,qm,-25
28,190,314,30.0,9.0,15.0,0.0,5112.0,1030.0,2600.0,2150.0,32.0,15.666666666666666,62.59139278694496,83.18104237468259,-20.589649587737625,32.0,13.0,11.0,0.0,5803.0,1313.0,3080.0,2300.0,58.0,8.666666666666666,91.17336807310335,77.41186322076028,13.761504852343052,qm,-124
29,248,235,10.0,14.0,10.0,0.0,5473.0,1208.0,2700.0,2300.0,128.0,8.666666666666666,83.01833456614118,70.18904372474672,12.829290841394467,8.0,9.0,15.0,0.0,5123.0,873.0,2700.0,2050.0,28.0,14.666666666666666,64.77228793612683,68.33722724854032,-3.5649393124134883,qm,13
30,305,214,28.0,13.0,11.0,0.0,5386.0,1357.0,2820.0,2150.0,21.0,9.0,75.6122684586261,71.90635291687471,3.70591554175139,15.0,8.0,16.0,0.0,5188.0,1239.0,2760.0,1950.0,73.0,15.666666666666666,65.60830752525929,92.28015740709448,-26.671849881835186,qm,91
31,314,255,22.0,17.0,7.0,0.0,5774.0,1089.0,2760.0,2500.0,69.0,5.0,91.6808608198791,68.0511372625568,23.629723557322297,19.0,13.0,11.0,0.0,5474.0,1240.0,2780.0,2300.0,29.0,9.666666666666666,77.05724509522587,77.53084612338343,-0.47360102815755073,qm,59
32,235,140,12.0,14.0,10.0,0.0,5312.0,1063.0,2720.0,2150.0,52.0,8.666666666666666,71.90738695428357,66.97016008506709,4.937226869216467,19.0,10.0,14.0,0.0,5208.0,1059.0,2720.0,2050.0,53.0,14.0,64.23740698792555,72.48082140970998,-8.24341442178442,qm,95
33,139,170,21.0,10.0,14.0,0.0,5320.0,1211.0,2840.0,2050.0,50.0,13.333333333333334,70.13037335580673,77.42475027228717,-7.294376916480445,13.0,14.0,10.0,0.0,5361.0,1254.0,2820.0,2150.0,41.0,9.333333333333334,76.05383493628597,64.88076624711051,11.17306868917544,qm,-31
