,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,145,231,14.0,23.0,13.0,0.0,7815.0,950.0,3740.0,3150.0,80.0,9.333333333333334,83.75923692481132,70.80810274661735,12.951134178193968,22.0,20.0,14.0,2.0,7486.0,1651.0,4100.0,2500.0,61.0,15.333333333333334,77.42676050191707,70.30030555219923,7.126454949717846,f,-86
1,131,256,14.0,23.0,13.0,0.0,7815.0,950.0,3740.0,3150.0,80.0,9.333333333333334,83.75923692481132,70.80810274661735,12.951134178193968,22.0,20.0,14.0,2.0,7486.0,1651.0,4100.0,2500.0,61.0,15.333333333333334,77.42676050191707,70.30030555219923,7.126454949717846,f,-125
2,255,236,22.0,20.0,14.0,2.0,7486.0,1651.0,4100.0,2500.0,61.0,15.333333333333334,77.42676050191707,70.30030555219923,7.126454949717846,25.0,24.0,12.0,0.0,8798.0,1346.0,4180.0,3400.0,128.0,10.666666666666666,112.19016526174205,67.18448361942252,45.00568164231955,qf,19
3,257,259,22.0,20.0,14.0,2.0,7486.0,1651.0,4100.0,2500.0,61.0,15.333333333333334,77.42676050191707,70.30030555219923,7.126454949717846,25.0,24.0,12.0,0.0,8798.0,1346.0,4180.0,3400.0,128.0,10.666666666666666,112.19016526174205,67.18448361942252,45.00568164231955,qf,-2
4,313,255,22.0,20.0,14.0,2.0,7486.0,1651.0,4100.0,2500.0,61.0,15.333333333333334,77.42676050191707,70.30030555219923,7.126454949717846,25.0,24.0,12.0,0.0,8798.0,1346.0,4180.0,3400.0,128.0,10.666666666666666,112.19016526174205,67.18448361942252,45.00568164231955,qf,58
5,256,308,32.0,21.0,13.0,1.0,7649.0,1115.0,4120.0,2700.0,74.0,14.0,76.25588380830125,59.64453021138337,16.611353596917894,24.0,21.0,14.0,1.0,8111.0,1303.0,3940.0,3300.0,236.0,11.333333333333334,92.2041941553751,66.19151024845172,26.01268390692338,qf,-52
6,259,283,32.0,21.0,13.0,1.0,7649.0,1115.0,4120.0,2700.0,74.0,14.0,76.25588380830125,59.64453021138337,16.611353596917894,24.0,21.0,14.0,1.0,8111.0,1303.0,3940.0,3300.0,236.0,11.333333333333334,92.2041941553751,66.19151024845172,26.01268390692338,qf,-24
7,185,330,11.0,21.0,15.0,0.0,7584.0,1130.0,3840.0,2900.0,64.0,13.0,85.28407344175976,56.31442183213277,28.969651609626993,14.0,23.0,13.0,0.0,7815.0,950.0,3740.0,3150.0,80.0,9.333333333333334,83.75923692481132,70.80810274661735,12.951134178193968,qf,-145
8,255,290,11.0,21.0,15.0,0.0,7584.0,1130.0,3840.0,2900.0,64.0,13.0,85.28407344175976,56.31442183213277,28.969651609626993,14.0,23.0,13.0,0.0,7815.0,950.0,3740.0,3150.0,80.0,9.333333333333334,83.75923692481132,70.80810274661735,12.951134178193968,qf,-35
9,235,290,5.0,19.0,17.0,0.0,6887.0,996.0,3560.0,2500.0,77.0,18.0,60.96802651325464,47.44231832593235,13.525708187322287,11.0,19.0,17.0,0.0,7548.0,1194.0,3500.0,3250.0,148.0,17.0,76.14484746481855,58.235509479108515,17.909337985710035,qf,-55
10,235,281,5.0,19.0,17.0,0.0,6887.0,996.0,3560.0,2500.0,77.0,18.0,60.96802651325464,47.44231832593235,13.525708187322287,11.0,19.0,17.0,0.0,7548.0,1194.0,3500.0,3250.0,148.0,17.0,76.14484746481855,58.235509479108515,17.909337985710035,qf,-46
11,145,260,10.0,17.0,19.0,0.0,7315.0,944.0,3500.0,2950.0,70.0,20.333333333333332,67.86939735334877,63.06725168500725,4.8021456683415265,20.0,23.0,12.0,1.0,7963.0,1217.0,3860.0,3200.0,123.0,11.333333333333334,82.53076318235408,61.0976579600254,21.43310522232868,qm,-115
12,160,139,15.0,19.0,16.0,1.0,6841.0,1246.0,3800.0,2200.0,46.0,18.333333333333332,61.32255112668886,67.60852863512923,-6.285977508440382,28.0,14.0,22.0,0.0,6500.0,769.0,3340.0,2500.0,50.0,28.333333333333332,43.390248547521765,65.67836387895225,-22.288115331430486,qm,21
13,187,192,24.0,18.0,17.0,1.0,8153.0,1309.0,3900.0,3250.0,228.0,16.333333333333332,93.25296087376857,75.39396154380093,17.858999329967634,21.0,18.0,17.0,1.0,7523.0,1226.0,3680.0,2850.0,63.0,18.0,82.48169606931829,64.05785737571166,18.423838693606626,qm,-5
