,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,255,331,35.0,19.0,17.0,0.0,8992.0,1780.0,4360.0,3650.0,172.0,22.333333333333332,87.09059470792063,76.88793426306334,10.202660444857303,14.0,19.0,17.0,0.0,9074.0,2006.0,4040.0,3300.0,964.0,12.0,96.45302935227998,73.78849997281684,22.664529379463147,f,-76
1,165,231,35.0,19.0,17.0,0.0,8992.0,1780.0,4360.0,3650.0,172.0,22.333333333333332,87.09059470792063,76.88793426306334,10.202660444857303,14.0,19.0,17.0,0.0,9074.0,2006.0,4040.0,3300.0,964.0,12.0,96.45302935227998,73.78849997281684,22.664529379463147,f,-66
2,330,340,25.0,20.0,16.0,0.0,8960.0,2182.0,4420.0,3550.0,105.0,21.333333333333332,92.27990872894605,97.58693871482389,-5.307029985877857,14.0,19.0,17.0,0.0,9074.0,2006.0,4040.0,3300.0,964.0,12.0,96.45302935227998,73.78849997281684,22.664529379463147,qf,-10
3,305,373,25.0,20.0,16.0,0.0,8960.0,2182.0,4420.0,3550.0,105.0,21.333333333333332,92.27990872894605,97.58693871482389,-5.307029985877857,14.0,19.0,17.0,0.0,9074.0,2006.0,4040.0,3300.0,964.0,12.0,96.45302935227998,73.78849997281684,22.664529379463147,qf,-68
4,258,284,34.0,23.0,13.0,0.0,9077.0,2141.0,4500.0,3600.0,232.0,11.333333333333334,91.61523437305023,72.73567761251718,18.879556760533045,28.0,19.0,17.0,0.0,9038.0,2303.0,4680.0,3250.0,203.0,17.333333333333332,91.17008998387514,86.14562519491118,5.024464788963958,qf,-26
5,343,212,34.0,23.0,13.0,0.0,9077.0,2141.0,4500.0,3600.0,232.0,11.333333333333334,91.61523437305023,72.73567761251718,18.879556760533045,28.0,19.0,17.0,0.0,9038.0,2303.0,4680.0,3250.0,203.0,17.333333333333332,91.17008998387514,86.14562519491118,5.024464788963958,qf,131
6,215,212,34.0,23.0,13.0,0.0,9077.0,2141.0,4500.0,3600.0,232.0,11.333333333333334,91.61523437305023,72.73567761251718,18.879556760533045,25.0,19.0,17.0,0.0,8779.0,2173.0,4520.0,3250.0,154.0,20.0,84.97855519374708,78.54670903623996,6.431846157507128,qf,3
7,471,332,35.0,19.0,17.0,0.0,8992.0,1780.0,4360.0,3650.0,172.0,22.333333333333332,87.09059470792063,76.88793426306334,10.202660444857303,20.0,24.0,12.0,0.0,9533.0,2125.0,4580.0,3850.0,283.0,9.0,107.2137409016076,66.7710010348674,40.442739866740204,qf,139
8,260,288,35.0,19.0,17.0,0.0,8992.0,1780.0,4360.0,3650.0,172.0,22.333333333333332,87.09059470792063,76.88793426306334,10.202660444857303,20.0,24.0,12.0,0.0,9533.0,2125.0,4580.0,3850.0,283.0,9.0,107.2137409016076,66.7710010348674,40.442739866740204,qf,-28
9,307,252,35.0,19.0,17.0,0.0,8992.0,1780.0,4360.0,3650.0,172.0,22.333333333333332,87.09059470792063,76.88793426306334,10.202660444857303,20.0,24.0,12.0,0.0,9533.0,2125.0,4580.0,3850.0,283.0,9.0,107.2137409016076,66.7710010348674,40.442739866740204,qf,55
10,285,306,22.0,22.0,14.0,0.0,9159.0,1939.0,4280.0,3750.0,234.0,12.0,94.41953097705641,70.24876180958671,24.17076916746971,20.0,24.0,12.0,0.0,9329.0,2270.0,4440.0,3850.0,254.0,9.0,101.34035156720039,88.04512868212379,13.295222885076592,qf,-21
11,255,307,22.0,22.0,14.0,0.0,9159.0,1939.0,4280.0,3750.0,234.0,12.0,94.41953097705641,70.24876180958671,24.17076916746971,20.0,24.0,12.0,0.0,9329.0,2270.0,4440.0,3850.0,254.0,9.0,101.34035156720039,88.04512868212379,13.295222885076592,qf,-52
12,180,111,4.0,20.0,16.0,0.0,8720.0,1841.0,4000.0,3250.0,595.0,15.0,79.79128073362877,64.60569592720799,15.185584806420778,10.0,14.0,22.0,0.0,8016.0,1729.0,4060.0,2600.0,606.0,20.333333333333332,64.71109999139595,76.92117796860549,-12.210077977209545,qm,69
13,310,235,31.0,23.0,13.0,0.0,9440.0,2144.0,4560.0,3900.0,155.0,12.333333333333334,101.2096704336084,66.7804649747983,34.429205458810095,12.0,14.0,22.0,0.0,8518.0,1914.0,4040.0,3050.0,638.0,19.333333333333332,79.58633617293101,91.99779638653087,-12.411460213599861,qm,75
14,195,150,8.0,18.0,18.0,0.0,8201.0,1704.0,4020.0,3250.0,146.0,22.333333333333332,73.22792892187877,68.63137876350571,4.596550158373077,16.0,20.0,16.0,0.0,8692.0,1853.0,4380.0,3200.0,162.0,20.333333333333332,84.07011034151878,71.65842105955943,12.411689281959342,qm,45
15,145,214,9.0,11.0,25.0,0.0,7340.0,1657.0,4040.0,2450.0,145.0,30.666666666666668,46.72341428933481,88.84520056387642,-42.12178627454161,9.0,22.0,14.0,0.0,9045.0,2076.0,4220.0,3450.0,620.0,12.666666666666666,86.83197901011211,77.2529603167636,9.57901869334851,qm,-69
16,135,230,10.0,10.0,25.0,0.0,7189.0,1716.0,4000.0,2400.0,94.0,33.0,53.56946259601,85.5831500002529,-32.01368740424291,33.0,22.0,14.0,0.0,8783.0,1988.0,4460.0,3250.0,203.0,14.0,78.92983926840247,74.52450238372592,4.405336884676558,qm,-95
17,270,230,11.0,19.0,17.0,0.0,8543.0,1845.0,4100.0,3450.0,243.0,22.666666666666668,78.17633923359527,91.42195053784978,-13.24561130425451,34.0,17.0,19.0,0.0,8567.0,2120.0,4340.0,3200.0,227.0,20.0,71.79940369886332,76.36265424940842,-4.563250550545125,qm,40
18,295,304,20.0,22.0,14.0,0.0,9518.0,2044.0,4380.0,3650.0,698.0,4.666666666666667,105.45673649861537,73.50201116992191,31.954725328693456,9.0,20.0,16.0,0.0,9311.0,2101.0,4500.0,3700.0,226.0,17.333333333333332,101.92239412311903,93.25501605920971,8.667378063909325,qm,-9
19,330,185,20.0,24.0,12.0,0.0,9239.0,2026.0,4400.0,3750.0,179.0,8.666666666666666,96.58883770951651,59.105130561784286,37.483707147732225,21.0,17.0,18.0,0.0,8198.0,1658.0,4120.0,2800.0,213.0,21.0,71.21243606739039,87.97081293731135,-16.758376869920962,qm,145
20,165,255,12.0,17.0,19.0,0.0,8598.0,2120.0,4240.0,3250.0,78.0,22.333333333333332,83.50765272132361,79.87130833352306,3.636344387800546,25.0,20.0,16.0,0.0,8752.0,1960.0,4420.0,3300.0,137.0,20.333333333333332,82.87113983502412,72.32189641463218,10.549243420391939,qm,-90
21,185,150,12.0,17.0,19.0,0.0,7980.0,1624.0,4260.0,2750.0,270.0,23.666666666666668,65.75745320263981,73.14589018136722,-7.388436978727403,3.0,8.0,28.0,0.0,6802.0,1638.0,3840.0,2250.0,82.0,35.333333333333336,39.37798104024235,84.34280548255954,-44.964824442317195,qm,35
22,327,255,24.0,24.0,12.0,0.0,9452.0,1932.0,4220.0,3750.0,602.0,12.0,98.32748095244439,65.02173715497234,33.30574379747207,22.0,13.0,23.0,0.0,8253.0,1999.0,4380.0,2900.0,178.0,29.0,74.2017447672023,99.42149563405418,-25.21975086685188,qm,72
23,235,260,18.0,16.0,20.0,0.0,8748.0,1839.0,4340.0,3300.0,168.0,23.333333333333332,86.20280152427658,80.87741261448582,5.325388909790746,39.0,18.0,18.0,0.0,8838.0,2212.0,4340.0,3550.0,163.0,17.333333333333332,84.61672797701588,92.49570600478582,-7.878978027769946,qm,-25
24,96,210,6.0,15.0,21.0,0.0,7623.0,1599.0,4100.0,2500.0,218.0,26.333333333333332,53.398722621540166,67.42791555309647,-14.029192931556297,35.0,21.0,15.0,0.0,8893.0,2098.0,4440.0,3550.0,113.0,15.666666666666666,85.56467441283569,69.13898066455567,16.425693748280008,qm,-114
25,287,205,30.0,24.0,12.0,0.0,9398.0,2121.0,4540.0,3700.0,238.0,10.333333333333334,103.06654399226449,73.05662787921374,30.009916113050764,6.0,15.0,21.0,0.0,8115.0,1895.0,4200.0,3000.0,145.0,28.0,66.51655976246131,85.49058348556274,-18.97402372310142,qm,82
26,95,150,5.0,6.0,30.0,0.0,7092.0,1650.0,4000.0,2150.0,222.0,35.666666666666664,40.08101142049306,95.23518954413014,-55.154178123637074,2.0,19.0,17.0,0.0,8180.0,1828.0,3980.0,3050.0,140.0,20.0,68.27400775983831,70.83689939161854,-2.5628916317802344,qm,-55
27,190,314,5.0,14.0,21.0,0.0,7673.0,1546.0,3900.0,2950.0,193.0,30.0,62.643901554656,96.75948694815719,-34.115585393501185,45.0,20.0,16.0,0.0,9526.0,2251.0,4580.0,3800.0,196.0,15.333333333333334,110.92139595290242,86.19217141822189,24.729224534680522,qm,-124
