,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,250,309,9.0,22.0,13.0,0.0,7282.0,1311.0,3680.0,2850.0,22.0,12.333333333333334,86.57066465673073,63.40838630672534,23.16227835000537,15.0,24.0,12.0,0.0,7570.0,1261.0,3660.0,3000.0,40.0,9.333333333333334,86.5077932258503,53.47995355763279,33.02783966821752,f,-59
1,305,310,9.0,22.0,13.0,0.0,7282.0,1311.0,3680.0,2850.0,22.0,12.333333333333334,86.57066465673073,63.40838630672534,23.16227835000537,15.0,24.0,12.0,0.0,7570.0,1261.0,3660.0,3000.0,40.0,9.333333333333334,86.5077932258503,53.47995355763279,33.02783966821752,f,-5
2,255,260,7.0,20.0,16.0,0.0,6927.0,875.0,3700.0,2250.0,32.0,15.0,74.93067329206654,68.78670200850532,6.143971283561221,15.0,24.0,12.0,0.0,7570.0,1261.0,3660.0,3000.0,40.0,9.333333333333334,86.5077932258503,53.47995355763279,33.02783966821752,qf,-5
3,285,333,7.0,20.0,16.0,0.0,6927.0,875.0,3700.0,2250.0,32.0,15.0,74.93067329206654,68.78670200850532,6.143971283561221,15.0,24.0,12.0,0.0,7570.0,1261.0,3660.0,3000.0,40.0,9.333333333333334,86.5077932258503,53.47995355763279,33.02783966821752,qf,-48
4,180,250,20.0,21.0,14.0,1.0,7069.0,940.0,4040.0,2350.0,29.0,11.0,71.7143237792707,54.31273156738811,17.40159221188259,21.0,21.0,15.0,0.0,6668.0,1076.0,3440.0,2400.0,43.0,13.0,66.27222624726936,54.76949643783416,11.50272980943521,qf,-70
5,310,310,20.0,21.0,14.0,1.0,7069.0,940.0,4040.0,2350.0,29.0,11.0,71.7143237792707,54.31273156738811,17.40159221188259,21.0,21.0,15.0,0.0,6668.0,1076.0,3440.0,2400.0,43.0,13.0,66.27222624726936,54.76949643783416,11.50272980943521,qf,0
6,288,257,20.0,21.0,14.0,1.0,7069.0,940.0,4040.0,2350.0,29.0,11.0,71.7143237792707,54.31273156738811,17.40159221188259,21.0,21.0,15.0,0.0,6668.0,1076.0,3440.0,2400.0,43.0,13.0,66.27222624726936,54.76949643783416,11.50272980943521,qf,31
7,257,324,17.0,19.0,16.0,1.0,7068.0,1273.0,3880.0,2400.0,43.0,15.666666666666666,73.85198785068594,65.4621989691966,8.389788881489338,9.0,22.0,13.0,0.0,7282.0,1311.0,3680.0,2850.0,22.0,12.333333333333334,86.57066465673073,63.40838630672534,23.16227835000537,qf,-67
8,277,309,17.0,19.0,16.0,1.0,7068.0,1273.0,3880.0,2400.0,43.0,15.666666666666666,73.85198785068594,65.4621989691966,8.389788881489338,9.0,22.0,13.0,0.0,7282.0,1311.0,3680.0,2850.0,22.0,12.333333333333334,86.57066465673073,63.40838630672534,23.16227835000537,qf,-32
9,235,344,6.0,18.0,16.0,1.0,6305.0,1339.0,3700.0,1800.0,55.0,19.333333333333332,58.244824611559174,65.28085323033991,-7.03602861878074,39.0,20.0,16.0,0.0,7111.0,1128.0,3740.0,2550.0,76.0,14.333333333333334,71.01450909776675,41.68083631803368,29.333672779733067,qf,-109
